MIShepherd,mishe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
74,Team C.H.A.O.S.,3,4.65,0.00,-0.15,-0.15,0.01,0.00,0.41,0.01,-1.00,-1.00,0.14,4.91,1.03,2.38,0.79,0.33,0.38,0.54,-0.04,48.13,2.65,-1.00,-1.00,97.64,0.19,0.22,0.56,48.72,0.71,-1.00,-1.00,0.00,-0.04,-0.10,0.13,0.03,0.23,0.29,6.41,48.54,1.21,2.66,-1.00,-1.00,0.64,108.96,105.07,0.31,48.02,1561,,,,,
107,Team R.O.B.O.T.I.C.S.,3,5.21,-0.01,0.36,0.36,0.51,0.00,30.74,0.51,-1.00,-1.00,10.25,36.32,-1.57,-0.88,-0.42,0.33,0.35,0.42,0.06,25.72,2.21,-1.00,-1.00,42.35,0.10,0.04,0.20,17.05,0.61,-1.00,-1.00,0.00,0.06,0.17,0.06,0.28,0.26,7.90,6.86,56.47,1.16,2.72,-1.00,-1.00,-0.06,85.52,91.53,0.12,21.21,1459,,,,,
247,Da Bears,3,4.87,0.00,-0.16,-0.16,0.07,0.00,4.23,0.07,-1.00,-1.00,1.41,8.94,-0.04,0.52,0.12,0.33,0.33,0.45,-0.07,38.90,1.96,-1.00,-1.00,74.69,0.28,0.36,0.08,35.66,0.71,-1.00,-1.00,0.00,-0.07,0.08,-0.15,-0.04,-0.03,-0.61,-1.44,43.13,1.04,2.03,-1.00,-1.00,-0.05,82.19,75.17,0.17,21.07,1431,,,,,
910,The Foley Freeze,3,5.70,-0.11,2.66,2.63,0.07,0.00,4.07,0.07,-1.00,-1.00,1.36,12.41,-0.18,15.48,4.90,0.33,0.38,0.20,-0.02,32.84,1.36,-1.00,-1.00,73.91,0.36,0.08,0.28,36.16,0.78,-1.00,-1.00,-0.01,-0.02,-0.08,0.11,-0.12,0.16,-3.31,4.62,36.92,0.89,1.43,-1.00,-1.00,7.54,90.94,88.34,0.46,38.39,1537,,,,,
2337,EngiNERDs,3,5.02,-0.13,11.04,11.01,0.11,0.00,6.81,0.11,-1.00,-1.00,2.27,22.84,0.28,50.65,16.71,0.34,0.37,0.09,-0.02,26.56,0.86,-1.00,-1.00,86.99,0.35,0.39,0.13,43.72,0.56,-1.00,-1.00,0.33,-0.02,-0.11,-0.01,0.34,-0.26,8.05,-6.45,33.37,0.78,0.97,-1.00,-1.00,27.72,103.39,107.83,0.29,36.75,1578,,,,,
2959,Robotarians,3,5.16,0.00,-0.01,-0.01,0.39,0.00,23.27,0.39,-1.00,-1.00,7.76,28.42,-0.21,0.82,0.13,0.33,0.34,-0.07,0.08,11.72,0.49,-1.00,-1.00,55.88,0.51,0.10,0.28,44.03,0.82,-1.00,-1.00,0.00,0.08,0.11,0.04,0.12,-0.11,3.49,-2.68,34.99,0.68,0.87,-1.00,-1.00,0.12,81.61,89.62,0.35,21.67,1451,,,,,
3570,Pheonix,3,3.65,-0.01,-0.02,-0.02,0.28,0.00,16.65,0.28,-1.00,-1.00,5.55,20.28,1.21,-0.37,-0.04,0.33,0.28,-0.02,-0.01,12.01,0.19,-1.00,-1.00,68.57,0.35,0.36,0.42,56.61,0.57,-1.00,-1.00,0.00,-0.01,0.04,0.20,0.08,-0.10,2.25,-1.58,28.66,0.58,0.47,-1.00,-1.00,-0.07,87.27,86.01,0.32,27.26,1454,,,,,
4382,Team Trobot,3,3.44,-0.05,1.08,1.08,0.18,0.00,10.84,0.18,-1.00,-1.00,3.61,15.35,1.78,0.62,0.38,0.33,0.23,0.02,0.00,16.42,0.47,-1.00,-1.00,13.01,-0.18,0.06,0.04,-3.79,0.25,-1.00,-1.00,-0.03,0.00,0.35,-0.21,0.45,0.11,13.14,1.62,27.25,0.59,0.65,-1.00,-1.00,1.46,29.98,29.40,-0.07,-53.21,1295,,,,,
4956,Robosharks,3,5.16,0.00,-0.00,-0.00,-0.01,0.00,-0.74,-0.01,-1.00,-1.00,-0.25,4.42,-0.04,-0.51,-0.21,0.33,0.34,-0.24,0.00,17.88,-0.26,-1.00,-1.00,25.15,0.01,0.14,-0.00,7.48,0.25,-1.00,-1.00,0.00,0.00,0.02,0.12,0.10,0.06,2.55,2.15,17.14,0.43,-0.27,-1.00,-1.00,-0.21,31.71,31.91,0.08,-32.61,1370,,,,,
4967,That ONE Team - Our Next Engineers,3,4.89,-0.14,16.79,16.77,-0.00,0.00,-0.15,-0.00,-1.00,-1.00,-0.05,21.52,-1.46,55.74,18.09,0.33,0.34,0.08,0.00,30.13,1.00,-1.00,-1.00,91.24,0.33,0.22,0.31,43.02,0.95,-1.00,-1.00,0.68,0.00,0.05,-0.01,-0.21,0.01,-4.98,0.24,29.98,0.75,1.00,-1.00,-1.00,34.86,113.00,127.08,0.50,64.45,1596,,,,,
4970,ICE Cubed,3,4.97,-0.29,0.13,0.05,0.40,0.00,23.84,0.40,-1.00,-1.00,7.95,28.86,1.39,0.30,0.25,0.33,0.36,0.05,0.00,13.85,0.54,-1.00,-1.00,64.05,0.36,0.27,0.36,49.95,0.80,-1.00,-1.00,0.00,0.00,0.00,0.13,-0.10,0.57,-2.43,14.84,37.69,0.74,0.93,-1.00,-1.00,0.30,107.75,107.75,0.43,64.42,1572,,,,,
5066,Singularity,3,5.50,1.43,-0.06,0.20,0.17,0.00,10.48,0.17,-1.00,-1.00,3.49,16.17,1.60,-1.57,-0.33,0.33,0.34,0.43,0.08,40.30,2.71,-1.00,-1.00,64.01,0.28,-0.05,0.25,24.05,0.58,-1.00,-1.00,0.03,0.08,-0.02,0.07,0.02,0.54,0.28,13.90,50.77,1.18,2.89,-1.00,-1.00,-0.13,94.09,102.75,0.11,33.24,1473,,,,,
5162,The Big Red Theory ,3,4.50,-0.01,-0.10,-0.10,0.20,0.00,12.22,0.20,-1.00,-1.00,4.07,16.62,1.68,0.43,0.17,0.33,0.33,0.10,-0.04,20.83,0.60,-1.00,-1.00,34.00,-0.11,0.32,0.06,12.99,0.36,-1.00,-1.00,0.00,-0.04,0.05,0.22,-0.01,-0.22,0.00,-4.39,33.04,0.72,0.81,-1.00,-1.00,0.07,46.23,41.74,0.19,-21.93,1457,,,,,
5193,Pantheon,3,4.90,-0.00,0.39,0.39,0.10,0.00,5.85,0.10,-1.00,-1.00,1.95,11.13,0.42,0.42,0.16,0.33,0.34,0.10,0.06,29.55,1.36,-1.00,-1.00,52.83,0.19,0.27,0.00,23.11,0.25,-1.00,-1.00,0.00,0.06,-0.17,-0.21,0.28,-0.13,6.04,-4.38,35.40,0.84,1.46,-1.00,-1.00,0.55,59.58,65.81,0.11,-21.59,1364,,,,,
5213,St. Ignace SHIELD ,3,6.12,-0.09,0.11,0.03,0.00,0.00,0.08,0.00,-1.00,-1.00,0.03,6.23,-1.26,0.30,0.02,0.33,0.26,0.02,0.00,24.53,0.60,-1.00,-1.00,32.13,0.10,0.04,0.02,7.59,0.17,-1.00,-1.00,0.00,0.00,-0.05,0.11,0.15,-0.17,3.51,-3.69,24.61,0.61,0.60,-1.00,-1.00,0.05,34.66,34.66,0.11,-18.10,1374,,,,,
