MISouthfield,misou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
33,Killer Bees,5.44,0.00,9.20,9.20,-0.08,0.00,-4.56,-0.08,-1.00,-1.00,-1.52,10.08,-0.25,6.73,2.13,0.34,0.39,0.67,0.00,59.19,3.56,-1.00,-1.00,123.06,0.47,0.38,0.38,61.74,1.00,-1.00,-1.00,0.00,0.00,-0.06,0.25,-0.12,-0.04,-3.38,0.23,54.62,1.40,3.48,-1.00,-1.00,11.33,133.37,133.37,0.70,126.49,1758,,,,,
67,The HOT Team,3.28,0.00,-0.86,-0.86,0.01,0.00,0.73,0.01,-1.00,-1.00,0.24,3.16,-0.73,4.31,1.38,0.34,0.32,0.15,0.00,31.60,1.22,-1.00,-1.00,63.72,0.18,0.19,0.25,30.75,0.56,-1.00,-1.00,0.00,0.00,-0.06,0.33,-0.02,0.08,-0.77,3.62,32.33,0.80,1.23,-1.00,-1.00,0.52,70.50,70.50,0.42,23.76,1595,,,,,
94,The  Ninetyfouriors,5.16,0.00,-0.16,-0.16,-0.05,0.00,-2.88,-0.05,-1.00,-1.00,-0.96,2.13,0.03,-1.29,-0.46,0.25,0.31,0.03,0.00,25.83,0.72,-1.00,-1.00,49.46,0.11,0.28,0.09,24.08,0.50,-1.00,-1.00,0.00,0.00,0.23,0.04,0.44,0.15,12.20,3.98,22.96,0.60,0.67,-1.00,-1.00,-0.61,55.57,55.57,0.23,-8.31,1415,,,,,
107,Team R.O.B.O.T.I.C.S.,3.26,0.00,-0.89,-0.89,0.16,0.00,9.54,0.16,-1.00,-1.00,3.18,11.91,0.73,-0.88,-0.19,0.34,0.41,0.07,0.00,26.59,0.95,-1.00,-1.00,38.12,0.15,-0.01,0.10,11.72,0.43,-1.00,-1.00,0.00,0.00,-0.14,0.19,0.28,0.17,6.36,5.27,36.12,0.82,1.11,-1.00,-1.00,-1.08,55.30,55.30,0.00,-27.69,1444,,,,,
247,Da Bears,4.92,0.00,1.61,1.61,0.03,0.00,1.53,0.03,-1.00,-1.00,0.51,8.06,-0.75,-0.16,-0.23,0.34,0.31,-0.08,0.00,21.67,0.28,-1.00,-1.00,32.66,0.09,0.10,0.03,11.22,0.17,-1.00,-1.00,0.00,0.00,-0.10,-0.10,0.08,0.18,1.57,4.05,23.20,0.57,0.30,-1.00,-1.00,1.38,44.77,44.77,0.13,-11.34,1360,,,,,
453,Rockem Sockem Robotics,3.65,0.00,-0.36,-0.36,0.05,0.00,3.30,0.05,-1.00,-1.00,1.10,6.59,1.19,-1.68,-0.55,0.34,0.33,-0.05,0.00,22.55,0.40,-1.00,-1.00,41.07,0.26,0.10,0.02,19.07,0.42,-1.00,-1.00,0.00,0.00,0.06,0.19,0.27,0.27,6.96,7.66,25.85,0.62,0.45,-1.00,-1.00,-0.90,55.33,55.33,0.03,-10.29,1398,,,,,
548,Robostangs,6.10,0.00,-0.04,-0.04,0.33,0.00,19.99,0.33,-1.00,-1.00,6.66,26.05,-0.75,3.08,0.84,0.34,0.40,-0.07,0.00,13.61,0.20,-1.00,-1.00,52.79,-0.10,0.46,0.40,38.34,0.69,-1.00,-1.00,0.00,0.00,-0.09,-0.06,-0.11,-0.14,-3.17,-3.70,33.60,0.67,0.53,-1.00,-1.00,0.80,75.14,75.14,0.45,36.02,1545,,,,,
573,Mech Warriors,6.34,0.00,-0.11,-0.11,0.09,0.00,5.42,0.09,-1.00,-1.00,1.81,11.65,-1.31,4.02,1.10,0.34,0.14,-0.10,0.00,11.64,-0.03,-1.00,-1.00,34.68,0.12,0.31,0.01,21.94,0.58,-1.00,-1.00,0.00,0.00,-0.06,0.07,-0.12,-0.15,-3.24,-3.45,17.05,0.38,0.06,-1.00,-1.00,0.99,42.87,42.87,0.09,-0.88,1453,,,,,
815,Advanced Power,5.04,0.00,0.41,0.41,0.02,0.00,1.03,0.02,-1.00,-1.00,0.34,6.48,-0.44,0.06,-0.09,0.34,0.35,0.30,0.00,38.89,1.87,-1.00,-1.00,63.77,0.20,0.14,0.16,24.97,0.60,-1.00,-1.00,0.00,0.00,0.32,0.06,-0.02,-0.14,1.13,-3.10,39.92,0.99,1.89,-1.00,-1.00,0.32,67.16,67.16,0.31,10.28,1475,,,,,
