MISt.Joseph,misjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
66,Grizzly Robotics,4.01,0.00,0.09,0.09,-0.01,0.00,-0.50,-0.01,-1.00,-1.00,-0.17,3.61,-1.76,3.04,0.86,0.33,0.27,0.13,0.00,29.83,1.09,-1.00,-1.00,90.32,0.48,0.48,0.22,59.63,0.79,-1.00,-1.00,0.00,0.00,-0.29,0.17,0.23,-0.12,4.26,-2.25,29.33,0.74,1.08,-1.00,-1.00,0.95,91.68,91.68,0.32,11.29,1489,,,,,
85,B.O.B. (Built on Brains),4.05,0.00,-0.10,-0.10,0.09,0.00,5.22,0.09,-1.00,-1.00,1.74,9.17,0.45,-2.77,-0.92,0.33,0.37,0.22,0.00,33.46,1.52,-1.00,-1.00,65.12,0.20,0.27,0.18,32.58,0.70,-1.00,-1.00,0.00,0.00,0.06,-0.22,0.04,0.39,1.31,8.59,38.68,0.92,1.61,-1.00,-1.00,-1.02,82.88,82.88,0.30,31.81,1586,,,,,
1918,NC GEARS,2.67,0.00,1.89,1.89,0.34,0.00,20.37,0.34,-1.00,-1.00,6.79,24.94,-1.40,6.24,1.84,0.33,0.36,0.44,0.00,31.47,2.12,-1.00,-1.00,72.56,0.49,0.19,0.10,39.25,0.88,-1.00,-1.00,0.00,0.00,-0.17,0.19,-0.03,0.52,-1.51,13.98,51.84,1.13,2.46,-1.00,-1.00,3.74,111.48,111.48,0.32,33.66,1591,,,,,
1940,The Tech Tigers,0.78,0.00,1.20,1.20,-0.06,0.00,-3.90,-0.06,-1.00,-1.00,-1.30,-1.92,-0.05,2.65,0.73,0.33,0.37,0.16,0.00,37.38,1.47,-1.00,-1.00,63.05,0.03,0.18,0.29,24.93,0.43,-1.00,-1.00,0.00,0.00,1.04,-0.10,0.31,0.03,12.85,0.22,33.49,0.87,1.40,-1.00,-1.00,1.93,61.35,61.35,0.28,3.52,1426,,,,,
2405,Techno Trojans,5.67,0.00,-0.51,-0.51,0.10,0.00,6.08,0.10,-1.00,-1.00,2.03,11.23,1.66,-2.60,-0.74,0.33,0.40,0.05,0.00,27.26,0.89,-1.00,-1.00,34.39,-0.03,0.03,0.15,7.87,0.25,-1.00,-1.00,0.00,0.00,0.10,-0.05,0.14,0.06,4.11,1.25,33.33,0.78,0.99,-1.00,-1.00,-1.25,46.87,46.87,0.12,-13.84,1427,,,,,
2474,Excel,3.37,0.00,0.34,0.34,0.21,0.00,12.87,0.21,-1.00,-1.00,4.29,16.58,-1.12,0.48,0.10,0.33,0.36,0.51,0.00,39.85,2.57,-1.00,-1.00,68.54,0.14,0.23,0.20,28.59,0.76,-1.00,-1.00,0.00,0.00,-0.25,0.01,0.12,0.19,1.69,4.86,52.71,1.21,2.78,-1.00,-1.00,0.44,89.98,89.98,0.49,37.31,1596,,,,,
2767,Stryke Force,4.90,0.00,1.88,1.88,-0.02,0.00,-1.32,-0.02,-1.00,-1.00,-0.44,5.46,-0.65,1.38,0.21,0.33,0.37,0.23,0.00,38.30,1.69,-1.00,-1.00,78.92,0.21,0.35,0.25,40.41,0.74,-1.00,-1.00,0.00,0.00,0.11,0.10,-0.00,-0.10,0.45,-2.10,36.98,0.94,1.67,-1.00,-1.00,2.09,82.28,82.28,0.48,43.60,1651,,,,,
2959,Robotarians,5.07,0.00,0.01,0.01,0.18,0.00,10.58,0.18,-1.00,-1.00,3.53,15.65,0.96,-0.45,-0.07,0.33,0.39,-0.12,0.00,17.04,0.11,-1.00,-1.00,8.69,-0.03,-0.11,-0.02,-8.28,0.25,-1.00,-1.00,0.00,0.00,0.85,0.00,-0.12,0.03,1.27,0.76,27.61,0.60,0.29,-1.00,-1.00,-0.07,25.10,25.10,0.15,-25.07,1434,,,,,
3452,GreengineerZ,5.11,0.00,-0.22,-0.22,0.07,0.00,4.30,0.07,-1.00,-1.00,1.43,9.20,-0.02,-1.23,-0.34,0.33,0.30,0.27,0.00,33.09,1.60,-1.00,-1.00,50.72,-0.00,0.36,0.00,17.97,0.50,-1.00,-1.00,0.00,0.00,0.02,-0.10,-0.11,0.11,-2.67,2.23,37.39,0.90,1.67,-1.00,-1.00,-0.55,62.15,62.15,0.07,-3.33,1514,,,,,
