MIStateChampionship,micmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
66,Grizzly Robotics,3,5.11,-0.22,-0.18,-0.24,0.44,0.00,26.41,0.44,-1.00,-1.00,8.80,31.28,-0.00,-2.25,-0.74,0.33,0.35,0.58,0.01,33.26,2.64,-1.00,-1.00,72.98,0.27,0.23,0.31,40.46,0.88,-1.00,-1.00,0.00,0.01,-0.08,-0.09,0.48,-0.06,11.73,-1.95,59.67,1.27,3.08,-1.00,-1.00,-0.98,102.31,103.49,0.18,10.03,1457,,,,,
226,Hammerheads,3,4.78,0.28,1.17,1.24,0.64,0.00,38.22,0.64,-1.00,-1.00,12.74,44.24,-3.31,4.70,0.97,0.34,0.35,0.20,0.01,10.27,0.90,-1.00,-1.00,71.50,0.52,0.24,0.45,60.26,0.73,-1.00,-1.00,-0.01,0.01,-0.29,-0.11,0.11,0.71,1.39,17.32,48.49,0.89,1.53,-1.00,-1.00,2.21,133.06,133.57,0.48,67.81,1577,,,,,
245,Adambots,3,4.68,1.38,-0.08,0.24,0.27,0.00,16.41,0.27,-1.00,-1.00,5.47,21.33,13.41,3.72,2.68,0.34,0.24,0.22,-0.02,20.12,0.97,-1.00,-1.00,56.01,0.11,0.17,0.38,33.21,0.73,-1.00,-1.00,0.05,-0.02,-0.03,0.22,0.12,0.00,2.76,1.08,36.53,0.78,1.24,-1.00,-1.00,2.92,78.42,77.71,0.09,-3.61,1500,,,,,
548,Robostangs,3,3.87,0.00,0.59,0.59,0.31,0.08,23.44,0.39,-1.00,-1.00,7.81,27.90,0.76,0.74,0.28,0.33,0.35,0.48,-0.01,30.43,2.16,-1.00,-1.00,55.77,0.32,0.01,0.17,25.06,0.47,-1.00,-1.00,0.00,-0.01,0.34,0.15,0.09,0.04,3.86,1.79,53.87,1.15,2.55,-1.00,-1.00,0.87,85.47,84.45,0.28,39.52,1530,,,,,
1025,IMPI Robotics,3,4.06,0.00,-0.31,-0.31,0.38,0.00,22.63,0.38,-1.00,-1.00,7.54,26.37,-0.01,-1.65,-0.52,0.33,0.34,0.37,0.08,29.90,2.28,-1.00,-1.00,82.21,0.45,0.21,0.40,52.82,0.84,-1.00,-1.00,0.00,0.08,-0.11,0.15,0.62,-0.08,14.89,-1.25,52.53,1.12,2.65,-1.00,-1.00,-0.83,107.33,115.45,0.29,18.54,1513,,,,,
1718,The Fighting Pi,3,4.02,0.30,-0.46,-0.40,0.09,0.00,5.40,0.09,-1.00,-1.00,1.80,9.02,0.95,-1.83,-0.44,0.35,0.39,0.35,-0.03,38.52,1.90,-1.00,-1.00,90.96,0.54,0.22,0.29,52.88,0.94,-1.00,-1.00,-0.01,-0.03,0.11,0.15,0.05,0.24,1.90,6.79,43.92,1.05,1.99,-1.00,-1.00,-0.84,106.77,103.37,0.55,39.99,1596,,,,,
2604,Metal and Soul,3,1.72,-0.08,0.08,0.07,0.11,0.00,6.66,0.11,-1.00,-1.00,2.22,8.45,3.89,-1.01,-0.00,0.33,0.26,-0.05,0.00,17.37,0.29,-1.00,-1.00,15.75,-0.02,-0.09,0.08,-1.62,0.00,-1.00,-1.00,-0.01,0.00,0.22,0.44,-0.10,0.16,-1.31,6.29,24.02,0.55,0.40,-1.00,-1.00,0.07,30.49,30.23,-0.14,-44.86,1321,,,,,
2619,The Charge,3,3.91,-0.01,-0.09,-0.09,0.81,0.00,48.58,0.81,-1.00,-1.00,16.19,52.40,-0.27,0.69,0.11,0.33,0.35,0.44,-0.03,11.71,1.50,-1.00,-1.00,44.92,0.13,0.21,0.33,33.10,0.80,-1.00,-1.00,0.00,-0.03,0.24,0.32,0.08,0.43,3.29,12.23,60.28,1.10,2.31,-1.00,-1.00,0.02,109.54,106.86,0.21,45.63,1541,,,,,
2832,The Livonia  Warriors,3,3.93,0.00,0.00,0.00,0.02,0.00,1.18,0.02,-1.00,-1.00,0.39,5.11,0.57,0.00,0.11,0.35,0.48,0.44,0.00,49.83,2.69,-1.00,-1.00,95.85,0.38,0.27,0.27,45.91,0.80,-1.00,-1.00,0.00,0.00,-0.15,0.47,0.03,0.29,0.09,9.66,51.01,1.27,2.71,-1.00,-1.00,0.11,110.63,110.63,0.46,68.42,1548,,,,,
