MITraverseCity,mitvc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
703,Team Phoenix,3,4.96,0.01,0.02,0.02,0.45,0.00,26.70,0.45,-1.00,-1.00,8.90,31.68,-0.31,0.48,0.14,0.33,0.29,0.02,-0.01,7.55,0.15,-1.00,-1.00,50.96,0.25,0.31,0.31,43.28,0.73,-1.00,-1.00,0.00,-0.01,0.71,-0.32,-0.06,-0.01,2.11,-1.75,34.25,0.63,0.60,-1.00,-1.00,0.16,80.90,79.93,0.15,2.76,1429,,,,,
1711,Raptors,3,5.36,0.00,-0.13,-0.13,0.46,0.00,27.76,0.46,-1.00,-1.00,9.25,32.99,-0.29,-2.49,-0.83,0.33,0.38,0.07,-0.00,12.60,0.54,-1.00,-1.00,58.82,0.34,0.21,0.39,47.05,0.80,-1.00,-1.00,0.00,-0.00,0.24,-0.04,-0.02,0.14,0.67,3.21,40.36,0.78,1.00,-1.00,-1.00,-0.96,95.02,94.89,0.12,37.38,1481,,,,,
1896,Concussive Engineers,3,3.25,0.00,-0.29,-0.29,0.16,0.00,9.69,0.16,-1.00,-1.00,3.23,12.65,0.12,-0.63,-0.22,0.33,0.24,0.10,-0.02,19.62,0.61,-1.00,-1.00,22.09,-0.10,0.02,0.14,2.70,0.08,-1.00,-1.00,0.00,-0.02,0.09,0.06,0.60,-0.14,15.34,-3.23,29.31,0.65,0.77,-1.00,-1.00,-0.52,31.51,29.87,0.14,-27.17,1351,,,,,
2246,The Army of Sum,3,2.89,0.00,0.20,0.20,0.20,0.00,11.78,0.20,-1.00,-1.00,3.93,14.87,-0.21,0.15,0.04,0.33,0.27,-0.01,-0.02,15.06,0.17,-1.00,-1.00,14.17,0.06,-0.01,-0.07,-0.93,0.25,-1.00,-1.00,0.00,-0.02,-0.14,0.23,-0.07,0.45,-2.50,12.35,26.84,0.57,0.37,-1.00,-1.00,0.24,41.38,39.00,0.10,-16.39,1362,,,,,
3537,Delta Force,3,3.81,0.00,-0.06,-0.06,-0.07,0.00,-4.27,-0.07,-1.00,-1.00,-1.42,-0.52,-0.00,-2.76,-0.91,0.33,0.28,0.05,0.01,29.58,0.86,-1.00,-1.00,66.95,0.42,0.11,0.23,38.28,0.58,-1.00,-1.00,0.00,0.01,0.06,0.15,0.15,-0.03,4.01,-0.07,25.31,0.67,0.79,-1.00,-1.00,-0.97,66.36,67.30,0.07,-28.52,1364,,,,,
3603,Cyber Coyotes,3,5.18,-0.12,-0.26,-0.29,0.00,0.00,0.20,0.00,-1.00,-1.00,0.07,5.09,-1.18,-1.02,-0.38,0.35,0.54,0.14,0.00,40.87,1.64,-1.00,-1.00,57.00,-0.06,0.14,0.25,16.51,0.14,-1.00,-1.00,0.00,0.00,-0.17,0.02,0.01,0.05,-0.51,1.43,41.07,1.03,1.64,-1.00,-1.00,-0.67,63.53,63.53,0.13,7.46,1409,,,,,
3618,Petoskey Paladins,3,4.98,0.00,0.05,0.05,0.41,0.00,24.41,0.41,-1.00,-1.00,8.14,29.44,-0.06,-1.44,-0.53,0.33,0.28,0.20,0.07,19.14,1.46,-1.00,-1.00,40.15,0.01,0.30,0.11,21.54,0.56,-1.00,-1.00,0.00,0.07,-0.11,-0.02,0.27,-0.06,6.21,-1.59,43.55,0.89,1.86,-1.00,-1.00,-0.48,68.01,74.69,0.15,6.33,1456,,,,,
3688,Norsemen,3,4.73,0.00,-0.06,-0.06,0.21,0.00,12.30,0.21,-1.00,-1.00,4.10,16.97,1.97,1.37,0.57,0.33,0.42,0.21,0.00,30.11,1.46,-1.00,-1.00,82.68,0.48,0.19,0.37,51.99,0.79,-1.00,-1.00,0.00,0.00,0.06,-0.08,-0.02,-0.02,-0.16,-0.82,42.41,0.96,1.66,-1.00,-1.00,0.51,98.82,98.82,0.21,20.82,1563,,,,,
3767,FRC Team 3767 - TITAN Robotics,3,3.84,-0.03,-0.07,-0.05,0.23,0.00,13.68,0.23,-1.00,-1.00,4.56,17.47,0.42,-0.38,-0.07,0.33,0.43,0.27,0.00,32.05,1.69,-1.00,-1.00,65.51,0.29,0.29,0.09,33.54,0.61,-1.00,-1.00,0.00,0.00,0.01,0.09,0.24,0.07,6.02,2.05,45.73,1.03,1.91,-1.00,-1.00,-0.12,85.04,85.04,0.08,10.51,1471,,,,,
