MITroy,mitry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
217,ThunderChickens,5.40,-0.04,-1.27,-1.28,0.08,0.00,4.60,0.08,-1.00,-1.00,1.53,8.72,-1.12,1.64,0.48,0.34,0.40,0.68,-0.01,53.10,3.38,-1.00,-1.00,90.42,0.27,0.17,0.30,36.84,0.71,-1.00,-1.00,-0.02,-0.01,-0.10,0.08,0.34,0.41,8.00,10.53,57.70,1.40,3.46,-1.00,-1.00,-0.81,109.67,108.42,0.13,4.33,1556,,,,,
226,Hammerheads,4.78,0.28,1.17,1.24,0.64,0.00,38.22,0.64,-1.00,-1.00,12.74,44.24,-3.31,4.70,0.97,0.34,0.35,0.20,0.01,10.27,0.90,-1.00,-1.00,71.50,0.52,0.24,0.45,60.26,0.73,-1.00,-1.00,-0.01,0.01,-0.29,-0.11,0.11,0.71,1.39,17.32,48.49,0.89,1.53,-1.00,-1.00,2.21,133.06,133.57,0.48,67.81,1577,,,,,
245,Adambots,4.68,1.38,-0.08,0.24,0.27,0.00,16.41,0.27,-1.00,-1.00,5.47,21.33,13.41,3.72,2.68,0.34,0.24,0.22,-0.02,20.12,0.97,-1.00,-1.00,56.01,0.11,0.17,0.38,33.21,0.73,-1.00,-1.00,0.05,-0.02,-0.03,0.22,0.12,0.00,2.76,1.08,36.53,0.78,1.24,-1.00,-1.00,2.92,78.42,77.71,0.09,-3.61,1500,,,,,
280,TnT,5.42,-0.03,-0.29,-0.29,0.25,0.00,14.92,0.25,-1.00,-1.00,4.97,20.04,-0.85,-1.10,-0.56,0.34,0.32,0.22,-0.04,23.79,1.06,-1.00,-1.00,64.75,0.13,0.57,0.13,41.52,0.79,-1.00,-1.00,-0.03,-0.04,0.06,-0.23,0.16,-0.28,4.27,-8.14,38.71,0.84,1.30,-1.00,-1.00,-0.85,76.66,72.33,0.13,5.29,1442,,,,,
469,Las Guerrillas,4.65,0.55,1.53,1.67,0.47,0.00,28.22,0.47,-1.00,-1.00,9.41,34.54,-1.02,0.52,0.07,0.34,0.38,0.57,0.08,35.76,3.04,-1.00,-1.00,90.47,0.50,0.11,0.48,54.63,0.86,-1.00,-1.00,0.07,0.08,-0.06,0.07,-0.08,0.45,-2.37,11.52,63.98,1.36,3.51,-1.00,-1.00,1.75,136.53,145.68,0.40,71.85,1640,,,,,
573,Mech Warriors,5.61,0.06,0.06,0.08,-0.04,0.00,-2.70,-0.04,-1.00,-1.00,-0.90,2.99,-2.08,-2.74,-1.11,0.34,0.37,0.30,-0.01,41.57,1.91,-1.00,-1.00,84.96,0.26,0.25,0.38,44.51,0.86,-1.00,-1.00,-0.03,-0.01,0.18,0.11,0.06,0.08,2.35,2.60,38.87,0.99,1.87,-1.00,-1.00,-1.03,90.56,88.87,0.10,24.55,1489,,,,,
818,Steel Armadillos,4.37,0.62,0.01,0.17,0.15,0.00,8.70,0.15,-1.00,-1.00,2.90,13.24,8.15,-4.73,-0.77,0.34,0.33,0.26,0.02,32.17,1.68,-1.00,-1.00,76.30,0.19,0.35,0.36,44.89,0.83,-1.00,-1.00,-0.04,0.02,-0.04,-0.06,-0.05,0.18,-1.47,4.11,40.88,0.95,1.82,-1.00,-1.00,-0.60,93.65,94.50,0.18,18.55,1519,,,,,
910,The Foley Freeze,5.70,-0.11,2.66,2.63,0.07,0.00,4.07,0.07,-1.00,-1.00,1.36,12.41,-0.18,15.48,4.90,0.33,0.38,0.20,-0.02,32.84,1.36,-1.00,-1.00,73.91,0.36,0.08,0.28,36.16,0.78,-1.00,-1.00,-0.01,-0.02,-0.08,0.11,-0.12,0.16,-3.31,4.62,36.92,0.89,1.43,-1.00,-1.00,7.54,90.94,88.34,0.46,38.39,1537,,,,,
1718,The Fighting Pi,4.02,0.30,-0.46,-0.40,0.09,0.00,5.40,0.09,-1.00,-1.00,1.80,9.02,0.95,-1.83,-0.44,0.35,0.39,0.35,-0.03,38.52,1.90,-1.00,-1.00,90.96,0.54,0.22,0.29,52.88,0.94,-1.00,-1.00,-0.01,-0.03,0.11,0.15,0.05,0.24,1.90,6.79,43.92,1.05,1.99,-1.00,-1.00,-0.84,106.77,103.37,0.55,39.99,1596,,,,,
