MIWaterford,miwat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1,The Juggernauts,1.26,0.00,-0.65,-0.65,0.08,0.01,5.34,0.09,-1.00,-1.00,1.78,5.96,0.24,0.37,0.11,0.33,0.34,0.35,-0.03,36.06,1.81,-1.00,-1.00,49.62,0.15,-0.06,0.18,13.45,0.25,-1.00,-1.00,0.00,-0.03,0.05,0.11,-0.12,0.31,-2.86,8.26,41.40,0.99,1.89,-1.00,-1.00,-0.54,63.84,60.75,0.01,-8.05,1442,,,,,
27,Team RUSH,5.43,0.00,3.33,3.33,0.13,-0.01,7.32,0.12,-1.00,-1.00,2.44,16.08,1.67,7.35,2.48,0.33,0.36,0.53,-0.03,42.76,2.52,-1.00,-1.00,69.39,0.11,0.23,0.15,24.15,0.63,-1.00,-1.00,0.00,-0.03,0.06,0.15,0.71,-0.01,17.95,0.61,50.09,1.19,2.64,-1.00,-1.00,5.81,86.09,83.05,0.16,-0.45,1548,,,,,
33,Killer Bees,4.17,0.00,7.59,7.59,0.10,-0.02,5.30,0.09,-1.00,-1.00,1.77,17.06,-0.08,19.38,6.36,0.33,0.38,0.60,0.16,55.26,4.01,-1.00,-1.00,114.46,0.31,0.39,0.37,52.84,0.95,-1.00,-1.00,0.00,0.16,0.06,0.20,0.12,0.12,3.23,4.11,60.56,1.47,4.10,-1.00,-1.00,13.94,135.63,151.61,0.41,78.16,1676,,,,,
67,The HOT Team,3.85,0.00,0.44,0.44,0.24,-0.00,14.51,0.24,-1.00,-1.00,4.84,18.80,0.69,0.94,0.23,0.33,0.38,0.62,0.05,45.44,3.26,-1.00,-1.00,95.03,0.45,0.17,0.37,49.36,0.58,-1.00,-1.00,0.00,0.05,-0.14,0.09,-0.15,0.14,-4.46,3.94,59.95,1.38,3.51,-1.00,-1.00,0.67,117.77,122.85,0.59,83.91,1600,,,,,
308,The Monsters,5.49,0.00,0.67,0.67,0.13,-0.01,7.57,0.13,-1.00,-1.00,2.52,13.72,-0.75,2.07,0.61,0.33,0.26,-0.01,0.06,20.47,0.69,-1.00,-1.00,69.11,0.03,0.48,0.45,48.02,0.57,-1.00,-1.00,0.00,0.06,0.11,0.41,-0.07,-0.07,-1.13,0.24,28.04,0.64,0.82,-1.00,-1.00,1.28,83.07,89.09,0.26,19.89,1489,,,,,
548,Robostangs,3.87,0.00,0.59,0.59,0.31,0.08,23.44,0.39,-1.00,-1.00,7.81,27.90,0.76,0.74,0.28,0.33,0.35,0.48,-0.01,30.43,2.16,-1.00,-1.00,55.77,0.32,0.01,0.17,25.06,0.47,-1.00,-1.00,0.00,-0.01,0.34,0.15,0.09,0.04,3.86,1.79,53.87,1.15,2.55,-1.00,-1.00,0.87,85.47,84.45,0.28,39.52,1530,,,,,
1701,RoboCubs,4.16,0.00,0.09,0.09,0.11,0.00,6.46,0.11,-1.00,-1.00,2.15,10.71,-0.44,-2.30,-0.95,0.33,0.38,0.20,0.09,36.14,2.01,-1.00,-1.00,68.85,0.13,0.55,-0.00,33.65,0.65,-1.00,-1.00,0.00,0.09,0.13,-0.05,-0.07,0.68,-1.04,16.86,42.60,1.01,2.12,-1.00,-1.00,-0.86,96.42,105.69,0.15,17.25,1523,,,,,
1718,The Fighting Pi,4.01,0.00,-0.37,-0.37,0.13,-0.00,7.46,0.12,-1.00,-1.00,2.49,11.10,-1.86,-0.83,-0.43,0.33,0.35,0.29,0.17,40.55,2.75,-1.00,-1.00,81.45,0.35,0.14,0.34,41.33,0.79,-1.00,-1.00,0.00,0.17,-0.15,0.13,0.24,0.15,5.25,4.41,48.01,1.14,2.87,-1.00,-1.00,-0.80,96.96,113.83,0.40,40.21,1603,,,,,
2137,TORC,5.81,0.00,2.40,2.40,0.66,-0.00,39.69,0.66,-1.00,-1.00,13.23,47.90,1.61,3.29,1.03,0.33,0.38,0.43,-0.03,18.30,1.66,-1.00,-1.00,77.51,0.50,0.17,0.49,58.17,0.74,-1.00,-1.00,0.00,-0.03,0.28,0.26,0.03,-0.07,2.16,-0.38,57.99,1.12,2.32,-1.00,-1.00,3.44,125.03,122.20,0.45,73.34,1677,,,,,
