MIWestMichigan,miwmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
74,Team C.H.A.O.S.,4.65,0.00,-0.15,-0.15,0.01,0.00,0.41,0.01,-1.00,-1.00,0.14,4.91,1.03,2.38,0.79,0.33,0.38,0.54,-0.04,48.13,2.65,-1.00,-1.00,97.64,0.19,0.22,0.56,48.72,0.71,-1.00,-1.00,0.00,-0.04,-0.10,0.13,0.03,0.23,0.29,6.41,48.54,1.21,2.66,-1.00,-1.00,0.64,108.96,105.07,0.31,48.02,1561,,,,,
85,B.O.B. (Built on Brains),5.40,-0.01,0.61,0.61,0.33,0.00,19.54,0.33,-1.00,-1.00,6.51,25.54,0.40,2.91,0.89,0.33,0.37,0.31,0.06,29.86,2.01,-1.00,-1.00,79.55,0.40,0.16,0.42,48.80,0.80,-1.00,-1.00,0.00,0.06,0.10,0.17,0.41,0.43,10.78,11.52,49.40,1.07,2.33,-1.00,-1.00,1.49,116.61,122.60,0.31,28.92,1567,,,,,
107,Team R.O.B.O.T.I.C.S.,5.21,-0.01,0.36,0.36,0.51,0.00,30.74,0.51,-1.00,-1.00,10.25,36.32,-1.57,-0.88,-0.42,0.33,0.35,0.42,0.06,25.72,2.21,-1.00,-1.00,42.35,0.10,0.04,0.20,17.05,0.61,-1.00,-1.00,0.00,0.06,0.17,0.06,0.28,0.26,7.90,6.86,56.47,1.16,2.72,-1.00,-1.00,-0.06,85.52,91.53,0.12,21.21,1459,,,,,
141,WOBOT,4.04,0.08,3.07,3.07,0.13,0.00,7.86,0.13,-1.00,-1.00,2.62,14.97,1.63,0.38,0.28,0.33,0.37,0.35,-0.04,35.23,1.76,-1.00,-1.00,89.65,0.41,0.33,0.35,54.13,0.85,-1.00,-1.00,0.00,-0.04,-0.09,0.01,0.13,0.45,2.78,11.44,43.10,1.01,1.89,-1.00,-1.00,3.35,116.06,111.91,0.37,65.67,1622,,,,,
322,Team F.I.R.E.,3.19,-0.01,0.21,0.21,0.21,0.00,12.72,0.21,-1.00,-1.00,4.24,16.12,5.52,0.09,0.60,0.33,0.35,-0.04,-0.01,16.64,0.25,-1.00,-1.00,27.39,0.02,0.19,-0.01,10.15,0.33,-1.00,-1.00,0.00,-0.01,0.10,-0.02,0.08,0.03,2.54,0.55,29.35,0.63,0.46,-1.00,-1.00,0.80,44.05,42.66,-0.01,-35.19,1354,,,,,
1918,NC GEARS,2.55,0.00,0.53,0.53,0.20,0.00,12.10,0.20,-1.00,-1.00,4.03,15.18,-0.75,6.44,1.81,0.33,0.37,0.53,0.05,42.87,2.91,-1.00,-1.00,98.66,0.07,0.46,0.55,53.98,0.73,-1.00,-1.00,0.00,0.05,0.09,0.19,0.68,0.59,17.45,15.63,54.98,1.27,3.11,-1.00,-1.00,2.34,129.47,134.26,0.28,28.33,1545,,,,,
2054,Tech Vikes,5.01,0.00,0.17,0.17,0.21,0.00,12.60,0.21,-1.00,-1.00,4.20,17.78,11.11,0.59,1.19,0.33,0.40,0.60,-0.01,44.44,2.92,-1.00,-1.00,96.97,0.23,0.43,0.37,51.34,0.87,-1.00,-1.00,0.00,-0.01,-0.09,0.07,0.26,0.47,6.01,12.19,57.04,1.32,3.13,-1.00,-1.00,1.35,126.94,126.20,0.47,54.97,1567,,,,,
2405,Techno Trojans,5.44,-0.01,0.62,0.62,0.25,0.00,14.77,0.25,-1.00,-1.00,4.92,20.83,-0.39,-0.52,-0.28,0.33,0.35,0.41,-0.03,32.43,1.89,-1.00,-1.00,51.19,-0.09,0.34,0.13,19.04,0.60,-1.00,-1.00,0.00,-0.03,0.03,0.16,0.15,0.63,3.82,16.51,47.20,1.06,2.14,-1.00,-1.00,0.34,88.53,85.07,0.09,-3.91,1461,,,,,
3458,Code Blue,4.21,0.00,-0.19,-0.19,-0.08,0.00,-4.85,-0.08,-1.00,-1.00,-1.62,-0.82,2.69,-0.17,0.16,0.33,0.41,0.17,0.00,40.01,1.60,-1.00,-1.00,36.40,0.01,-0.24,0.15,-3.77,0.00,-1.00,-1.00,0.00,0.00,0.20,0.00,0.49,0.02,13.27,0.41,35.17,0.92,1.51,-1.00,-1.00,-0.02,35.99,36.42,0.07,-49.72,1309,,,,,
