MIWoodhaven,mibro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
123,Team - Cosmos,5.16,-0.05,-0.13,-0.14,0.07,0.00,4.49,0.07,-1.00,-1.00,1.50,9.50,-1.76,0.53,-0.02,0.33,0.37,0.00,0.00,25.11,0.66,-1.00,-1.00,55.63,0.01,0.25,0.35,30.55,0.88,-1.00,-1.00,0.00,0.00,0.03,-0.07,0.18,0.09,4.60,1.99,29.59,0.70,0.73,-1.00,-1.00,-0.16,67.12,67.12,0.12,5.37,1418,,,,,
226,Hammerheads,4.18,0.02,0.63,0.61,0.08,0.00,4.87,0.08,-1.00,-1.00,1.62,9.67,0.78,1.50,0.56,0.33,0.33,0.30,0.00,35.28,1.79,-1.00,-1.00,85.78,0.50,0.28,0.22,49.94,0.79,-1.00,-1.00,0.00,0.00,0.02,0.11,-0.13,-0.08,-3.10,-1.49,40.15,0.96,1.88,-1.00,-1.00,1.17,93.96,93.96,0.34,43.70,1482,,,,,
240,Tempest,4.90,-0.11,0.27,0.24,0.28,0.00,16.69,0.28,-1.00,-1.00,5.56,21.83,-0.96,-0.43,-0.21,0.33,0.27,0.23,0.00,22.27,1.18,-1.00,-1.00,46.08,-0.06,0.13,0.41,24.02,0.79,-1.00,-1.00,0.00,0.00,0.05,-0.06,0.02,0.04,0.75,0.79,38.96,0.83,1.45,-1.00,-1.00,0.03,68.70,68.70,0.05,-19.39,1413,,,,,
280,TnT,5.13,-0.04,-0.17,-0.17,0.08,0.00,4.72,0.08,-1.00,-1.00,1.57,9.67,0.75,-0.68,-0.09,0.33,0.39,0.11,0.00,30.09,1.11,-1.00,-1.00,48.82,0.13,0.02,0.22,18.82,0.42,-1.00,-1.00,0.00,0.00,0.12,0.03,-0.20,-0.08,-4.31,-1.78,34.81,0.83,1.19,-1.00,-1.00,-0.26,56.72,56.72,0.20,-12.30,1407,,,,,
313,The Bionic Zebras,5.43,-0.01,0.03,0.03,0.12,0.00,7.41,0.12,-1.00,-1.00,2.47,12.86,-0.61,-0.46,-0.15,0.33,0.34,-0.20,0.00,14.03,-0.24,-1.00,-1.00,10.62,0.06,-0.06,-0.06,-3.26,0.00,-1.00,-1.00,0.00,0.00,-0.05,0.13,-0.14,-0.05,-3.65,-0.65,21.44,0.47,-0.12,-1.00,-1.00,-0.12,22.84,22.84,-0.12,-54.18,1307,,,,,
470,Grizzly Robotics,5.24,0.00,-0.23,-0.22,0.33,0.00,20.02,0.33,-1.00,-1.00,6.67,25.03,-0.23,1.08,0.26,0.33,0.33,0.42,0.00,29.98,2.01,-1.00,-1.00,77.08,0.40,0.28,0.26,46.84,0.88,-1.00,-1.00,0.00,0.00,0.02,0.02,-0.04,-0.00,-0.88,0.01,50.00,1.08,2.35,-1.00,-1.00,0.03,102.12,102.12,0.22,25.22,1468,,,,,
503,Frog Force,5.58,0.04,-0.18,-0.16,0.16,0.00,9.76,0.16,-1.00,-1.00,3.25,15.17,-0.82,0.09,-0.16,0.33,0.34,0.47,0.00,39.32,2.40,-1.00,-1.00,95.57,0.50,0.29,0.33,56.42,0.89,-1.00,-1.00,0.00,0.00,-0.03,0.02,0.06,-0.10,1.40,-2.33,49.07,1.15,2.56,-1.00,-1.00,-0.33,108.41,108.41,0.39,41.75,1556,,,,,
815,Advanced Power,4.67,-0.03,0.54,0.53,0.35,0.00,21.16,0.35,-1.00,-1.00,7.05,26.35,-1.19,0.39,0.05,0.33,0.30,0.18,0.00,18.38,1.03,-1.00,-1.00,52.88,0.22,0.23,0.24,34.45,0.87,-1.00,-1.00,0.00,0.00,-0.01,0.02,0.16,0.25,3.84,6.22,39.54,0.81,1.38,-1.00,-1.00,0.58,85.46,85.46,0.13,12.37,1443,,,,,
1023,Bedford Express,5.12,-0.04,2.08,2.05,0.12,0.00,7.01,0.12,-1.00,-1.00,2.34,14.18,0.00,1.08,0.27,0.33,0.33,0.30,0.00,33.78,1.72,-1.00,-1.00,79.91,0.32,0.54,0.06,45.87,0.95,-1.00,-1.00,0.00,0.00,0.20,-0.07,-0.07,-0.09,-0.78,-2.69,40.79,0.96,1.84,-1.00,-1.00,2.32,91.41,91.41,0.20,16.38,1565,,,,,
