MiamiValley,ohsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
48,Delphi E.L.I.T.E.,4.03,0.00,-0.05,-0.05,0.40,0.00,23.98,0.40,-1.00,-1.00,7.99,27.95,0.08,-0.82,-0.26,0.33,0.38,0.45,0.01,31.07,2.22,-1.00,-1.00,76.08,0.17,0.53,0.20,45.27,0.85,-1.00,-1.00,0.00,0.01,-0.11,0.01,-0.05,0.02,-1.67,0.45,55.05,1.18,2.62,-1.00,-1.00,-0.31,104.48,105.61,0.43,49.10,1634,,,,,
63,McDowell Robotics Team 63,5.24,0.00,-0.20,-0.20,0.24,0.00,14.31,0.24,-1.00,-1.00,4.77,19.35,-0.00,0.35,0.09,0.33,0.39,0.37,-0.01,33.68,1.95,-1.00,-1.00,80.22,0.28,0.44,0.22,46.45,0.80,-1.00,-1.00,0.00,-0.01,-0.10,0.16,0.13,0.19,2.82,5.64,47.99,1.08,2.19,-1.00,-1.00,-0.11,105.21,104.01,0.42,49.02,1581,,,,,
144,The R.O.C.K,5.36,0.00,-0.15,-0.15,0.32,0.00,18.99,0.32,-1.00,-1.00,6.33,24.20,0.08,1.63,0.41,0.33,0.31,0.15,-0.02,18.15,0.76,-1.00,-1.00,89.77,0.51,0.42,0.49,71.22,0.94,-1.00,-1.00,0.00,-0.02,0.08,0.67,-0.12,0.38,-2.62,12.80,37.14,0.77,1.08,-1.00,-1.00,0.25,126.78,124.36,0.54,100.12,1611,,,,,
234,Cyber Blue,5.26,0.00,0.67,0.67,0.16,0.00,9.89,0.16,-1.00,-1.00,3.30,15.82,0.01,0.94,0.29,0.33,0.37,0.49,0.19,48.81,3.68,-1.00,-1.00,76.41,-0.03,0.21,0.37,27.30,0.59,-1.00,-1.00,0.00,0.19,0.11,-0.08,0.07,0.07,2.19,1.23,58.70,1.39,3.84,-1.00,-1.00,0.96,93.45,112.37,0.29,32.94,1605,,,,,
279,Tech Fusion,4.49,0.00,1.63,1.63,0.19,0.00,11.29,0.19,-1.00,-1.00,3.76,17.41,-0.01,0.26,-0.00,0.33,0.39,0.28,0.01,33.42,1.81,-1.00,-1.00,44.17,-0.08,0.04,0.26,10.75,0.27,-1.00,-1.00,0.00,0.01,0.08,0.22,-0.02,0.03,-0.07,1.77,44.71,1.02,1.99,-1.00,-1.00,1.63,63.35,64.58,0.12,9.64,1473,,,,,
337,Hard Working Hard Hats,3.53,0.00,0.82,0.82,0.04,0.00,2.46,0.04,-1.00,-1.00,0.82,6.81,0.02,0.54,0.16,0.33,0.17,-0.04,-0.00,16.91,0.13,-1.00,-1.00,40.05,-0.02,0.06,0.41,22.97,0.53,-1.00,-1.00,0.00,-0.00,0.25,-0.04,0.51,0.87,13.88,21.48,19.37,0.46,0.17,-1.00,-1.00,0.98,68.35,68.08,0.12,26.44,1460,,,,,
379,RoboCats,5.45,0.00,-0.02,-0.02,0.29,0.00,17.11,0.29,-1.00,-1.00,5.70,22.54,-0.00,0.29,-0.04,0.33,0.25,0.24,0.00,21.46,1.26,-1.00,-1.00,55.45,0.35,-0.08,0.41,34.02,0.54,-1.00,-1.00,0.00,0.00,0.14,0.42,-0.06,0.29,-0.85,9.43,38.58,0.82,1.55,-1.00,-1.00,-0.05,87.43,87.58,0.39,48.24,1578,,,,,
451,The Cat Attack,4.32,0.00,-0.66,-0.66,0.12,0.00,7.29,0.12,-1.00,-1.00,2.43,10.95,-0.02,0.81,0.19,0.33,0.24,0.09,0.07,24.71,1.16,-1.00,-1.00,27.38,-0.00,0.05,0.01,2.48,0.00,-1.00,-1.00,0.00,0.07,-0.13,0.13,-0.06,0.73,-2.19,19.00,32.00,0.74,1.28,-1.00,-1.00,-0.47,57.33,64.76,-0.07,-14.15,1418,,,,,
554,The Bluegrease Crew,4.21,0.00,0.86,0.86,-0.16,0.00,-9.74,-0.16,-1.00,-1.00,-3.25,-4.66,-0.03,1.43,0.38,0.33,0.34,0.05,0.00,35.30,1.05,-1.00,-1.00,57.39,0.18,0.28,-0.03,21.71,0.70,-1.00,-1.00,0.00,0.00,0.00,-0.18,0.83,0.08,20.80,1.21,25.56,0.72,0.88,-1.00,-1.00,1.24,53.94,54.40,0.06,-31.92,1439,,,,,
1014,Bad Robots,6.14,0.00,-0.17,-0.17,0.15,0.00,9.27,0.15,-1.00,-1.00,3.09,15.24,0.18,0.09,0.03,0.33,0.34,0.22,-0.01,29.28,1.35,-1.00,-1.00,35.77,0.03,0.04,0.06,6.46,0.29,-1.00,-1.00,0.00,-0.01,0.20,0.22,0.09,0.21,3.29,6.26,38.55,0.89,1.50,-1.00,-1.00,-0.14,57.27,56.45,0.33,3.95,1532,,,,,
