Midwest,ilch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
16,Bomb Squad,4.15,-0.72,4.55,4.34,0.25,0.00,14.97,0.25,-1.00,-1.00,4.99,23.45,1.00,10.60,3.54,0.33,0.33,0.49,0.06,38.72,2.74,-1.00,-1.00,88.87,0.45,0.32,0.17,46.62,0.88,-1.00,-1.00,0.01,0.06,0.02,0.38,-0.32,-0.02,-7.93,1.35,53.68,1.22,2.99,-1.00,-1.00,7.87,113.67,119.94,0.21,26.80,1646,,,,,
101,Striker,4.69,-0.10,-1.32,-1.36,-0.07,0.00,-3.99,-0.07,-1.00,-1.00,-1.33,-0.66,1.11,-2.13,-0.64,0.33,0.33,0.44,-0.02,45.85,2.34,-1.00,-1.00,100.08,0.37,0.64,0.09,54.87,0.89,-1.00,-1.00,-0.01,-0.02,0.16,-0.07,-0.50,0.14,-11.68,3.25,41.86,1.08,2.27,-1.00,-1.00,-2.00,102.67,100.30,0.37,26.95,1466,,,,,
111,WildStang,5.20,-0.98,-0.75,-1.05,0.51,0.00,30.44,0.51,-1.00,-1.00,10.15,34.58,-0.27,7.14,2.27,0.33,0.33,0.31,0.01,19.04,1.44,-1.00,-1.00,64.59,0.35,0.39,0.12,43.28,0.73,-1.00,-1.00,-0.01,0.01,-0.08,-0.05,0.07,-0.28,1.32,-7.28,49.47,0.98,1.94,-1.00,-1.00,1.22,91.89,92.22,0.40,18.79,1544,,,,,
144,The R.O.C.K,4.95,-0.48,0.93,0.81,0.51,0.00,30.42,0.51,-1.00,-1.00,10.14,36.19,0.39,1.96,0.62,0.33,0.33,0.38,0.08,24.73,2.16,-1.00,-1.00,78.12,0.19,0.30,0.56,52.77,0.91,-1.00,-1.00,-0.01,0.08,-0.01,0.08,0.10,0.62,2.41,15.75,55.16,1.13,2.66,-1.00,-1.00,1.43,130.05,138.12,0.27,9.59,1564,,,,,
383,Brazilian Machine,4.45,-0.69,0.75,0.53,0.56,0.00,33.45,0.56,-1.00,-1.00,11.15,38.43,5.46,0.33,0.66,0.33,0.33,0.48,0.11,27.95,2.68,-1.00,-1.00,63.11,0.22,0.08,0.40,34.50,0.56,-1.00,-1.00,0.01,0.11,-0.06,-0.14,0.87,-0.06,21.54,-2.11,61.40,1.26,3.24,-1.00,-1.00,1.19,99.43,110.25,0.00,-18.29,1460,,,,,
1288,RAVEN Robotics,5.03,-0.30,0.41,0.33,0.26,0.00,15.89,0.26,-1.00,-1.00,5.30,21.24,0.52,1.28,0.49,0.33,0.33,0.40,-0.02,31.49,1.91,-1.00,-1.00,91.48,0.45,0.19,0.55,59.50,0.91,-1.00,-1.00,-0.00,-0.02,-0.05,0.21,0.51,-0.13,12.41,-2.12,47.37,1.05,2.17,-1.00,-1.00,0.82,110.60,108.90,0.24,14.31,1472,,,,,
1405,Finney Falcons,5.18,0.65,-0.05,0.18,0.55,0.00,33.26,0.55,-1.00,-1.00,11.09,38.62,-1.61,-1.88,-0.76,0.33,0.33,0.32,0.23,26.26,2.74,-1.00,-1.00,70.02,0.18,0.37,0.34,44.52,0.93,-1.00,-1.00,-0.01,0.23,-0.11,0.06,0.05,0.31,0.77,8.06,59.52,1.21,3.29,-1.00,-1.00,-0.58,116.70,139.03,0.35,51.16,1599,,,,,
1511,Rolling Thunder,3.71,-0.22,-1.12,-1.22,0.52,0.00,31.06,0.52,-1.00,-1.00,10.35,33.56,3.51,0.72,0.50,0.33,0.33,0.24,0.00,15.86,1.15,-1.00,-1.00,59.21,0.24,0.51,0.11,42.85,0.94,-1.00,-1.00,0.01,0.00,0.02,0.12,-0.14,1.74,-3.42,44.07,46.93,0.91,1.67,-1.00,-1.00,-0.72,136.84,137.50,0.35,46.16,1611,,,,,
1592,Bionic Tigers,5.37,0.00,3.88,3.89,0.08,0.00,4.78,0.08,-1.00,-1.00,1.59,14.04,-1.07,-3.70,-1.32,0.33,0.33,0.31,0.02,36.55,1.93,-1.00,-1.00,102.40,0.47,0.44,0.43,67.18,0.82,-1.00,-1.00,-0.02,0.02,-0.02,0.23,-0.22,-0.34,-5.49,-7.33,41.33,0.99,2.01,-1.00,-1.00,2.57,109.12,110.64,0.34,31.15,1563,,,,,
1625,Winnovation,3.85,-1.89,-1.32,-1.88,0.28,0.00,16.76,0.28,-1.00,-1.00,5.59,18.73,0.73,7.89,2.66,0.33,0.33,0.49,-0.00,34.90,2.32,-1.00,-1.00,75.15,0.03,0.31,0.42,37.60,0.71,-1.00,-1.00,-0.00,-0.00,-0.07,0.07,-0.10,-0.11,-2.88,-2.38,51.65,1.15,2.60,-1.00,-1.00,0.77,91.51,91.24,0.45,39.54,1558,,,,,
