Minnesota10000Lakes,mnmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1816,"""The Green Machine""",3,6.02,-0.06,0.25,0.24,-0.02,0.00,-1.29,-0.02,-1.00,-1.00,-0.43,4.97,0.06,6.31,1.93,0.33,0.42,-0.08,0.01,28.26,0.56,-1.00,-1.00,46.72,0.18,0.33,-0.17,16.53,0.50,-1.00,-1.00,0.00,0.01,-0.07,0.17,0.16,-0.22,3.54,-4.57,26.96,0.68,0.53,-1.00,-1.00,2.18,47.11,47.73,0.31,11.64,1522,,,,,
2052,KnightKrawler,3,3.92,-0.13,-0.01,-0.05,0.50,0.00,30.01,0.50,-1.00,-1.00,10.00,33.88,-0.93,3.51,0.77,0.33,0.40,0.19,0.02,17.55,1.15,-1.00,-1.00,64.39,0.20,0.29,0.43,46.07,0.88,-1.00,-1.00,0.00,0.02,0.05,0.07,-0.09,0.05,-2.04,1.65,47.56,0.94,1.65,-1.00,-1.00,0.72,99.92,101.72,0.43,64.81,1665,,,,,
2181,G.E.A.R.s (Great Engineers Awesome Robots),2,4.89,0.26,0.72,0.73,0.20,0.00,12.20,0.20,-1.00,-1.00,4.07,16.52,1.47,3.74,1.23,0.35,0.38,0.19,0.02,31.72,1.35,-1.00,-1.00,57.66,0.25,0.25,0.24,29.74,-1.00,-1.00,-1.00,0.01,0.02,-0.07,0.24,-0.09,0.27,-1.84,7.29,37.39,0.87,1.45,-1.00,-1.00,1.68,71.89,72.23,0.30,23.03,1533,,,,,
2232,Deus ex Machina,2,3.98,0.06,0.22,0.22,0.10,0.00,5.91,0.10,-1.00,-1.00,1.97,9.99,0.45,1.34,0.44,0.33,0.30,0.09,0.00,25.26,0.87,-1.00,-1.00,44.35,0.13,0.13,0.13,19.16,-1.00,-1.00,-1.00,0.00,0.00,0.07,0.10,0.07,0.11,2.26,3.19,30.51,0.72,0.96,-1.00,-1.00,0.64,56.55,56.69,0.18,2.33,1481,,,,,
2239,Technocrats,2,3.40,-0.07,-0.11,-0.10,0.03,0.00,1.87,0.03,-1.00,-1.00,0.62,5.79,-0.21,-0.20,-0.07,0.32,0.24,0.03,-0.01,21.10,0.57,-1.00,-1.00,35.79,0.06,0.06,0.06,12.35,-1.00,-1.00,-1.00,-0.00,-0.01,0.16,0.01,0.18,0.01,4.90,0.54,26.08,0.62,0.65,-1.00,-1.00,-0.03,46.69,46.69,0.10,-10.98,1425,,,,,
2470,Team BJORG,2,3.30,-0.09,-0.16,-0.15,0.02,0.00,1.24,0.02,-1.00,-1.00,0.41,5.13,-0.31,-0.44,-0.14,0.32,0.23,0.02,-0.01,20.45,0.52,-1.00,-1.00,34.45,0.05,0.05,0.04,11.29,-1.00,-1.00,-1.00,-0.00,-0.01,0.17,-0.00,0.19,-0.01,5.31,0.13,25.39,0.60,0.60,-1.00,-1.00,-0.14,45.15,45.13,0.09,-13.06,1459,,,,,
2480,Teddies,2,3.74,0.00,0.08,0.09,0.07,0.00,4.25,0.07,-1.00,-1.00,1.42,8.26,0.18,0.70,0.23,0.33,0.27,0.07,-0.00,23.54,0.75,-1.00,-1.00,40.82,0.10,0.10,0.10,16.35,-1.00,-1.00,-1.00,-0.00,-0.00,0.11,0.06,0.12,0.07,3.35,2.10,28.68,0.68,0.83,-1.00,-1.00,0.36,52.48,52.56,0.15,-3.16,1454,,,,,
2498,BearBotics,2,4.43,0.15,0.46,0.47,0.15,0.00,8.97,0.15,-1.00,-1.00,2.99,13.16,0.95,2.50,0.82,0.34,0.34,0.14,0.01,28.40,1.10,-1.00,-1.00,50.82,0.19,0.19,0.18,24.30,-1.00,-1.00,-1.00,0.00,0.01,0.00,0.17,-0.00,0.19,0.27,5.18,33.86,0.79,1.20,-1.00,-1.00,1.14,64.01,64.24,0.24,12.39,1507,,,,,
2500,Herobotics,3,4.71,-0.02,-0.28,-0.28,0.01,0.00,0.90,0.01,-1.00,-1.00,0.30,5.33,-0.63,0.42,0.02,0.33,0.38,0.29,-0.00,39.13,1.83,-1.00,-1.00,61.04,0.13,-0.00,0.31,21.88,0.44,-1.00,-1.00,0.00,-0.00,-0.08,-0.12,0.13,0.60,2.93,14.30,40.03,0.99,1.84,-1.00,-1.00,-0.26,80.67,80.23,0.23,3.69,1435,,,,,
