MinnesotaNorthStar,mnmi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1710,The Ravonics Revolution,3,3.68,0.00,0.66,0.66,0.05,0.00,2.92,0.05,-1.00,-1.00,0.97,7.26,-0.09,3.80,1.08,0.33,0.35,0.65,0.00,51.91,3.30,-1.00,-1.00,89.81,0.34,0.42,-0.02,36.82,0.94,-1.00,-1.00,0.03,0.00,0.05,-0.19,-0.24,0.20,-5.88,3.94,54.83,1.35,3.35,-1.00,-1.00,1.74,101.02,101.96,0.31,68.13,1511,,,,,
1806,S.W.A.T.,3,4.84,0.00,2.75,2.75,0.15,0.00,8.95,0.15,-1.00,-1.00,2.98,16.53,-0.12,-0.01,-0.02,0.33,0.33,0.59,0.00,44.14,2.88,-1.00,-1.00,68.48,0.22,-0.01,0.28,24.37,0.71,-1.00,-1.00,0.00,0.00,0.02,-0.04,-0.00,0.73,0.10,17.97,53.08,1.25,3.03,-1.00,-1.00,2.73,102.99,102.99,0.30,33.60,1607,,,,,
2129,Ultraviolet,2,2.00,-0.38,-0.88,-0.88,-0.13,0.00,-7.75,-0.13,-1.00,-1.00,-2.58,-4.21,-1.78,-3.87,-1.27,0.29,0.12,-0.13,-0.03,11.21,-0.16,-1.00,-1.00,15.43,-0.12,-0.12,-0.12,-3.84,-1.00,-1.00,-1.00,-0.01,-0.03,0.37,-0.20,0.42,-0.24,11.18,-5.74,15.56,0.39,-0.10,-1.00,-1.00,-1.63,23.22,22.92,-0.08,-42.65,1379,,,,,
2169,KING TeC,3,5.39,-0.89,-0.70,-0.97,-0.01,0.00,-0.52,-0.01,-1.00,-1.00,-0.17,3.90,-1.19,-0.18,-0.16,0.33,0.41,0.60,0.00,54.03,3.23,-1.00,-1.00,108.60,0.28,0.29,0.53,54.73,0.88,-1.00,-1.00,0.02,0.00,0.10,-0.18,-0.07,0.28,-1.32,6.01,53.51,1.34,3.22,-1.00,-1.00,-1.13,118.52,118.87,0.41,42.56,1589,,,,,
2175,The Fighting Calculators,3,4.55,0.00,-0.40,-0.40,0.06,0.00,3.63,0.06,-1.00,-1.00,1.21,7.79,-0.09,2.24,0.80,0.33,0.45,0.20,-0.01,36.37,1.54,-1.00,-1.00,57.91,0.05,0.30,0.07,20.75,0.42,-1.00,-1.00,0.00,-0.01,-0.25,-0.11,0.13,0.55,1.99,13.09,40.00,0.97,1.60,-1.00,-1.00,0.40,78.80,77.57,0.10,14.90,1488,,,,,
2177,The Robettes,3,5.82,-0.02,-0.52,-0.52,-0.04,0.00,-2.46,-0.04,-1.00,-1.00,-0.82,2.84,0.27,-0.14,-0.04,0.33,0.27,-0.19,-0.05,16.07,-0.50,-1.00,-1.00,34.01,0.05,0.51,-0.20,17.98,0.56,-1.00,-1.00,0.00,-0.05,0.02,-0.09,0.48,0.14,12.02,2.94,13.61,0.36,-0.54,-1.00,-1.00,-0.56,39.80,34.96,-0.18,-88.34,1314,,,,,
2207,Bright Bears,2,1.82,-0.42,-0.98,-0.98,-0.15,0.00,-8.99,-0.15,-1.00,-1.00,-3.00,-5.49,-1.98,-4.34,-1.43,0.29,0.10,-0.15,-0.03,9.93,-0.25,-1.00,-1.00,12.80,-0.14,-0.14,-0.14,-5.93,-1.00,-1.00,-1.00,-0.02,-0.03,0.40,-0.23,0.46,-0.27,11.99,-6.55,14.20,0.36,-0.20,-1.00,-1.00,-1.84,20.20,19.86,-0.10,-46.73,1416,,,,,
2225,R.U.S.T,2,4.77,0.23,0.65,0.66,0.19,0.00,11.33,0.19,-1.00,-1.00,3.78,15.62,1.33,3.40,1.12,0.35,0.37,0.18,0.01,30.83,1.28,-1.00,-1.00,55.81,0.23,0.23,0.23,28.28,-1.00,-1.00,-1.00,0.01,0.01,-0.05,0.22,-0.07,0.25,-1.28,6.72,36.44,0.85,1.38,-1.00,-1.00,1.54,69.76,70.07,0.28,20.16,1461,,,,,
2227,Tigers,3,5.41,-0.00,0.66,0.62,0.01,0.00,0.30,0.01,-1.00,-1.00,0.10,6.33,-0.73,-5.98,-2.08,0.33,0.29,0.04,0.02,27.14,0.86,-1.00,-1.00,46.90,-0.18,0.18,0.43,21.84,0.55,-1.00,-1.00,0.00,0.02,0.16,0.06,-0.12,0.18,-2.24,4.89,27.44,0.68,0.86,-1.00,-1.00,-1.46,58.12,59.64,0.37,14.73,1478,,,,,
2450,Raiderbots,3,4.48,-0.01,-0.19,-0.19,0.02,0.00,1.01,0.02,-1.00,-1.00,0.34,5.31,-0.72,-0.13,-0.10,0.33,0.23,-0.10,-0.02,17.39,-0.04,-1.00,-1.00,26.56,-0.13,0.30,0.01,9.27,0.11,-1.00,-1.00,0.00,-0.02,-0.18,0.21,0.33,0.18,7.23,5.46,18.40,0.45,-0.02,-1.00,-1.00,-0.29,37.33,35.39,-0.09,-61.56,1333,,,,,
2472,Centurions,3,3.29,-1.13,-0.06,-0.41,-0.01,0.00,-0.47,-0.01,-1.00,-1.00,-0.16,2.41,2.14,-5.46,-1.54,0.33,0.22,-0.04,-0.01,20.17,0.20,-1.00,-1.00,36.51,0.26,0.07,0.03,17.87,0.50,-1.00,-1.00,0.00,-0.01,0.01,0.08,-0.12,0.25,-2.99,6.60,19.70,0.50,0.20,-1.00,-1.00,-1.95,45.51,44.42,0.03,-4.90,1451,,,,,
2491,No Mythic,3,3.01,0.00,-0.04,-0.04,0.05,0.00,3.10,0.05,-1.00,-1.00,1.03,6.07,-0.50,-0.72,-0.27,0.33,0.39,0.42,0.02,44.34,2.54,-1.00,-1.00,73.31,-0.09,0.45,0.22,29.24,0.60,-1.00,-1.00,0.00,0.02,0.03,0.03,0.01,0.28,0.54,7.15,47.44,1.16,2.59,-1.00,-1.00,-0.31,86.53,88.60,0.15,21.75,1524,,,,,
2501,Bionic Polars,3,5.22,0.00,0.13,0.13,0.15,0.00,8.74,0.15,-1.00,-1.00,2.91,14.09,-0.12,-1.21,-0.36,0.33,0.13,0.06,0.01,15.66,0.43,-1.00,-1.00,31.95,0.17,-0.11,0.27,16.64,0.63,-1.00,-1.00,0.00,0.01,0.05,0.15,-0.28,0.04,-6.66,1.64,24.41,0.54,0.57,-1.00,-1.00,-0.23,47.68,48.91,0.27,-29.42,1451,,,,,
2525,The pHalcons,2,2.59,-0.25,-0.56,-0.55,-0.06,0.00,-3.71,-0.06,-1.00,-1.00,-1.24,-0.01,-1.12,-2.33,-0.76,0.30,0.17,-0.06,-0.02,15.36,0.15,-1.00,-1.00,23.98,-0.04,-0.04,-0.04,2.96,-1.00,-1.00,-1.00,-0.01,-0.02,0.28,-0.11,0.32,-0.14,8.54,-3.10,19.98,0.49,0.21,-1.00,-1.00,-0.96,33.08,32.91,-0.00,-29.34,1348,,,,,
2549,Millerbots,2,3.60,-0.03,0.00,0.01,0.05,0.00,3.28,0.05,-1.00,-1.00,1.09,7.25,0.02,0.33,0.11,0.33,0.26,0.05,-0.00,22.55,0.67,-1.00,-1.00,38.77,0.09,0.09,0.08,14.72,-1.00,-1.00,-1.00,-0.00,-0.00,0.13,0.04,0.14,0.04,3.98,1.46,27.63,0.65,0.75,-1.00,-1.00,0.20,50.12,50.17,0.13,-6.35,1480,,,,,
2574,RoboHuskie,3,3.32,0.00,-0.12,-0.12,-0.24,0.00,-14.38,-0.24,-1.00,-1.00,-4.79,-11.18,0.39,-0.05,0.04,0.33,0.36,0.58,-0.04,58.64,3.00,-1.00,-1.00,69.10,-0.02,-0.12,0.36,10.42,0.44,-1.00,-1.00,0.00,-0.04,0.07,-0.04,-0.32,-0.28,-7.76,-7.24,44.26,1.23,2.76,-1.00,-1.00,-0.08,50.68,46.54,0.17,-36.11,1389,,,,,
2606,Irish Robotics,2,2.75,-0.22,-0.47,-0.46,-0.04,0.00,-2.59,-0.04,-1.00,-1.00,-0.86,1.16,-0.94,-1.90,-0.62,0.31,0.18,-0.05,-0.02,16.52,0.23,-1.00,-1.00,26.35,-0.02,-0.02,-0.02,4.85,-1.00,-1.00,-1.00,-0.01,-0.02,0.26,-0.09,0.29,-0.11,7.81,-2.37,21.20,0.51,0.30,-1.00,-1.00,-0.78,35.81,35.68,0.02,-25.66,1454,,,,,
2654,Rams,2,3.63,-0.02,0.02,0.03,0.06,0.00,3.50,0.06,-1.00,-1.00,1.17,7.48,0.06,0.42,0.14,0.33,0.26,0.05,-0.00,22.78,0.69,-1.00,-1.00,39.24,0.09,0.09,0.09,15.10,-1.00,-1.00,-1.00,-0.00,-0.00,0.12,0.05,0.14,0.05,3.83,1.61,27.87,0.66,0.77,-1.00,-1.00,0.24,50.67,50.73,0.13,-5.61,1437,,,,,
2667,Knights of the Valley,2,3.55,-0.04,-0.02,-0.01,0.05,0.00,2.95,0.05,-1.00,-1.00,0.98,6.91,-0.03,0.21,0.07,0.32,0.26,0.04,-0.00,22.21,0.65,-1.00,-1.00,38.08,0.08,0.08,0.08,14.18,-1.00,-1.00,-1.00,-0.00,-0.00,0.14,0.04,0.15,0.03,4.19,1.25,27.27,0.65,0.73,-1.00,-1.00,0.15,49.33,49.37,0.12,-7.41,1430,,,,,
2883,F.R.E.D (Fighting Rednecks Engineering and Design),3,4.44,0.00,-0.16,-0.16,0.16,0.00,9.31,0.16,-1.00,-1.00,3.10,13.58,0.21,3.87,1.22,0.33,0.44,0.28,-0.01,35.90,1.82,-1.00,-1.00,80.20,0.31,0.35,0.20,43.07,0.75,-1.00,-1.00,0.00,-0.01,0.09,-0.05,0.42,0.49,10.99,11.92,45.21,1.05,1.97,-1.00,-1.00,1.05,105.69,104.88,0.49,32.94,1547,,,,,
