Montreal,qcmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
229,Division By Zero,5.27,-0.01,0.13,0.12,0.26,0.00,15.71,0.26,-1.00,-1.00,5.24,21.11,0.77,0.73,0.25,0.33,0.43,0.54,0.00,41.77,2.73,-1.00,-1.00,81.54,0.26,0.13,0.40,39.52,0.87,-1.00,-1.00,-0.00,0.00,-0.05,-0.02,-0.38,0.42,-9.87,10.29,57.48,1.31,3.00,-1.00,-1.00,0.38,112.94,112.87,0.52,75.85,1577,,,,,
296,Northern Knights,3.66,-0.07,0.53,0.52,0.02,0.00,1.40,0.02,-1.00,-1.00,0.47,5.57,-0.17,0.34,0.10,0.33,0.32,-0.05,0.00,23.31,0.42,-1.00,-1.00,34.13,0.09,0.16,-0.04,10.72,0.33,-1.00,-1.00,0.01,0.00,-0.03,0.09,0.02,-0.09,0.33,-1.76,24.71,0.61,0.45,-1.00,-1.00,0.62,37.95,38.17,-0.24,-43.86,1366,,,,,
2590,Nemesis,4.79,0.04,0.09,0.11,0.32,0.00,19.48,0.32,-1.00,-1.00,6.49,24.38,1.62,9.83,3.20,0.33,0.40,0.71,0.00,44.55,3.25,-1.00,-1.00,60.84,-0.29,0.36,0.19,13.09,0.80,-1.00,-1.00,0.00,0.00,0.01,0.23,-0.20,-0.16,-4.85,-2.94,64.03,1.44,3.58,-1.00,-1.00,3.31,82.28,82.37,0.16,32.81,1583,,,,,
2626,Evolution,3.81,-0.01,-0.08,-0.08,0.21,0.00,12.80,0.21,-1.00,-1.00,4.27,16.53,-0.55,-2.99,-1.02,0.33,0.25,0.24,0.00,24.06,1.24,-1.00,-1.00,31.75,0.13,0.10,-0.05,8.71,0.33,-1.00,-1.00,-0.00,0.00,0.14,0.43,-0.02,-0.13,0.22,-1.02,36.86,0.81,1.45,-1.00,-1.00,-1.11,47.26,47.23,0.14,-26.45,1425,,,,,
3117,Harfangs,3.57,-0.08,0.11,0.08,0.71,0.00,42.55,0.71,-1.00,-1.00,14.18,46.20,0.06,-1.58,-0.51,0.33,0.45,0.63,0.00,28.01,2.71,-1.00,-1.00,73.48,0.42,0.18,0.31,45.98,0.77,-1.00,-1.00,-0.01,0.00,-0.04,0.20,-0.13,0.47,-3.45,12.83,70.56,1.41,3.41,-1.00,-1.00,-0.43,132.51,132.23,0.45,53.90,1530,,,,,
3360,Hyperion,5.28,-0.07,2.74,2.72,-0.04,0.00,-2.56,-0.04,-1.00,-1.00,-0.85,5.43,0.85,60.84,20.20,0.33,0.38,-0.13,0.00,25.20,0.27,-1.00,-1.00,85.67,0.10,0.65,0.06,40.27,0.55,-1.00,-1.00,0.12,0.00,-0.18,0.09,-0.49,0.01,-13.15,0.77,22.64,0.59,0.23,-1.00,-1.00,22.91,91.87,94.20,0.26,33.13,1560,,,,,
3379,Mécani-Wolf,0.03,-0.02,-0.33,-0.33,0.05,0.00,3.21,0.05,-1.00,-1.00,1.07,2.91,2.84,2.00,0.83,0.33,-0.28,-0.01,0.00,-0.45,-0.57,-1.00,-1.00,13.66,0.04,-0.01,0.23,13.28,0.33,-1.00,-1.00,0.01,0.00,0.26,0.47,0.13,-0.27,4.63,-4.27,2.76,0.04,-0.52,-1.00,-1.00,0.50,12.30,12.45,-0.03,-37.22,1370,,,,,
3386,Tornades,4.35,-0.04,-0.22,-0.24,0.51,0.00,30.32,0.51,-1.00,-1.00,10.11,34.42,0.31,-1.40,-0.39,0.33,0.40,-0.09,0.00,5.75,-0.05,-1.00,-1.00,46.69,0.21,0.38,0.23,41.33,0.53,-1.00,-1.00,-0.01,0.00,-0.15,0.01,0.12,-0.29,2.24,-7.33,36.07,0.65,0.45,-1.00,-1.00,-0.63,73.79,73.51,0.17,-20.41,1419,,,,,
3387,Les Aigles d'Or,5.12,-0.06,0.43,0.41,0.16,0.00,9.60,0.16,-1.00,-1.00,3.20,15.13,0.59,3.67,1.07,0.33,0.12,0.03,0.00,13.05,0.43,-1.00,-1.00,28.96,-0.00,0.14,0.16,14.85,0.22,-1.00,-1.00,-0.01,0.00,0.03,0.01,0.32,0.07,8.28,1.76,22.64,0.49,0.59,-1.00,-1.00,1.48,45.85,45.57,0.21,-19.63,1376,,,,,
3532,Piranha,5.65,-0.02,-0.23,-0.24,-0.09,0.00,-5.32,-0.09,-1.00,-1.00,-1.77,0.10,-0.43,-1.83,-0.63,0.33,0.40,-0.15,0.00,26.85,0.24,-1.00,-1.00,28.63,0.26,-0.13,-0.09,2.41,0.22,-1.00,-1.00,-0.01,0.00,-0.00,-0.11,0.71,-0.04,17.62,-1.46,21.54,0.58,0.16,-1.00,-1.00,-0.86,27.27,26.97,-0.22,-91.30,1265,,,,,
3533,Mekano,3.39,-0.02,0.31,0.31,0.01,0.00,0.78,0.01,-1.00,-1.00,0.26,4.49,-0.06,2.95,0.93,0.33,0.35,0.18,0.00,34.02,1.40,-1.00,-1.00,37.02,-0.02,-0.08,0.14,2.08,0.33,-1.00,-1.00,0.00,0.00,0.32,0.08,0.34,-0.28,10.21,-6.46,34.80,0.86,1.41,-1.00,-1.00,1.23,35.04,35.07,-0.04,-28.19,1401,,,,,
3544,Spartiates,4.56,0.02,-0.04,-0.03,0.03,0.00,2.04,0.03,-1.00,-1.00,0.68,6.56,0.29,-1.43,-0.46,0.33,0.17,-0.10,0.00,14.81,-0.13,-1.00,-1.00,34.81,-0.11,0.29,0.23,20.46,0.44,-1.00,-1.00,-0.00,0.00,0.11,-0.09,-0.23,-0.14,-5.22,-4.06,16.85,0.40,-0.09,-1.00,-1.00,-0.49,37.32,37.28,0.12,6.16,1468,,,,,
3550,Robotronix,5.83,0.01,-0.32,-0.31,0.06,0.00,3.65,0.06,-1.00,-1.00,1.22,9.16,0.61,2.19,0.80,0.33,0.45,0.36,0.00,43.27,2.23,-1.00,-1.00,120.06,0.31,0.75,0.46,75.99,0.85,-1.00,-1.00,-0.02,0.00,0.31,0.41,0.15,0.08,5.24,4.19,46.92,1.14,2.29,-1.00,-1.00,0.49,133.41,133.08,0.58,81.47,1539,,,,,
3969,Phoenix,2.94,-0.07,-0.53,-0.55,-0.02,0.00,-0.95,-0.02,-1.00,-1.00,-0.32,1.43,-0.04,2.13,0.76,0.33,0.23,-0.15,0.00,16.91,-0.12,-1.00,-1.00,24.44,-0.08,0.07,0.14,6.76,0.11,-1.00,-1.00,-0.01,0.00,-0.18,0.10,0.20,0.12,4.10,3.42,15.96,0.41,-0.14,-1.00,-1.00,0.21,29.30,29.18,0.14,3.46,1380,,,,,
3975,Les Dragons,4.32,0.29,-0.29,-0.19,0.13,0.00,8.01,0.13,-1.00,-1.00,2.67,12.13,-0.29,-2.27,-0.71,0.33,0.34,0.15,0.00,27.47,1.14,-1.00,-1.00,34.52,-0.14,0.09,0.20,7.76,0.22,-1.00,-1.00,0.00,0.00,-0.12,-0.22,0.14,0.08,2.96,0.79,35.48,0.82,1.27,-1.00,-1.00,-0.90,47.45,47.48,0.11,-22.50,1399,,,,,
3981,Les LOUPS,4.72,0.03,0.16,0.17,-0.01,0.00,-0.81,-0.01,-1.00,-1.00,-0.27,4.08,-0.27,-5.08,-1.74,0.33,0.18,-0.21,0.00,12.47,-0.48,-1.00,-1.00,31.08,0.24,-0.18,0.35,20.35,0.33,-1.00,-1.00,-0.04,0.00,-0.27,-0.05,0.16,0.31,2.55,7.53,11.66,0.30,-0.50,-1.00,-1.00,-1.56,42.69,41.99,-0.16,-24.84,1362,,,,,
3985,Sonic Howl,3.39,0.13,0.96,0.96,0.26,0.00,15.35,0.26,-1.00,-1.00,5.12,19.69,2.44,-0.39,0.14,0.33,0.33,-0.11,0.00,12.14,-0.01,-1.00,-1.00,35.80,0.08,0.33,0.06,23.51,0.22,-1.00,-1.00,-0.01,0.00,-0.09,-0.08,0.27,0.13,6.22,2.81,27.49,0.56,0.25,-1.00,-1.00,1.10,58.30,58.09,0.09,9.77,1476,,,,,
3986,Express-O,5.45,0.16,0.21,0.22,-0.04,0.00,-2.40,-0.04,-1.00,-1.00,-0.80,3.28,-1.03,-1.03,-0.43,0.33,0.26,0.14,0.00,30.73,1.09,-1.00,-1.00,54.50,0.01,0.17,0.30,24.20,0.89,-1.00,-1.00,0.01,0.00,0.02,-0.18,0.05,0.06,1.45,0.56,28.34,0.73,1.05,-1.00,-1.00,-0.21,58.34,58.45,0.03,-27.89,1384,,,,,
3988,Scarabot,4.61,-0.00,0.00,-0.04,-0.05,0.00,-2.77,-0.05,-1.00,-1.00,-0.92,1.80,-0.00,1.56,0.49,0.33,0.36,-0.04,0.00,28.16,0.64,-1.00,-1.00,50.73,0.15,0.05,0.24,22.08,0.22,-1.00,-1.00,0.01,0.00,0.20,0.01,-0.11,-0.06,-1.74,-1.48,25.39,0.66,0.60,-1.00,-1.00,0.45,51.06,51.29,-0.12,-59.83,1320,,,,,
3990,Tech for Kids,5.50,-0.08,-0.50,-0.52,0.35,0.00,20.76,0.35,-1.00,-1.00,6.92,25.74,0.16,-7.22,-2.46,0.33,0.46,0.54,0.00,39.60,2.73,-1.00,-1.00,76.88,0.38,0.11,0.31,39.74,0.79,-1.00,-1.00,-0.01,0.00,0.37,0.10,0.03,0.05,2.53,1.71,60.37,1.34,3.08,-1.00,-1.00,-2.98,104.33,104.16,0.52,62.49,1495,,,,,
3996,RIKITIK,4.41,0.67,0.39,0.61,0.19,0.00,11.53,0.19,-1.00,-1.00,3.84,16.55,-0.10,-0.74,-0.20,0.33,0.27,0.29,0.00,28.10,1.49,-1.00,-1.00,43.67,0.10,-0.07,0.29,15.77,0.36,-1.00,-1.00,-0.02,0.00,0.75,-0.16,0.24,0.39,9.67,8.95,39.64,0.89,1.69,-1.00,-1.00,0.41,69.18,68.75,0.24,-7.93,1451,,,,,
