NCGreensboro,ncgre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
587,Hedgehogs,4.84,0.00,0.16,0.16,0.14,0.00,8.31,0.14,-1.00,-1.00,2.77,13.30,0.60,2.57,0.88,0.35,0.40,0.56,0.00,46.57,2.89,-1.00,-1.00,96.50,0.20,0.47,0.32,49.05,0.95,-1.00,-1.00,0.00,0.00,-0.57,0.37,-0.06,0.03,-4.42,2.59,54.88,1.30,3.03,-1.00,-1.00,1.04,112.39,112.39,0.62,75.18,1584,,,,,
900,♞The Zebracorns♞,4.58,0.00,1.90,1.90,-0.14,0.00,-8.24,-0.14,-1.00,-1.00,-2.75,-1.75,-1.80,38.57,12.41,0.34,0.22,-0.14,0.00,22.38,0.02,-1.00,-1.00,80.75,0.14,0.44,0.34,45.96,0.60,-1.00,-1.00,0.00,0.00,-0.02,0.11,0.11,0.05,2.77,1.73,14.15,0.42,-0.12,-1.00,-1.00,14.31,80.73,80.73,0.31,11.75,1454,,,,,
1225,The Gorillas,4.54,0.00,-0.21,-0.21,-0.04,0.00,-2.17,-0.04,-1.00,-1.00,-0.72,2.16,-0.43,-1.86,-0.60,0.33,0.27,0.28,0.00,36.68,1.71,-1.00,-1.00,48.20,0.15,-0.06,0.15,12.12,0.14,-1.00,-1.00,0.00,0.00,-0.02,0.13,-0.03,-0.05,-0.78,-0.55,34.51,0.88,1.67,-1.00,-1.00,-0.81,49.81,49.81,0.05,-8.23,1357,,,,,
1533,Triple Strange,6.05,0.00,0.40,0.40,0.36,0.00,21.57,0.36,-1.00,-1.00,7.19,28.02,-1.32,-0.19,-0.16,0.33,0.38,0.73,0.00,43.11,3.31,-1.00,-1.00,89.49,0.39,0.32,0.22,46.54,0.90,-1.00,-1.00,0.00,0.00,-0.07,0.17,-0.07,0.53,-2.10,14.11,64.68,1.44,3.67,-1.00,-1.00,0.24,131.62,131.62,0.67,82.01,1601,,,,,
2059,The Hitchhikers,3.83,0.00,-0.25,-0.25,0.20,0.00,11.91,0.20,-1.00,-1.00,3.97,15.49,-1.39,1.98,0.57,0.34,0.38,0.23,0.00,29.89,1.48,-1.00,-1.00,61.19,0.36,0.25,0.01,30.73,0.47,-1.00,-1.00,0.00,0.00,0.02,-0.23,0.52,-0.02,13.09,-1.63,41.80,0.95,1.68,-1.00,-1.00,0.32,75.05,75.05,0.24,17.45,1481,,,,,
2655,The Flying Platypi,4.12,0.00,-0.06,-0.06,0.37,0.00,22.17,0.37,-1.00,-1.00,7.39,26.23,0.03,-0.15,-0.09,0.35,0.24,-0.14,0.00,2.81,-0.39,-1.00,-1.00,54.06,0.40,0.38,0.25,51.34,0.89,-1.00,-1.00,0.00,0.00,2.13,0.27,0.17,0.19,14.85,6.19,24.98,0.44,-0.02,-1.00,-1.00,-0.16,86.48,86.48,0.11,-4.43,1469,,,,,
3196,Team SPORK,4.15,0.00,-0.18,-0.18,0.29,0.00,17.57,0.29,-1.00,-1.00,5.86,21.54,-1.21,-0.02,-0.25,0.35,0.39,0.07,0.00,20.92,0.80,-1.00,-1.00,62.87,0.26,0.39,0.20,42.20,0.70,-1.00,-1.00,0.00,0.00,0.25,2.56,0.49,-0.01,13.54,12.41,38.49,0.82,1.09,-1.00,-1.00,-0.43,96.82,96.82,0.24,47.45,1540,,,,,
3215,Apollo,2.64,0.00,-0.01,-0.01,0.30,0.00,18.28,0.30,-1.00,-1.00,6.09,20.92,-1.02,-0.40,-0.28,0.33,0.36,-0.11,0.00,10.98,-0.03,-1.00,-1.00,4.49,-0.14,0.09,-0.07,-6.21,0.00,-1.00,-1.00,0.00,0.00,-0.01,-0.78,0.65,0.26,16.10,2.51,29.27,0.58,0.28,-1.00,-1.00,-0.29,27.92,27.92,0.06,-30.86,1363,,,,,
3331,Tar Heel Robots,4.85,0.00,0.23,0.23,0.10,0.00,5.98,0.10,-1.00,-1.00,1.99,11.06,-0.10,2.34,0.76,0.32,0.17,0.24,0.00,25.29,1.19,-1.00,-1.00,37.47,-0.04,0.11,0.17,11.42,0.27,-1.00,-1.00,0.00,0.00,0.45,-0.52,-0.01,-0.20,2.09,-7.60,31.27,0.73,1.29,-1.00,-1.00,0.99,40.93,40.93,0.24,10.23,1435,,,,,
