NCPittCounty,ncwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
435,Robodogs,4.04,0.00,-0.03,-0.03,0.38,0.00,22.68,0.38,-1.00,-1.00,7.56,26.69,-0.13,-0.68,-0.23,0.33,0.21,0.16,0.00,13.08,0.77,-1.00,-1.00,57.90,0.34,0.13,0.43,45.05,0.47,-1.00,-1.00,0.00,0.00,-0.06,0.07,-0.01,0.45,-0.46,11.64,35.76,0.70,1.15,-1.00,-1.00,-0.26,96.23,96.23,0.45,60.99,1556,,,,,
2059,The Hitchhikers,4.42,0.00,0.26,0.26,0.11,0.00,6.54,0.11,-1.00,-1.00,2.18,11.22,1.14,-0.05,0.06,0.33,0.32,-0.02,0.00,20.83,0.42,-1.00,-1.00,72.21,0.49,0.23,0.31,51.31,0.67,-1.00,-1.00,0.00,0.00,0.03,0.08,0.16,0.03,4.03,1.29,27.37,0.63,0.53,-1.00,-1.00,0.32,84.72,84.72,0.44,25.20,1484,,,,,
2640,HOTBOTZ,4.34,0.00,-0.09,-0.09,-0.19,0.00,-11.20,-0.19,-1.00,-1.00,-3.73,-6.96,9.73,-1.00,0.58,0.33,0.25,0.26,0.00,41.15,1.71,-1.00,-1.00,108.90,0.35,0.61,0.39,67.16,0.57,-1.00,-1.00,0.00,0.00,0.16,0.10,0.54,0.15,14.37,4.15,29.95,0.84,1.52,-1.00,-1.00,0.49,106.09,106.09,0.39,60.36,1522,,,,,
2642,Pitt Pirates,4.56,0.00,0.16,0.16,0.47,0.00,28.05,0.47,-1.00,-1.00,9.35,32.78,-0.56,0.46,0.14,0.33,0.39,0.48,0.00,29.60,2.23,-1.00,-1.00,71.88,0.28,0.28,0.28,42.14,0.78,-1.00,-1.00,0.00,0.00,-0.07,-0.04,0.41,0.14,9.96,3.40,57.66,1.21,2.70,-1.00,-1.00,0.30,108.06,108.06,0.36,31.31,1522,,,,,
2682,Boneyard Robotics,4.22,0.00,-0.13,-0.13,0.21,0.00,12.33,0.21,-1.00,-1.00,4.11,16.41,0.64,-0.29,-0.12,0.33,0.33,0.33,0.00,31.41,1.85,-1.00,-1.00,34.47,-0.12,-0.09,0.28,3.18,0.29,-1.00,-1.00,0.00,0.00,-0.08,0.20,-0.12,0.14,-3.40,4.43,43.74,0.99,2.06,-1.00,-1.00,-0.26,55.31,55.31,0.11,6.72,1413,,,,,
3229,Hawktimus Prime,4.42,0.00,0.16,0.16,0.21,0.00,12.33,0.21,-1.00,-1.00,4.11,16.91,-0.98,-0.16,-0.15,0.33,0.24,-0.02,0.00,13.95,0.27,-1.00,-1.00,34.69,0.15,0.12,0.15,20.88,0.42,-1.00,-1.00,0.00,0.00,-0.06,0.09,0.21,-0.02,4.97,-0.09,26.28,0.55,0.47,-1.00,-1.00,0.01,51.51,51.51,0.12,8.62,1414,,,,,
3336,Zimanators,-1.52,0.00,0.07,0.07,0.05,0.00,2.98,0.05,-1.00,-1.00,0.99,1.53,1.21,0.01,0.14,0.33,0.30,-0.17,0.00,16.49,-0.14,-1.00,-1.00,24.10,0.08,-0.01,0.08,7.47,0.25,-1.00,-1.00,0.00,0.00,-0.10,0.41,0.72,-0.30,17.47,-5.32,19.47,0.46,-0.09,-1.00,-1.00,0.21,20.31,20.31,-0.14,-63.83,1365,,,,,
3459,Team PyroTech,5.52,0.00,-0.06,-0.06,-0.04,0.00,-2.53,-0.04,-1.00,-1.00,-0.84,2.93,-0.49,0.00,-0.07,0.33,0.28,0.07,0.00,29.23,0.89,-1.00,-1.00,45.82,0.10,0.13,0.11,16.65,0.69,-1.00,-1.00,0.00,0.00,0.15,0.01,-0.15,0.37,-3.14,9.39,26.71,0.69,0.85,-1.00,-1.00,-0.13,58.15,58.15,0.26,2.76,1498,,,,,
3506,YETI Robotics,3.90,0.00,-0.02,-0.02,0.03,0.00,1.80,0.03,-1.00,-1.00,0.60,5.68,-0.77,1.16,0.25,0.33,0.29,-0.13,0.00,18.71,0.11,-1.00,-1.00,20.14,0.01,0.14,-0.12,1.18,0.47,-1.00,-1.00,0.00,0.00,-0.05,0.02,0.24,0.82,5.84,20.65,20.50,0.50,0.14,-1.00,-1.00,0.24,46.47,46.47,0.11,0.73,1528,,,,,
3737,Roto-Raptors,4.97,0.00,0.05,0.05,0.26,0.00,15.37,0.26,-1.00,-1.00,5.12,20.40,-0.25,0.17,0.02,0.33,0.37,0.16,0.00,24.20,1.10,-1.00,-1.00,40.39,0.06,0.08,0.18,16.18,0.33,-1.00,-1.00,0.00,0.00,-0.09,0.02,-0.14,0.14,-3.93,3.58,39.57,0.86,1.36,-1.00,-1.00,0.07,64.36,64.36,0.56,40.93,1541,,,,,
3796,Technical Assassins,3.38,0.00,-0.07,-0.07,-0.05,0.00,-3.19,-0.05,-1.00,-1.00,-1.06,0.11,1.57,0.15,0.01,0.33,0.41,-0.04,0.00,30.28,0.70,-1.00,-1.00,53.51,0.08,0.17,0.22,23.22,0.29,-1.00,-1.00,0.00,0.00,0.08,-0.12,0.10,0.60,2.95,14.47,27.08,0.70,0.64,-1.00,-1.00,-0.06,68.09,68.09,0.40,33.68,1446,,,,,
4290,Bots of War,5.20,0.00,-0.02,-0.02,0.34,0.00,20.23,0.34,-1.00,-1.00,6.74,25.41,2.31,-0.56,0.10,0.33,0.28,0.04,0.00,12.67,0.37,-1.00,-1.00,23.30,0.11,0.10,0.00,10.52,0.50,-1.00,-1.00,0.00,0.00,0.07,0.05,0.10,0.36,2.70,9.21,32.90,0.65,0.70,-1.00,-1.00,0.08,57.92,57.92,0.11,-4.30,1479,,,,,
4291,AstroBots,5.02,0.00,-0.07,-0.07,-0.20,0.00,-11.74,-0.20,-1.00,-1.00,-3.91,-6.80,-0.16,0.67,0.14,0.33,0.28,-0.11,0.00,27.80,0.31,-1.00,-1.00,63.62,0.19,0.18,0.34,35.69,0.50,-1.00,-1.00,0.00,0.00,0.08,-0.12,0.14,0.48,3.88,11.32,16.06,0.50,0.11,-1.00,-1.00,0.06,68.14,68.14,0.35,8.49,1446,,,,,
