NCRaleigh,ncral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
435,Robodogs,5.22,0.00,-0.53,-0.53,0.43,0.00,25.76,0.43,-1.00,-1.00,8.59,30.45,0.10,-1.55,-0.51,0.33,0.36,0.31,-0.01,22.43,1.44,-1.00,-1.00,58.71,0.55,0.12,0.07,36.78,0.88,-1.00,-1.00,-0.01,-0.01,0.16,0.04,0.16,0.20,4.84,5.26,48.19,0.99,1.87,-1.00,-1.00,-1.04,94.43,92.65,0.23,17.01,1515,,,,,
900,♞The Zebracorns♞,5.23,0.00,3.46,3.46,-0.03,0.00,-1.90,-0.03,-1.00,-1.00,-0.63,6.79,0.55,56.37,18.55,0.33,0.19,0.01,-0.02,21.72,0.33,-1.00,-1.00,61.60,0.28,-0.03,0.18,21.33,0.64,-1.00,-1.00,0.08,-0.02,-0.02,0.10,0.49,0.00,12.11,0.52,19.82,0.51,0.29,-1.00,-1.00,22.01,68.91,68.55,-0.10,-37.75,1388,,,,,
2059,The Hitchhikers,5.06,0.00,0.61,0.61,0.54,0.00,32.16,0.54,-1.00,-1.00,10.72,37.83,-0.01,-0.31,-0.08,0.33,0.35,0.47,0.07,27.58,2.46,-1.00,-1.00,82.34,0.16,0.57,0.36,54.83,0.95,-1.00,-1.00,0.00,0.07,0.23,0.07,0.13,-0.12,4.36,-2.51,59.75,1.23,3.00,-1.00,-1.00,0.54,117.66,124.59,0.41,18.10,1501,,,,,
2642,Pitt Pirates,4.99,0.00,0.22,0.22,0.57,0.00,34.19,0.57,-1.00,-1.00,11.40,39.40,-0.08,-0.41,-0.24,0.33,0.37,0.64,0.07,33.95,3.18,-1.00,-1.00,61.40,0.25,0.09,0.20,27.69,0.74,-1.00,-1.00,-0.01,0.07,-0.03,0.31,-0.33,0.19,-8.41,6.16,68.14,1.42,3.75,-1.00,-1.00,-0.03,106.97,114.33,0.49,48.79,1608,,,,,
2682,Boneyard Robotics,4.54,0.00,-0.54,-0.54,0.12,0.00,7.45,0.12,-1.00,-1.00,2.48,11.45,-0.08,-4.10,-1.43,0.33,0.28,0.13,0.17,31.38,1.96,-1.00,-1.00,65.67,0.17,0.35,0.19,35.72,0.71,-1.00,-1.00,-0.01,0.17,-0.05,-0.05,0.33,0.50,8.11,12.18,38.83,0.91,2.09,-1.00,-1.00,-1.97,89.30,105.98,0.31,28.26,1481,,,,,
3196,Team SPORK,2.01,0.00,1.16,1.16,0.15,0.00,9.21,0.15,-1.00,-1.00,3.07,12.37,-0.01,1.40,0.27,0.33,0.38,0.65,-0.01,48.29,3.18,-1.00,-1.00,110.14,0.44,0.36,0.43,61.58,0.95,-1.00,-1.00,-0.01,-0.01,-0.17,0.08,0.33,0.13,7.47,3.73,57.50,1.36,3.33,-1.00,-1.00,1.43,126.25,125.24,0.49,64.41,1580,,,,,
3229,Hawktimus Prime,4.57,0.00,0.40,0.40,0.48,0.00,28.51,0.48,-1.00,-1.00,9.50,33.48,0.07,-0.22,-0.04,0.33,0.36,0.44,-0.01,25.67,1.91,-1.00,-1.00,70.94,0.25,0.25,0.41,45.31,0.79,-1.00,-1.00,0.01,-0.01,-0.11,0.26,0.20,0.07,4.56,2.93,54.18,1.12,2.39,-1.00,-1.00,0.36,107.36,106.16,0.46,34.92,1470,,,,,
3331,Tar Heel Robots,4.68,0.00,-0.05,-0.05,0.26,0.00,15.70,0.26,-1.00,-1.00,5.23,20.32,0.01,1.15,0.39,0.33,0.35,0.11,0.01,21.76,0.94,-1.00,-1.00,48.17,0.32,0.12,0.08,26.02,0.56,-1.00,-1.00,0.00,0.01,0.04,0.06,0.33,0.40,8.50,10.32,37.46,0.81,1.20,-1.00,-1.00,0.34,78.81,79.75,0.16,-7.59,1427,,,,,
3336,Zimanators,1.01,0.00,0.81,0.81,-0.15,0.00,-8.99,-0.15,-1.00,-1.00,-3.00,-7.17,0.01,0.91,0.33,0.33,0.28,0.12,-0.02,34.43,1.05,-1.00,-1.00,42.69,-0.05,0.03,0.17,7.93,0.08,-1.00,-1.00,-0.01,-0.02,0.04,-0.06,-0.08,0.32,-1.67,7.69,25.44,0.71,0.90,-1.00,-1.00,1.14,43.21,40.64,0.13,-14.25,1381,,,,,
3737,Roto-Raptors,4.60,0.00,-0.17,-0.17,0.21,0.00,12.33,0.21,-1.00,-1.00,4.11,16.76,-0.05,1.59,0.57,0.33,0.26,0.53,0.07,39.85,2.88,-1.00,-1.00,74.93,0.17,0.36,0.16,34.51,0.71,-1.00,-1.00,-0.01,0.07,0.17,-0.03,0.24,0.70,6.95,17.41,52.18,1.20,3.09,-1.00,-1.00,0.40,109.10,116.02,0.20,36.39,1552,,,,,
3796,Technical Assassins,4.73,0.00,-0.42,-0.42,0.06,0.00,3.64,0.06,-1.00,-1.00,1.21,7.96,-0.06,1.17,0.38,0.33,0.28,0.03,0.01,23.49,0.65,-1.00,-1.00,50.61,0.12,0.32,0.09,26.74,0.57,-1.00,-1.00,-0.01,0.01,0.14,0.07,0.34,-0.00,9.22,0.21,27.13,0.65,0.71,-1.00,-1.00,-0.04,58.77,59.23,0.15,-8.31,1399,,,,,
3822,Neon Jets,4.63,0.00,-0.07,-0.07,0.15,0.00,9.11,0.15,-1.00,-1.00,3.04,13.68,-0.04,-0.54,-0.18,0.33,0.37,0.22,-0.02,29.90,1.33,-1.00,-1.00,34.53,0.12,0.00,-0.02,4.80,0.00,-1.00,-1.00,-0.01,-0.02,0.14,0.14,-0.07,0.38,-1.12,10.09,39.02,0.90,1.48,-1.00,-1.00,-0.24,58.31,56.07,-0.11,-31.44,1324,,,,,
