NCStateChampionship,nccmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
435,Robodogs,4.66,-0.01,0.88,0.88,0.51,0.00,30.82,0.51,-1.00,-1.00,10.27,36.35,0.02,1.38,0.44,0.33,0.33,0.31,0.22,27.27,2.71,-1.00,-1.00,71.06,0.32,0.24,0.31,43.34,0.76,-1.00,-1.00,0.04,0.22,-0.10,-0.01,0.25,0.08,5.74,2.02,58.09,1.20,3.22,-1.00,-1.00,1.32,109.43,132.35,0.47,34.55,1545,,,,,
587,Hedgehogs,4.90,-0.02,0.60,0.60,0.40,0.00,23.93,0.40,-1.00,-1.00,7.98,29.44,0.15,1.50,0.45,0.33,0.33,0.39,0.25,36.33,3.32,-1.00,-1.00,91.06,0.18,0.36,0.54,54.27,0.94,-1.00,-1.00,0.01,0.25,0.01,-0.02,-0.20,0.16,-5.07,3.97,60.26,1.31,3.72,-1.00,-1.00,1.05,124.46,149.39,0.17,33.65,1607,,,,,
900,♞The Zebracorns♞,4.28,-0.02,13.15,13.15,0.29,0.00,17.37,0.29,-1.00,-1.00,5.79,34.80,-0.20,81.04,26.73,0.33,0.33,0.07,-0.12,13.06,-0.06,-1.00,-1.00,87.95,0.35,0.19,0.42,48.17,0.79,-1.00,-1.00,0.67,-0.12,-0.08,0.07,0.17,0.07,3.80,2.14,30.43,0.62,0.23,-1.00,-1.00,39.88,124.89,126.43,0.39,45.92,1522,,,,,
1533,Triple Strange,5.31,0.07,2.65,2.65,0.46,0.00,27.67,0.46,-1.00,-1.00,9.22,35.63,0.09,2.93,0.99,0.33,0.33,0.41,-0.01,24.17,1.78,-1.00,-1.00,73.39,0.35,0.30,0.31,48.23,0.76,-1.00,-1.00,0.01,-0.01,-0.02,0.28,0.07,-0.12,1.74,-1.63,51.85,1.07,2.24,-1.00,-1.00,3.63,107.39,106.31,0.47,9.59,1549,,,,,
2059,The Hitchhikers,4.86,-0.02,1.38,1.38,0.19,0.00,11.42,0.19,-1.00,-1.00,3.81,17.66,-0.29,0.69,0.06,0.33,0.33,0.37,-0.13,28.80,1.20,-1.00,-1.00,71.22,0.23,0.17,0.45,42.35,0.79,-1.00,-1.00,0.03,-0.13,-0.03,-0.16,0.23,0.12,5.59,2.17,40.23,0.91,1.39,-1.00,-1.00,1.44,91.04,78.88,-0.02,-17.84,1477,,,,,
2640,HOTBOTZ,5.35,-0.01,0.49,0.49,0.10,0.00,5.80,0.10,-1.00,-1.00,1.93,11.64,1.63,1.92,0.77,0.33,0.33,0.31,0.18,42.22,2.86,-1.00,-1.00,70.00,0.11,0.32,0.10,27.02,0.57,-1.00,-1.00,0.05,0.18,-0.07,0.19,0.25,-0.09,5.91,-1.36,48.02,1.15,2.96,-1.00,-1.00,1.25,80.28,98.72,0.17,-18.83,1469,,,,,
2642,Pitt Pirates,4.55,-0.00,-0.61,-0.61,0.20,0.00,12.10,0.20,-1.00,-1.00,4.03,16.04,1.06,-4.60,-1.63,0.33,0.33,0.38,0.20,41.72,3.17,-1.00,-1.00,76.99,0.28,0.18,0.28,36.89,0.57,-1.00,-1.00,-0.07,0.20,-0.05,0.03,-0.03,0.29,-0.92,7.26,53.82,1.24,3.38,-1.00,-1.00,-2.24,100.29,118.82,0.44,33.06,1567,,,,,
2655,The Flying Platypi,5.26,-0.01,0.14,0.14,0.28,0.00,16.77,0.28,-1.00,-1.00,5.59,22.18,0.25,1.65,0.44,0.33,0.33,0.28,-0.14,21.25,0.69,-1.00,-1.00,71.38,0.40,0.43,0.17,49.68,0.83,-1.00,-1.00,0.03,-0.14,0.14,0.01,0.14,-0.09,4.17,-2.24,38.03,0.81,0.97,-1.00,-1.00,0.58,91.31,78.46,-0.06,-9.79,1410,,,,,
2682,Boneyard Robotics,4.27,-0.01,-0.27,-0.27,0.43,0.00,25.76,0.43,-1.00,-1.00,8.59,29.75,-0.27,-0.71,-0.23,0.33,0.33,0.43,0.19,34.40,3.10,-1.00,-1.00,81.50,0.18,0.39,0.37,47.33,0.71,-1.00,-1.00,-0.00,0.19,-0.10,0.32,-0.18,0.19,-5.09,6.42,60.15,1.29,3.53,-1.00,-1.00,-0.50,117.67,136.38,0.53,57.33,1527,,,,,
