NCUNCAsheville,ncash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
587,Hedgehogs,4.63,-0.01,-0.01,-0.01,-0.03,0.00,-1.55,-0.03,-1.00,-1.00,-0.52,3.07,-0.42,0.20,0.08,0.33,0.33,0.41,0.24,53.94,3.80,-1.00,-1.00,117.40,0.38,0.50,0.38,63.39,0.80,-1.00,-1.00,0.00,0.24,-0.02,0.10,-0.47,-0.08,-11.95,-1.38,52.39,1.32,3.77,-1.00,-1.00,0.07,119.09,143.32,0.35,56.24,1559,,,,,
619,Cavalier Robotics,4.77,-0.01,-0.01,-0.01,0.12,0.00,6.98,0.12,-1.00,-1.00,2.33,11.74,1.54,-0.33,-0.02,0.33,0.33,0.34,-0.04,33.84,1.65,-1.00,-1.00,79.59,0.25,0.33,0.34,45.77,0.87,-1.00,-1.00,0.00,-0.04,0.02,-0.00,-0.66,-0.16,-16.31,-4.01,40.82,0.96,1.77,-1.00,-1.00,-0.03,87.32,83.16,0.37,12.76,1453,,,,,
977,Cometbots,4.91,-0.00,-0.01,-0.01,0.14,0.00,8.22,0.14,-1.00,-1.00,2.74,13.12,-0.49,-0.00,-0.01,0.33,0.33,0.06,-0.03,22.57,0.61,-1.00,-1.00,32.74,-0.06,0.06,0.21,10.19,0.73,-1.00,-1.00,0.00,-0.03,0.15,0.17,0.00,1.24,0.87,31.91,30.79,0.70,0.75,-1.00,-1.00,-0.02,77.77,74.98,0.05,-10.50,1385,,,,,
1225,The Gorillas,4.98,-0.00,-0.01,-0.01,0.28,0.00,16.70,0.28,-1.00,-1.00,5.57,21.67,-0.22,-0.11,-0.07,0.33,0.33,0.34,0.04,30.55,1.97,-1.00,-1.00,60.51,0.12,0.32,0.17,30.03,0.67,-1.00,-1.00,0.00,0.04,-0.03,0.08,0.36,0.00,8.82,0.46,47.25,1.04,2.25,-1.00,-1.00,-0.08,82.64,86.53,0.11,-9.89,1411,,,,,
1533,Triple Strange,4.54,-0.01,-0.00,-0.00,0.19,0.00,11.59,0.19,-1.00,-1.00,3.86,16.12,0.21,1.14,0.46,0.33,0.33,0.40,0.08,38.04,2.54,-1.00,-1.00,88.17,0.48,0.24,0.27,49.67,0.87,-1.00,-1.00,0.00,0.08,-0.06,0.10,0.35,0.82,8.43,21.01,49.63,1.14,2.73,-1.00,-1.00,0.45,125.30,133.16,0.46,74.79,1617,,,,,
2640,HOTBOTZ,4.54,-0.01,-0.00,-0.00,0.28,0.00,17.10,0.28,-1.00,-1.00,5.70,21.64,1.28,-0.58,-0.27,0.33,0.33,0.53,-0.02,35.43,2.35,-1.00,-1.00,72.20,0.06,0.29,0.39,37.04,0.79,-1.00,-1.00,0.00,-0.02,-0.00,-0.06,-0.01,1.10,-0.26,27.09,52.53,1.17,2.64,-1.00,-1.00,-0.28,120.93,118.64,0.18,54.60,1573,,,,,
2655,The Flying Platypi,4.51,-0.01,-0.01,-0.01,0.22,0.00,13.20,0.22,-1.00,-1.00,4.40,17.70,-0.46,-0.50,-0.25,0.33,0.33,0.12,-0.07,19.98,0.52,-1.00,-1.00,39.85,0.02,0.25,0.13,20.13,0.88,-1.00,-1.00,0.00,-0.07,-0.02,0.31,0.52,0.63,13.01,17.23,33.17,0.72,0.74,-1.00,-1.00,-0.26,74.78,67.89,0.10,-3.43,1453,,,,,
2974,Walton Robotics,4.36,-0.00,0.08,0.08,0.58,0.00,34.57,0.58,-1.00,-1.00,11.52,39.01,-0.24,-0.36,-0.19,0.33,0.33,0.46,0.21,30.24,3.17,-1.00,-1.00,68.98,0.16,0.28,0.34,38.94,0.80,-1.00,-1.00,0.00,0.21,-0.10,-0.05,-0.10,0.28,-2.96,6.69,64.81,1.33,3.74,-1.00,-1.00,-0.12,114.68,135.32,0.42,59.89,1609,,,,,
3215,Apollo,4.44,-0.01,-0.01,-0.01,-0.05,0.00,-2.71,-0.05,-1.00,-1.00,-0.90,1.72,-0.69,0.01,-0.02,0.33,0.33,0.28,-0.03,38.51,1.66,-1.00,-1.00,80.74,0.02,0.39,0.43,42.25,0.53,-1.00,-1.00,0.00,-0.03,-0.02,0.08,-0.18,0.00,-4.73,0.44,35.80,0.92,1.62,-1.00,-1.00,-0.03,82.90,80.20,0.08,-15.47,1378,,,,,
3402,ROBOMonkeys,5.52,0.07,-0.00,-0.00,0.54,0.00,32.14,0.54,-1.00,-1.00,10.71,37.65,3.17,-0.57,0.05,0.33,0.33,0.21,0.06,15.79,1.30,-1.00,-1.00,44.26,0.24,0.03,0.30,28.43,0.53,-1.00,-1.00,0.00,0.06,0.07,-0.02,-0.16,-0.11,-3.64,-2.87,47.93,0.93,1.83,-1.00,-1.00,0.05,79.04,84.66,0.20,12.74,1452,,,,,
3459,Team PyroTech,5.37,-0.00,-0.01,-0.01,0.39,0.00,23.41,0.39,-1.00,-1.00,7.80,28.77,0.30,0.11,0.11,0.33,0.33,0.39,-0.01,26.15,1.77,-1.00,-1.00,56.00,0.35,0.21,0.04,29.75,0.53,-1.00,-1.00,0.00,-0.01,0.14,-0.09,-0.07,-0.22,-1.08,-5.99,49.56,1.04,2.16,-1.00,-1.00,0.10,78.79,78.00,0.34,15.55,1464,,,,,
3506,YETI Robotics,5.07,-0.01,0.08,0.08,0.17,0.00,10.47,0.17,-1.00,-1.00,3.49,15.61,0.68,1.24,0.46,0.33,0.33,0.15,0.07,28.40,1.50,-1.00,-1.00,54.60,0.08,0.22,0.22,25.74,0.56,-1.00,-1.00,0.00,0.07,0.06,0.15,-0.24,-0.27,-5.68,-5.99,38.87,0.88,1.67,-1.00,-1.00,0.53,64.22,70.92,0.18,-3.78,1460,,,,,
3661,RoboWolves,5.28,-0.01,-0.01,-0.01,0.17,0.00,10.08,0.17,-1.00,-1.00,3.36,15.35,-0.26,-0.01,-0.03,0.33,0.33,0.14,-0.04,24.04,0.82,-1.00,-1.00,31.65,0.18,0.11,-0.14,7.64,0.17,-1.00,-1.00,0.00,-0.04,-0.09,0.15,0.20,-0.26,4.54,-5.61,34.12,0.77,0.99,-1.00,-1.00,-0.04,41.40,37.18,-0.18,-62.71,1287,,,,,
3680,Elemental Dragons,4.11,-0.01,0.01,0.01,0.29,0.00,17.17,0.29,-1.00,-1.00,5.72,21.29,-0.08,0.16,-0.00,0.33,0.33,0.10,-0.04,17.85,0.57,-1.00,-1.00,-7.38,-0.14,-0.20,-0.17,-25.23,0.00,-1.00,-1.00,0.00,-0.04,0.09,0.02,0.38,0.42,9.89,10.50,35.02,0.73,0.85,-1.00,-1.00,0.00,24.40,20.49,-0.12,-78.92,1231,,,,,
3971,Kai Orbus,4.71,0.01,-0.01,-0.01,-0.06,0.00,-3.90,-0.06,-1.00,-1.00,-1.30,0.81,0.75,-0.11,0.06,0.33,0.33,0.13,-0.04,33.09,1.04,-1.00,-1.00,57.04,0.27,0.16,0.06,23.89,0.73,-1.00,-1.00,0.00,-0.04,-0.02,-0.02,1.02,0.02,25.37,0.32,29.20,0.76,0.97,-1.00,-1.00,0.05,58.18,54.25,0.02,-34.95,1359,,,,,
4290,Bots of War,4.79,-0.01,-0.01,-0.01,-0.04,0.00,-2.54,-0.04,-1.00,-1.00,-0.85,2.24,0.39,-0.57,-0.10,0.33,0.33,0.20,0.07,39.28,1.95,-1.00,-1.00,96.72,0.43,0.32,0.40,57.53,0.82,-1.00,-1.00,0.00,0.07,0.10,-0.00,0.08,-0.12,2.46,-2.91,36.74,0.94,1.90,-1.00,-1.00,-0.11,96.04,103.30,0.42,41.29,1541,,,,,
4291,AstroBots,5.94,-0.02,-0.01,-0.01,0.09,0.00,5.35,0.09,-1.00,-1.00,1.78,11.29,1.21,-0.05,0.06,0.33,0.33,0.17,-0.05,27.89,0.95,-1.00,-1.00,54.87,0.40,0.11,0.02,26.92,0.67,-1.00,-1.00,0.00,-0.05,0.16,0.25,-0.28,-0.23,-6.26,-4.58,33.24,0.79,1.04,-1.00,-1.00,0.05,61.57,56.30,-0.08,-35.32,1421,,,,,
4767,C4,5.46,-0.01,-0.00,-0.00,0.17,0.00,10.13,0.17,-1.00,-1.00,3.38,15.60,0.48,-0.53,-0.16,0.33,0.33,-0.01,0.07,22.47,0.89,-1.00,-1.00,48.51,0.17,0.18,0.17,26.20,0.56,-1.00,-1.00,0.00,0.07,-0.04,0.07,-0.06,-0.17,-1.58,-3.98,32.61,0.73,1.06,-1.00,-1.00,-0.16,60.12,67.12,-0.07,-38.47,1353,,,,,
4935,T-Rex,5.07,-0.00,-0.01,-0.01,0.36,0.00,21.62,0.36,-1.00,-1.00,7.21,26.68,0.18,0.06,-0.01,0.33,0.33,0.28,-0.01,23.13,1.38,-1.00,-1.00,57.24,0.22,0.13,0.33,34.11,0.59,-1.00,-1.00,0.00,-0.01,0.66,-0.06,0.55,0.39,17.16,9.32,44.76,0.94,1.74,-1.00,-1.00,-0.02,93.25,92.30,0.26,21.56,1517,,,,,
5511,Cortechs Robotics,4.32,0.01,0.07,0.07,0.48,0.00,29.02,0.48,-1.00,-1.00,9.67,33.40,0.11,-0.30,-0.14,0.33,0.33,0.29,0.03,20.38,1.55,-1.00,-1.00,69.43,0.34,0.29,0.36,49.19,0.90,-1.00,-1.00,0.00,0.03,-0.01,0.26,-0.20,0.08,-4.92,3.16,49.40,0.99,2.04,-1.00,-1.00,-0.07,106.00,109.27,0.49,58.33,1538,,,,,
