NEChampionship,necmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
58,The Riot Crew,3,4.49,-0.06,-0.22,-0.24,0.21,0.00,12.52,0.21,-1.00,-1.00,4.17,16.77,-0.12,1.37,0.43,0.34,0.33,0.40,-0.01,33.84,1.98,-1.00,-1.00,56.52,0.30,0.20,-0.05,22.25,0.90,-1.00,-1.00,-0.04,-0.01,0.18,-0.10,0.15,0.60,4.66,14.50,46.36,1.05,2.19,-1.00,-1.00,0.18,87.79,85.73,0.28,5.90,1468,,,,,
78,AIR STRIKE,3,5.41,0.15,0.31,0.38,0.11,0.00,6.80,0.11,-1.00,-1.00,2.27,12.59,-0.17,1.11,0.28,0.33,0.33,0.34,0.11,40.32,2.60,-1.00,-1.00,99.14,0.43,0.52,0.22,58.53,0.94,-1.00,-1.00,-0.00,0.11,0.07,0.20,0.18,0.16,4.76,5.11,47.12,1.12,2.72,-1.00,-1.00,0.67,116.84,128.05,0.49,63.18,1682,,,,,
88,TJ(Squared),3,4.27,0.08,0.54,0.57,0.19,0.00,11.19,0.19,-1.00,-1.00,3.73,16.03,-0.28,0.18,-0.05,0.33,0.33,0.48,-0.01,37.83,2.32,-1.00,-1.00,70.80,0.31,0.25,0.10,33.02,0.87,-1.00,-1.00,0.01,-0.01,0.11,0.20,-0.04,0.34,-0.48,9.41,49.02,1.13,2.51,-1.00,-1.00,0.52,96.23,95.50,0.29,23.00,1512,,,,,
95,Grasshoppers,3,4.41,-0.02,0.24,0.24,0.21,0.00,12.83,0.21,-1.00,-1.00,4.28,17.48,-0.18,-0.17,-0.11,0.33,0.32,0.55,0.23,49.06,4.03,-1.00,-1.00,97.99,0.61,0.15,0.22,49.04,0.79,-1.00,-1.00,0.00,0.23,-0.01,-0.18,0.19,0.46,4.66,10.59,61.89,1.44,4.24,-1.00,-1.00,0.13,126.06,149.21,0.39,50.17,1583,,,,,
125,NUTRONs,3,4.68,-0.23,14.23,14.16,0.30,0.00,17.86,0.30,-1.00,-1.00,5.95,36.70,-1.36,59.95,19.56,0.25,0.16,0.00,-0.03,3.50,-0.13,-1.00,-1.00,54.33,0.20,0.24,0.18,31.27,0.80,-1.00,-1.00,0.53,-0.03,0.03,-0.02,0.56,0.24,14.20,6.02,21.36,0.39,0.17,-1.00,-1.00,33.72,97.05,104.97,0.14,3.88,1494,,,,,
131,C.H.A.O.S.,3,5.60,4.67,-0.06,1.23,0.38,0.00,22.98,0.38,-1.00,-1.00,7.66,29.80,7.93,-0.19,0.75,0.33,0.34,0.49,0.21,39.82,3.54,-1.00,-1.00,89.39,0.32,0.24,0.41,48.82,0.56,-1.00,-1.00,0.00,0.21,-0.18,0.37,-0.07,0.02,-2.72,2.23,62.80,1.38,3.93,-1.00,-1.00,1.98,121.42,142.84,0.47,55.28,1607,,,,,
133,B.E.R.T.,3,5.26,-0.35,-0.27,-0.38,0.33,0.00,20.04,0.33,-1.00,-1.00,6.68,24.92,0.26,45.62,14.91,0.35,0.36,0.35,0.00,28.91,1.79,-1.00,-1.00,65.98,0.21,0.09,0.14,22.16,0.72,-1.00,-1.00,0.18,0.00,0.06,-0.07,0.04,0.15,1.20,3.39,48.95,1.06,2.12,-1.00,-1.00,14.53,94.28,97.92,0.27,7.46,1552,,,,,
173,RAGE Robotics,3,3.89,0.10,1.27,1.31,0.29,0.00,17.14,0.29,-1.00,-1.00,5.71,22.34,-0.30,-3.67,-1.33,0.33,0.33,0.24,-0.03,23.33,1.12,-1.00,-1.00,57.00,0.34,0.16,0.20,35.00,0.94,-1.00,-1.00,0.01,-0.03,0.16,0.00,-0.01,0.02,0.45,0.39,40.47,0.87,1.41,-1.00,-1.00,-0.02,79.73,76.49,0.10,20.25,1524,,,,,
177,Bobcat Robotics,3,4.20,-0.08,-0.74,-0.76,0.41,0.00,24.90,0.41,-1.00,-1.00,8.30,28.34,-0.08,-0.38,-0.12,0.33,0.33,0.13,0.05,17.16,1.06,-1.00,-1.00,48.32,0.28,0.26,0.09,31.28,0.64,-1.00,-1.00,-0.00,0.05,-0.02,0.01,-0.05,0.14,-1.35,3.56,42.06,0.84,1.47,-1.00,-1.00,-0.88,80.21,84.99,0.29,15.58,1554,,,,,
181,Birds Of Prey,3,4.28,-0.21,-0.77,-0.83,0.20,0.00,12.22,0.20,-1.00,-1.00,4.07,15.67,-0.07,2.84,0.92,0.33,0.33,0.33,0.08,35.24,2.30,-1.00,-1.00,64.62,0.14,0.12,0.30,28.45,0.71,-1.00,-1.00,-0.00,0.08,-0.10,0.14,0.47,-0.11,11.23,-2.12,47.47,1.08,2.51,-1.00,-1.00,0.10,78.17,86.52,0.29,-2.81,1421,,,,,
190,Gompei and the H.E.R.D.,3,5.02,0.00,-0.14,-0.14,0.53,0.00,31.53,0.53,-1.00,-1.00,10.51,36.41,-0.06,0.56,0.11,0.33,0.26,0.46,0.08,24.40,2.32,-1.00,-1.00,76.12,0.54,0.41,0.08,51.61,0.89,-1.00,-1.00,0.00,0.08,0.19,0.49,-0.18,0.11,-3.61,5.26,55.93,1.14,2.85,-1.00,-1.00,-0.02,117.79,125.80,0.45,53.77,1526,,,,,
195,CyberKnights,3,4.75,-0.08,21.72,21.70,0.08,0.00,4.77,0.08,-1.00,-1.00,1.59,31.21,-0.19,67.16,22.12,0.33,0.33,0.44,0.07,43.72,2.74,-1.00,-1.00,124.34,0.23,0.51,0.43,58.49,0.78,-1.00,-1.00,0.92,0.07,-0.02,0.24,0.20,0.10,4.75,3.83,48.49,1.17,2.82,-1.00,-1.00,43.82,159.38,184.32,0.56,112.77,1798,,,,,
213,The Dirty Birds,3,4.84,3.33,0.18,1.07,0.36,0.00,21.63,0.36,-1.00,-1.00,7.21,27.54,7.38,-0.22,0.67,0.33,0.34,0.42,0.03,30.43,2.17,-1.00,-1.00,84.23,0.51,0.19,0.36,53.13,0.81,-1.00,-1.00,0.00,0.03,-0.11,0.16,0.04,0.27,0.39,7.64,52.07,1.12,2.54,-1.00,-1.00,1.74,119.42,122.25,0.49,47.60,1533,,,,,
230,Gaelhawks,3,5.63,-0.04,4.94,4.94,0.45,0.00,26.80,0.45,-1.00,-1.00,8.93,37.37,0.16,4.91,1.36,0.33,0.33,0.47,0.13,32.89,2.90,-1.00,-1.00,76.45,0.38,0.08,0.38,42.20,0.83,-1.00,-1.00,-0.00,0.13,-0.05,-0.12,0.01,-0.17,0.01,-4.89,59.69,1.27,3.34,-1.00,-1.00,6.29,108.93,122.16,0.31,12.75,1541,,,,,
