NEGraniteState,nhgrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
78,AIR STRIKE,4.87,-0.02,0.12,0.12,0.14,0.00,8.49,0.14,-1.00,-1.00,2.83,13.47,1.18,0.02,0.19,0.33,0.40,0.33,-0.01,36.50,1.93,-1.00,-1.00,58.55,0.11,0.27,0.06,21.87,0.67,-1.00,-1.00,0.00,-0.01,0.23,0.19,0.12,-0.05,4.14,-0.37,44.99,1.05,2.08,-1.00,-1.00,0.30,71.65,70.96,0.33,27.41,1526,,,,,
95,Grasshoppers,5.24,0.00,-0.01,-0.01,0.21,0.00,12.74,0.21,-1.00,-1.00,4.25,17.97,0.15,2.01,0.57,0.35,0.29,0.10,0.01,21.58,0.83,-1.00,-1.00,69.58,0.26,0.34,0.35,47.43,0.78,-1.00,-1.00,0.00,0.01,-0.19,0.16,-0.14,0.33,-4.52,8.98,34.31,0.75,1.05,-1.00,-1.00,0.56,96.53,97.45,0.44,32.95,1542,,,,,
131,C.H.A.O.S.,4.14,-0.01,-0.18,-0.18,0.58,0.00,35.02,0.58,-1.00,-1.00,11.67,38.98,1.30,0.60,0.24,0.35,0.30,0.53,-0.02,23.04,2.14,-1.00,-1.00,52.17,0.46,0.08,0.04,28.89,0.63,-1.00,-1.00,0.00,-0.02,0.32,0.30,0.23,0.32,7.30,9.43,58.06,1.16,2.72,-1.00,-1.00,0.06,100.59,98.84,0.32,1.53,1498,,,,,
138,Entropy,4.65,-0.01,-0.12,-0.12,0.30,0.00,17.79,0.30,-1.00,-1.00,5.93,22.32,-0.19,-1.71,-0.56,0.34,0.41,0.20,0.06,28.67,1.66,-1.00,-1.00,47.90,0.19,0.21,-0.00,19.79,0.38,-1.00,-1.00,0.00,0.06,-0.01,-0.02,-0.14,0.13,-3.46,3.18,46.46,1.01,1.96,-1.00,-1.00,-0.68,73.40,79.24,0.41,5.78,1466,,,,,
238,Crusaders,5.13,0.09,-0.15,-0.15,0.19,0.00,11.30,0.19,-1.00,-1.00,3.77,16.28,-0.30,2.60,0.78,0.32,0.38,0.04,0.00,22.15,0.72,-1.00,-1.00,56.14,-0.04,0.32,0.39,33.21,0.54,-1.00,-1.00,0.00,0.00,-0.10,-0.13,-0.10,0.18,-3.10,3.86,33.44,0.74,0.90,-1.00,-1.00,0.63,76.27,76.71,0.22,39.83,1508,,,,,
319,Big Bad Bob,4.13,-0.02,0.99,0.99,0.00,0.00,0.17,0.00,-1.00,-1.00,0.06,5.28,0.22,12.08,3.84,0.33,0.40,0.21,-0.04,36.28,1.44,-1.00,-1.00,79.35,0.16,0.34,0.29,39.22,0.77,-1.00,-1.00,0.00,-0.04,0.22,-0.01,-0.04,-0.21,0.09,-5.29,36.45,0.91,1.44,-1.00,-1.00,4.82,79.33,75.78,0.19,15.33,1511,,,,,
467,The Colonials,4.95,0.09,0.04,0.04,0.12,0.00,7.13,0.12,-1.00,-1.00,2.38,12.12,-0.66,-0.79,-0.31,0.33,0.35,-0.00,-0.01,22.16,0.50,-1.00,-1.00,70.92,0.66,0.19,0.13,49.07,0.47,-1.00,-1.00,0.00,-0.01,0.11,0.19,0.33,-0.06,8.78,-0.61,29.29,0.67,0.62,-1.00,-1.00,-0.28,82.42,81.30,0.37,8.00,1454,,,,,
509,Red Storm,4.31,-0.01,-0.06,-0.06,-0.09,0.00,-5.20,-0.09,-1.00,-1.00,-1.73,-0.95,0.30,1.18,0.40,0.33,0.26,0.04,-0.05,26.70,0.45,-1.00,-1.00,55.92,0.03,0.51,0.04,28.81,0.45,-1.00,-1.00,0.00,-0.05,0.09,-0.10,0.58,0.39,15.09,9.23,21.50,0.58,0.37,-1.00,-1.00,0.34,64.20,59.20,0.06,0.40,1427,,,,,
811,Cardinals,5.48,-0.02,-0.26,-0.26,0.20,0.00,12.10,0.20,-1.00,-1.00,4.03,17.32,0.62,0.65,0.25,0.33,0.39,-0.03,-0.02,19.05,0.35,-1.00,-1.00,28.36,0.06,0.24,-0.12,9.06,0.45,-1.00,-1.00,0.00,-0.02,0.26,-0.10,0.15,0.29,5.04,6.86,31.15,0.68,0.55,-1.00,-1.00,-0.01,52.55,50.92,-0.08,-36.87,1408,,,,,
