NEGreaterBoston,mabos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
95,Grasshoppers,5.32,0.58,0.42,0.56,0.04,0.00,2.29,0.04,-1.00,-1.00,0.76,8.17,0.46,3.31,1.14,0.33,0.35,0.63,0.09,54.43,3.71,-1.00,-1.00,92.81,0.16,0.30,0.28,37.24,0.63,-1.00,-1.00,0.07,0.09,0.25,0.02,-0.03,0.11,0.50,2.84,56.71,1.40,3.75,-1.00,-1.00,1.70,103.83,114.06,0.11,27.91,1565,,,,,
97,Bionic Beef,2.99,0.61,-1.15,-0.99,0.28,0.00,16.51,0.28,-1.00,-1.00,5.50,18.51,0.21,-4.30,-1.43,0.33,0.37,0.04,-0.04,17.02,0.39,-1.00,-1.00,28.38,0.14,0.02,0.10,12.79,0.44,-1.00,-1.00,-0.02,-0.04,-0.14,0.01,-0.00,0.23,-0.73,5.88,33.52,0.70,0.66,-1.00,-1.00,-2.42,52.77,48.54,0.13,-21.27,1345,,,,,
125,NUTRONs,4.78,-0.19,12.11,12.06,0.22,0.00,13.28,0.22,-1.00,-1.00,4.43,30.11,-0.44,56.93,18.60,0.33,0.27,0.03,0.02,17.30,0.56,-1.00,-1.00,59.22,0.17,0.20,0.10,23.32,0.63,-1.00,-1.00,0.41,0.02,0.17,0.09,-0.03,-0.20,0.18,-4.55,30.57,0.65,0.78,-1.00,-1.00,30.66,84.77,94.79,0.40,29.26,1472,,,,,
155,The Technonuts,2.18,-0.13,0.51,0.48,-0.04,0.00,-2.62,-0.04,-1.00,-1.00,-0.87,0.04,-0.89,1.86,0.55,0.33,0.35,0.18,-0.02,35.44,1.34,-1.00,-1.00,59.27,0.29,0.09,0.09,23.28,0.57,-1.00,-1.00,0.04,-0.02,0.11,0.04,0.08,-0.12,2.52,-2.85,32.82,0.84,1.29,-1.00,-1.00,1.03,56.46,55.26,-0.04,-65.45,1414,,,,,
178,The 2nd Law Enforcers,2.68,-0.02,-0.99,-1.00,0.10,0.00,6.23,0.10,-1.00,-1.00,2.08,7.91,-0.02,-0.46,-0.08,0.33,0.28,0.27,-0.01,30.48,1.46,-1.00,-1.00,51.01,0.19,0.18,0.04,20.61,0.50,-1.00,-1.00,-0.03,-0.01,0.10,0.10,0.24,-0.19,6.43,-4.36,36.71,0.87,1.56,-1.00,-1.00,-1.08,54.56,53.21,-0.25,-59.13,1345,,,,,
213,The Dirty Birds,5.61,1.78,-0.12,0.30,0.06,0.00,3.55,0.06,-1.00,-1.00,1.18,9.46,5.53,3.44,1.74,0.33,0.35,0.16,-0.01,30.97,1.21,-1.00,-1.00,89.40,0.30,0.29,0.54,56.69,0.81,-1.00,-1.00,0.05,-0.01,-0.07,0.22,-0.08,-0.10,-2.27,-1.52,34.52,0.83,1.27,-1.00,-1.00,2.04,97.34,97.13,0.44,27.70,1490,,,,,
230,Gaelhawks,4.72,-0.24,3.17,3.11,0.65,0.00,38.89,0.65,-1.00,-1.00,12.96,46.72,1.99,6.09,1.84,0.33,0.32,0.39,0.06,18.39,1.92,-1.00,-1.00,51.78,0.19,0.28,0.15,31.55,0.63,-1.00,-1.00,0.02,0.06,0.18,0.01,0.06,0.11,2.47,2.78,57.28,1.11,2.57,-1.00,-1.00,4.95,101.28,107.85,0.29,43.23,1569,,,,,
237,Black Magic Robotics,3.99,-0.06,-1.22,-1.23,0.25,0.00,14.90,0.25,-1.00,-1.00,4.97,17.67,0.00,-0.60,-0.16,0.33,0.36,-0.02,-0.02,15.99,0.25,-1.00,-1.00,35.86,0.16,0.03,0.20,20.03,0.43,-1.00,-1.00,-0.04,-0.02,0.10,0.17,-0.10,0.19,-1.93,5.59,30.89,0.65,0.50,-1.00,-1.00,-1.39,59.12,55.97,0.36,17.01,1490,,,,,
1307,Robosaints,3.26,-0.24,0.84,0.78,-0.15,0.00,-8.97,-0.15,-1.00,-1.00,-2.99,-4.94,0.78,0.70,0.30,0.33,0.36,0.14,-0.02,38.00,1.26,-1.00,-1.00,58.21,0.29,0.10,0.00,19.91,0.50,-1.00,-1.00,0.01,-0.02,0.07,-0.04,0.09,0.25,2.49,6.00,29.03,0.80,1.11,-1.00,-1.00,1.08,59.27,57.02,0.16,-2.66,1383,,,,,
1517,The Lumberjacks,5.96,0.57,0.80,0.95,0.38,0.00,23.09,0.38,-1.00,-1.00,7.70,30.00,-0.39,2.83,0.91,0.33,0.35,0.08,-0.01,14.66,0.57,-1.00,-1.00,56.13,0.38,0.26,0.17,40.56,0.64,-1.00,-1.00,0.11,-0.01,0.35,-0.08,0.24,-0.14,7.76,-3.80,37.76,0.75,0.96,-1.00,-1.00,1.86,82.33,83.65,0.23,17.51,1453,,,,,
1965,Firebirds,3.31,-0.18,0.21,0.17,-0.07,0.00,-4.37,-0.07,-1.00,-1.00,-1.46,-0.89,0.97,-3.08,-0.96,0.33,0.33,0.13,-0.01,34.59,1.23,-1.00,-1.00,73.33,0.43,0.32,0.04,39.70,0.64,-1.00,-1.00,-0.03,-0.01,-0.05,-0.03,0.04,0.33,0.66,8.00,30.23,0.79,1.16,-1.00,-1.00,-0.79,80.44,79.12,0.28,29.60,1431,,,,,
2067,Apple Pi,4.87,-0.11,0.01,-0.01,0.13,0.00,8.03,0.13,-1.00,-1.00,2.68,12.88,-0.09,2.68,0.92,0.33,0.34,0.18,-0.01,28.50,1.22,-1.00,-1.00,64.23,0.30,0.13,0.27,34.81,0.63,-1.00,-1.00,0.06,-0.01,0.13,-0.03,0.21,0.37,5.94,9.17,36.53,0.85,1.36,-1.00,-1.00,0.91,86.28,86.76,0.39,60.28,1636,,,,,
2876,Devilbotz,5.71,-0.21,0.03,-0.02,0.43,0.00,25.59,0.43,-1.00,-1.00,8.53,31.27,1.21,0.90,0.35,0.33,0.37,0.35,0.09,28.57,2.23,-1.00,-1.00,58.18,0.19,0.16,0.23,29.26,0.64,-1.00,-1.00,-0.02,0.09,-0.01,0.35,0.57,0.03,14.15,2.61,54.15,1.14,2.66,-1.00,-1.00,0.33,92.06,100.47,0.20,27.98,1414,,,,,
3205,Patriots,3.83,-0.15,0.45,0.41,0.10,0.00,6.10,0.10,-1.00,-1.00,2.03,10.35,1.10,-0.53,-0.09,0.33,0.36,0.03,-0.02,23.89,0.59,-1.00,-1.00,53.62,0.30,0.04,0.25,29.82,0.57,-1.00,-1.00,-0.04,-0.02,0.10,-0.10,0.29,0.14,7.63,2.97,29.99,0.70,0.69,-1.00,-1.00,0.33,66.94,63.88,0.06,-14.01,1450,,,,,
3958,Schrodinger's Cat,2.55,0.27,0.07,0.12,0.03,0.00,2.03,0.03,-1.00,-1.00,0.68,4.69,-0.46,0.77,0.16,0.33,0.27,0.00,-0.03,21.56,0.33,-1.00,-1.00,44.36,0.23,0.30,-0.08,22.63,0.42,-1.00,-1.00,0.01,-0.03,0.19,0.08,-0.14,0.00,-2.52,0.48,23.59,0.57,0.37,-1.00,-1.00,0.28,49.52,46.80,0.09,3.03,1461,,,,,
4034,Pelham πthons Team 4034,2.10,0.46,-0.19,-0.07,-0.08,0.00,-4.93,-0.08,-1.00,-1.00,-1.64,-2.90,-0.64,-4.23,-1.50,0.33,0.36,-0.07,-0.03,27.18,0.38,-1.00,-1.00,48.25,0.01,0.17,0.26,22.56,0.75,-1.00,-1.00,-0.06,-0.03,-0.12,0.06,-0.14,0.20,-4.06,5.27,22.25,0.60,0.30,-1.00,-1.00,-1.57,50.61,46.96,-0.12,-56.74,1299,,,,,
4042,Murphy's Lawyers,4.06,-0.14,-0.04,-0.07,0.00,0.00,0.13,0.00,-1.00,-1.00,0.04,4.11,-0.41,-1.83,-0.67,0.33,0.26,0.01,-0.03,22.91,0.37,-1.00,-1.00,15.81,-0.24,0.03,0.09,-6.43,0.17,-1.00,-1.00,-0.02,-0.03,-0.09,0.26,-0.01,0.02,-0.67,1.83,23.04,0.57,0.37,-1.00,-1.00,-0.75,21.75,17.96,0.09,-42.30,1293,,,,,
4055,NRG4055,4.46,0.34,0.26,0.32,0.13,0.00,7.73,0.13,-1.00,-1.00,2.58,12.51,-0.41,0.39,0.09,0.33,0.33,0.07,0.09,27.94,1.37,-1.00,-1.00,66.22,0.15,0.46,0.16,38.18,0.69,-1.00,-1.00,0.02,0.09,-0.02,0.10,0.11,0.03,2.72,1.36,35.67,0.83,1.50,-1.00,-1.00,0.41,80.09,89.91,0.26,23.93,1514,,,,,
4796,Cyber Dragons,2.28,-0.23,-1.08,-1.14,0.12,0.00,7.47,0.12,-1.00,-1.00,2.49,8.62,0.70,-4.09,-1.33,0.33,0.38,-0.01,0.01,23.36,0.64,-1.00,-1.00,33.21,0.15,0.15,-0.07,11.18,0.25,-1.00,-1.00,-0.04,0.01,-0.15,0.21,0.01,-0.19,-0.40,-3.59,30.83,0.71,0.77,-1.00,-1.00,-2.47,38.24,38.55,0.11,-10.29,1361,,,,,
5506,Viking Landers,-0.09,-0.13,-0.19,-0.22,0.06,0.00,3.81,0.06,-1.00,-1.00,1.27,3.49,-0.26,0.89,0.32,0.33,0.37,-0.02,-0.01,24.49,0.56,-1.00,-1.00,15.68,-0.05,-0.12,-0.02,-9.13,0.25,-1.00,-1.00,-0.03,-0.01,0.29,0.11,0.21,0.08,6.61,2.50,28.29,0.68,0.63,-1.00,-1.00,0.11,21.67,20.45,-0.09,-53.37,1348,,,,,
5563,Phalanx,4.27,0.10,0.24,0.27,0.47,0.00,28.39,0.47,-1.00,-1.00,9.46,32.93,0.21,3.73,1.24,0.33,0.31,0.14,-0.03,10.86,0.50,-1.00,-1.00,27.39,0.12,0.01,0.17,15.29,0.61,-1.00,-1.00,0.07,-0.03,0.02,-0.11,0.17,0.34,4.23,7.98,39.25,0.74,0.97,-1.00,-1.00,1.51,68.31,66.69,0.12,3.27,1396,,,,,
5687,The Outliers,5.48,-0.12,0.32,0.29,0.36,0.00,21.42,0.36,-1.00,-1.00,7.14,27.19,-0.30,-0.92,-0.28,0.33,0.35,0.71,0.17,48.23,4.19,-1.00,-1.00,103.29,0.33,0.40,0.37,55.34,0.68,-1.00,-1.00,-0.01,0.17,-0.07,0.14,-0.17,0.16,-4.70,4.62,69.65,1.56,4.55,-1.00,-1.00,0.01,135.10,151.93,0.53,64.01,1621,,,,,
5844,Phoenix Tech,5.30,-0.17,0.12,0.08,0.24,0.00,14.68,0.24,-1.00,-1.00,4.89,20.07,-0.48,-0.07,-0.08,0.33,0.38,-0.20,-0.00,10.75,-0.28,-1.00,-1.00,22.34,0.05,0.06,0.12,11.67,0.42,-1.00,-1.00,-0.07,-0.00,-0.11,0.16,-0.20,0.32,-5.61,8.81,25.43,0.51,-0.04,-1.00,-1.00,0.00,51.22,49.75,0.15,6.08,1337,,,,,
5969,English Skunkworks,4.81,-0.01,0.32,0.31,-0.01,0.00,-0.52,-0.01,-1.00,-1.00,-0.17,4.59,-0.29,0.33,0.10,0.33,0.36,0.09,-0.02,30.78,0.97,-1.00,-1.00,33.93,0.05,-0.07,0.08,3.05,0.25,-1.00,-1.00,0.01,-0.02,0.27,-0.15,0.29,-0.01,8.53,-0.98,30.25,0.76,0.96,-1.00,-1.00,0.42,37.55,36.01,0.04,-44.02,1285,,,,,
