NEHartford,cthar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
173,RAGE Robotics,3.89,0.10,1.27,1.31,0.29,0.00,17.14,0.29,-1.00,-1.00,5.71,22.34,-0.30,-3.67,-1.33,0.33,0.33,0.24,-0.03,23.33,1.12,-1.00,-1.00,57.00,0.34,0.16,0.20,35.00,0.94,-1.00,-1.00,0.01,-0.03,0.16,0.00,-0.01,0.02,0.45,0.39,40.47,0.87,1.41,-1.00,-1.00,-0.02,79.73,76.49,0.10,20.25,1524,,,,,
175,Buzz Robotics,4.24,0.01,1.51,1.51,0.16,0.00,9.58,0.16,-1.00,-1.00,3.19,15.34,-0.44,1.94,0.52,0.33,0.33,0.43,0.05,39.32,2.51,-1.00,-1.00,72.04,0.22,0.41,0.02,32.20,0.87,-1.00,-1.00,0.00,0.05,-0.07,0.54,-0.06,0.11,-1.83,5.36,48.91,1.14,2.67,-1.00,-1.00,2.03,92.74,97.56,0.33,38.63,1572,,,,,
177,Bobcat Robotics,4.20,-0.08,-0.74,-0.76,0.41,0.00,24.90,0.41,-1.00,-1.00,8.30,28.34,-0.08,-0.38,-0.12,0.33,0.33,0.13,0.05,17.16,1.06,-1.00,-1.00,48.32,0.28,0.26,0.09,31.28,0.64,-1.00,-1.00,-0.00,0.05,-0.02,0.01,-0.05,0.14,-1.35,3.56,42.06,0.84,1.47,-1.00,-1.00,-0.88,80.21,84.99,0.29,15.58,1554,,,,,
178,The 2nd Law Enforcers,4.17,-0.01,0.34,0.34,-0.07,0.00,-4.44,-0.07,-1.00,-1.00,-1.48,0.08,1.42,-0.89,-0.14,0.33,0.33,0.41,0.04,47.33,2.59,-1.00,-1.00,84.63,0.40,-0.03,0.38,37.44,0.67,-1.00,-1.00,-0.00,0.04,0.12,0.06,-0.09,0.08,-1.64,2.25,42.90,1.11,2.51,-1.00,-1.00,0.20,86.96,90.68,0.27,30.45,1407,,,,,
181,Birds Of Prey,4.28,-0.21,-0.77,-0.83,0.20,0.00,12.22,0.20,-1.00,-1.00,4.07,15.67,-0.07,2.84,0.92,0.33,0.33,0.33,0.08,35.24,2.30,-1.00,-1.00,64.62,0.14,0.12,0.30,28.45,0.71,-1.00,-1.00,-0.00,0.08,-0.10,0.14,0.47,-0.11,11.23,-2.12,47.47,1.08,2.51,-1.00,-1.00,0.10,78.17,86.52,0.29,-2.81,1421,,,,,
195,CyberKnights,4.75,-0.08,21.72,21.70,0.08,0.00,4.77,0.08,-1.00,-1.00,1.59,31.21,-0.19,67.16,22.12,0.33,0.33,0.44,0.07,43.72,2.74,-1.00,-1.00,124.34,0.23,0.51,0.43,58.49,0.78,-1.00,-1.00,0.92,0.07,-0.02,0.24,0.20,0.10,4.75,3.83,48.49,1.17,2.82,-1.00,-1.00,43.82,159.38,184.32,0.56,112.77,1798,,,,,
228,GUS Robotics,4.95,-0.12,1.58,1.55,0.54,0.00,32.58,0.54,-1.00,-1.00,10.86,39.08,-0.22,2.43,0.57,0.33,0.33,0.40,-0.04,19.21,1.47,-1.00,-1.00,65.68,0.42,0.24,0.26,45.90,0.88,-1.00,-1.00,0.00,-0.04,-0.16,-0.04,-0.14,0.01,-4.37,0.10,51.78,1.02,2.01,-1.00,-1.00,2.13,104.86,100.78,0.26,20.78,1539,,,,,
230,Gaelhawks,5.63,-0.04,4.94,4.94,0.45,0.00,26.80,0.45,-1.00,-1.00,8.93,37.37,0.16,4.91,1.36,0.33,0.33,0.47,0.13,32.89,2.90,-1.00,-1.00,76.45,0.38,0.08,0.38,42.20,0.83,-1.00,-1.00,-0.00,0.13,-0.05,-0.12,0.01,-0.17,0.01,-4.89,59.69,1.27,3.34,-1.00,-1.00,6.29,108.93,122.16,0.31,12.75,1541,,,,,
236,Techno-Ticks,4.33,0.24,0.08,0.13,0.45,0.00,26.85,0.45,-1.00,-1.00,8.95,31.31,-0.25,2.91,0.93,0.33,0.33,0.40,-0.03,23.27,1.60,-1.00,-1.00,51.03,0.03,0.27,0.23,26.83,0.69,-1.00,-1.00,0.00,-0.03,-0.00,0.06,0.09,0.10,2.22,2.91,50.12,1.03,2.05,-1.00,-1.00,1.06,85.25,81.86,0.14,0.39,1566,,,,,
