NENorthShore,marea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
58,The Riot Crew,4.48,0.06,0.30,0.31,0.26,0.00,15.84,0.26,-1.00,-1.00,5.28,20.63,0.16,-1.62,-0.58,0.33,0.41,0.10,-0.01,22.77,0.89,-1.00,-1.00,72.48,0.50,0.26,0.24,50.28,0.86,-1.00,-1.00,-0.01,-0.01,-0.04,0.16,0.19,0.55,4.57,14.51,38.61,0.83,1.15,-1.00,-1.00,-0.27,107.62,106.33,0.47,43.85,1525,,,,,
133,B.E.R.T.,3.95,-0.04,2.50,2.49,0.27,0.00,15.90,0.27,-1.00,-1.00,5.30,22.34,-0.66,41.00,13.35,0.33,0.42,-0.11,-0.01,14.40,0.04,-1.00,-1.00,65.24,0.19,0.32,0.24,37.49,0.80,-1.00,-1.00,0.01,-0.01,0.04,-0.17,0.53,0.18,13.41,3.73,30.30,0.63,0.31,-1.00,-1.00,15.84,91.31,90.04,0.38,18.72,1607,,,,,
173,RAGE Robotics,2.66,-0.16,-0.05,-0.09,-0.08,0.00,-4.87,-0.08,-1.00,-1.00,-1.62,-2.31,-1.14,1.79,0.41,0.33,0.34,0.16,-0.01,36.11,1.32,-1.00,-1.00,67.41,0.08,0.24,0.30,30.88,0.67,-1.00,-1.00,-0.01,-0.01,0.04,-0.09,0.56,-0.21,14.34,-5.72,31.24,0.82,1.24,-1.00,-1.00,0.32,59.37,57.91,0.07,-42.80,1399,,,,,
246,Overclocked,4.48,-0.15,0.04,0.00,0.16,0.00,9.38,0.16,-1.00,-1.00,3.13,13.86,0.27,2.52,0.77,0.33,0.43,0.12,-0.01,28.62,1.09,-1.00,-1.00,46.99,0.08,0.17,0.10,17.60,0.60,-1.00,-1.00,0.00,-0.01,0.16,-0.15,-0.06,0.49,-0.71,11.59,38.00,0.87,1.24,-1.00,-1.00,0.77,72.44,71.20,0.42,28.38,1459,,,,,
319,Big Bad Bob,4.39,-0.12,0.19,0.16,-0.06,0.00,-3.47,-0.06,-1.00,-1.00,-1.16,1.07,0.30,16.08,5.18,0.33,0.26,0.35,-0.01,39.26,1.86,-1.00,-1.00,83.33,0.19,0.43,0.16,38.89,0.73,-1.00,-1.00,0.01,-0.01,0.26,0.16,0.10,-0.05,3.70,-0.41,35.79,0.92,1.80,-1.00,-1.00,5.33,84.00,82.75,0.15,-5.22,1500,,,,,
1027,Project Jabberwocky,4.39,-0.13,0.24,0.21,0.12,0.00,7.19,0.12,-1.00,-1.00,2.40,11.79,1.78,-4.88,-1.45,0.33,0.17,0.12,-0.01,20.29,0.71,-1.00,-1.00,44.37,0.20,0.26,0.05,25.53,0.61,-1.00,-1.00,0.00,-0.01,-0.16,0.02,0.25,0.13,5.55,3.26,27.48,0.63,0.83,-1.00,-1.00,-1.24,59.41,58.94,0.27,12.23,1464,,,,,
1058,PVC Pirates,2.45,0.06,0.86,0.88,0.33,0.00,19.59,0.33,-1.00,-1.00,6.53,22.92,-0.58,0.34,-0.03,0.33,0.40,0.63,0.08,44.63,3.46,-1.00,-1.00,75.19,0.13,0.06,0.42,30.58,0.71,-1.00,-1.00,-0.01,0.08,-0.11,0.11,0.14,-0.10,2.87,-1.84,64.23,1.44,3.79,-1.00,-1.00,0.84,96.27,103.80,0.11,5.52,1536,,,,,
1071,Team Max,5.31,0.67,0.51,0.67,0.61,0.00,36.77,0.61,-1.00,-1.00,12.26,42.76,0.12,-4.09,-1.32,0.33,0.39,0.54,-0.02,25.65,2.24,-1.00,-1.00,61.54,0.20,0.33,0.22,37.21,0.95,-1.00,-1.00,-0.00,-0.02,0.12,0.08,0.02,0.09,1.02,2.54,62.42,1.25,2.85,-1.00,-1.00,-0.65,106.84,105.32,0.16,18.82,1563,,,,,
1289,Gearheadz,5.02,-0.09,-0.01,-0.03,0.36,0.00,21.57,0.36,-1.00,-1.00,7.19,26.55,1.09,-0.38,-0.07,0.33,0.31,0.37,-0.01,25.59,1.67,-1.00,-1.00,62.09,0.13,0.30,0.29,36.57,0.67,-1.00,-1.00,0.01,-0.01,0.02,-0.02,-0.17,-0.07,-4.19,-1.87,47.15,1.00,2.03,-1.00,-1.00,-0.10,86.77,86.29,0.22,35.72,1468,,,,,
