NEPineTree,melew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
58,The Riot Crew,4.49,-0.06,-0.22,-0.24,0.21,0.00,12.52,0.21,-1.00,-1.00,4.17,16.77,-0.12,1.37,0.43,0.34,0.33,0.40,-0.01,33.84,1.98,-1.00,-1.00,56.52,0.30,0.20,-0.05,22.25,0.90,-1.00,-1.00,-0.04,-0.01,0.18,-0.10,0.15,0.60,4.66,14.50,46.36,1.05,2.19,-1.00,-1.00,0.18,87.79,85.73,0.28,5.90,1468,,,,,
125,NUTRONs,4.68,-0.23,14.23,14.16,0.30,0.00,17.86,0.30,-1.00,-1.00,5.95,36.70,-1.36,59.95,19.56,0.25,0.16,0.00,-0.03,3.50,-0.13,-1.00,-1.00,54.33,0.20,0.24,0.18,31.27,0.80,-1.00,-1.00,0.53,-0.03,0.03,-0.02,0.56,0.24,14.20,6.02,21.36,0.39,0.17,-1.00,-1.00,33.72,97.05,104.97,0.14,3.88,1494,,,,,
133,B.E.R.T.,5.26,-0.35,-0.27,-0.38,0.33,0.00,20.04,0.33,-1.00,-1.00,6.68,24.92,0.26,45.62,14.91,0.35,0.36,0.35,0.00,28.91,1.79,-1.00,-1.00,65.98,0.21,0.09,0.14,22.16,0.72,-1.00,-1.00,0.18,0.00,0.06,-0.07,0.04,0.15,1.20,3.39,48.95,1.06,2.12,-1.00,-1.00,14.53,94.28,97.92,0.27,7.46,1552,,,,,
166,Chop Shop,4.77,0.78,-0.44,-0.20,-0.02,0.00,-0.96,-0.02,-1.00,-1.00,-0.32,3.61,0.83,-3.44,-1.14,0.33,0.35,0.23,-0.02,36.28,1.49,-1.00,-1.00,46.01,0.19,0.07,-0.03,10.87,0.57,-1.00,-1.00,-0.02,-0.02,0.10,0.12,-0.09,0.29,-1.65,7.81,35.32,0.89,1.47,-1.00,-1.00,-1.34,57.42,54.61,0.26,0.55,1407,,,,,
172,Northern Force,4.43,-0.37,-1.34,-1.45,0.10,0.00,5.89,0.10,-1.00,-1.00,1.96,8.87,-0.25,-0.44,-0.29,0.34,0.26,0.41,-0.00,36.40,2.13,-1.00,-1.00,97.86,0.33,0.43,0.47,61.74,0.86,-1.00,-1.00,-0.02,-0.00,0.01,-0.07,0.40,0.05,10.14,0.90,42.30,1.01,2.23,-1.00,-1.00,-1.74,107.62,107.14,0.25,36.73,1529,,,,,
348,Norwell Robotics,4.82,-0.40,-0.08,-0.20,0.72,0.00,43.37,0.72,-1.00,-1.00,14.46,47.98,-0.84,1.48,0.45,0.33,0.34,0.66,0.05,26.19,2.90,-1.00,-1.00,76.45,0.37,0.26,0.36,49.81,0.93,-1.00,-1.00,0.01,0.05,-0.19,0.26,-0.02,-0.23,-1.49,-4.48,69.56,1.38,3.62,-1.00,-1.00,0.25,119.96,125.33,0.61,76.21,1636,,,,,
663,Robonauts,5.49,0.36,-0.36,-0.24,0.14,0.00,8.11,0.14,-1.00,-1.00,2.70,13.36,-0.92,-3.66,-1.30,0.34,0.36,0.38,-0.01,37.58,2.07,-1.00,-1.00,77.64,0.16,0.46,0.20,41.35,0.90,-1.00,-1.00,-0.03,-0.01,0.09,0.26,0.29,0.57,7.80,15.45,45.69,1.07,2.21,-1.00,-1.00,-1.53,106.45,105.19,0.21,11.69,1477,,,,,
1519,Mechanical Mayhem,5.69,-0.20,5.67,5.61,0.24,0.00,14.48,0.24,-1.00,-1.00,4.83,25.78,-1.23,6.40,1.79,0.34,0.36,0.59,-0.03,40.60,2.64,-1.00,-1.00,61.22,-0.05,0.19,0.23,18.84,0.72,-1.00,-1.00,0.04,-0.03,0.05,0.23,0.13,0.39,3.47,10.94,55.07,1.26,2.89,-1.00,-1.00,7.39,97.94,95.58,0.47,42.51,1647,,,,,
1768,RoboChiefs,4.89,0.00,1.01,1.01,0.54,0.00,32.49,0.54,-1.00,-1.00,10.83,38.38,-0.57,3.01,0.89,0.34,0.34,0.45,-0.02,22.98,1.85,-1.00,-1.00,75.24,0.40,0.32,0.31,51.37,0.73,-1.00,-1.00,0.04,-0.02,-0.20,0.30,0.07,-0.05,0.82,0.36,55.47,1.12,2.39,-1.00,-1.00,1.89,113.99,112.92,0.40,41.62,1501,,,,,
