NERhodeIsland,ripro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
69,HYPER,4.41,0.22,-0.33,-0.26,0.25,0.00,15.07,0.25,-1.00,-1.00,5.02,19.22,-0.01,0.42,0.08,0.33,0.33,0.03,-0.01,17.70,0.52,-1.00,-1.00,83.95,0.21,0.50,0.62,66.16,0.93,-1.00,-1.00,-0.03,-0.01,0.00,-0.13,0.02,-0.05,0.46,-1.99,32.78,0.69,0.77,-1.00,-1.00,-0.18,101.18,100.13,0.34,27.07,1509,,,,,
78,AIR STRIKE,5.41,0.15,0.31,0.38,0.11,0.00,6.80,0.11,-1.00,-1.00,2.27,12.59,-0.17,1.11,0.28,0.33,0.33,0.34,0.11,40.32,2.60,-1.00,-1.00,99.14,0.43,0.52,0.22,58.53,0.94,-1.00,-1.00,-0.00,0.11,0.07,0.20,0.18,0.16,4.76,5.11,47.12,1.12,2.72,-1.00,-1.00,0.67,116.84,128.05,0.49,63.18,1682,,,,,
88,TJ(Squared),4.27,0.08,0.54,0.57,0.19,0.00,11.19,0.19,-1.00,-1.00,3.73,16.03,-0.28,0.18,-0.05,0.33,0.33,0.48,-0.01,37.83,2.32,-1.00,-1.00,70.80,0.31,0.25,0.10,33.02,0.87,-1.00,-1.00,0.01,-0.01,0.11,0.20,-0.04,0.34,-0.48,9.41,49.02,1.13,2.51,-1.00,-1.00,0.52,96.23,95.50,0.29,23.00,1512,,,,,
121,Rhode Warriors,5.80,-0.32,1.49,1.40,0.18,0.00,10.82,0.18,-1.00,-1.00,3.61,18.02,-0.27,-0.55,-0.20,0.33,0.34,0.13,0.13,30.24,1.79,-1.00,-1.00,76.23,0.24,0.36,0.33,46.19,0.79,-1.00,-1.00,0.05,0.13,0.06,0.13,0.05,-0.14,1.66,-2.90,41.07,0.94,1.97,-1.00,-1.00,1.19,91.36,105.21,0.17,-9.03,1509,,,,,
125,NUTRONs,4.86,-0.27,9.60,9.53,-0.10,0.00,-5.99,-0.10,-1.00,-1.00,-2.00,8.40,-0.25,58.40,19.17,0.33,0.25,0.16,-0.03,32.64,1.16,-1.00,-1.00,96.14,0.32,0.12,0.45,44.33,0.65,-1.00,-1.00,0.50,-0.03,0.04,-0.17,0.36,-0.13,9.25,-4.08,26.65,0.72,1.06,-1.00,-1.00,28.70,100.45,107.77,0.27,21.51,1514,,,,,
126,Gael Force,5.39,0.14,-0.62,-0.55,0.36,0.00,21.86,0.36,-1.00,-1.00,7.29,26.69,0.01,-4.32,-1.41,0.33,0.35,0.54,-0.02,33.75,2.37,-1.00,-1.00,62.46,0.17,0.10,0.33,30.12,0.57,-1.00,-1.00,-0.03,-0.02,0.33,0.44,0.02,-0.11,2.24,-0.65,55.61,1.21,2.74,-1.00,-1.00,-1.96,88.50,85.79,0.27,8.61,1455,,,,,
157,AZTECHS,5.16,-0.02,-0.96,-0.97,0.37,0.00,22.23,0.37,-1.00,-1.00,7.41,26.42,-0.04,-5.06,-1.69,0.33,0.34,0.09,0.01,16.30,0.75,-1.00,-1.00,44.49,-0.03,0.19,0.44,29.88,0.75,-1.00,-1.00,-0.04,0.01,0.11,0.06,0.03,0.32,1.43,8.32,38.53,0.78,1.12,-1.00,-1.00,-2.66,79.24,79.59,0.11,-11.03,1478,,,,,
176,Aces High,4.79,-0.02,0.42,0.41,-0.15,0.00,-8.93,-0.15,-1.00,-1.00,-2.98,-3.73,-0.55,1.71,0.46,0.33,0.34,0.41,-0.04,47.87,2.24,-1.00,-1.00,83.47,0.51,0.31,-0.12,35.14,0.67,-1.00,-1.00,0.02,-0.04,-0.08,0.16,-0.12,-0.02,-3.28,0.21,38.94,1.05,2.09,-1.00,-1.00,0.87,79.96,76.36,0.19,-21.80,1453,,,,,
190,Gompei and the H.E.R.D.,5.45,0.18,-0.45,-0.40,0.38,0.00,22.85,0.38,-1.00,-1.00,7.62,27.90,-0.33,1.72,0.51,0.33,0.34,0.43,-0.04,27.09,1.75,-1.00,-1.00,75.18,0.35,0.37,0.23,47.58,0.81,-1.00,-1.00,-0.04,-0.04,0.20,-0.16,0.05,0.41,2.18,9.47,49.95,1.06,2.13,-1.00,-1.00,0.11,112.55,107.69,0.13,26.46,1502,,,,,
