NESEMass,mabri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
78,AIR STRIKE,4.95,0.00,-0.01,-0.01,0.49,0.00,29.50,0.49,-1.00,-1.00,9.83,34.44,0.24,-0.34,-0.14,0.34,0.42,0.63,-0.01,35.58,2.80,-1.00,-1.00,87.72,0.48,0.25,0.32,52.27,0.87,-1.00,-1.00,0.00,-0.01,-0.02,0.22,-0.14,0.38,-3.54,10.66,65.08,1.38,3.29,-1.00,-1.00,-0.15,132.82,131.61,0.40,89.56,1637,,,,,
88,TJ(Squared),4.23,0.00,-0.01,-0.01,-0.06,0.00,-3.83,-0.06,-1.00,-1.00,-1.28,0.38,-0.50,-0.21,-0.06,0.33,0.36,0.09,-0.00,33.72,1.12,-1.00,-1.00,82.07,0.43,0.21,0.32,48.40,0.90,-1.00,-1.00,0.00,-0.00,-0.09,-0.05,0.26,0.13,6.17,3.09,29.89,0.78,1.06,-1.00,-1.00,-0.07,85.54,85.17,0.32,34.59,1547,,,,,
97,Bionic Beef,4.53,0.00,0.00,0.00,0.15,0.00,8.88,0.15,-1.00,-1.00,2.96,13.41,-0.04,0.40,0.04,0.34,0.20,-0.15,-0.01,9.13,-0.42,-1.00,-1.00,17.43,0.03,0.07,0.07,8.26,0.25,-1.00,-1.00,0.00,-0.01,0.19,0.30,0.16,-0.17,5.06,-2.79,18.01,0.38,-0.28,-1.00,-1.00,0.04,28.06,26.85,0.03,-26.68,1343,,,,,
121,Rhode Warriors,5.50,0.00,0.00,0.00,0.29,0.00,17.58,0.29,-1.00,-1.00,5.86,23.08,0.27,-0.49,-0.18,0.33,0.42,0.24,-0.01,27.68,1.45,-1.00,-1.00,69.34,0.18,0.24,0.41,41.84,0.43,-1.00,-1.00,0.00,-0.01,0.02,0.36,-0.03,0.16,-0.74,5.82,45.26,0.99,1.75,-1.00,-1.00,-0.18,98.24,97.50,0.45,62.68,1545,,,,,
151,Tough Techs,3.16,0.00,0.02,0.02,-0.02,0.00,-1.17,-0.02,-1.00,-1.00,-0.39,2.01,-0.09,-0.34,-0.14,0.25,0.13,-0.11,0.00,11.50,-0.25,-1.00,-1.00,5.45,0.03,-0.13,-0.02,-5.91,0.17,-1.00,-1.00,0.00,0.00,0.21,-0.20,0.25,0.21,7.38,4.27,10.33,0.27,-0.27,-1.00,-1.00,-0.11,11.73,11.75,-0.10,-84.99,1303,,,,,
157,AZTECHS,6.25,0.00,0.02,0.02,0.22,0.00,13.26,0.22,-1.00,-1.00,4.42,19.54,-0.47,-0.07,-0.11,0.32,0.22,0.06,0.00,15.28,0.44,-1.00,-1.00,43.33,0.12,0.21,0.23,28.16,0.50,-1.00,-1.00,0.00,0.00,-0.07,-0.17,-0.19,-0.01,-4.98,-1.09,28.55,0.60,0.66,-1.00,-1.00,-0.09,61.78,61.89,0.27,12.34,1470,,,,,
172,Northern Force,5.40,0.00,0.00,0.00,0.10,0.00,5.93,0.10,-1.00,-1.00,1.98,11.33,0.23,2.18,0.65,0.33,0.39,0.12,-0.01,29.57,1.20,-1.00,-1.00,52.35,0.20,-0.06,0.29,22.13,0.25,-1.00,-1.00,0.00,-0.01,0.22,0.00,-0.27,0.52,-5.74,12.90,35.50,0.84,1.30,-1.00,-1.00,0.65,76.58,75.77,0.14,16.51,1519,,,,,
348,Norwell Robotics,4.57,0.00,-0.05,-0.05,0.60,0.00,36.12,0.60,-1.00,-1.00,12.04,40.64,0.46,3.21,1.10,0.34,0.38,0.41,0.08,24.87,2.33,-1.00,-1.00,57.61,0.61,0.01,0.01,31.64,0.73,-1.00,-1.00,0.00,0.08,0.05,-0.09,-0.09,1.23,-2.01,30.24,61.00,1.22,2.93,-1.00,-1.00,1.04,128.48,136.92,0.54,98.22,1563,,,,,
1757,Wolverines,4.48,0.00,-0.06,-0.06,0.13,0.00,7.73,0.13,-1.00,-1.00,2.58,12.16,0.32,2.61,0.86,0.34,0.22,0.13,-0.00,22.31,0.90,-1.00,-1.00,63.22,0.43,0.17,0.21,40.05,0.59,-1.00,-1.00,0.00,-0.00,0.59,0.01,0.58,0.71,17.39,17.79,30.04,0.69,1.03,-1.00,-1.00,0.80,93.17,93.00,0.42,28.60,1426,,,,,
1761,STEAMpunk Tigers,5.38,0.00,0.14,0.14,0.11,0.00,6.63,0.11,-1.00,-1.00,2.21,12.14,0.49,-1.48,-0.42,0.25,0.04,-0.14,0.00,1.83,-0.57,-1.00,-1.00,4.80,-0.07,0.03,0.10,3.39,0.08,-1.00,-1.00,0.00,0.00,0.13,0.07,0.09,0.54,3.01,13.83,8.46,0.16,-0.46,-1.00,-1.00,-0.28,30.78,30.84,-0.05,-65.06,1305,,,,,
1831,Screaming Eagles,3.88,0.00,-0.04,-0.04,0.10,0.00,6.14,0.10,-1.00,-1.00,2.05,9.98,0.64,-3.52,-1.08,0.34,0.49,0.26,0.00,39.39,1.90,-1.00,-1.00,51.90,-0.06,0.22,0.11,13.58,0.60,-1.00,-1.00,0.00,0.00,0.30,-0.06,0.38,0.41,11.06,9.86,45.53,1.09,2.00,-1.00,-1.00,-1.12,71.74,71.75,0.25,13.54,1472,,,,,
1922,Oz-Ram,3.30,0.00,-0.05,-0.05,0.17,0.00,10.11,0.17,-1.00,-1.00,3.37,13.36,0.18,0.33,0.02,0.34,0.49,0.16,-0.00,32.65,1.42,-1.00,-1.00,94.13,0.35,0.48,0.39,61.46,0.86,-1.00,-1.00,0.00,-0.00,0.10,0.12,0.22,0.18,5.88,4.98,42.76,0.98,1.59,-1.00,-1.00,-0.02,112.47,112.07,0.32,70.23,1503,,,,,
2079,4H ALARM Robotics,4.14,0.00,0.04,0.04,0.02,0.00,1.00,0.02,-1.00,-1.00,0.33,5.18,-0.59,0.64,-0.06,0.34,0.13,-0.04,-0.02,15.99,-0.02,-1.00,-1.00,19.10,0.10,0.09,-0.12,3.17,0.17,-1.00,-1.00,0.00,-0.02,0.33,-0.03,-0.04,-0.22,0.61,-5.59,16.98,0.42,-0.00,-1.00,-1.00,-0.02,18.69,16.85,-0.14,-44.93,1387,,,,,
2168,Aluminum Falcons,3.30,0.00,0.01,0.01,0.06,0.00,3.54,0.06,-1.00,-1.00,1.18,6.85,0.16,0.08,0.10,0.33,0.38,0.60,0.08,53.72,3.62,-1.00,-1.00,80.27,0.09,0.35,0.09,26.45,0.60,-1.00,-1.00,0.00,0.08,0.12,-0.02,-0.06,0.40,-1.05,9.95,57.26,1.40,3.68,-1.00,-1.00,0.10,97.07,105.48,0.36,23.96,1548,,,,,
2648,Infinite Loop,2.25,0.00,0.49,0.49,0.10,0.00,6.04,0.10,-1.00,-1.00,2.01,8.78,1.59,58.88,19.38,0.34,0.10,-0.02,-0.01,12.25,-0.04,-1.00,-1.00,43.06,0.09,0.10,0.04,11.43,0.61,-1.00,-1.00,0.00,-0.01,0.01,-0.02,-0.04,0.17,-0.93,4.10,18.29,0.41,0.06,-1.00,-1.00,19.87,55.94,55.11,0.26,20.04,1530,,,,,
3182,Athena's Warriors,4.38,0.00,-0.07,-0.07,-0.13,0.00,-7.80,-0.13,-1.00,-1.00,-2.60,-3.49,0.06,2.46,0.83,0.35,0.29,-0.08,-0.01,27.00,0.32,-1.00,-1.00,33.05,0.04,-0.03,0.10,5.22,0.08,-1.00,-1.00,0.00,-0.01,0.01,0.54,0.54,-0.01,13.48,2.54,19.20,0.54,0.19,-1.00,-1.00,0.75,32.09,31.27,0.07,-14.41,1388,,,,,
3205,Patriots,4.65,0.00,-0.01,-0.01,0.22,0.00,13.44,0.22,-1.00,-1.00,4.48,18.08,-0.20,3.02,1.00,0.34,0.31,-0.10,0.01,13.70,0.15,-1.00,-1.00,54.52,0.35,0.19,0.26,39.82,0.59,-1.00,-1.00,0.00,0.01,-0.20,0.12,-0.10,0.33,-3.52,8.80,27.14,0.57,0.37,-1.00,-1.00,0.99,81.40,82.31,0.41,37.93,1520,,,,,
3461,Operation PEACCE Robotics ,5.52,0.00,-0.03,-0.03,0.32,0.00,19.49,0.32,-1.00,-1.00,6.50,24.97,-0.58,0.91,0.20,0.34,0.40,0.08,-0.01,19.48,0.75,-1.00,-1.00,40.91,0.15,0.14,0.14,21.23,0.25,-1.00,-1.00,0.00,-0.01,0.18,-0.05,0.40,0.65,10.94,15.92,38.97,0.81,1.07,-1.00,-1.00,0.17,81.79,80.89,0.18,24.09,1495,,,,,
3566,Gone Fishin',5.61,0.00,-0.02,-0.02,-0.03,0.00,-1.59,-0.03,-1.00,-1.00,-0.53,4.00,0.44,-4.24,-1.34,0.33,0.27,0.09,-0.00,28.50,0.87,-1.00,-1.00,70.75,0.11,0.45,0.31,43.59,0.86,-1.00,-1.00,0.00,-0.00,0.02,0.35,0.21,0.03,5.37,2.47,26.90,0.69,0.84,-1.00,-1.00,-1.36,77.22,77.04,0.23,29.56,1475,,,,,
3609,Duct Tape Dragons,5.25,0.00,-0.04,-0.04,-0.18,0.00,-10.92,-0.18,-1.00,-1.00,-3.64,-5.71,-0.06,-0.12,-0.02,0.34,0.18,-0.04,-0.01,26.27,0.35,-1.00,-1.00,49.20,0.16,0.27,0.03,22.94,0.58,-1.00,-1.00,0.00,-0.01,0.02,0.13,0.07,-0.22,1.82,-4.77,15.35,0.47,0.17,-1.00,-1.00,-0.06,38.72,38.12,0.20,7.92,1421,,,,,
