NESouthernNH,nhbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
95,Grasshoppers,4.41,-0.02,0.24,0.24,0.21,0.00,12.83,0.21,-1.00,-1.00,4.28,17.48,-0.18,-0.17,-0.11,0.33,0.32,0.55,0.23,49.06,4.03,-1.00,-1.00,97.99,0.61,0.15,0.22,49.04,0.79,-1.00,-1.00,0.00,0.23,-0.01,-0.18,0.19,0.46,4.66,10.59,61.89,1.44,4.24,-1.00,-1.00,0.13,126.06,149.21,0.39,50.17,1583,,,,,
131,C.H.A.O.S.,5.60,4.67,-0.06,1.23,0.38,0.00,22.98,0.38,-1.00,-1.00,7.66,29.80,7.93,-0.19,0.75,0.33,0.34,0.49,0.21,39.82,3.54,-1.00,-1.00,89.39,0.32,0.24,0.41,48.82,0.56,-1.00,-1.00,0.00,0.21,-0.18,0.37,-0.07,0.02,-2.72,2.23,62.80,1.38,3.93,-1.00,-1.00,1.98,121.42,142.84,0.47,55.28,1607,,,,,
138,Entropy,4.72,0.11,0.33,0.36,0.05,0.00,2.72,0.05,-1.00,-1.00,0.91,7.81,-0.37,0.33,-0.04,0.33,0.34,0.33,-0.06,35.93,1.60,-1.00,-1.00,76.75,0.23,0.45,0.14,40.85,0.64,-1.00,-1.00,0.00,-0.06,-0.21,0.27,-0.06,0.07,-2.45,3.14,38.65,0.94,1.64,-1.00,-1.00,0.33,87.69,81.82,0.29,-4.20,1434,,,,,
151,Tough Techs,3.16,-0.27,-0.32,-0.39,0.13,0.00,7.59,0.13,-1.00,-1.00,2.53,10.35,-1.08,0.23,-0.14,0.33,0.34,0.10,-0.05,23.68,0.63,-1.00,-1.00,8.93,-0.09,-0.07,-0.13,-14.60,0.00,-1.00,-1.00,0.00,-0.05,0.37,0.01,0.24,-0.04,7.81,-1.03,31.26,0.72,0.76,-1.00,-1.00,-0.54,18.25,13.07,-0.20,-58.77,1292,,,,,
213,The Dirty Birds,4.84,3.33,0.18,1.07,0.36,0.00,21.63,0.36,-1.00,-1.00,7.21,27.54,7.38,-0.22,0.67,0.33,0.34,0.42,0.03,30.43,2.17,-1.00,-1.00,84.23,0.51,0.19,0.36,53.13,0.81,-1.00,-1.00,0.00,0.03,-0.11,0.16,0.04,0.27,0.39,7.64,52.07,1.12,2.54,-1.00,-1.00,1.74,119.42,122.25,0.49,47.60,1533,,,,,
238,Crusaders,4.76,-0.34,-0.09,-0.18,0.45,0.00,27.15,0.45,-1.00,-1.00,9.05,31.73,-1.59,5.58,1.54,0.33,0.34,0.41,-0.02,24.28,1.74,-1.00,-1.00,58.73,0.15,0.38,0.14,32.92,0.94,-1.00,-1.00,0.00,-0.02,0.11,0.01,0.19,0.10,5.30,2.49,51.43,1.06,2.19,-1.00,-1.00,1.36,92.95,91.07,0.35,24.86,1577,,,,,
501,The PowerKnights,4.47,0.38,-0.15,-0.05,0.52,0.00,31.22,0.52,-1.00,-1.00,10.41,35.63,-1.03,-0.08,-0.11,0.33,0.35,0.35,-0.04,18.53,1.30,-1.00,-1.00,51.14,0.15,0.24,0.27,32.72,0.75,-1.00,-1.00,0.00,-0.04,0.19,0.54,-0.09,0.77,-1.28,22.06,49.74,0.98,1.82,-1.00,-1.00,-0.16,108.83,104.65,0.38,46.76,1576,,,,,
509,Red Storm,4.79,-0.19,-0.00,-0.05,0.23,0.00,13.96,0.23,-1.00,-1.00,4.65,18.70,2.34,-0.48,0.09,0.33,0.34,0.10,-0.03,20.27,0.64,-1.00,-1.00,53.05,0.14,0.31,0.21,32.68,0.67,-1.00,-1.00,0.00,-0.03,0.25,-0.00,-0.10,-0.02,-1.20,-0.55,34.23,0.74,0.87,-1.00,-1.00,0.05,71.19,67.74,0.01,-17.43,1400,,,,,
716,Who'sCTEKS,5.00,0.33,1.14,1.21,0.27,0.00,16.34,0.27,-1.00,-1.00,5.45,22.55,-1.58,-0.16,-0.24,0.33,0.33,-0.13,-0.04,8.85,-0.38,-1.00,-1.00,37.83,0.29,0.06,0.23,29.22,0.89,-1.00,-1.00,0.00,-0.04,0.00,0.09,0.07,0.37,1.66,9.68,25.20,0.49,-0.11,-1.00,-1.00,0.97,70.06,65.71,0.01,-31.75,1445,,,,,
