NEWPI,mawor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
69,HYPER,5.60,0.00,-0.05,-0.05,0.15,0.00,8.72,0.15,-1.00,-1.00,2.91,14.27,-2.50,4.36,1.08,0.35,0.43,0.04,-0.01,26.70,0.86,-1.00,-1.00,38.96,0.13,-0.04,0.13,11.19,0.33,-1.00,-1.00,0.00,-0.01,0.04,0.22,0.39,-0.23,9.87,-4.67,35.42,0.81,1.01,-1.00,-1.00,1.03,48.56,47.96,0.17,-6.40,1449,,,,,
126,Gael Force,4.90,0.00,0.68,0.68,0.01,0.00,0.86,0.01,-1.00,-1.00,0.29,6.43,-2.90,2.12,0.30,0.35,0.34,-0.05,0.01,25.43,0.54,-1.00,-1.00,38.35,0.03,0.22,-0.00,12.62,0.17,-1.00,-1.00,0.00,0.01,-0.02,0.02,0.20,0.02,4.92,0.54,26.28,0.65,0.55,-1.00,-1.00,0.98,45.32,46.17,0.07,-27.31,1425,,,,,
166,Chop Shop,4.55,0.00,0.89,0.89,0.01,0.00,0.38,0.01,-1.00,-1.00,0.13,5.82,-0.85,2.04,0.57,0.34,0.24,0.01,0.00,23.41,0.54,-1.00,-1.00,35.45,-0.00,0.15,0.08,11.47,0.42,-1.00,-1.00,0.00,0.00,-0.14,0.25,0.28,0.27,6.27,7.95,23.79,0.59,0.54,-1.00,-1.00,1.46,49.23,49.60,0.04,-14.10,1461,,,,,
190,Gompei and the H.E.R.D.,4.54,0.00,-0.45,-0.45,0.60,0.00,36.13,0.60,-1.00,-1.00,12.04,40.22,-2.23,1.57,0.15,0.32,0.39,0.48,0.00,23.64,2.09,-1.00,-1.00,49.88,-0.09,0.34,0.27,26.09,0.75,-1.00,-1.00,0.00,0.00,-0.22,-0.12,0.08,-0.11,1.01,-3.31,59.77,1.19,2.69,-1.00,-1.00,-0.30,86.79,86.93,0.12,-4.22,1439,,,,,
246,Overclocked,4.78,0.00,-0.39,-0.39,0.18,0.00,10.79,0.18,-1.00,-1.00,3.60,15.18,3.44,-2.30,-0.44,0.34,0.42,0.28,-0.01,33.94,1.73,-1.00,-1.00,33.28,-0.08,-0.09,0.17,-0.23,0.27,-1.00,-1.00,0.00,-0.01,0.33,-0.04,0.22,0.38,7.27,9.25,44.73,1.03,1.91,-1.00,-1.00,-0.83,57.71,56.87,0.09,-16.89,1408,,,,,
501,The PowerKnights,4.81,0.00,0.72,0.72,0.32,0.00,19.26,0.32,-1.00,-1.00,6.42,24.79,-1.35,0.56,0.07,0.33,0.37,0.06,-0.01,17.29,0.60,-1.00,-1.00,50.09,0.15,0.26,0.24,32.73,0.50,-1.00,-1.00,0.00,-0.01,-0.00,0.48,-0.07,0.18,-1.75,6.92,36.56,0.75,0.93,-1.00,-1.00,0.78,81.80,80.84,0.42,44.33,1557,,,,,
663,Robonauts,5.02,0.00,0.08,0.08,0.08,0.00,4.86,0.08,-1.00,-1.00,1.62,9.96,2.58,0.56,0.43,0.35,0.28,0.12,-0.02,25.58,0.83,-1.00,-1.00,42.26,0.28,-0.11,0.16,16.25,0.33,-1.00,-1.00,0.00,-0.02,0.05,0.04,-0.11,0.14,-2.56,3.74,30.44,0.72,0.91,-1.00,-1.00,0.51,55.96,53.82,0.30,-14.17,1458,,,,,
839,Rosie Robotics,2.46,0.00,0.56,0.56,-0.10,0.00,-5.81,-0.10,-1.00,-1.00,-1.94,-2.79,3.02,0.53,0.35,0.35,0.15,-0.07,-0.01,20.66,0.08,-1.00,-1.00,66.92,0.40,0.41,0.11,45.91,0.79,-1.00,-1.00,0.00,-0.01,-0.06,0.26,-0.19,0.01,-4.99,1.48,14.85,0.42,-0.01,-1.00,-1.00,0.91,65.61,64.83,0.13,-12.66,1454,,,,,
1027,Project Jabberwocky,4.08,0.00,-0.37,-0.37,0.14,0.00,8.35,0.14,-1.00,-1.00,2.78,12.06,1.18,0.24,0.06,0.25,0.25,0.01,-0.01,14.11,0.25,-1.00,-1.00,34.44,0.24,-0.03,0.20,20.27,0.25,-1.00,-1.00,0.00,-0.01,-0.04,0.35,0.61,-0.06,14.95,0.20,22.47,0.49,0.39,-1.00,-1.00,-0.31,46.70,46.01,0.05,-34.29,1379,,,,,
