NEWaterbury,ctwat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
155,The Technonuts,4.70,-0.43,-0.39,-0.53,0.06,0.00,3.43,0.06,-1.00,-1.00,1.14,7.59,0.36,2.41,0.71,0.33,0.42,-0.15,0.00,22.06,0.19,-1.00,-1.00,24.03,-0.09,0.19,-0.08,1.26,0.09,-1.00,-1.00,0.00,0.00,-0.11,0.16,0.24,0.14,5.34,4.34,25.49,0.61,0.25,-1.00,-1.00,0.18,35.97,35.97,0.10,-10.09,1479,,,,,
175,Buzz Robotics,5.96,0.10,-0.02,0.04,0.00,0.00,0.03,0.00,-1.00,-1.00,0.01,6.03,2.58,1.53,0.57,0.33,0.33,-0.02,0.00,25.60,0.54,-1.00,-1.00,59.99,0.35,-0.02,0.35,33.82,0.46,-1.00,-1.00,0.00,0.00,0.16,0.12,-0.08,0.28,-1.18,7.61,25.62,0.64,0.54,-1.00,-1.00,0.62,73.63,73.63,0.03,40.11,1598,,,,,
176,Aces High,4.19,0.01,0.06,0.07,0.02,0.00,1.41,0.02,-1.00,-1.00,0.47,5.68,1.28,11.57,3.90,0.33,0.46,0.15,0.00,36.65,1.47,-1.00,-1.00,69.13,0.07,0.34,0.16,28.58,0.23,-1.00,-1.00,0.00,0.00,0.16,0.15,0.32,0.13,8.93,3.89,38.06,0.94,1.49,-1.00,-1.00,3.97,78.69,78.69,0.47,20.92,1547,,,,,
177,Bobcat Robotics,4.45,-0.51,-0.04,-0.18,0.23,0.00,13.99,0.23,-1.00,-1.00,4.66,18.26,-0.27,-0.67,-0.30,0.33,0.34,0.38,0.00,33.05,1.95,-1.00,-1.00,79.65,0.43,0.26,0.25,46.90,0.71,-1.00,-1.00,0.00,0.00,-0.08,-0.09,0.04,0.41,0.52,9.78,47.04,1.06,2.18,-1.00,-1.00,-0.48,107.69,107.69,0.42,66.70,1653,,,,,
178,The 2nd Law Enforcers,3.96,0.14,-0.66,-0.63,-0.16,0.00,-9.50,-0.16,-1.00,-1.00,-3.17,-6.17,-1.36,2.88,0.76,0.33,0.33,-0.25,0.00,22.89,-0.22,-1.00,-1.00,47.56,0.24,0.13,0.11,23.90,0.71,-1.00,-1.00,0.00,0.00,0.09,-0.01,-0.03,-0.09,-0.26,-2.41,13.39,0.41,-0.38,-1.00,-1.00,0.13,38.98,38.98,0.09,-44.17,1455,,,,,
181,Birds Of Prey,4.78,-0.03,-0.35,-0.36,0.30,0.00,18.21,0.30,-1.00,-1.00,6.07,22.63,-0.05,0.37,0.05,0.33,0.17,0.11,0.00,12.29,0.55,-1.00,-1.00,36.53,-0.11,0.29,0.31,24.20,0.71,-1.00,-1.00,0.00,0.00,0.24,-0.11,-0.17,0.15,-3.13,3.26,30.50,0.61,0.85,-1.00,-1.00,-0.31,62.42,62.42,0.16,-3.42,1480,,,,,
195,CyberKnights,5.78,-0.52,5.85,5.72,0.21,0.00,12.65,0.21,-1.00,-1.00,4.22,24.15,0.62,12.73,4.15,0.33,0.41,0.38,0.00,36.43,2.10,-1.00,-1.00,56.65,0.07,0.07,0.18,16.06,0.27,-1.00,-1.00,0.00,0.00,0.07,0.61,0.13,0.29,3.64,10.24,49.09,1.12,2.31,-1.00,-1.00,9.87,91.05,91.05,0.41,62.46,1714,,,,,
228,GUS Robotics,5.10,0.01,-0.02,-0.02,0.18,0.00,10.91,0.18,-1.00,-1.00,3.64,15.98,-1.16,2.79,0.63,0.33,0.33,0.27,0.00,30.05,1.53,-1.00,-1.00,42.02,0.20,0.07,-0.04,11.34,0.40,-1.00,-1.00,0.00,0.00,0.40,0.00,0.16,0.19,6.09,4.73,40.96,0.93,1.72,-1.00,-1.00,0.61,62.73,62.73,-0.01,-16.87,1502,,,,,
230,Gaelhawks,4.86,-0.42,0.19,0.07,0.12,0.00,7.34,0.12,-1.00,-1.00,2.45,12.28,-1.33,43.06,14.04,0.33,0.15,-0.05,0.00,12.32,0.04,-1.00,-1.00,46.00,0.17,0.02,0.20,19.65,0.57,-1.00,-1.00,0.00,0.00,0.15,0.38,0.21,-0.04,6.13,1.03,19.66,0.43,0.17,-1.00,-1.00,14.11,59.31,59.31,0.14,-5.11,1635,,,,,
