NewYorkCity,nyny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
333,MEGALODONS,3,4.48,-0.01,-0.03,-0.03,0.31,0.00,18.80,0.31,-1.00,-1.00,6.27,23.25,0.25,-0.60,-0.21,0.33,0.37,0.01,-0.01,15.82,0.42,-1.00,-1.00,65.69,0.52,0.21,0.28,50.08,0.63,-1.00,-1.00,-0.02,-0.01,0.57,0.54,-0.17,0.34,-1.49,11.27,34.61,0.71,0.74,-1.00,-1.00,-0.24,100.21,99.09,0.42,33.68,1618,,,,,
334,TechKnights,2,3.93,0.04,0.19,0.20,0.09,0.00,5.56,0.09,-1.00,-1.00,1.85,9.62,0.39,1.20,0.40,0.33,0.29,0.09,0.00,24.89,0.84,-1.00,-1.00,43.59,0.13,0.13,0.12,18.56,-1.00,-1.00,-1.00,0.00,0.00,0.08,0.09,0.08,0.10,2.49,2.95,30.12,0.71,0.93,-1.00,-1.00,0.58,55.68,55.81,0.17,1.16,1484,,,,,
335,Skillz Tech Gear Botz,2,2.51,-0.27,-0.60,-0.59,-0.07,0.00,-4.24,-0.07,-1.00,-1.00,-1.41,-0.56,-1.21,-2.53,-0.83,0.30,0.16,-0.07,-0.02,14.82,0.11,-1.00,-1.00,22.86,-0.05,-0.05,-0.05,2.07,-1.00,-1.00,-1.00,-0.01,-0.02,0.29,-0.12,0.33,-0.15,8.89,-3.44,19.40,0.47,0.17,-1.00,-1.00,-1.05,31.79,31.61,-0.01,-31.08,1436,,,,,
354,G-House Pirates,2,3.67,-0.01,0.04,0.05,0.06,0.00,3.79,0.06,-1.00,-1.00,1.26,7.78,0.10,0.53,0.17,0.33,0.27,0.06,-0.00,23.07,0.71,-1.00,-1.00,39.84,0.10,0.10,0.09,15.58,-1.00,-1.00,-1.00,-0.00,-0.00,0.12,0.05,0.13,0.06,3.65,1.80,28.18,0.67,0.79,-1.00,-1.00,0.28,51.36,51.43,0.14,-4.67,1463,,,,,
369,High Voltage Robotics,3,5.70,-0.08,0.16,0.14,0.26,0.00,15.31,0.26,-1.00,-1.00,5.10,21.14,-0.33,-0.40,-0.12,0.33,0.42,0.49,-0.08,36.05,2.03,-1.00,-1.00,78.60,0.25,0.21,0.40,42.67,0.65,-1.00,-1.00,0.00,-0.08,-0.01,-0.13,0.63,0.04,15.77,0.39,51.36,1.16,2.28,-1.00,-1.00,0.02,100.14,91.78,0.02,-3.56,1525,,,,,
371,Cyber Warriors,2,2.07,-0.37,-0.84,-0.84,-0.12,0.00,-7.25,-0.12,-1.00,-1.00,-2.42,-3.69,-1.70,-3.68,-1.21,0.29,0.12,-0.12,-0.03,11.72,-0.12,-1.00,-1.00,16.48,-0.11,-0.11,-0.11,-3.00,-1.00,-1.00,-1.00,-0.01,-0.03,0.36,-0.19,0.41,-0.23,10.86,-5.41,16.10,0.40,-0.07,-1.00,-1.00,-1.55,24.44,24.15,-0.07,-41.01,1387,,,,,
395,2 TrainRobotics,3,4.99,0.06,-0.15,-0.15,0.17,0.00,10.19,0.17,-1.00,-1.00,3.40,15.03,0.61,0.07,0.08,0.35,0.07,-0.13,-0.01,4.36,-0.50,-1.00,-1.00,22.89,0.17,-0.01,0.21,18.46,0.30,-1.00,-1.00,0.00,-0.01,0.25,-0.09,1.34,-0.09,34.86,-2.59,14.55,0.28,-0.33,-1.00,-1.00,-0.07,35.34,34.09,-0.07,-63.50,1363,,,,,
640,Robo Elite,2,3.32,-0.09,-0.15,-0.15,0.02,0.00,1.32,0.02,-1.00,-1.00,0.44,5.22,-0.30,-0.41,-0.13,0.32,0.24,0.02,-0.01,20.54,0.53,-1.00,-1.00,34.63,0.05,0.05,0.05,11.43,-1.00,-1.00,-1.00,-0.00,-0.01,0.17,0.00,0.19,-0.01,5.26,0.19,25.49,0.61,0.60,-1.00,-1.00,-0.13,45.35,45.34,0.09,-12.78,1440,,,,,
694,StuyPulse,3,4.32,0.00,-0.17,-0.17,0.05,0.00,2.89,0.05,-1.00,-1.00,0.96,7.03,0.04,-5.03,-1.65,0.34,0.33,0.62,0.00,49.73,3.11,-1.00,-1.00,63.32,0.36,-0.14,0.09,15.24,0.42,-1.00,-1.00,0.00,0.00,-0.09,-0.16,0.26,0.28,6.12,6.30,52.62,1.29,3.16,-1.00,-1.00,-1.83,76.65,76.65,0.35,13.37,1563,,,,,
