NewYorkTechValley,nytr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
20,The Rocketeers,3.77,-0.01,0.10,0.10,0.38,0.00,22.74,0.38,-1.00,-1.00,7.58,26.61,-0.98,3.78,1.05,0.33,0.37,0.53,0.15,39.97,3.37,-1.00,-1.00,102.51,0.49,0.27,0.46,61.49,0.82,-1.00,-1.00,0.03,0.15,0.12,-0.06,-0.08,-0.00,-1.35,-0.39,62.71,1.38,3.75,-1.00,-1.00,1.15,128.74,144.39,0.35,62.69,1620,,,,,
145,T-Rx,4.82,0.08,-0.34,-0.34,0.18,0.00,10.98,0.18,-1.00,-1.00,3.66,15.46,1.14,0.00,0.17,0.33,0.34,0.22,0.07,31.08,1.77,-1.00,-1.00,55.83,-0.04,0.23,0.30,24.57,0.36,-1.00,-1.00,-0.00,0.07,0.05,0.16,0.91,0.04,23.06,1.83,42.07,0.96,1.95,-1.00,-1.00,-0.17,73.12,79.66,0.28,4.98,1448,,,,,
195,CyberKnights,4.20,-0.00,21.58,21.58,0.25,0.00,14.94,0.25,-1.00,-1.00,4.98,40.73,-1.31,72.87,24.03,0.33,0.34,0.30,-0.03,28.16,1.49,-1.00,-1.00,94.03,0.27,0.36,0.21,41.84,0.65,-1.00,-1.00,0.75,-0.03,0.09,0.17,0.65,-0.05,16.60,-0.38,43.10,0.95,1.74,-1.00,-1.00,45.61,134.38,146.73,0.39,73.79,1685,,,,,
229,Division By Zero,5.57,-0.00,0.84,0.84,0.18,0.00,10.84,0.18,-1.00,-1.00,3.61,17.25,-1.22,-0.28,-0.20,0.33,0.39,0.47,0.01,40.82,2.54,-1.00,-1.00,71.07,0.24,0.17,0.19,30.44,0.71,-1.00,-1.00,0.03,0.01,0.04,0.46,-0.10,-0.18,-2.27,-2.29,51.66,1.20,2.72,-1.00,-1.00,0.64,86.02,88.05,0.38,44.58,1495,,,,,
250,Dynamos,5.06,-0.01,-2.14,-2.14,0.07,0.00,4.28,0.07,-1.00,-1.00,1.43,7.20,0.40,0.33,0.15,0.33,0.38,0.27,0.01,37.02,1.84,-1.00,-1.00,51.57,-0.07,0.00,0.35,14.41,0.53,-1.00,-1.00,-0.07,0.01,0.06,-0.23,0.14,-0.17,3.71,-5.48,41.29,1.00,1.91,-1.00,-1.00,-1.99,53.29,53.14,0.04,-22.88,1445,,,,,
333,MEGALODONS,4.48,-0.01,-0.03,-0.03,0.31,0.00,18.80,0.31,-1.00,-1.00,6.27,23.25,0.25,-0.60,-0.21,0.33,0.37,0.01,-0.01,15.82,0.42,-1.00,-1.00,65.69,0.52,0.21,0.28,50.08,0.63,-1.00,-1.00,-0.02,-0.01,0.57,0.54,-0.17,0.34,-1.49,11.27,34.61,0.71,0.74,-1.00,-1.00,-0.24,100.21,99.09,0.42,33.68,1618,,,,,
358,Robotic Eagles,5.44,-0.01,1.16,1.16,-0.02,0.00,-1.25,-0.02,-1.00,-1.00,-0.42,5.35,0.31,-1.74,-0.64,0.33,0.36,0.33,0.16,48.09,3.01,-1.00,-1.00,71.94,-0.13,0.24,0.37,24.50,0.40,-1.00,-1.00,0.03,0.16,0.24,-0.03,-0.35,0.08,-7.42,1.78,46.84,1.18,2.99,-1.00,-1.00,0.52,79.08,95.37,0.37,36.06,1493,,,,,
514,Miller Place Robotics,5.04,0.08,-1.82,-1.82,-0.03,0.00,-1.78,-0.03,-1.00,-1.00,-0.59,1.44,6.16,0.75,0.84,0.33,0.35,-0.02,-0.04,26.29,0.44,-1.00,-1.00,48.10,0.10,0.21,0.11,20.97,0.50,-1.00,-1.00,-0.08,-0.04,0.32,-0.16,-0.07,-0.11,-0.02,-3.65,24.51,0.63,0.41,-1.00,-1.00,-0.98,45.89,40.73,0.12,-18.44,1405,,,,,
1493, Falcons,4.39,0.08,1.34,1.34,-0.02,0.00,-1.44,-0.02,-1.00,-1.00,-0.48,4.28,1.87,-0.40,0.03,0.33,0.27,0.43,0.01,42.71,2.34,-1.00,-1.00,68.78,0.13,0.24,0.16,26.03,0.64,-1.00,-1.00,0.04,0.01,-0.14,-0.21,-0.34,0.03,-9.24,-0.39,41.27,1.04,2.32,-1.00,-1.00,1.37,72.67,74.26,0.34,32.63,1455,,,,,
