NorthernLights,mndu2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
27,Team RUSH,5.12,0.00,0.10,0.10,0.09,0.00,5.12,0.09,-1.00,-1.00,1.71,10.34,-0.14,3.77,0.88,0.33,0.45,-0.09,0.02,25.12,0.56,-1.00,-1.00,49.61,0.30,0.09,0.09,23.61,0.87,-1.00,-1.00,0.00,0.02,0.18,0.03,-0.06,-0.06,-0.58,-1.28,30.24,0.71,0.64,-1.00,-1.00,0.98,58.67,60.31,0.19,3.40,1566,,,,,
525,Swartdogs,5.82,0.00,0.11,0.11,0.20,0.00,11.85,0.20,-1.00,-1.00,3.95,17.77,-0.80,1.51,0.38,0.33,0.41,0.37,-0.03,35.87,1.98,-1.00,-1.00,92.59,0.62,0.48,0.03,56.33,0.70,-1.00,-1.00,0.00,-0.03,-0.04,0.22,0.17,-0.11,4.02,-1.67,47.72,1.09,2.17,-1.00,-1.00,0.49,108.69,106.13,0.70,99.40,1703,,,,,
876,Thunder Robotics,5.81,0.00,0.58,0.58,-0.06,0.00,-3.72,-0.06,-1.00,-1.00,-1.24,2.68,-2.27,0.31,-0.09,0.33,0.51,0.12,0.01,41.00,1.56,-1.00,-1.00,83.48,0.16,0.32,0.38,42.57,0.53,-1.00,-1.00,0.00,0.01,-0.10,0.11,0.05,0.00,0.73,0.55,37.29,0.96,1.50,-1.00,-1.00,0.49,86.71,87.46,-0.02,4.52,1599,,,,,
877,North Star,5.20,0.00,-0.12,-0.12,-0.17,0.00,-10.12,-0.17,-1.00,-1.00,-3.37,-5.04,-0.39,1.58,0.45,0.33,0.47,0.20,-0.02,46.06,1.73,-1.00,-1.00,88.69,0.23,0.38,0.24,42.18,0.70,-1.00,-1.00,0.00,-0.02,0.10,0.12,0.12,0.29,3.53,7.90,35.94,0.98,1.56,-1.00,-1.00,0.33,91.54,89.26,0.38,6.06,1421,,,,,
1792,Round Table Robotics,3.91,0.00,-0.03,-0.03,0.09,0.00,5.58,0.09,-1.00,-1.00,1.86,9.46,4.16,-0.68,0.08,0.33,0.33,0.21,-0.05,29.14,1.08,-1.00,-1.00,73.78,0.11,0.28,0.50,44.56,0.36,-1.00,-1.00,0.00,-0.05,-0.12,-0.14,0.21,0.04,4.57,0.34,34.72,0.82,1.17,-1.00,-1.00,0.05,83.58,78.55,0.17,33.84,1432,,,,,
2175,The Fighting Calculators,4.55,0.00,-0.40,-0.40,0.06,0.00,3.63,0.06,-1.00,-1.00,1.21,7.79,-0.09,2.24,0.80,0.33,0.45,0.20,-0.01,36.37,1.54,-1.00,-1.00,57.91,0.05,0.30,0.07,20.75,0.42,-1.00,-1.00,0.00,-0.01,-0.25,-0.11,0.13,0.55,1.99,13.09,40.00,0.97,1.60,-1.00,-1.00,0.40,78.80,77.57,0.10,14.90,1488,,,,,
2202,BEAST Robotics,3.06,0.00,0.06,0.06,0.12,0.00,7.46,0.12,-1.00,-1.00,2.49,10.58,-0.85,2.40,0.67,0.33,0.42,-0.02,0.01,24.93,0.74,-1.00,-1.00,79.59,0.64,0.35,0.09,53.99,0.73,-1.00,-1.00,0.00,0.01,0.36,0.21,0.34,0.04,10.25,2.16,32.40,0.75,0.86,-1.00,-1.00,0.73,92.34,93.24,0.41,-2.86,1473,,,,,
2491,No Mythic,3.01,0.00,-0.04,-0.04,0.05,0.00,3.10,0.05,-1.00,-1.00,1.03,6.07,-0.50,-0.72,-0.27,0.33,0.39,0.42,0.02,44.34,2.54,-1.00,-1.00,73.31,-0.09,0.45,0.22,29.24,0.60,-1.00,-1.00,0.00,0.02,0.03,0.03,0.01,0.28,0.54,7.15,47.44,1.16,2.59,-1.00,-1.00,-0.31,86.53,88.60,0.15,21.75,1524,,,,,
2499,Industrial Revolution,2.11,0.00,-0.06,-0.06,-0.07,0.00,-4.20,-0.07,-1.00,-1.00,-1.40,-2.14,2.65,-0.46,0.02,0.33,0.29,0.07,0.03,31.41,1.05,-1.00,-1.00,43.48,0.34,-0.12,0.02,12.05,0.75,-1.00,-1.00,0.00,0.03,-0.03,-0.03,-0.14,-0.09,-3.60,-2.33,27.21,0.72,0.98,-1.00,-1.00,-0.04,39.01,41.55,0.17,-26.13,1471,,,,,
