ONDurhamCollege,onosh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
772,Sabre Bytes,5.80,-0.12,0.22,0.19,0.53,0.00,31.51,0.53,-1.00,-1.00,10.50,37.50,-0.92,0.53,0.12,0.35,0.43,0.10,0.00,13.98,0.74,-1.00,-1.00,54.02,0.28,0.24,0.27,39.92,0.79,-1.00,-1.00,0.00,0.00,-0.05,0.39,-0.01,-0.11,-0.58,-0.86,45.49,0.87,1.26,-1.00,-1.00,0.30,90.67,90.67,0.35,52.38,1578,,,,,
781,Kinetic Knights,3.61,-0.15,-0.19,-0.22,0.20,0.00,12.09,0.20,-1.00,-1.00,4.03,15.48,-0.75,4.87,1.38,0.33,0.35,0.24,0.00,28.86,1.46,-1.00,-1.00,51.90,0.28,0.10,0.05,21.67,0.53,-1.00,-1.00,0.00,0.00,0.30,-0.06,0.10,0.07,3.89,1.43,40.95,0.92,1.66,-1.00,-1.00,1.16,68.81,68.81,0.09,3.51,1409,,,,,
1075,Sprockets,4.50,0.13,-0.05,0.00,-0.01,0.00,-0.72,-0.01,-1.00,-1.00,-0.24,3.79,5.51,0.39,0.74,0.34,0.27,-0.07,0.00,22.02,0.27,-1.00,-1.00,74.21,0.32,0.51,0.20,51.45,0.64,-1.00,-1.00,0.00,0.00,-0.13,-0.15,-0.03,-0.13,-1.32,-4.03,21.30,0.54,0.26,-1.00,-1.00,0.74,73.98,73.98,0.23,18.87,1477,,,,,
1285,The Big Bang,5.14,-0.08,0.07,0.04,-0.14,0.00,-8.51,-0.14,-1.00,-1.00,-2.84,-3.32,-0.46,-0.01,-0.07,0.33,0.42,0.38,0.00,50.91,2.50,-1.00,-1.00,92.76,0.27,0.15,0.42,41.92,0.85,-1.00,-1.00,0.00,0.00,-0.01,0.18,0.13,0.58,3.22,15.34,42.41,1.13,2.36,-1.00,-1.00,-0.03,104.78,104.78,0.54,51.68,1591,,,,,
1305,Ice Cubed,4.19,-0.09,3.64,3.61,0.07,0.00,4.27,0.07,-1.00,-1.00,1.42,12.07,3.11,0.30,0.37,0.34,0.35,0.17,0.00,31.48,1.32,-1.00,-1.00,40.74,0.00,0.07,0.10,8.89,0.43,-1.00,-1.00,0.00,0.00,-0.09,-0.17,0.21,0.35,4.83,7.91,35.76,0.86,1.39,-1.00,-1.00,3.98,60.73,60.73,-0.03,-35.84,1455,,,,,
1360,Orbit Robotics,5.75,0.59,0.14,0.38,0.23,0.00,13.68,0.23,-1.00,-1.00,4.56,19.81,-1.21,2.16,0.56,0.34,0.17,0.29,0.00,22.81,1.28,-1.00,-1.00,77.71,0.43,0.38,0.27,54.34,0.79,-1.00,-1.00,0.00,0.00,-0.13,-0.00,0.10,0.27,1.93,6.78,36.48,0.80,1.50,-1.00,-1.00,0.94,104.30,104.30,0.31,50.26,1543,,,,,
1547,"""Where's Waldo?""",4.22,-0.03,-0.24,-0.23,-0.05,0.00,-3.14,-0.05,-1.00,-1.00,-1.05,0.84,-0.54,-0.71,-0.25,0.35,0.26,0.18,0.00,33.67,1.32,-1.00,-1.00,50.07,0.08,0.16,0.10,16.65,0.33,-1.00,-1.00,0.00,0.00,0.35,0.21,-0.06,0.29,0.32,8.27,30.53,0.79,1.26,-1.00,-1.00,-0.48,59.18,59.18,0.18,-21.50,1416,,,,,
2013,Cybergnomes,4.16,-0.01,0.10,0.10,-0.05,0.00,-3.03,-0.05,-1.00,-1.00,-1.01,1.22,-0.66,-1.02,-0.37,0.34,0.42,0.15,0.00,38.42,1.49,-1.00,-1.00,31.47,0.05,-0.02,-0.17,-6.58,0.21,-1.00,-1.00,0.00,0.00,0.60,0.24,-0.26,0.30,-3.54,8.73,35.38,0.91,1.44,-1.00,-1.00,-0.27,41.41,41.41,-0.03,-8.04,1482,,,,,
2200,MMRambotics,4.76,-0.07,-0.01,-0.07,0.55,0.00,32.83,0.55,-1.00,-1.00,10.94,37.53,-1.30,-1.15,-0.57,0.33,0.38,0.30,0.00,18.53,1.41,-1.00,-1.00,57.53,0.31,0.33,0.15,39.57,0.53,-1.00,-1.00,0.00,0.00,0.12,-0.17,0.31,0.07,8.28,0.79,51.36,1.01,1.96,-1.00,-1.00,-0.64,95.84,95.84,0.33,37.11,1603,,,,,
