ONGeorgianCollege,onbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
771,SWAT,0.76,0.00,-0.20,-0.20,-0.02,0.00,-1.37,-0.02,-1.00,-1.00,-0.46,-0.81,1.19,-0.50,-0.02,0.33,0.12,0.17,0.00,26.12,0.97,-1.00,-1.00,30.65,0.02,0.14,-0.07,4.55,0.17,-1.00,-1.00,0.00,0.00,0.00,-0.11,0.69,0.17,17.15,3.85,24.76,0.63,0.95,-1.00,-1.00,-0.22,33.68,33.81,0.23,-49.22,1340,,,,,
781,Kinetic Knights,5.56,0.00,-0.17,-0.17,0.09,0.00,5.46,0.09,-1.00,-1.00,1.82,10.84,0.36,1.50,0.36,0.33,0.40,0.25,0.00,35.91,1.73,-1.00,-1.00,75.87,0.31,0.25,0.23,39.60,0.69,-1.00,-1.00,0.00,0.00,-0.07,0.19,-0.20,0.24,-5.32,7.06,41.37,0.99,1.82,-1.00,-1.00,0.19,93.77,93.99,0.44,49.76,1495,,,,,
865,WARP7,1.04,0.00,5.26,5.26,0.02,0.00,1.29,0.02,-1.00,-1.00,0.43,7.59,-0.64,3.20,0.93,0.33,0.36,0.23,0.08,38.85,2.06,-1.00,-1.00,77.19,0.25,-0.08,0.58,37.40,0.80,-1.00,-1.00,0.00,0.08,0.11,-0.08,0.34,0.18,9.02,4.12,40.14,0.99,2.08,-1.00,-1.00,6.19,88.90,96.55,0.36,9.95,1484,,,,,
1241,THEORY6,5.13,0.00,0.96,0.96,0.30,0.00,17.97,0.30,-1.00,-1.00,5.99,24.06,-0.51,4.89,1.41,0.33,0.37,0.44,-0.02,32.78,2.06,-1.00,-1.00,36.25,-0.06,0.21,-0.11,2.06,0.56,-1.00,-1.00,0.00,-0.02,-0.13,0.13,-0.08,0.01,-2.78,0.90,50.75,1.12,2.36,-1.00,-1.00,2.37,61.21,58.96,0.27,28.31,1594,,,,,
1285,The Big Bang,4.09,0.00,0.32,0.32,0.46,0.00,27.74,0.46,-1.00,-1.00,9.25,32.15,-0.14,0.93,0.27,0.33,0.36,0.52,0.08,33.01,2.79,-1.00,-1.00,87.24,0.33,0.44,0.31,53.96,0.85,-1.00,-1.00,0.00,0.08,0.31,0.15,0.52,0.00,14.46,0.84,60.75,1.29,3.25,-1.00,-1.00,0.59,120.23,128.06,0.43,78.79,1649,,,,,
1325,Inverse Paradox,3.96,0.00,0.41,0.41,0.16,0.00,9.64,0.16,-1.00,-1.00,3.21,14.02,5.32,-0.85,0.31,0.33,0.31,0.53,-0.01,40.08,2.52,-1.00,-1.00,70.72,0.38,0.16,0.07,30.33,0.78,-1.00,-1.00,0.00,-0.01,0.16,0.29,-0.24,0.21,-5.33,6.64,49.72,1.16,2.68,-1.00,-1.00,0.73,91.39,90.76,0.38,25.45,1497,,,,,
1334,Red Devils,1.07,0.00,-0.54,-0.54,-0.09,0.00,-5.35,-0.09,-1.00,-1.00,-1.78,-4.82,-0.78,-0.40,-0.20,0.33,0.31,-0.14,-0.02,22.71,0.01,-1.00,-1.00,25.49,0.16,0.03,-0.14,2.97,0.47,-1.00,-1.00,0.00,-0.02,0.24,0.17,0.25,0.52,7.48,13.89,17.36,0.48,-0.08,-1.00,-1.00,-0.73,34.57,32.77,0.07,-31.57,1368,,,,,
1374,Amped Up,-0.81,0.00,0.08,0.08,0.16,0.00,9.76,0.16,-1.00,-1.00,3.25,9.03,-0.17,-0.32,-0.07,0.33,0.21,-0.03,-0.01,13.74,0.18,-1.00,-1.00,24.87,0.11,-0.00,0.12,11.20,0.17,-1.00,-1.00,0.00,-0.01,-0.07,0.07,0.39,0.02,9.41,0.94,23.50,0.51,0.34,-1.00,-1.00,0.01,34.85,34.05,0.09,-20.07,1390,,,,,
2013,Cybergnomes,4.10,0.00,-0.06,-0.06,0.27,0.00,16.01,0.27,-1.00,-1.00,5.34,20.06,0.08,0.53,0.22,0.33,0.40,0.38,-0.00,33.74,2.04,-1.00,-1.00,75.26,0.40,0.34,0.09,41.30,0.80,-1.00,-1.00,0.00,-0.00,-0.03,0.21,-0.22,0.49,-5.70,13.27,49.75,1.11,2.30,-1.00,-1.00,0.16,108.58,108.42,0.34,56.82,1563,,,,,
2706,Merge Robotics,2.01,0.00,0.20,0.20,-0.05,0.00,-3.29,-0.05,-1.00,-1.00,-1.10,-1.08,0.25,0.38,0.14,0.33,0.39,0.37,0.08,48.88,2.76,-1.00,-1.00,98.62,0.21,0.43,0.36,49.61,0.86,-1.00,-1.00,0.00,0.08,-0.01,-0.12,-0.15,0.19,-3.89,4.11,45.58,1.17,2.70,-1.00,-1.00,0.33,101.65,109.26,0.18,59.09,1550,,,,,
2994,ASTECHZ,3.56,0.00,-0.10,-0.10,0.23,0.00,13.87,0.23,-1.00,-1.00,4.62,17.33,-0.26,0.07,0.03,0.33,0.37,0.35,-0.01,32.38,1.83,-1.00,-1.00,65.11,0.06,0.17,0.42,32.70,0.87,-1.00,-1.00,0.00,-0.01,0.06,0.27,0.11,0.17,3.15,5.61,46.24,1.04,2.07,-1.00,-1.00,-0.07,88.05,86.56,0.36,14.99,1461,,,,,
3543,C4 Robotics,4.18,0.00,-0.04,-0.04,0.13,0.00,7.61,0.13,-1.00,-1.00,2.54,11.75,-0.38,1.95,0.46,0.33,0.39,-0.04,-0.00,22.20,0.48,-1.00,-1.00,28.85,0.18,0.05,-0.10,6.19,0.17,-1.00,-1.00,0.00,-0.00,-0.07,0.02,-0.21,-0.14,-5.52,-3.30,29.81,0.68,0.60,-1.00,-1.00,0.42,37.29,37.24,-0.03,-30.44,1403,,,,,
3560,Chingrobotics,3.40,0.00,0.47,0.47,0.11,0.00,6.75,0.11,-1.00,-1.00,2.25,10.62,-0.02,-0.25,-0.14,0.33,0.29,-0.04,-0.02,18.23,0.22,-1.00,-1.00,48.89,0.20,0.07,0.35,30.80,0.65,-1.00,-1.00,0.00,-0.02,-0.12,0.30,-0.11,0.15,-3.39,5.23,24.98,0.57,0.33,-1.00,-1.00,0.33,64.74,63.01,-0.04,-20.23,1395,,,,,
3756,RamFerno,3.49,0.00,0.36,0.36,0.04,0.00,2.21,0.04,-1.00,-1.00,0.74,6.06,0.61,-0.68,-0.14,0.33,0.28,-0.02,-0.01,21.67,0.36,-1.00,-1.00,43.28,0.01,0.17,0.25,21.75,0.25,-1.00,-1.00,0.00,-0.01,0.10,-0.11,0.59,-0.10,15.12,-3.03,23.88,0.58,0.40,-1.00,-1.00,0.22,46.30,45.39,-0.15,-37.02,1296,,,,,
4001,RAMS ROBOTICS,3.42,0.00,0.40,0.40,0.45,0.00,27.22,0.45,-1.00,-1.00,9.07,31.04,3.01,-0.47,0.14,0.33,0.35,0.37,-0.01,23.77,1.68,-1.00,-1.00,61.98,0.32,0.17,0.27,38.08,0.93,-1.00,-1.00,0.00,-0.01,-0.12,-0.01,-0.12,0.35,-3.66,8.80,50.99,1.05,2.14,-1.00,-1.00,0.54,101.82,101.22,0.28,55.56,1588,,,,,
4152,Hoya Robotics,4.30,0.00,1.38,1.38,0.36,0.00,21.71,0.36,-1.00,-1.00,7.24,27.39,0.23,0.43,0.19,0.33,0.27,0.05,-0.02,10.47,0.30,-1.00,-1.00,4.10,-0.15,0.10,-0.08,-6.57,0.35,-1.00,-1.00,0.00,-0.02,0.02,-0.02,0.12,0.11,3.07,2.61,32.19,0.62,0.67,-1.00,-1.00,1.58,34.10,31.76,0.01,-60.24,1280,,,,,
4248,Bits & Pieces,2.80,0.00,-0.13,-0.13,0.27,0.00,16.43,0.27,-1.00,-1.00,5.48,19.10,0.04,0.72,0.16,0.33,0.30,0.19,-0.00,22.25,1.10,-1.00,-1.00,27.13,-0.01,0.10,0.01,4.72,0.21,-1.00,-1.00,0.00,-0.00,0.08,0.11,0.19,0.38,5.22,10.00,38.68,0.83,1.37,-1.00,-1.00,0.03,56.24,56.22,0.10,-13.35,1392,,,,,
