ONMcMasterUniversity,onham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
188,Blizzard,3,5.90,-0.48,1.57,1.44,0.48,0.00,28.53,0.48,-1.00,-1.00,9.51,35.87,3.77,0.41,0.48,0.34,0.40,0.66,0.00,36.83,2.96,-1.00,-1.00,80.60,0.15,0.39,0.33,43.29,0.75,-1.00,-1.00,0.00,0.00,-0.20,-0.10,0.13,-0.02,2.19,-0.89,65.35,1.40,3.44,-1.00,-1.00,1.92,115.57,115.64,0.46,54.95,1582,,,,,
771,SWAT,3,0.76,0.00,-0.20,-0.20,-0.02,0.00,-1.37,-0.02,-1.00,-1.00,-0.46,-0.81,1.19,-0.50,-0.02,0.33,0.12,0.17,0.00,26.12,0.97,-1.00,-1.00,30.65,0.02,0.14,-0.07,4.55,0.17,-1.00,-1.00,0.00,0.00,0.00,-0.11,0.69,0.17,17.15,3.85,24.76,0.63,0.95,-1.00,-1.00,-0.22,33.68,33.81,0.23,-49.22,1340,,,,,
773,Kingsville CavalGears,3,4.74,-0.06,0.12,0.10,0.13,-0.02,6.42,0.11,-1.00,-1.00,2.14,11.27,-0.42,0.49,0.12,0.33,0.26,0.16,-0.02,24.91,0.92,-1.00,-1.00,28.19,-0.00,0.11,-0.04,3.15,0.00,-1.00,-1.00,0.01,-0.02,-0.11,0.19,0.24,0.04,5.39,1.90,31.33,0.73,1.03,-1.00,-1.00,0.23,41.35,39.62,0.04,-37.09,1319,,,,,
854,The Iron Bears,3,5.59,0.02,0.30,0.30,0.31,0.00,18.74,0.31,-1.00,-1.00,6.25,24.63,-0.81,1.69,0.45,0.34,0.36,0.23,0.00,24.62,1.33,-1.00,-1.00,51.74,0.20,0.22,0.11,26.67,0.86,-1.00,-1.00,-0.01,0.00,-0.10,0.15,0.39,0.08,9.35,2.70,43.36,0.93,1.64,-1.00,-1.00,0.75,79.08,78.96,0.02,-7.02,1434,,,,,
907,"East York Cybernetics ""The Cybernauts""",3,4.95,0.33,-0.64,-0.54,-0.08,0.00,-4.90,-0.08,-1.00,-1.00,-1.63,-0.50,-0.55,-1.13,-0.35,0.33,0.33,0.18,0.00,36.86,1.47,-1.00,-1.00,62.26,0.21,0.11,0.19,25.75,0.43,-1.00,-1.00,-0.00,0.00,1.34,0.09,-0.02,-0.11,6.22,-2.39,31.96,0.84,1.38,-1.00,-1.00,-0.90,59.37,59.32,0.03,-22.09,1337,,,,,
1310,Runnymede Robotics,3,5.24,-0.45,3.17,3.05,0.28,0.00,17.10,0.28,-1.00,-1.00,5.70,25.38,-0.09,1.10,0.18,0.33,0.37,0.12,0.00,21.44,0.93,-1.00,-1.00,53.57,0.05,0.28,0.31,31.95,0.71,-1.00,-1.00,0.00,0.00,-0.10,0.01,0.56,-0.17,13.58,-4.13,38.54,0.82,1.22,-1.00,-1.00,3.23,74.82,74.89,0.26,-6.59,1513,,,,,
1334,Red Devils,3,1.07,0.00,-0.54,-0.54,-0.09,0.00,-5.35,-0.09,-1.00,-1.00,-1.78,-4.82,-0.78,-0.40,-0.20,0.33,0.31,-0.14,-0.02,22.71,0.01,-1.00,-1.00,25.49,0.16,0.03,-0.14,2.97,0.47,-1.00,-1.00,0.00,-0.02,0.24,0.17,0.25,0.52,7.48,13.89,17.36,0.48,-0.08,-1.00,-1.00,-0.73,34.57,32.77,0.07,-31.57,1368,,,,,
1360,Orbit Robotics,3,5.75,0.59,0.14,0.38,0.23,0.00,13.68,0.23,-1.00,-1.00,4.56,19.81,-1.21,2.16,0.56,0.34,0.17,0.29,0.00,22.81,1.28,-1.00,-1.00,77.71,0.43,0.38,0.27,54.34,0.79,-1.00,-1.00,0.00,0.00,-0.13,-0.00,0.10,0.27,1.93,6.78,36.48,0.80,1.50,-1.00,-1.00,0.94,104.30,104.30,0.31,50.26,1543,,,,,
1374,Amped Up,3,-0.81,0.00,0.08,0.08,0.16,0.00,9.76,0.16,-1.00,-1.00,3.25,9.03,-0.17,-0.32,-0.07,0.33,0.21,-0.03,-0.01,13.74,0.18,-1.00,-1.00,24.87,0.11,-0.00,0.12,11.20,0.17,-1.00,-1.00,0.00,-0.01,-0.07,0.07,0.39,0.02,9.41,0.94,23.50,0.51,0.34,-1.00,-1.00,0.01,34.85,34.05,0.09,-20.07,1390,,,,,
