ONNorthBay,onnob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
865,WARP7,3,1.04,0.00,5.26,5.26,0.02,0.00,1.29,0.02,-1.00,-1.00,0.43,7.59,-0.64,3.20,0.93,0.33,0.36,0.23,0.08,38.85,2.06,-1.00,-1.00,77.19,0.25,-0.08,0.58,37.40,0.80,-1.00,-1.00,0.00,0.08,0.11,-0.08,0.34,0.18,9.02,4.12,40.14,0.99,2.08,-1.00,-1.00,6.19,88.90,96.55,0.36,9.95,1484,,,,,
1075,Sprockets,3,5.16,0.00,0.43,0.43,0.10,0.00,6.15,0.10,-1.00,-1.00,2.05,11.74,-0.66,-0.95,-0.40,0.33,0.34,0.07,0.00,25.43,0.84,-1.00,-1.00,56.25,0.15,0.21,0.26,31.22,0.50,-1.00,-1.00,0.00,0.00,-0.06,0.26,-0.11,-0.23,-3.01,-4.43,31.58,0.74,0.94,-1.00,-1.00,0.04,63.57,63.57,0.45,48.56,1528,,,,,
1305,Ice Cubed,3,4.98,0.00,1.88,1.88,0.30,0.00,18.28,0.30,-1.00,-1.00,6.09,25.14,0.11,7.97,2.58,0.33,0.35,0.61,0.00,39.50,2.83,-1.00,-1.00,94.79,0.18,0.41,0.46,52.71,0.84,-1.00,-1.00,0.00,0.00,-0.13,0.55,-0.20,0.41,-5.61,13.03,57.78,1.29,3.14,-1.00,-1.00,4.46,132.96,132.96,0.43,97.95,1575,,,,,
1846,Le Vortex,3,4.57,0.07,-1.31,-1.29,0.29,-0.01,16.67,0.28,-1.00,-1.00,5.56,19.95,0.01,-3.74,-1.17,0.33,0.34,0.18,0.03,24.05,1.28,-1.00,-1.00,52.61,0.21,0.23,0.16,29.74,0.57,-1.00,-1.00,-0.05,0.03,0.13,-0.03,-0.10,-0.03,-1.93,-0.87,40.72,0.88,1.56,-1.00,-1.00,-2.46,71.69,73.34,0.16,-36.47,1353,,,,,
2013,Cybergnomes,3,4.10,0.00,-0.06,-0.06,0.27,0.00,16.01,0.27,-1.00,-1.00,5.34,20.06,0.08,0.53,0.22,0.33,0.40,0.38,-0.00,33.74,2.04,-1.00,-1.00,75.26,0.40,0.34,0.09,41.30,0.80,-1.00,-1.00,0.00,-0.00,-0.03,0.21,-0.22,0.49,-5.70,13.27,49.75,1.11,2.30,-1.00,-1.00,0.16,108.58,108.42,0.34,56.82,1563,,,,,
2708,Lake Effect Robotics,3,5.85,0.15,0.87,0.89,0.03,0.00,2.05,0.03,-1.00,-1.00,0.68,8.78,-0.07,0.81,0.34,0.33,0.25,0.02,0.00,22.71,0.54,-1.00,-1.00,70.60,0.45,0.25,0.25,47.55,0.64,-1.00,-1.00,-0.01,0.00,-0.03,0.05,0.11,0.18,2.69,4.85,24.76,0.60,0.58,-1.00,-1.00,1.23,84.23,84.05,0.18,20.04,1470,,,,,
3543,C4 Robotics,3,4.18,0.00,-0.04,-0.04,0.13,0.00,7.61,0.13,-1.00,-1.00,2.54,11.75,-0.38,1.95,0.46,0.33,0.39,-0.04,-0.00,22.20,0.48,-1.00,-1.00,28.85,0.18,0.05,-0.10,6.19,0.17,-1.00,-1.00,0.00,-0.00,-0.07,0.02,-0.21,-0.14,-5.52,-3.30,29.81,0.68,0.60,-1.00,-1.00,0.42,37.29,37.24,-0.03,-30.44,1403,,,,,
3739,Oakbotics,3,5.02,0.00,0.25,0.25,-0.04,0.00,-2.32,-0.04,-1.00,-1.00,-0.77,2.95,0.07,1.51,0.44,0.33,0.35,-0.19,-0.01,20.61,-0.11,-1.00,-1.00,26.08,0.00,-0.08,0.18,5.02,0.00,-1.00,-1.00,0.00,-0.01,0.08,0.14,0.31,0.20,8.24,5.66,18.29,0.48,-0.14,-1.00,-1.00,0.69,34.68,33.37,-0.22,-46.20,1312,,,,,
4069,Lo-Ellen Robotics,3,2.13,0.29,0.20,0.26,-0.06,0.00,-3.76,-0.06,-1.00,-1.00,-1.25,-1.36,-2.17,-0.24,-0.36,0.34,0.11,-0.10,0.00,16.64,-0.11,-1.00,-1.00,23.62,0.01,-0.07,0.20,7.33,0.17,-1.00,-1.00,0.00,0.00,0.03,0.41,-0.14,-0.18,-3.43,-2.53,12.89,0.35,-0.17,-1.00,-1.00,-0.09,19.73,19.73,-0.10,-46.82,1343,,,,,
