ONProvincialChampionship,oncmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
772,Sabre Bytes,3,5.53,-0.17,1.62,1.58,0.27,-0.01,15.67,0.26,-1.00,-1.00,5.22,22.78,-0.27,3.11,0.72,0.33,0.34,0.32,0.04,30.67,1.91,-1.00,-1.00,75.04,0.25,0.30,0.33,43.65,0.74,-1.00,-1.00,-0.04,0.04,-0.09,0.12,-0.03,0.31,-1.21,8.33,46.33,1.03,2.17,-1.00,-1.00,2.30,106.15,109.11,0.49,33.68,1556,,,,,
1241,THEORY6,3,5.15,-0.04,4.34,4.33,0.69,0.08,46.65,0.78,-1.00,-1.00,15.55,56.13,0.04,5.85,1.78,0.33,0.35,0.57,0.06,21.46,2.57,-1.00,-1.00,77.90,0.45,0.32,0.32,54.65,0.94,-1.00,-1.00,-0.01,0.06,0.21,-0.17,-0.07,0.27,-0.74,5.99,68.11,1.31,3.35,-1.00,-1.00,6.11,140.01,146.26,0.50,90.47,1625,,,,,
1325,Inverse Paradox,3,3.96,0.00,0.41,0.41,0.16,0.00,9.64,0.16,-1.00,-1.00,3.21,14.02,5.32,-0.85,0.31,0.33,0.31,0.53,-0.01,40.08,2.52,-1.00,-1.00,70.72,0.38,0.16,0.07,30.33,0.78,-1.00,-1.00,0.00,-0.01,0.16,0.29,-0.24,0.21,-5.33,6.64,49.72,1.16,2.68,-1.00,-1.00,0.73,91.39,90.76,0.38,25.45,1497,,,,,
4039,MakeShift Robotics,3,4.27,0.00,1.97,1.97,0.55,0.00,32.92,0.55,-1.00,-1.00,10.97,39.16,0.50,6.25,1.93,0.33,0.35,0.47,0.16,30.47,2.98,-1.00,-1.00,63.71,0.19,0.27,0.16,31.31,0.79,-1.00,-1.00,0.00,0.16,0.08,0.28,0.19,0.24,5.03,7.48,63.39,1.31,3.53,-1.00,-1.00,3.91,110.35,126.26,0.37,56.99,1610,,,,,
4525,Renaissance Robotics,3,5.03,0.75,0.69,0.94,0.56,0.00,33.76,0.56,-1.00,-1.00,11.25,39.73,0.72,0.26,0.08,0.33,0.41,0.56,0.06,32.15,2.87,-1.00,-1.00,54.87,0.21,0.17,0.08,22.64,0.88,-1.00,-1.00,0.02,0.06,-0.22,0.24,-0.16,0.26,-5.07,7.61,65.90,1.37,3.44,-1.00,-1.00,1.02,102.21,109.13,0.45,57.48,1580,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
