ONRyersonUniversity,onto1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
188,Blizzard,5.90,-0.48,1.57,1.44,0.48,0.00,28.53,0.48,-1.00,-1.00,9.51,35.87,3.77,0.41,0.48,0.34,0.40,0.66,0.00,36.83,2.96,-1.00,-1.00,80.60,0.15,0.39,0.33,43.29,0.75,-1.00,-1.00,0.00,0.00,-0.20,-0.10,0.13,-0.02,2.19,-0.89,65.35,1.40,3.44,-1.00,-1.00,1.92,115.57,115.64,0.46,54.95,1582,,,,,
610,Crescent Robotics,5.05,0.28,1.80,1.89,0.18,0.00,10.93,0.18,-1.00,-1.00,3.64,17.86,-0.41,0.84,0.03,0.33,0.35,0.62,0.00,44.84,3.00,-1.00,-1.00,83.06,0.42,-0.02,0.37,38.19,0.78,-1.00,-1.00,-0.00,0.00,-0.11,0.03,-0.25,0.87,-6.83,21.80,55.77,1.30,3.18,-1.00,-1.00,1.92,122.72,122.64,0.49,90.45,1698,,,,,
746,Gearheads,3.85,-0.08,0.34,0.29,-0.13,0.00,-7.73,-0.13,-1.00,-1.00,-2.58,-3.59,0.26,-1.39,-0.48,0.33,0.10,-0.08,0.00,19.08,-0.01,-1.00,-1.00,18.46,-0.06,-0.05,0.12,-0.13,0.33,-1.00,-1.00,-0.01,0.00,-0.06,-0.23,0.40,-0.17,9.81,-5.48,11.35,0.35,-0.14,-1.00,-1.00,-0.20,9.39,9.13,-0.17,-81.84,1304,,,,,
854,The Iron Bears,5.59,0.02,0.30,0.30,0.31,0.00,18.74,0.31,-1.00,-1.00,6.25,24.63,-0.81,1.69,0.45,0.34,0.36,0.23,0.00,24.62,1.33,-1.00,-1.00,51.74,0.20,0.22,0.11,26.67,0.86,-1.00,-1.00,-0.01,0.00,-0.10,0.15,0.39,0.08,9.35,2.70,43.36,0.93,1.64,-1.00,-1.00,0.75,79.08,78.96,0.02,-7.02,1434,,,,,
907,"East York Cybernetics ""The Cybernauts""",4.95,0.33,-0.64,-0.54,-0.08,0.00,-4.90,-0.08,-1.00,-1.00,-1.63,-0.50,-0.55,-1.13,-0.35,0.33,0.33,0.18,0.00,36.86,1.47,-1.00,-1.00,62.26,0.21,0.11,0.19,25.75,0.43,-1.00,-1.00,-0.00,0.00,1.34,0.09,-0.02,-0.11,6.22,-2.39,31.96,0.84,1.38,-1.00,-1.00,-0.90,59.37,59.32,0.03,-22.09,1337,,,,,
919,Tiger Techs,3.94,-0.29,0.33,0.23,-0.05,0.00,-3.25,-0.05,-1.00,-1.00,-1.08,0.92,1.64,-0.56,-0.19,0.34,0.36,-0.19,0.00,22.85,0.04,-1.00,-1.00,9.37,0.11,-0.26,-0.12,-13.29,0.08,-1.00,-1.00,-0.00,0.00,0.06,-0.00,-0.11,0.06,-2.49,1.37,19.61,0.52,-0.02,-1.00,-1.00,0.04,11.66,11.65,-0.03,-43.92,1372,,,,,
1114,Simbotics,4.96,0.46,17.34,17.49,0.18,0.00,11.05,0.18,-1.00,-1.00,3.68,33.50,2.90,30.81,10.29,0.34,0.38,0.03,0.00,22.85,0.72,-1.00,-1.00,66.30,0.32,0.04,0.30,33.17,0.89,-1.00,-1.00,0.08,0.00,0.03,0.23,-0.11,0.05,-2.59,2.53,33.90,0.76,0.91,-1.00,-1.00,27.78,102.34,104.02,0.31,49.44,1665,,,,,
1241,THEORY6,3.82,-0.07,-1.28,-1.30,0.10,0.00,6.25,0.10,-1.00,-1.00,2.08,8.76,0.27,10.39,3.38,0.35,0.40,0.43,0.00,42.90,2.43,-1.00,-1.00,82.22,0.01,0.49,0.22,35.93,0.50,-1.00,-1.00,-0.00,0.00,0.25,0.14,-0.28,0.37,-5.73,9.86,49.15,1.18,2.53,-1.00,-1.00,2.08,100.84,100.80,0.29,47.11,1667,,,,,
1246,Agincourt Lancers,5.43,-0.03,-0.28,-0.29,-0.02,0.00,-1.33,-0.02,-1.00,-1.00,-0.44,3.81,-0.02,-1.10,-0.32,0.25,0.29,0.10,0.00,26.21,0.90,-1.00,-1.00,18.06,0.09,-0.14,-0.11,-7.82,0.17,-1.00,-1.00,0.00,0.00,0.08,0.07,0.09,0.05,2.70,1.50,24.88,0.63,0.87,-1.00,-1.00,-0.61,23.38,23.43,-0.04,-47.07,1356,,,,,
