ONUniversityOfWaterloo,onwat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1114,Simbotics,4.12,-0.07,15.01,14.99,0.11,0.00,6.70,0.11,-1.00,-1.00,2.23,25.81,-1.05,37.37,12.12,0.34,0.42,0.16,0.09,35.88,1.91,-1.00,-1.00,85.46,0.40,0.17,0.18,37.46,0.89,-1.00,-1.00,0.38,0.09,-0.16,0.11,0.47,0.12,11.06,3.51,42.58,1.01,2.02,-1.00,-1.00,27.11,114.77,131.62,0.42,50.77,1686,,,,,
2056,OP Robotics,5.47,-0.09,9.71,9.68,0.04,0.00,2.11,0.04,-1.00,-1.00,0.70,17.25,-1.19,78.81,25.94,0.33,0.29,0.32,-0.01,35.59,1.75,-1.00,-1.00,107.66,0.08,0.33,0.51,46.13,0.89,-1.00,-1.00,0.67,-0.01,-0.14,0.58,0.10,0.06,1.70,4.44,37.70,0.92,1.79,-1.00,-1.00,35.61,129.35,141.98,0.55,69.96,1692,,,,,
2634,The Gryphons,4.44,-0.05,1.33,1.32,0.08,0.00,4.80,0.08,-1.00,-1.00,1.60,10.57,-0.84,3.69,1.13,0.33,0.25,-0.24,-0.04,9.13,-0.77,-1.00,-1.00,34.93,0.18,0.07,0.24,24.68,0.50,-1.00,-1.00,0.04,-0.04,0.15,-0.21,0.29,-0.20,8.03,-6.09,13.93,0.31,-0.69,-1.00,-1.00,2.45,39.40,36.23,0.27,-7.30,1380,,,,,
2702,Rebels,4.79,0.06,0.42,0.44,0.25,0.00,14.93,0.25,-1.00,-1.00,4.98,20.16,-0.35,0.29,0.02,0.35,0.24,0.42,-0.02,29.32,1.81,-1.00,-1.00,68.47,0.35,0.28,0.15,39.12,0.64,-1.00,-1.00,-0.00,-0.02,0.13,0.14,-0.14,0.51,-2.86,13.46,44.25,0.98,2.06,-1.00,-1.00,0.46,102.08,100.42,0.41,63.21,1549,,,,,
3161,Tronic Titans,4.62,-0.02,0.35,0.35,0.02,0.00,1.45,0.02,-1.00,-1.00,0.48,6.43,-1.31,2.75,0.62,0.35,0.14,0.08,-0.02,20.99,0.56,-1.00,-1.00,26.42,0.16,0.01,-0.08,4.81,0.21,-1.00,-1.00,-0.01,-0.02,0.17,-0.22,0.42,0.08,11.31,0.85,22.44,0.55,0.58,-1.00,-1.00,0.97,33.70,31.48,0.05,-49.94,1371,,,,,
3683,Team Dave,4.14,0.74,1.19,1.44,0.49,0.00,29.31,0.49,-1.00,-1.00,9.77,34.89,3.70,0.88,0.65,0.35,0.40,0.55,0.15,38.14,3.41,-1.00,-1.00,72.10,-0.08,0.59,0.16,33.30,0.58,-1.00,-1.00,0.08,0.15,0.27,0.04,0.20,0.51,6.42,13.02,67.46,1.44,3.90,-1.00,-1.00,2.09,120.00,136.56,0.34,54.54,1601,,,,,
4476,W.A.F.F.L.E.S.,5.35,-0.01,1.34,1.31,0.36,0.00,21.81,0.36,-1.00,-1.00,7.27,28.48,-0.32,2.54,0.77,0.33,0.37,0.35,0.13,32.51,2.51,-1.00,-1.00,78.44,0.43,0.43,0.04,45.15,0.88,-1.00,-1.00,0.05,0.13,0.15,0.09,-0.06,-0.14,-0.69,-3.09,54.32,1.18,2.87,-1.00,-1.00,2.09,103.83,117.46,0.36,43.22,1457,,,,,
4525,Renaissance Robotics,5.03,0.75,0.69,0.94,0.56,0.00,33.76,0.56,-1.00,-1.00,11.25,39.73,0.72,0.26,0.08,0.33,0.41,0.56,0.06,32.15,2.87,-1.00,-1.00,54.87,0.21,0.17,0.08,22.64,0.88,-1.00,-1.00,0.02,0.06,-0.22,0.24,-0.16,0.26,-5.07,7.61,65.90,1.37,3.44,-1.00,-1.00,1.02,102.21,109.13,0.45,57.48,1580,,,,,
4595,Infinity,4.01,-0.02,0.67,0.66,0.11,0.00,6.52,0.11,-1.00,-1.00,2.17,11.19,-0.01,-0.23,-0.10,0.26,0.24,-0.09,0.00,12.15,-0.07,-1.00,-1.00,4.96,-0.10,0.11,-0.16,-7.10,0.08,-1.00,-1.00,0.00,0.00,0.14,0.49,0.07,0.43,2.56,13.12,18.68,0.41,0.04,-1.00,-1.00,0.56,29.28,29.51,0.13,-57.60,1316,,,,,
4678,CyberCavs,4.96,-0.02,-0.08,-0.09,0.58,0.00,34.60,0.58,-1.00,-1.00,11.53,39.47,-1.43,-4.04,-1.46,0.32,0.39,0.32,0.08,21.14,1.94,-1.00,-1.00,44.83,0.21,0.09,0.20,25.15,0.79,-1.00,-1.00,-0.07,0.08,-0.08,0.43,0.19,0.44,4.40,13.15,55.74,1.11,2.52,-1.00,-1.00,-1.55,97.45,104.32,0.29,29.49,1618,,,,,
4704,Northern Lights Robotics,4.17,-0.16,-0.29,-0.34,-0.16,0.00,-9.48,-0.16,-1.00,-1.00,-3.16,-5.66,2.16,4.58,1.75,0.34,0.23,-0.02,-0.02,27.54,0.41,-1.00,-1.00,36.89,0.06,0.01,0.08,7.60,0.17,-1.00,-1.00,0.05,-0.02,0.15,-0.18,-0.09,0.42,-1.41,9.72,18.06,0.53,0.25,-1.00,-1.00,1.41,40.95,39.84,0.12,-18.90,1467,,,,,
4777,Spirit Robotics,4.24,-0.14,0.55,0.50,-0.11,0.00,-6.75,-0.11,-1.00,-1.00,-2.25,-2.00,2.22,8.45,2.93,0.34,0.25,-0.19,-0.03,19.02,-0.35,-1.00,-1.00,33.93,0.01,0.17,0.06,11.98,0.17,-1.00,-1.00,0.13,-0.03,-0.05,0.15,0.43,0.10,10.49,3.39,12.27,0.36,-0.47,-1.00,-1.00,3.43,35.32,34.38,-0.08,-21.59,1324,,,,,
4814,Incubator,5.29,-0.03,-0.34,-0.35,-0.07,0.00,-3.91,-0.07,-1.00,-1.00,-1.30,1.04,-1.22,-3.60,-1.24,0.35,0.39,0.35,-0.00,46.17,2.25,-1.00,-1.00,60.88,0.18,0.03,0.10,15.95,0.63,-1.00,-1.00,0.01,-0.00,0.22,-0.12,0.37,0.14,10.40,2.84,42.26,1.09,2.18,-1.00,-1.00,-1.58,64.76,64.82,-0.02,-41.09,1421,,,,,
4903,Mustangs,4.67,-0.10,-1.42,-1.45,0.27,0.00,16.00,0.27,-1.00,-1.00,5.33,19.23,0.82,-2.56,-0.71,0.26,0.26,0.08,-0.04,12.18,0.37,-1.00,-1.00,23.31,-0.05,-0.03,0.32,11.85,0.44,-1.00,-1.00,-0.04,-0.04,-0.27,0.04,0.08,-0.19,0.69,-4.43,28.18,0.57,0.63,-1.00,-1.00,-2.16,38.12,33.28,0.05,-22.64,1348,,,,,
