ONVictoriaParkCollegiate,onto2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
216,More RoboDawgs,3.90,0.00,-0.31,-0.31,0.12,0.00,7.23,0.12,-1.00,-1.00,2.41,10.82,-0.26,1.13,0.12,0.33,0.20,-0.11,0.00,12.20,-0.16,-1.00,-1.00,55.60,0.35,0.24,0.28,43.29,0.43,-1.00,-1.00,0.00,0.00,0.42,-0.22,-0.17,0.29,-2.16,6.26,19.43,0.43,-0.04,-1.00,-1.00,-0.20,72.68,72.68,0.19,2.27,1491,,,,,
244,RoboDawgs 3D,4.10,0.00,0.39,0.39,0.14,0.00,8.61,0.14,-1.00,-1.00,2.87,13.09,-0.27,1.92,0.59,0.33,0.36,-0.06,0.00,19.68,0.34,-1.00,-1.00,60.54,0.50,0.22,0.08,40.26,0.50,-1.00,-1.00,0.00,0.00,0.11,0.01,0.56,-0.15,14.47,-3.67,28.29,0.64,0.48,-1.00,-1.00,0.98,69.96,69.96,0.24,7.43,1411,,,,,
288,The RoboDawgs,4.85,0.00,0.23,0.23,-0.14,0.00,-8.32,-0.14,-1.00,-1.00,-2.77,-3.23,1.05,1.77,0.70,0.33,0.29,-0.13,0.00,25.28,0.19,-1.00,-1.00,42.20,0.29,0.04,0.00,16.21,0.33,-1.00,-1.00,0.00,0.00,-0.18,0.60,0.31,-0.03,6.75,2.35,16.96,0.49,0.05,-1.00,-1.00,0.94,41.32,41.32,0.04,-44.09,1375,,,,,
746,Gearheads,4.96,0.00,-0.36,-0.36,0.14,0.00,8.67,0.14,-1.00,-1.00,2.89,13.27,-0.36,0.44,0.06,0.33,0.28,0.08,0.00,22.16,0.75,-1.00,-1.00,52.32,0.02,0.13,0.45,30.10,0.64,-1.00,-1.00,0.00,0.00,-0.16,0.70,-0.12,0.14,-3.74,6.90,30.83,0.70,0.89,-1.00,-1.00,-0.30,72.49,72.49,0.11,18.14,1393,,,,,
919,Tiger Techs,4.37,0.00,-0.21,-0.21,-0.01,0.00,-0.65,-0.01,-1.00,-1.00,-0.22,3.51,3.50,-0.41,0.11,0.33,0.29,-0.05,0.00,23.25,0.38,-1.00,-1.00,16.62,-0.04,-0.04,-0.06,-6.73,0.00,-1.00,-1.00,0.00,0.00,0.54,-0.25,0.54,-0.19,16.12,-6.01,22.59,0.57,0.37,-1.00,-1.00,-0.10,14.12,14.12,-0.18,-101.57,1194,,,,,
1075,Sprockets,5.16,0.00,0.43,0.43,0.10,0.00,6.15,0.10,-1.00,-1.00,2.05,11.74,-0.66,-0.95,-0.40,0.33,0.34,0.07,0.00,25.43,0.84,-1.00,-1.00,56.25,0.15,0.21,0.26,31.22,0.50,-1.00,-1.00,0.00,0.00,-0.06,0.26,-0.11,-0.23,-3.01,-4.43,31.58,0.74,0.94,-1.00,-1.00,0.04,63.57,63.57,0.45,48.56,1528,,,,,
1246,Agincourt Lancers,4.42,0.00,-0.38,-0.38,-0.05,0.00,-2.95,-0.05,-1.00,-1.00,-0.98,1.09,0.11,0.38,0.11,0.33,0.37,0.02,0.00,31.01,0.88,-1.00,-1.00,63.70,0.23,0.28,0.15,32.58,0.79,-1.00,-1.00,0.00,0.00,0.90,0.26,0.05,0.11,5.77,4.12,28.06,0.73,0.83,-1.00,-1.00,-0.27,68.91,68.91,0.26,14.83,1386,,,,,
1305,Ice Cubed,4.98,0.00,1.88,1.88,0.30,0.00,18.28,0.30,-1.00,-1.00,6.09,25.14,0.11,7.97,2.58,0.33,0.35,0.61,0.00,39.50,2.83,-1.00,-1.00,94.79,0.18,0.41,0.46,52.71,0.84,-1.00,-1.00,0.00,0.00,-0.13,0.55,-0.20,0.41,-5.61,13.03,57.78,1.29,3.14,-1.00,-1.00,4.46,132.96,132.96,0.43,97.95,1575,,,,,
2198,Paradigm Shift,5.37,0.00,-0.12,-0.12,0.15,0.00,8.85,0.15,-1.00,-1.00,2.95,14.09,-0.39,3.41,1.18,0.33,0.28,0.08,0.00,21.83,0.74,-1.00,-1.00,19.53,-0.03,-0.02,-0.02,-3.48,0.14,-1.00,-1.00,0.00,0.00,0.52,0.14,0.27,0.08,9.28,2.65,30.68,0.69,0.89,-1.00,-1.00,1.05,36.27,36.27,-0.02,-48.71,1302,,,,,
