ONWesternUniversity,onlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
190,Gompei and the H.E.R.D.,5.02,0.00,-0.14,-0.14,0.53,0.00,31.53,0.53,-1.00,-1.00,10.51,36.41,-0.06,0.56,0.11,0.33,0.26,0.46,0.08,24.40,2.32,-1.00,-1.00,76.12,0.54,0.41,0.08,51.61,0.89,-1.00,-1.00,0.00,0.08,0.19,0.49,-0.18,0.11,-3.61,5.26,55.93,1.14,2.85,-1.00,-1.00,-0.02,117.79,125.80,0.45,53.77,1526,,,,,
2198,Paradigm Shift,5.67,0.00,-0.22,-0.22,0.32,0.00,19.31,0.32,-1.00,-1.00,6.44,24.76,-0.03,-1.30,-0.39,0.33,0.26,0.16,-0.05,15.37,0.56,-1.00,-1.00,39.25,0.20,0.08,0.20,24.26,0.40,-1.00,-1.00,0.00,-0.05,0.16,0.01,0.41,0.76,10.95,18.99,34.69,0.71,0.88,-1.00,-1.00,-0.61,82.99,78.49,0.01,27.32,1408,,,,,
2200,MMRambotics,4.40,0.00,2.55,2.55,0.67,0.00,40.04,0.67,-1.00,-1.00,13.35,46.99,0.02,5.26,1.56,0.33,0.35,0.35,-0.03,13.60,1.28,-1.00,-1.00,62.50,0.30,0.31,0.33,47.33,0.73,-1.00,-1.00,0.00,-0.03,0.42,0.43,-0.13,0.32,-1.09,10.10,53.64,1.01,1.94,-1.00,-1.00,4.11,119.59,116.98,0.34,52.16,1505,,,,,
2852,DM High Voltage,3.09,0.00,3.03,3.03,0.20,0.00,11.78,0.20,-1.00,-1.00,3.93,17.91,0.03,21.08,6.81,0.33,0.35,0.38,-0.01,34.24,1.96,-1.00,-1.00,48.48,-0.08,-0.04,0.26,7.43,0.33,-1.00,-1.00,0.00,-0.01,0.44,0.65,0.06,0.02,3.80,3.72,46.03,1.05,2.15,-1.00,-1.00,9.84,70.10,68.97,-0.03,-16.75,1500,,,,,
2935,NACI Robotics,4.05,0.00,-0.21,-0.21,0.31,0.00,18.88,0.31,-1.00,-1.00,6.29,22.72,-0.07,-0.48,-0.20,0.33,0.35,0.53,0.07,38.74,2.91,-1.00,-1.00,61.04,-0.03,0.33,0.15,22.49,0.80,-1.00,-1.00,0.00,0.07,0.14,0.13,-0.07,-0.01,-1.03,0.50,57.63,1.28,3.23,-1.00,-1.00,-0.41,84.26,90.76,0.19,11.34,1462,,,,,
3571,Milton Mustangs,1.49,0.00,-0.41,-0.41,0.01,0.00,0.68,0.01,-1.00,-1.00,0.23,1.76,-0.01,-1.50,-0.47,0.33,0.34,0.01,-0.04,25.30,0.47,-1.00,-1.00,37.93,0.20,-0.08,0.14,13.09,0.33,-1.00,-1.00,0.00,-0.04,0.11,0.07,-0.24,0.36,-5.45,9.25,25.99,0.64,0.48,-1.00,-1.00,-0.88,48.94,44.84,0.11,-9.21,1394,,,,,
3739,Oakbotics,5.02,0.00,0.25,0.25,-0.04,0.00,-2.32,-0.04,-1.00,-1.00,-0.77,2.95,0.07,1.51,0.44,0.33,0.35,-0.19,-0.01,20.61,-0.11,-1.00,-1.00,26.08,0.00,-0.08,0.18,5.02,0.00,-1.00,-1.00,0.00,-0.01,0.08,0.14,0.31,0.20,8.24,5.66,18.29,0.48,-0.14,-1.00,-1.00,0.69,34.68,33.37,-0.22,-46.20,1312,,,,,
3756,RamFerno,5.29,0.00,0.13,0.13,0.18,0.00,11.06,0.18,-1.00,-1.00,3.69,16.48,0.07,-0.70,-0.25,0.33,0.34,0.24,0.00,29.18,1.45,-1.00,-1.00,43.65,0.25,-0.02,0.07,14.72,0.40,-1.00,-1.00,0.00,0.00,0.23,-0.20,-0.24,-0.02,-4.80,-1.55,40.24,0.91,1.64,-1.00,-1.00,-0.12,58.59,58.61,0.13,2.85,1384,,,,,
4039,MakeShift Robotics,4.27,0.00,1.97,1.97,0.55,0.00,32.92,0.55,-1.00,-1.00,10.97,39.16,0.50,6.25,1.93,0.33,0.35,0.47,0.16,30.47,2.98,-1.00,-1.00,63.71,0.19,0.27,0.16,31.31,0.79,-1.00,-1.00,0.00,0.16,0.08,0.28,0.19,0.24,5.03,7.48,63.39,1.31,3.53,-1.00,-1.00,3.91,110.35,126.26,0.37,56.99,1610,,,,,
4308,ABSOLUTE,1.04,0.00,0.20,0.20,-0.01,0.00,-0.47,-0.01,-1.00,-1.00,-0.16,0.78,-0.04,2.73,0.95,0.33,0.35,0.05,0.07,32.24,1.31,-1.00,-1.00,45.57,0.25,0.03,-0.03,12.38,0.42,-1.00,-1.00,0.00,0.07,-0.02,-0.04,0.44,0.26,10.99,6.28,31.77,0.80,1.30,-1.00,-1.00,1.15,52.63,59.49,0.09,-32.51,1334,,,,,
