ONWindsorEssexGreatLakes,onwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
33,Killer Bees,4.83,-0.08,10.82,10.80,0.16,0.01,9.84,0.16,-1.00,-1.00,3.28,25.47,-0.72,42.56,13.92,0.33,0.35,0.31,0.04,34.77,2.03,-1.00,-1.00,108.13,0.39,0.38,0.41,59.44,0.95,-1.00,-1.00,0.33,0.04,0.21,0.03,-0.01,0.17,0.83,4.42,44.60,1.03,2.19,-1.00,-1.00,24.72,138.01,148.79,0.32,78.66,1658,,,,,
610,Crescent Robotics,4.16,-0.05,3.09,3.08,0.41,0.01,24.76,0.41,-1.00,-1.00,8.25,32.00,-0.12,-0.20,-0.27,0.33,0.36,0.51,0.17,38.47,3.36,-1.00,-1.00,81.18,0.37,0.27,0.22,42.97,0.83,-1.00,-1.00,0.03,0.17,0.30,0.14,0.21,0.24,6.66,6.61,63.23,1.37,3.77,-1.00,-1.00,2.81,119.79,137.20,0.35,37.84,1666,,,,,
772,Sabre Bytes,5.53,-0.17,1.62,1.58,0.27,-0.01,15.67,0.26,-1.00,-1.00,5.22,22.78,-0.27,3.11,0.72,0.33,0.34,0.32,0.04,30.67,1.91,-1.00,-1.00,75.04,0.25,0.30,0.33,43.65,0.74,-1.00,-1.00,-0.04,0.04,-0.09,0.12,-0.03,0.31,-1.21,8.33,46.33,1.03,2.17,-1.00,-1.00,2.30,106.15,109.11,0.49,33.68,1556,,,,,
773,Kingsville CavalGears,4.74,-0.06,0.12,0.10,0.13,-0.02,6.42,0.11,-1.00,-1.00,2.14,11.27,-0.42,0.49,0.12,0.33,0.26,0.16,-0.02,24.91,0.92,-1.00,-1.00,28.19,-0.00,0.11,-0.04,3.15,0.00,-1.00,-1.00,0.01,-0.02,-0.11,0.19,0.24,0.04,5.39,1.90,31.33,0.73,1.03,-1.00,-1.00,0.23,41.35,39.62,0.04,-37.09,1319,,,,,
1241,THEORY6,5.15,-0.04,4.34,4.33,0.69,0.08,46.65,0.78,-1.00,-1.00,15.55,56.13,0.04,5.85,1.78,0.33,0.35,0.57,0.06,21.46,2.57,-1.00,-1.00,77.90,0.45,0.32,0.32,54.65,0.94,-1.00,-1.00,-0.01,0.06,0.21,-0.17,-0.07,0.27,-0.74,5.99,68.11,1.31,3.35,-1.00,-1.00,6.11,140.01,146.26,0.50,90.47,1625,,,,,
1285,The Big Bang,5.45,-0.10,0.65,0.63,-0.02,0.09,4.49,0.07,-1.00,-1.00,1.50,10.56,0.28,3.83,1.29,0.33,0.34,0.62,0.06,51.02,3.43,-1.00,-1.00,97.30,0.29,0.21,0.40,44.99,0.88,-1.00,-1.00,0.07,0.06,0.10,-0.09,0.04,-0.15,1.60,-4.19,55.51,1.35,3.50,-1.00,-1.00,1.91,103.67,110.99,0.47,32.70,1549,,,,,
1846,Le Vortex,4.57,0.07,-1.31,-1.29,0.29,-0.01,16.67,0.28,-1.00,-1.00,5.56,19.95,0.01,-3.74,-1.17,0.33,0.34,0.18,0.03,24.05,1.28,-1.00,-1.00,52.61,0.21,0.23,0.16,29.74,0.57,-1.00,-1.00,-0.05,0.03,0.13,-0.03,-0.10,-0.03,-1.93,-0.87,40.72,0.88,1.56,-1.00,-1.00,-2.46,71.69,73.34,0.16,-36.47,1353,,,,,
2634,The Gryphons,5.20,-0.10,-1.11,-1.14,0.25,-0.01,14.37,0.24,-1.00,-1.00,4.79,18.43,-0.09,-4.81,-1.64,0.33,0.26,0.38,-0.04,27.76,1.56,-1.00,-1.00,88.87,0.41,0.62,0.22,62.75,0.93,-1.00,-1.00,-0.03,-0.04,0.11,0.30,-0.08,-0.03,-1.48,0.63,42.13,0.93,1.80,-1.00,-1.00,-2.78,107.93,103.57,0.21,-5.43,1442,,,,,
4595,Infinity,4.71,-0.04,-0.23,-0.24,-0.21,0.01,-12.26,-0.20,-1.00,-1.00,-4.09,-7.79,-0.15,3.38,1.16,0.33,0.34,0.10,-0.06,36.82,0.92,-1.00,-1.00,70.14,0.36,0.05,0.24,32.16,0.67,-1.00,-1.00,-0.02,-0.06,-0.01,0.07,0.40,0.05,10.02,1.61,24.56,0.72,0.72,-1.00,-1.00,0.92,63.95,57.35,-0.01,-13.31,1423,,,,,
