Oklahoma,okok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
31,Prime Movers,3.63,0.00,-0.12,-0.12,0.16,0.00,9.86,0.16,-1.00,-1.00,3.29,13.38,-0.58,0.05,-0.02,0.33,0.24,-0.07,0.00,13.72,0.18,-1.00,-1.00,32.41,0.14,-0.03,0.27,18.71,0.50,-1.00,-1.00,0.00,0.00,0.40,0.23,-0.12,0.08,-1.10,3.22,23.58,0.51,0.34,-1.00,-1.00,-0.14,49.01,49.01,0.19,-3.54,1405,,,,,
932,Circuit Chargers,2.53,0.00,-0.06,-0.06,0.52,0.00,31.15,0.52,-1.00,-1.00,10.38,33.62,-0.20,-0.12,-0.03,0.33,0.29,0.34,0.00,17.93,1.45,-1.00,-1.00,58.03,0.67,0.11,0.03,40.13,0.69,-1.00,-1.00,0.00,0.00,0.03,0.20,-0.04,0.06,-0.73,2.58,49.07,0.97,1.97,-1.00,-1.00,-0.10,94.23,94.23,0.10,20.16,1515,,,,,
1209,Robo Hornets,5.54,0.00,-0.03,-0.03,0.17,0.00,9.92,0.17,-1.00,-1.00,3.31,15.42,0.16,-0.04,-0.02,0.33,0.31,0.03,0.00,20.45,0.62,-1.00,-1.00,43.64,0.32,0.08,0.07,23.21,0.75,-1.00,-1.00,0.00,0.00,-0.02,-0.32,1.07,0.12,26.53,1.50,30.37,0.68,0.78,-1.00,-1.00,-0.06,60.56,60.56,0.08,-29.49,1431,,,,,
1561,ROBODUCKS,3.52,0.00,-0.05,-0.05,-0.03,0.00,-1.52,-0.03,-1.00,-1.00,-0.51,1.95,0.34,0.01,0.02,0.33,0.36,0.11,0.00,33.05,1.18,-1.00,-1.00,72.58,0.41,0.27,0.11,39.51,0.63,-1.00,-1.00,0.00,0.00,0.00,-0.38,0.08,-0.02,1.89,-2.42,31.53,0.80,1.15,-1.00,-1.00,-0.03,72.10,72.10,0.06,-26.46,1455,,,,,
1742,Shockwave,0.45,0.00,-0.66,-0.66,0.06,0.00,3.79,0.06,-1.00,-1.00,1.26,3.58,-0.32,-0.07,-0.02,0.33,0.33,0.06,0.00,26.12,0.83,-1.00,-1.00,25.08,-0.16,0.11,0.03,-1.02,0.00,-1.00,-1.00,0.00,0.00,-0.15,0.01,-0.33,-0.40,-9.03,-9.99,29.91,0.72,0.89,-1.00,-1.00,-0.68,18.67,18.67,0.14,-15.87,1449,,,,,
1750,ThunderStorm Robotics,0.40,0.00,0.38,0.38,-0.06,0.00,-3.74,-0.06,-1.00,-1.00,-1.25,-2.97,0.39,0.25,0.04,0.33,0.24,-0.04,0.00,23.93,0.38,-1.00,-1.00,57.65,0.30,0.32,0.06,33.68,0.63,-1.00,-1.00,0.00,0.00,0.30,0.52,-0.07,0.13,-0.13,5.87,20.19,0.54,0.31,-1.00,-1.00,0.42,60.55,60.55,0.07,-11.36,1469,,,,,
1806,S.W.A.T.,4.84,0.00,2.75,2.75,0.15,0.00,8.95,0.15,-1.00,-1.00,2.98,16.53,-0.12,-0.01,-0.02,0.33,0.33,0.59,0.00,44.14,2.88,-1.00,-1.00,68.48,0.22,-0.01,0.28,24.37,0.71,-1.00,-1.00,0.00,0.00,0.02,-0.04,-0.00,0.73,0.10,17.97,53.08,1.25,3.03,-1.00,-1.00,2.73,102.99,102.99,0.30,33.60,1607,,,,,
2004,Thunderducks,3.17,0.00,0.29,0.29,0.13,0.00,8.07,0.13,-1.00,-1.00,2.69,11.53,0.32,-0.06,0.02,0.33,0.36,0.07,0.00,25.41,0.86,-1.00,-1.00,44.64,0.12,0.22,0.04,19.21,0.25,-1.00,-1.00,0.00,0.00,0.09,0.03,0.03,0.24,1.20,6.05,33.48,0.77,1.00,-1.00,-1.00,0.32,62.23,62.23,-0.08,-17.63,1365,,,,,
2165,Trailblazers,4.18,0.00,-0.03,-0.03,0.13,0.00,7.91,0.13,-1.00,-1.00,2.64,12.06,-1.33,-0.06,-0.16,0.33,0.36,0.33,0.00,36.05,1.92,-1.00,-1.00,59.70,-0.08,0.45,0.11,23.82,0.88,-1.00,-1.00,0.00,0.00,0.39,0.08,-0.25,0.10,-4.18,2.94,43.96,1.03,2.05,-1.00,-1.00,-0.19,74.70,74.70,0.23,15.67,1479,,,,,
