OrangeCounty,cair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
207,METALCRAFTERS,5.82,0.00,0.40,0.40,0.21,0.00,12.66,0.21,-1.00,-1.00,4.22,18.88,-0.17,-1.12,-0.43,0.33,0.32,0.50,0.21,46.35,3.70,-1.00,-1.00,92.35,0.14,0.48,0.31,46.43,0.71,-1.00,-1.00,0.03,0.21,0.00,0.02,-0.10,0.27,-2.45,6.90,59.02,1.37,3.91,-1.00,-1.00,-0.03,118.13,139.54,0.40,65.08,1605,,,,,
589,Falkon Robotics,5.07,0.00,-0.83,-0.83,0.16,0.00,9.88,0.16,-1.00,-1.00,3.29,14.11,0.44,-1.81,-0.55,0.33,0.35,0.32,0.04,35.00,2.03,-1.00,-1.00,10.18,0.00,-0.37,-0.12,-24.26,0.20,-1.00,-1.00,-0.01,0.04,0.08,-0.10,0.18,0.35,4.92,8.32,44.88,1.04,2.20,-1.00,-1.00,-1.38,32.62,36.10,-0.04,-24.92,1398,,,,,
597,The Wolverines,6.20,0.00,0.11,0.11,0.57,0.00,34.17,0.57,-1.00,-1.00,11.39,40.48,4.14,2.59,1.03,0.33,0.33,0.70,-0.05,29.87,2.60,-1.00,-1.00,81.44,0.33,0.26,0.42,50.54,0.83,-1.00,-1.00,0.03,-0.05,-0.03,-0.06,0.04,0.02,0.81,0.22,64.04,1.32,3.17,-1.00,-1.00,1.14,122.13,117.55,0.44,65.46,1557,,,,,
599,Robodox,5.98,0.00,-0.68,-0.68,0.59,0.00,35.67,0.59,-1.00,-1.00,11.89,40.97,-0.76,1.23,0.42,0.33,0.37,0.45,0.03,23.68,2.15,-1.00,-1.00,65.06,0.39,-0.08,0.50,40.96,0.72,-1.00,-1.00,-0.01,0.03,0.02,0.17,0.48,0.25,12.12,7.00,59.35,1.19,2.74,-1.00,-1.00,-0.26,113.04,116.40,0.28,46.39,1570,,,,,
1159,Ramona Rampage,4.58,0.00,0.27,0.27,0.05,0.00,3.16,0.05,-1.00,-1.00,1.05,8.00,0.15,0.08,0.07,0.33,0.34,-0.14,0.03,20.69,0.28,-1.00,-1.00,55.25,0.28,0.10,0.32,34.50,0.40,-1.00,-1.00,0.01,0.03,-0.04,0.34,0.04,-0.13,0.70,-1.64,23.84,0.57,0.33,-1.00,-1.00,0.34,61.61,65.39,0.08,-17.50,1407,,,,,
1160,Titanium,5.18,0.00,0.69,0.69,0.33,0.00,19.70,0.33,-1.00,-1.00,6.57,25.56,-0.16,1.70,0.56,0.33,0.35,0.28,0.01,25.73,1.54,-1.00,-1.00,92.09,0.49,0.56,0.26,65.80,0.75,-1.00,-1.00,-0.01,0.01,-0.00,0.05,-0.10,-0.07,-2.48,-1.49,45.42,0.97,1.87,-1.00,-1.00,1.25,116.16,116.64,0.28,11.08,1439,,,,,
1572,The Hammer Heads,5.09,0.00,4.31,4.31,0.18,0.00,10.91,0.18,-1.00,-1.00,3.64,20.31,-0.20,-3.23,-1.17,0.33,0.35,0.46,0.18,45.65,3.45,-1.00,-1.00,93.24,0.34,0.36,0.28,48.77,0.79,-1.00,-1.00,0.04,0.18,0.12,-0.09,-0.03,-0.02,-0.23,-0.97,56.56,1.32,3.63,-1.00,-1.00,3.14,112.58,131.47,0.40,47.22,1545,,,,,
2496,Tru Blu Robotics,2.84,0.00,1.58,1.58,-0.11,0.00,-6.81,-0.11,-1.00,-1.00,-2.27,-2.39,-0.37,-0.46,-0.26,0.33,0.27,0.23,-0.05,35.93,1.27,-1.00,-1.00,60.33,0.16,0.02,0.31,24.66,0.50,-1.00,-1.00,0.05,-0.05,0.02,-0.16,0.03,0.17,0.82,3.48,29.12,0.78,1.15,-1.00,-1.00,1.32,61.42,57.17,0.05,-17.73,1367,,,,,
3295,Poly Techs,1.46,0.00,-0.24,-0.24,-0.28,0.00,-16.80,-0.28,-1.00,-1.00,-5.60,-15.58,0.25,1.04,0.31,0.33,0.24,-0.13,-0.06,26.86,-0.09,-1.00,-1.00,32.03,-0.09,0.11,0.08,4.86,0.50,-1.00,-1.00,0.02,-0.06,-0.07,0.14,0.22,0.23,5.11,6.43,10.06,0.39,-0.37,-1.00,-1.00,0.07,22.89,17.47,-0.19,-79.55,1277,,,,,
3309,Friarbots,3.78,0.00,16.04,16.04,0.07,0.00,4.05,0.07,-1.00,-1.00,1.35,23.87,-0.15,53.93,17.66,0.33,0.35,0.17,0.06,34.00,1.69,-1.00,-1.00,115.28,0.52,0.47,0.28,63.62,0.94,-1.00,-1.00,0.60,0.06,0.27,-0.00,-0.05,0.44,0.14,10.93,38.05,0.92,1.76,-1.00,-1.00,33.70,150.07,168.36,0.27,78.96,1706,,,,,
3328,NohoRobo,1.27,0.00,3.82,3.82,-0.25,0.00,-15.15,-0.25,-1.00,-1.00,-5.05,-10.06,-0.22,17.33,5.48,0.33,0.32,-0.05,-0.02,33.54,0.58,-1.00,-1.00,97.48,0.30,0.29,0.58,58.46,0.92,-1.00,-1.00,0.02,-0.02,0.05,-0.07,-0.32,0.17,-7.66,3.76,18.39,0.59,0.33,-1.00,-1.00,9.31,91.18,89.66,0.27,29.06,1456,,,,,
3453,DEM BOTS,4.19,0.00,0.13,0.13,0.22,0.00,13.17,0.22,-1.00,-1.00,4.39,17.49,-0.43,1.65,0.52,0.33,0.35,0.19,-0.07,23.73,0.86,-1.00,-1.00,66.99,0.44,0.05,0.36,42.74,0.60,-1.00,-1.00,0.00,-0.07,0.09,-0.11,0.28,0.15,7.43,3.20,36.90,0.81,1.08,-1.00,-1.00,0.65,87.68,81.21,0.04,-24.51,1394,,,,,
3470,Cyborg Zombies,4.41,0.00,0.37,0.37,0.50,0.00,29.84,0.50,-1.00,-1.00,9.95,34.61,-0.21,-4.46,-1.43,0.33,0.34,0.37,-0.02,21.13,1.56,-1.00,-1.00,40.36,0.05,0.30,0.05,20.66,0.50,-1.00,-1.00,-0.00,-0.02,0.12,0.06,0.31,-0.21,8.46,-4.92,50.97,1.03,2.05,-1.00,-1.00,-1.06,70.05,68.15,0.14,-24.36,1445,,,,,
3473,3473: Team Sprocket,3.68,0.00,-0.29,-0.29,-0.06,0.00,-3.80,-0.06,-1.00,-1.00,-1.27,-0.41,-0.28,-1.83,-0.74,0.33,0.36,0.19,0.21,45.95,2.76,-1.00,-1.00,89.13,0.13,0.41,0.34,43.92,0.89,-1.00,-1.00,-0.07,0.21,0.22,0.18,0.24,-0.25,7.03,-5.40,42.15,1.09,2.70,-1.00,-1.00,-1.03,83.32,102.54,0.28,19.35,1561,,,,,
3476,Code Orange,4.95,0.00,-0.30,-0.30,0.26,0.00,15.39,0.26,-1.00,-1.00,5.13,20.03,0.09,1.31,0.45,0.33,0.35,0.42,0.07,36.97,2.56,-1.00,-1.00,59.00,0.15,0.16,0.12,21.57,0.60,-1.00,-1.00,0.00,0.07,0.31,0.23,0.10,0.41,4.14,11.34,52.36,1.18,2.82,-1.00,-1.00,0.15,90.37,97.26,0.23,0.87,1545,,,,,
3491,FUTURE Dinos,5.00,0.00,0.28,0.28,-0.01,0.00,-0.78,-0.01,-1.00,-1.00,-0.26,4.50,0.06,-2.24,-0.68,0.33,0.35,-0.11,-0.05,21.59,-0.01,-1.00,-1.00,40.68,0.09,0.20,0.10,19.77,0.30,-1.00,-1.00,-0.01,-0.05,0.29,0.16,0.41,0.11,11.82,3.56,20.81,0.53,-0.02,-1.00,-1.00,-0.39,48.75,44.05,-0.10,-57.01,1379,,,,,
3646,Integra,4.68,0.00,-0.05,-0.05,-0.10,0.00,-5.99,-0.10,-1.00,-1.00,-2.00,-1.36,0.19,-1.09,-0.38,0.33,0.35,0.26,0.01,42.00,1.89,-1.00,-1.00,93.49,0.31,0.40,0.33,51.87,0.67,-1.00,-1.00,-0.00,0.01,0.10,0.30,-0.16,0.24,-3.62,7.46,36.01,0.95,1.79,-1.00,-1.00,-0.43,99.59,100.54,0.31,32.16,1482,,,,,
3863,Pantherbotics,4.80,0.00,0.20,0.20,0.14,0.00,8.49,0.14,-1.00,-1.00,2.83,13.49,0.07,-0.15,-0.07,0.33,0.34,0.02,0.02,22.95,0.73,-1.00,-1.00,35.78,0.23,0.24,-0.21,12.91,0.70,-1.00,-1.00,0.00,0.02,0.17,0.13,0.12,0.05,3.84,1.77,31.44,0.72,0.87,-1.00,-1.00,0.12,51.04,52.70,0.13,-39.37,1354,,,,,
