Orlando,flor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
21,ComBBAT,5.11,-0.52,0.36,0.22,-0.03,0.00,-1.52,-0.03,-1.00,-1.00,-0.51,3.81,0.08,-0.61,-0.16,0.33,0.43,0.38,-0.02,46.02,2.28,-1.00,-1.00,77.24,0.46,0.16,0.01,31.38,0.75,-1.00,-1.00,0.00,-0.02,0.02,0.12,0.03,0.57,0.93,14.91,44.50,1.13,2.25,-1.00,-1.00,0.05,95.96,94.21,0.21,0.20,1475,,,,,
59,RamTech,4.82,-0.03,0.25,0.24,0.30,0.00,17.86,0.30,-1.00,-1.00,5.95,22.92,-0.18,8.08,2.35,0.33,0.36,0.38,0.01,31.71,1.99,-1.00,-1.00,63.02,-0.26,0.35,0.49,28.96,0.64,-1.00,-1.00,0.00,0.01,-0.08,0.06,0.24,0.54,5.63,13.87,49.57,1.09,2.28,-1.00,-1.00,2.59,99.82,101.31,0.37,23.13,1480,,,,,
79,Team Krunch,4.07,0.19,0.50,0.55,0.22,0.00,12.92,0.22,-1.00,-1.00,4.31,17.54,-0.59,2.27,0.72,0.33,0.35,0.44,0.12,41.34,2.99,-1.00,-1.00,68.81,0.26,-0.09,0.36,26.75,0.67,-1.00,-1.00,0.00,0.12,-0.03,-0.16,-0.04,0.09,-1.07,1.39,54.26,1.25,3.21,-1.00,-1.00,1.27,87.74,100.05,0.40,48.22,1542,,,,,
86,Team Resistance,5.19,-0.53,8.39,8.24,0.12,0.00,7.16,0.12,-1.00,-1.00,2.39,20.58,1.27,4.52,1.41,0.33,0.37,0.27,-0.03,32.90,1.53,-1.00,-1.00,84.18,0.35,0.32,0.34,49.87,1.00,-1.00,-1.00,0.00,-0.03,0.08,-0.10,0.32,0.46,8.32,11.10,40.06,0.94,1.65,-1.00,-1.00,9.65,115.86,113.03,0.45,47.26,1589,,,,,
108,SigmaC@T Robotic Team,6.09,0.11,0.46,0.49,0.63,0.00,38.00,0.63,-1.00,-1.00,12.67,44.58,-0.46,-0.25,-0.23,0.33,0.29,0.19,0.10,10.70,1.27,-1.00,-1.00,54.86,0.10,0.36,0.43,44.39,0.80,-1.00,-1.00,0.00,0.10,0.08,0.01,0.26,0.30,6.80,7.61,48.70,0.90,1.90,-1.00,-1.00,0.26,107.05,116.60,-0.06,-4.45,1451,,,,,
180,S.P.A.M.,5.34,0.05,-0.41,-0.40,0.26,0.00,15.64,0.26,-1.00,-1.00,5.21,20.58,0.74,-1.11,-0.46,0.33,0.45,0.65,-0.00,46.82,3.17,-1.00,-1.00,105.48,0.31,0.46,0.42,59.12,0.87,-1.00,-1.00,0.00,-0.00,-0.02,0.17,0.24,0.48,5.82,12.92,62.45,1.43,3.43,-1.00,-1.00,-0.86,138.98,138.72,0.64,61.91,1677,,,,,
233,The Pink Team,4.69,0.16,2.24,2.29,0.35,0.00,21.18,0.35,-1.00,-1.00,7.06,28.15,-0.04,0.80,0.33,0.33,0.31,0.44,0.01,29.60,2.18,-1.00,-1.00,68.32,0.15,0.01,0.61,38.40,0.82,-1.00,-1.00,0.00,0.01,-0.05,0.05,-0.42,0.03,-10.80,1.03,50.77,1.09,2.53,-1.00,-1.00,2.61,97.50,98.96,0.28,55.08,1581,,,,,
386,Team Voltage,4.33,-0.34,0.88,0.79,0.54,0.00,32.35,0.54,-1.00,-1.00,10.78,37.47,1.80,0.94,0.55,0.33,0.42,0.40,-0.02,23.76,1.75,-1.00,-1.00,54.99,0.16,0.32,0.14,30.68,0.80,-1.00,-1.00,0.00,-0.02,0.13,0.06,-0.07,0.50,-1.06,12.75,56.11,1.13,2.28,-1.00,-1.00,1.34,105.20,103.56,0.30,44.17,1581,,,,,
456,Siege Robotics,5.46,-0.36,-0.59,-0.69,0.44,0.00,26.10,0.44,-1.00,-1.00,8.70,30.87,-0.81,-3.17,-1.02,0.33,0.30,0.35,-0.06,19.47,1.16,-1.00,-1.00,50.49,0.20,0.47,-0.02,32.03,1.00,-1.00,-1.00,0.00,-0.06,0.28,0.10,-0.07,0.59,-0.34,15.35,45.57,0.92,1.60,-1.00,-1.00,-1.71,96.71,90.26,0.17,28.69,1581,,,,,
