PCHAlbany,gaalb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1261,Robo  Lions,4.54,0.48,0.25,0.42,0.36,0.00,21.68,0.36,-1.00,-1.00,7.23,26.63,-0.35,-0.69,-0.21,0.33,0.34,0.13,-0.00,17.50,0.82,-1.00,-1.00,28.55,0.07,0.04,0.11,11.25,0.50,-1.00,-1.00,0.00,-0.00,0.17,-0.09,0.11,0.22,3.49,4.97,39.18,0.80,1.18,-1.00,-1.00,0.21,60.15,59.72,0.00,-8.67,1427,,,,,
1771,Electric Phoenixes,5.15,-0.02,-0.03,-0.04,0.05,0.00,2.90,0.05,-1.00,-1.00,0.97,8.01,0.22,-0.30,-0.08,0.33,0.13,0.22,-0.00,25.46,1.09,-1.00,-1.00,30.79,0.22,-0.12,0.01,5.42,0.14,-1.00,-1.00,0.00,-0.00,0.24,0.11,0.20,0.10,6.17,3.08,28.36,0.68,1.14,-1.00,-1.00,-0.13,41.88,41.58,0.00,11.59,1385,,,,,
2974,Walton Robotics,5.41,0.14,-0.04,-0.00,0.51,0.00,30.36,0.51,-1.00,-1.00,10.12,35.77,0.03,-0.74,-0.27,0.33,0.36,0.55,-0.00,29.61,2.41,-1.00,-1.00,87.56,0.10,0.51,0.56,58.22,0.95,-1.00,-1.00,0.00,-0.00,0.00,-0.12,-0.15,0.04,-3.67,0.44,59.96,1.25,2.92,-1.00,-1.00,-0.27,123.76,123.41,0.45,74.08,1598,,,,,
3329,Wildbots,5.34,-0.09,0.25,0.22,-0.01,0.00,-0.78,-0.01,-1.00,-1.00,-0.26,4.77,-0.01,-0.60,-0.21,0.33,0.10,0.23,-0.01,26.45,1.06,-1.00,-1.00,66.39,0.22,0.16,0.42,40.16,0.71,-1.00,-1.00,0.00,-0.01,0.28,-0.08,-0.12,0.18,-1.66,4.00,25.66,0.65,1.04,-1.00,-1.00,0.01,75.16,73.98,0.30,13.54,1403,,,,,
3581,THINC. ROBOTICS,5.10,7.81,0.01,2.49,0.33,0.00,19.64,0.33,-1.00,-1.00,6.55,27.23,-0.24,-0.54,-0.15,0.33,0.30,0.32,-0.01,24.37,1.47,-1.00,-1.00,67.46,0.40,0.30,0.16,43.25,0.50,-1.00,-1.00,0.00,-0.01,-0.10,0.40,-0.08,0.20,-2.50,7.11,44.00,0.94,1.80,-1.00,-1.00,2.34,101.80,100.52,0.24,20.02,1435,,,,,
3635, Flying Legion ,4.06,0.13,-0.01,0.06,0.19,0.00,11.41,0.19,-1.00,-1.00,3.80,15.53,-0.06,-0.68,-0.21,0.33,0.34,0.37,-0.01,33.75,1.92,-1.00,-1.00,72.72,0.43,0.23,0.13,39.19,0.79,-1.00,-1.00,0.00,-0.01,0.04,0.20,0.25,0.13,6.36,4.14,45.16,1.03,2.11,-1.00,-1.00,-0.15,92.39,91.47,0.22,20.74,1465,,,,,
3694,NAHS Warbotz,3.61,0.84,-0.04,0.20,0.08,0.00,4.92,0.08,-1.00,-1.00,1.64,8.73,-0.23,0.18,0.09,0.33,0.32,0.23,0.01,32.07,1.50,-1.00,-1.00,34.75,-0.06,-0.03,0.15,2.59,0.33,-1.00,-1.00,0.00,0.01,-0.11,0.01,0.16,-0.11,3.41,-2.61,36.99,0.88,1.58,-1.00,-1.00,0.29,40.87,41.47,0.22,2.18,1345,,,,,
4080,Team Reboot,5.70,0.01,-0.02,-0.02,0.31,0.00,18.89,0.31,-1.00,-1.00,6.30,24.57,0.43,-0.12,-0.04,0.33,0.33,0.21,-0.00,22.40,1.19,-1.00,-1.00,66.08,0.50,-0.01,0.38,43.73,0.71,-1.00,-1.00,0.00,-0.00,-0.14,-0.11,0.16,0.06,3.37,0.83,41.29,0.87,1.50,-1.00,-1.00,-0.07,91.49,91.33,0.58,56.21,1465,,,,,
4188,Columbus Space Program,5.00,-0.91,-0.00,-0.29,0.03,0.00,1.88,0.03,-1.00,-1.00,0.63,6.59,-0.15,-0.16,-0.05,0.33,0.38,0.67,0.08,57.46,3.91,-1.00,-1.00,113.78,0.34,0.39,0.39,56.38,0.90,-1.00,-1.00,0.00,0.08,-0.00,-0.00,0.01,0.25,0.31,6.24,59.34,1.47,3.94,-1.00,-1.00,-0.34,126.61,134.80,0.45,84.88,1620,,,,,
