PCHColumbus,gacol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1002,The CircuitRunners,2.19,0.40,-0.02,0.09,0.26,0.00,15.52,0.26,-1.00,-1.00,5.17,17.80,-0.13,-0.28,-0.09,0.33,0.36,0.40,0.00,33.30,2.14,-1.00,-1.00,53.99,0.20,0.10,0.11,20.78,0.36,-1.00,-1.00,0.00,0.00,0.12,0.38,-0.11,-0.01,-2.26,1.62,48.82,1.09,2.40,-1.00,-1.00,-0.01,73.41,73.67,0.41,21.08,1486,,,,,
1414,IHOT,4.52,0.36,-0.05,0.03,0.47,0.00,28.43,0.47,-1.00,-1.00,9.48,32.98,-0.12,-0.26,-0.05,0.33,0.28,-0.09,-0.02,1.26,-0.37,-1.00,-1.00,20.96,0.32,0.12,-0.04,19.75,0.33,-1.00,-1.00,0.00,-0.02,0.11,0.06,-0.07,0.34,-1.20,8.85,29.69,0.51,0.10,-1.00,-1.00,-0.02,62.78,61.23,0.43,22.58,1404,,,,,
1648,G3 Robotics,5.97,-0.41,-0.04,-0.17,0.44,0.00,26.52,0.44,-1.00,-1.00,8.84,32.32,-0.26,1.14,0.34,0.33,0.37,0.37,-0.01,24.67,1.68,-1.00,-1.00,66.97,0.34,0.18,0.32,41.96,0.73,-1.00,-1.00,0.00,-0.01,-0.09,0.10,-0.02,0.13,-0.92,3.83,51.19,1.06,2.12,-1.00,-1.00,0.18,103.12,101.66,0.49,77.67,1588,,,,,
1683,Techno Titans,3.80,0.03,-0.02,-0.04,0.22,0.00,13.14,0.22,-1.00,-1.00,4.38,16.91,-0.25,0.04,-0.01,0.33,0.37,0.38,0.00,34.80,2.03,-1.00,-1.00,77.24,0.34,0.03,0.47,42.44,0.75,-1.00,-1.00,0.00,0.00,-0.20,0.09,-0.14,0.23,-4.61,6.17,47.94,1.09,2.25,-1.00,-1.00,-0.04,100.31,100.68,0.66,58.98,1564,,,,,
1746,OTTO,4.68,0.20,0.41,0.48,0.37,0.00,22.41,0.37,-1.00,-1.00,7.47,27.56,-0.25,1.19,0.19,0.33,0.47,0.48,0.08,39.75,2.95,-1.00,-1.00,76.14,0.26,0.41,0.06,36.20,0.68,-1.00,-1.00,0.00,0.08,-0.32,0.43,-0.07,0.44,-3.36,13.09,62.16,1.37,3.32,-1.00,-1.00,0.66,116.80,125.28,0.52,99.35,1639,,,,,
1795,Team Clutch,4.49,-0.53,0.01,-0.15,-0.07,0.00,-4.15,-0.07,-1.00,-1.00,-1.38,0.19,-0.15,0.16,-0.03,0.33,0.50,0.14,0.00,41.62,1.62,-1.00,-1.00,48.72,-0.07,0.19,0.03,7.12,0.20,-1.00,-1.00,0.00,0.00,0.02,0.26,0.29,0.16,7.29,5.33,37.47,0.97,1.55,-1.00,-1.00,-0.17,54.23,54.73,0.17,-3.36,1451,,,,,
2415,WiredCats,2.38,0.06,-0.06,-0.04,0.50,0.00,30.29,0.50,-1.00,-1.00,10.10,32.63,0.04,0.00,-0.03,0.33,0.45,0.69,0.08,42.05,3.63,-1.00,-1.00,53.53,-0.06,0.01,0.27,11.52,0.63,-1.00,-1.00,0.00,0.08,0.09,0.25,0.03,-0.02,1.25,0.67,72.33,1.56,4.13,-1.00,-1.00,-0.07,86.83,95.32,0.14,22.24,1555,,,,,
3091,100 Scholars,5.79,-0.66,-0.02,-0.21,0.10,0.00,6.08,0.10,-1.00,-1.00,2.03,11.65,-0.15,-0.18,-0.05,0.33,0.33,0.14,-0.02,27.49,1.03,-1.00,-1.00,61.21,0.37,-0.02,0.33,33.77,0.60,-1.00,-1.00,0.00,-0.02,0.20,-0.04,0.11,-0.20,3.69,-5.21,33.57,0.79,1.13,-1.00,-1.00,-0.27,67.66,66.11,0.07,14.90,1439,,,,,
3265,Arrowheads,3.74,-0.31,-0.03,-0.11,-0.06,0.00,-3.60,-0.06,-1.00,-1.00,-1.20,0.04,-0.18,0.03,-0.01,0.33,0.25,0.09,0.00,29.49,0.91,-1.00,-1.00,30.43,-0.16,0.19,-0.01,0.95,0.00,-1.00,-1.00,0.00,0.00,0.11,0.24,0.17,0.37,4.80,10.46,25.90,0.68,0.85,-1.00,-1.00,-0.12,40.92,41.25,0.14,-3.07,1422,,,,,
