PCHDalton,gadal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
832,Oscar,4.49,0.01,-0.29,-0.29,0.02,0.00,1.33,0.02,-1.00,-1.00,0.44,5.54,1.95,-0.96,-0.08,0.33,0.47,0.15,0.01,37.24,1.53,-1.00,-1.00,85.06,0.53,0.18,0.25,47.91,0.62,-1.00,-1.00,0.00,0.01,-0.15,-0.02,0.14,-0.03,2.64,-0.81,38.57,0.95,1.56,-1.00,-1.00,-0.37,89.80,90.46,0.43,50.57,1514,,,,,
1311,Kell Robotics,4.69,-0.00,1.07,1.07,-0.15,0.00,-9.11,-0.15,-1.00,-1.00,-3.04,-3.35,-0.58,10.39,3.22,0.33,0.41,-0.04,0.00,34.14,0.83,-1.00,-1.00,80.23,0.19,0.41,0.26,42.87,0.57,-1.00,-1.00,0.00,0.00,0.18,-0.07,0.15,-0.03,4.76,-1.08,25.03,0.70,0.68,-1.00,-1.00,4.30,75.80,76.15,0.20,18.36,1418,,,,,
1414,IHOT,1.09,-0.02,-0.04,-0.04,0.20,0.00,11.76,0.20,-1.00,-1.00,3.92,12.81,0.71,2.09,0.57,0.34,0.13,-0.07,-0.01,7.86,-0.16,-1.00,-1.00,1.74,-0.16,-0.04,0.06,-6.69,0.00,-1.00,-1.00,0.00,-0.01,0.01,-0.04,0.03,0.08,0.75,1.75,19.62,0.39,0.04,-1.00,-1.00,0.53,16.30,15.52,-0.01,-61.28,1259,,,,,
1771,Electric Phoenixes,3.77,-0.01,-0.11,-0.11,0.04,0.00,2.61,0.04,-1.00,-1.00,0.87,6.27,-0.71,2.96,0.93,0.33,0.31,0.19,-0.01,31.46,1.31,-1.00,-1.00,30.46,0.07,-0.00,-0.11,-1.93,0.26,-1.00,-1.00,0.00,-0.01,0.33,0.19,-0.04,0.17,0.60,5.24,34.08,0.83,1.36,-1.00,-1.00,0.81,41.98,41.45,0.01,-16.33,1428,,,,,
2415,WiredCats,4.61,-0.01,-0.09,-0.09,0.40,0.00,23.97,0.40,-1.00,-1.00,7.99,28.49,-0.69,-0.22,-0.13,0.33,0.41,0.43,0.09,34.63,2.69,-1.00,-1.00,73.30,0.31,0.18,0.28,38.79,0.63,-1.00,-1.00,0.00,0.09,-0.11,-0.03,0.01,0.29,-0.23,7.20,58.60,1.27,3.09,-1.00,-1.00,-0.22,108.99,118.20,0.34,36.05,1591,,,,,
2974,Walton Robotics,4.44,0.00,-0.20,-0.20,-0.11,0.00,-6.87,-0.11,-1.00,-1.00,-2.29,-2.63,0.22,-0.01,0.08,0.34,0.35,0.24,0.09,45.37,2.31,-1.00,-1.00,84.45,0.24,0.27,0.26,39.00,0.79,-1.00,-1.00,0.00,0.09,0.09,-0.12,0.19,0.06,5.22,1.00,38.50,1.02,2.20,-1.00,-1.00,-0.12,82.81,91.92,0.03,25.51,1597,,,,,
3318,RoboDragons,5.13,-0.01,0.41,0.41,0.03,0.00,1.72,0.03,-1.00,-1.00,0.57,7.26,-0.44,-0.45,-0.21,0.35,0.04,0.04,-0.02,15.25,0.12,-1.00,-1.00,14.05,0.13,-0.15,-0.01,-0.99,0.00,-1.00,-1.00,0.00,-0.02,0.01,0.04,-0.03,0.13,-0.68,3.38,16.97,0.41,0.15,-1.00,-1.00,0.20,24.69,22.75,0.14,0.11,1377,,,,,
3329,Wildbots,4.54,0.00,0.04,0.04,-0.14,0.00,-8.60,-0.14,-1.00,-1.00,-2.87,-4.02,-0.42,0.29,0.07,0.34,0.24,0.10,0.00,32.82,1.03,-1.00,-1.00,33.92,-0.10,0.03,0.09,1.03,0.13,-1.00,-1.00,0.00,0.00,0.13,0.14,-0.11,0.21,-2.13,5.99,24.23,0.68,0.88,-1.00,-1.00,0.11,35.89,36.16,-0.01,-32.98,1364,,,,,
3344,Robocopz,3.83,0.09,0.00,0.00,-0.13,0.00,-7.82,-0.13,-1.00,-1.00,-2.61,-3.99,0.72,-0.60,-0.10,0.33,0.26,-0.05,0.01,27.09,0.49,-1.00,-1.00,51.77,0.21,0.08,0.20,24.78,0.27,-1.00,-1.00,0.00,0.01,0.29,0.26,-0.02,-0.10,0.96,-1.19,19.27,0.55,0.36,-1.00,-1.00,-0.10,46.59,47.38,0.08,-13.77,1381,,,,,
3815,NF Raiders,5.58,-0.01,0.58,0.58,0.01,0.00,0.89,0.01,-1.00,-1.00,0.30,7.05,0.24,1.86,0.58,0.34,0.37,0.12,0.00,32.74,1.23,-1.00,-1.00,76.89,0.45,0.07,0.35,43.57,0.46,-1.00,-1.00,0.00,0.00,-0.11,0.14,0.31,0.10,7.10,3.18,33.62,0.83,1.25,-1.00,-1.00,1.16,87.11,87.37,0.42,55.74,1492,,,,,
