PCHGainesville,gagai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
832,Oscar,-1.65,0.00,0.04,0.04,-0.09,0.00,-5.14,-0.09,-1.00,-1.00,-1.71,-6.76,-0.03,0.25,0.09,0.34,0.15,-0.20,0.00,14.92,-0.40,-1.00,-1.00,26.29,0.12,0.02,0.08,11.27,-1.00,-1.00,-1.00,0.00,0.00,-0.06,-0.11,0.25,-0.18,5.84,-5.11,9.78,0.29,-0.49,-1.00,-1.00,0.13,14.42,14.42,-0.19,-29.55,1473,,,,,
1002,The CircuitRunners,2.65,0.00,-0.00,-0.00,0.15,0.00,8.74,0.15,-1.00,-1.00,2.91,11.38,-0.49,-0.74,-0.37,0.33,0.37,0.35,0.00,36.08,1.98,-1.00,-1.00,63.68,0.29,0.23,0.04,27.97,-1.00,-1.00,-1.00,0.00,0.00,0.18,0.17,-0.14,0.04,-2.73,1.78,44.81,1.05,2.12,-1.00,-1.00,-0.37,76.84,76.84,0.52,50.54,1489,,,,,
1261,Robo  Lions,5.15,0.00,0.17,0.17,0.31,0.00,18.72,0.31,-1.00,-1.00,6.24,24.04,3.08,-0.90,0.03,0.35,0.20,-0.08,0.00,6.16,-0.23,-1.00,-1.00,5.60,-0.11,-0.06,0.16,-0.59,-1.00,-1.00,-1.00,0.00,0.00,-0.05,-0.13,0.04,-0.08,0.84,-2.59,24.88,0.47,0.09,-1.00,-1.00,0.20,27.05,27.05,-0.10,-28.47,1491,,,,,
1311,Kell Robotics,4.27,0.00,0.04,0.04,0.13,0.00,7.90,0.13,-1.00,-1.00,2.63,12.21,-0.47,9.22,2.78,0.24,0.15,-0.12,0.00,5.23,-0.42,-1.00,-1.00,3.31,0.00,-0.03,-0.07,-4.70,-1.00,-1.00,-1.00,0.00,0.00,0.10,-0.04,0.00,-0.01,0.58,-0.31,13.13,0.26,-0.29,-1.00,-1.00,2.82,15.21,15.21,-0.15,-37.07,1375,,,,,
1648,G3 Robotics,3.07,0.00,-0.03,-0.03,0.06,0.00,3.77,0.06,-1.00,-1.00,1.26,6.81,0.21,-0.47,-0.13,0.33,0.24,0.02,0.00,20.96,0.48,-1.00,-1.00,34.73,-0.20,0.34,0.13,13.89,-1.00,-1.00,-1.00,0.00,0.00,-0.10,0.17,-0.02,0.13,-1.07,4.04,24.73,0.59,0.54,-1.00,-1.00,-0.16,45.58,45.58,0.29,9.95,1532,,,,,
1683,Techno Titans,4.09,0.00,-0.05,-0.05,0.14,0.00,8.67,0.14,-1.00,-1.00,2.89,12.70,0.05,-1.64,-0.53,0.34,0.53,0.34,0.00,42.76,2.29,-1.00,-1.00,66.98,0.30,0.15,0.05,24.74,-1.00,-1.00,-1.00,0.00,0.00,0.23,0.15,0.40,0.20,11.12,5.76,51.43,1.21,2.43,-1.00,-1.00,-0.58,85.44,85.44,0.12,19.30,1468,,,,,
1746,OTTO,4.26,0.00,-0.08,-0.08,0.15,0.00,9.02,0.15,-1.00,-1.00,3.01,13.21,3.01,-0.37,0.18,0.34,0.53,0.59,0.00,52.61,3.30,-1.00,-1.00,51.98,-0.11,0.17,-0.07,-0.81,-1.00,-1.00,-1.00,0.00,0.00,-0.00,-0.15,0.14,-0.10,3.41,-3.25,61.63,1.47,3.45,-1.00,-1.00,0.10,61.94,61.94,0.15,-14.81,1485,,,,,
1795,Team Clutch,3.71,0.00,-0.05,-0.05,0.01,0.00,0.76,0.01,-1.00,-1.00,0.25,4.42,-0.09,0.18,0.04,0.34,0.35,0.10,0.00,31.44,1.11,-1.00,-1.00,44.18,-0.09,0.20,0.14,12.70,-1.00,-1.00,-1.00,0.00,0.00,-0.11,0.05,-0.02,-0.16,-1.14,-3.73,32.20,0.80,1.13,-1.00,-1.00,-0.01,44.86,44.86,0.18,-2.61,1468,,,,,
3091,100 Scholars,1.79,0.00,0.01,0.01,0.09,0.00,5.14,0.09,-1.00,-1.00,1.71,6.94,-0.22,0.76,0.09,0.34,0.25,-0.18,0.00,12.87,-0.32,-1.00,-1.00,5.02,-0.03,-0.07,-0.07,-7.94,-1.00,-1.00,-1.00,0.00,0.00,-0.01,-0.00,0.26,-0.14,6.33,-3.61,18.01,0.41,-0.23,-1.00,-1.00,0.09,8.35,8.35,-0.03,-31.68,1403,,,,,
