PCHStateChampionship,gacmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2974,Walton Robotics,3,5.41,0.14,-0.04,-0.00,0.51,0.00,30.36,0.51,-1.00,-1.00,10.12,35.77,0.03,-0.74,-0.27,0.33,0.36,0.55,-0.00,29.61,2.41,-1.00,-1.00,87.56,0.10,0.51,0.56,58.22,0.95,-1.00,-1.00,0.00,-0.00,0.00,-0.12,-0.15,0.04,-3.67,0.44,59.96,1.25,2.92,-1.00,-1.00,-0.27,123.76,123.41,0.45,74.08,1598,,,,,
4188,Columbus Space Program,3,5.00,-0.91,-0.00,-0.29,0.03,0.00,1.88,0.03,-1.00,-1.00,0.63,6.59,-0.15,-0.16,-0.05,0.33,0.38,0.67,0.08,57.46,3.91,-1.00,-1.00,113.78,0.34,0.39,0.39,56.38,0.90,-1.00,-1.00,0.00,0.08,-0.00,-0.00,0.01,0.25,0.31,6.24,59.34,1.47,3.94,-1.00,-1.00,-0.34,126.61,134.80,0.45,84.88,1620,,,,,
4026,Global Dynamics,3,3.82,-0.39,0.07,-0.05,0.26,0.00,15.40,0.26,-1.00,-1.00,5.13,19.18,-0.06,1.15,0.26,0.33,0.32,0.20,-0.01,23.75,1.26,-1.00,-1.00,57.79,0.30,0.25,0.12,33.78,0.86,-1.00,-1.00,0.00,-0.01,-0.12,0.01,0.23,0.09,5.26,2.21,39.16,0.85,1.51,-1.00,-1.00,0.21,79.18,78.67,0.23,-2.31,1418,,,,,
5632,The Asimovians,3,5.21,0.02,0.02,0.03,0.01,0.00,0.78,0.01,-1.00,-1.00,0.26,6.03,-0.28,-0.04,0.02,0.33,0.41,0.20,-0.00,37.00,1.58,-1.00,-1.00,67.13,0.47,-0.08,0.21,30.12,0.86,-1.00,-1.00,0.00,-0.00,-0.01,0.14,-0.09,0.45,-2.29,11.99,37.78,0.94,1.59,-1.00,-1.00,0.05,85.16,84.82,0.41,37.31,1448,,,,,
6340,Marist Screaming Eagles,3,4.96,3.83,0.01,1.08,0.07,0.00,3.93,0.07,-1.00,-1.00,1.31,9.97,1.36,0.04,0.14,0.33,0.41,0.53,-0.00,48.26,2.85,-1.00,-1.00,87.07,0.27,0.25,0.26,38.66,0.85,-1.00,-1.00,0.00,-0.00,0.24,-0.04,0.07,0.03,2.94,0.46,52.19,1.27,2.91,-1.00,-1.00,1.22,97.50,97.06,0.19,34.29,1514,,,,,
4910,East Cobb Robotics,3,5.31,-0.19,-0.02,-0.11,0.11,0.00,6.38,0.11,-1.00,-1.00,2.13,11.59,-0.15,0.04,-0.03,0.33,0.31,0.32,-0.01,33.83,1.70,-1.00,-1.00,84.35,0.30,0.19,0.52,50.55,0.80,-1.00,-1.00,0.00,-0.01,0.30,-0.05,0.05,0.23,2.85,5.61,40.21,0.95,1.81,-1.00,-1.00,-0.13,101.55,100.32,0.43,47.68,1551,,,,,
3635, Flying Legion ,3,4.06,0.13,-0.01,0.06,0.19,0.00,11.41,0.19,-1.00,-1.00,3.80,15.53,-0.06,-0.68,-0.21,0.33,0.34,0.37,-0.01,33.75,1.92,-1.00,-1.00,72.72,0.43,0.23,0.13,39.19,0.79,-1.00,-1.00,0.00,-0.01,0.04,0.20,0.25,0.13,6.36,4.14,45.16,1.03,2.11,-1.00,-1.00,-0.15,92.39,91.47,0.22,20.74,1465,,,,,
5582,Rex Machina,3,3.04,0.49,-0.02,0.15,0.13,0.00,7.77,0.13,-1.00,-1.00,2.59,10.96,-0.03,-0.29,-0.07,0.33,0.26,0.13,0.00,23.96,0.91,-1.00,-1.00,66.88,0.30,0.51,0.05,42.99,0.76,-1.00,-1.00,0.00,0.00,0.21,0.20,0.22,-0.11,6.50,-1.61,31.73,0.73,1.04,-1.00,-1.00,0.08,76.23,76.50,0.23,7.32,1505,,,,,
1683,Techno Titans,3,3.80,0.03,-0.02,-0.04,0.22,0.00,13.14,0.22,-1.00,-1.00,4.38,16.91,-0.25,0.04,-0.01,0.33,0.37,0.38,0.00,34.80,2.03,-1.00,-1.00,77.24,0.34,0.03,0.47,42.44,0.75,-1.00,-1.00,0.00,0.00,-0.20,0.09,-0.14,0.23,-4.61,6.17,47.94,1.09,2.25,-1.00,-1.00,-0.04,100.31,100.68,0.66,58.98,1564,,,,,
