PNWAuburn,waahs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
360,The Revolution,4.75,-0.00,0.51,0.51,0.40,0.00,24.14,0.40,-1.00,-1.00,8.05,29.39,-0.03,9.48,3.06,0.33,0.34,0.52,0.13,37.00,3.17,-1.00,-1.00,53.32,-0.02,0.23,0.05,13.25,0.64,-1.00,-1.00,0.08,0.13,0.34,-0.10,0.02,0.04,2.11,0.57,61.14,1.33,3.57,-1.00,-1.00,3.56,83.28,98.27,0.14,-9.47,1461,,,,,
488,Team XBot,4.70,0.01,3.89,3.89,0.33,0.00,19.97,0.33,-1.00,-1.00,6.66,28.55,-0.08,50.69,16.69,0.33,0.34,0.01,-0.05,11.70,0.06,-1.00,-1.00,65.31,0.18,0.30,0.26,36.92,0.73,-1.00,-1.00,0.17,-0.05,0.02,0.18,0.07,-0.17,1.90,-3.31,31.66,0.63,0.39,-1.00,-1.00,20.58,90.55,88.73,0.21,-4.46,1459,,,,,
492,Titan Robotics Club,3.76,-0.02,-0.26,-0.26,0.46,0.00,27.56,0.46,-1.00,-1.00,9.19,31.06,-0.14,4.75,1.63,0.33,0.34,0.52,0.13,34.71,3.10,-1.00,-1.00,57.77,0.19,0.23,0.01,21.43,0.65,-1.00,-1.00,0.08,0.13,0.07,0.22,0.15,-0.07,4.21,-0.70,62.27,1.33,3.56,-1.00,-1.00,1.37,88.14,102.95,0.28,24.28,1554,,,,,
948,NRG (Newport Robotics Group),5.31,0.01,0.34,0.34,0.48,0.00,29.00,0.48,-1.00,-1.00,9.67,34.65,0.01,-5.72,-1.89,0.33,0.33,0.47,0.11,30.40,2.72,-1.00,-1.00,80.95,0.26,0.26,0.52,52.43,0.65,-1.00,-1.00,-0.01,0.11,0.09,0.26,-0.12,0.19,-2.57,5.99,59.40,1.24,3.20,-1.00,-1.00,-1.55,121.59,132.62,0.51,81.29,1630,,,,,
1258,SeaBot,4.49,0.08,0.62,0.62,0.15,0.00,8.90,0.15,-1.00,-1.00,2.97,14.01,-0.06,2.76,0.79,0.33,0.25,-0.14,-0.02,11.11,-0.32,-1.00,-1.00,26.64,0.02,-0.00,0.27,14.74,0.42,-1.00,-1.00,0.00,-0.02,-0.03,-0.05,0.20,-0.07,4.93,-1.92,20.01,0.43,-0.17,-1.00,-1.00,1.41,38.73,36.86,-0.16,-59.04,1364,,,,,
1318,Issaquah Robotics Society,5.12,-0.02,-0.43,-0.43,0.12,0.00,7.35,0.12,-1.00,-1.00,2.45,12.04,-0.13,0.64,0.16,0.33,0.34,0.41,0.09,42.24,2.75,-1.00,-1.00,90.73,0.30,0.29,0.38,48.34,0.93,-1.00,-1.00,-0.01,0.09,-0.09,-0.03,0.24,0.27,5.55,6.47,49.58,1.18,2.87,-1.00,-1.00,-0.28,109.24,117.96,0.30,27.54,1538,,,,,
2046,Bear Metal,5.24,-0.01,3.75,3.75,0.13,0.00,7.88,0.13,-1.00,-1.00,2.63,16.87,0.22,41.03,13.48,0.33,0.33,0.15,-0.01,27.11,1.09,-1.00,-1.00,93.17,0.53,0.27,0.24,52.58,0.90,-1.00,-1.00,-0.01,-0.01,-0.01,-0.02,-0.14,0.05,-3.68,1.15,34.99,0.81,1.22,-1.00,-1.00,17.23,111.19,110.07,0.29,34.66,1600,,,,,
2412,Robototes,3.30,0.01,0.55,0.55,0.03,0.00,1.84,0.03,-1.00,-1.00,0.61,5.69,-0.09,-0.83,-0.34,0.33,0.35,0.62,0.14,56.05,3.94,-1.00,-1.00,96.81,0.44,0.15,0.23,41.10,0.76,-1.00,-1.00,-0.01,0.14,-0.02,-0.07,0.15,-0.06,3.60,-1.81,57.89,1.43,3.97,-1.00,-1.00,0.20,100.69,114.06,0.17,7.99,1473,,,,,
2555,RoboRams,4.12,-0.01,-0.29,-0.29,-0.11,0.00,-6.72,-0.11,-1.00,-1.00,-2.24,-2.88,-0.08,-3.45,-1.16,0.33,0.34,-0.04,-0.03,28.47,0.44,-1.00,-1.00,63.07,0.33,0.35,0.04,35.76,0.83,-1.00,-1.00,-0.00,-0.03,0.06,0.01,0.06,0.07,1.78,1.86,21.76,0.60,0.33,-1.00,-1.00,-1.46,62.05,58.64,0.10,-19.20,1395,,,,,
