PNWAuburnMountainview,waamv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
360,The Revolution,4.55,0.25,0.01,0.10,0.32,0.00,19.23,0.32,-1.00,-1.00,6.41,23.87,-0.63,0.80,0.18,0.34,0.41,0.23,0.00,26.56,1.42,-1.00,-1.00,60.64,0.31,0.18,0.19,33.90,0.57,-1.00,-1.00,0.00,0.00,0.12,-0.21,-0.09,0.08,-1.70,1.05,45.79,0.98,1.74,-1.00,-1.00,0.28,85.56,85.56,0.40,31.82,1537,,,,,
568,Nerds of the North,4.81,-0.01,0.21,0.21,0.12,0.00,6.95,0.12,-1.00,-1.00,2.32,11.97,0.27,-0.27,0.01,0.33,0.18,-0.06,0.00,13.34,-0.00,-1.00,-1.00,2.42,-0.05,-0.19,0.02,-10.93,0.08,-1.00,-1.00,0.00,0.00,0.15,0.03,0.18,0.09,5.37,2.49,20.29,0.45,0.11,-1.00,-1.00,0.22,16.88,16.88,-0.11,-40.59,1348,,,,,
949,Wolverine Robotics,2.61,-0.02,-0.06,-0.06,-0.26,0.00,-15.71,-0.26,-1.00,-1.00,-5.24,-13.17,-0.18,-0.36,-0.05,0.35,0.39,-0.15,0.00,34.09,0.45,-1.00,-1.00,37.16,0.06,-0.10,0.10,3.12,0.17,-1.00,-1.00,0.00,0.00,0.13,0.17,0.05,-0.09,2.00,-1.28,18.38,0.59,0.19,-1.00,-1.00,-0.12,22.71,22.71,-0.11,-40.46,1431,,,,,
1258,SeaBot,4.84,0.01,0.09,0.09,0.14,0.00,8.19,0.14,-1.00,-1.00,2.73,13.13,-0.30,1.13,0.29,0.34,0.26,0.04,0.00,20.02,0.53,-1.00,-1.00,50.94,0.21,0.35,0.06,30.63,0.60,-1.00,-1.00,0.00,0.00,-0.20,0.59,-0.01,-0.13,-1.31,-0.36,28.22,0.64,0.67,-1.00,-1.00,0.38,63.71,63.71,0.10,-7.21,1470,,,,,
1294,Top Gun,6.26,0.01,-0.10,-0.10,0.33,0.00,19.64,0.33,-1.00,-1.00,6.55,25.80,0.09,-2.57,-0.94,0.34,0.29,0.32,0.00,24.93,1.54,-1.00,-1.00,43.71,0.17,0.20,0.02,19.72,0.41,-1.00,-1.00,0.00,0.00,0.20,0.10,0.12,0.06,3.96,2.11,44.57,0.95,1.87,-1.00,-1.00,-1.04,71.62,71.62,0.48,32.12,1564,,,,,
1318,Issaquah Robotics Society,6.28,-0.01,0.00,-0.00,-0.00,0.00,-0.20,-0.00,-1.00,-1.00,-0.07,6.08,-1.24,0.05,-0.14,0.35,0.31,0.03,0.00,27.98,0.77,-1.00,-1.00,78.08,0.31,0.28,0.41,50.25,0.73,-1.00,-1.00,0.00,0.00,0.26,0.37,-0.01,-0.12,0.97,-1.20,27.78,0.70,0.77,-1.00,-1.00,-0.15,82.96,82.96,0.29,-2.75,1529,,,,,
1899,Saints Robotics,1.95,-0.01,0.30,0.29,-0.19,0.00,-11.15,-0.19,-1.00,-1.00,-3.72,-8.90,-0.19,3.46,1.18,0.34,0.34,0.22,0.00,43.42,1.74,-1.00,-1.00,62.31,0.10,0.16,0.09,17.71,0.47,-1.00,-1.00,0.00,0.00,-0.05,-0.12,0.01,0.16,-0.06,3.30,32.27,0.90,1.55,-1.00,-1.00,1.48,56.71,56.71,0.23,30.13,1490,,,,,
1983,Skunk Works Robotics,3.32,-0.04,-0.10,-0.11,0.12,0.00,7.42,0.12,-1.00,-1.00,2.47,10.63,-0.59,0.13,-0.03,0.33,0.22,0.12,0.00,21.55,0.78,-1.00,-1.00,48.26,0.32,-0.12,0.33,26.73,0.50,-1.00,-1.00,0.00,0.00,-0.19,-0.04,-0.08,-0.14,-2.86,-3.67,28.97,0.66,0.90,-1.00,-1.00,-0.14,55.21,55.21,0.23,-0.36,1540,,,,,
2046,Bear Metal,4.76,-0.02,0.06,0.05,0.25,0.00,15.13,0.25,-1.00,-1.00,5.04,19.94,-0.58,1.79,0.44,0.33,0.42,0.55,0.00,41.82,2.77,-1.00,-1.00,62.00,0.10,0.19,0.10,19.74,0.79,-1.00,-1.00,0.00,0.00,0.01,0.02,-0.08,-0.05,-2.06,-1.24,56.95,1.30,3.02,-1.00,-1.00,0.50,80.70,80.70,0.37,46.81,1610,,,,,
2557,SOTAbots ,3.41,-0.03,0.01,0.00,0.20,0.00,12.02,0.20,-1.00,-1.00,4.01,15.44,0.81,3.34,1.05,0.34,0.37,0.29,0.00,32.04,1.70,-1.00,-1.00,49.14,0.06,0.12,0.14,16.05,0.59,-1.00,-1.00,0.00,0.00,0.33,0.06,0.29,0.21,8.77,5.57,44.06,1.00,1.90,-1.00,-1.00,1.05,70.14,70.14,0.27,19.36,1528,,,,,
2906,Sentinel Prime Robotics,1.93,-0.04,0.04,0.03,-0.06,0.00,-3.67,-0.06,-1.00,-1.00,-1.22,-1.70,0.13,1.09,0.36,0.34,0.39,-0.11,0.00,27.31,0.39,-1.00,-1.00,44.34,0.24,0.22,-0.13,16.66,0.33,-1.00,-1.00,0.00,0.00,0.19,0.07,0.03,0.16,1.69,4.39,23.64,0.62,0.33,-1.00,-1.00,0.39,47.02,47.02,0.11,-3.53,1450,,,,,
2907,Lion Robotics,5.34,-0.02,-0.18,-0.19,0.43,0.00,25.87,0.43,-1.00,-1.00,8.62,31.02,-0.06,0.06,0.08,0.34,0.36,-0.04,0.00,9.14,0.12,-1.00,-1.00,24.29,0.10,0.19,0.02,15.06,0.57,-1.00,-1.00,0.00,0.00,0.08,0.17,0.05,0.06,1.69,2.41,35.01,0.66,0.55,-1.00,-1.00,-0.11,57.72,57.72,0.34,22.49,1523,,,,,
2929,JAGBOTS,4.62,-0.02,0.04,0.03,0.01,0.00,0.88,0.01,-1.00,-1.00,0.29,5.54,-0.26,-0.62,-0.25,0.34,0.40,0.18,0.00,36.01,1.49,-1.00,-1.00,19.47,-0.09,-0.28,0.04,-16.29,0.08,-1.00,-1.00,0.00,0.00,0.08,0.02,-0.05,0.07,-0.81,1.78,36.89,0.91,1.51,-1.00,-1.00,-0.22,26.78,26.78,-0.04,-23.64,1443,,,,,
2930,Sonic Squirrels,4.06,-0.02,-0.16,-0.16,0.12,0.00,7.45,0.12,-1.00,-1.00,2.48,11.35,0.20,-3.81,-1.28,0.32,0.33,0.43,0.00,38.15,2.24,-1.00,-1.00,66.22,0.14,0.17,0.27,29.36,0.71,-1.00,-1.00,0.00,0.00,0.08,0.12,0.05,0.25,1.73,6.83,45.60,1.08,2.36,-1.00,-1.00,-1.45,84.40,84.40,0.39,50.28,1590,,,,,
2942,Panda ER,5.41,-0.04,-0.05,-0.07,-0.15,0.00,-9.10,-0.15,-1.00,-1.00,-3.03,-3.76,2.78,0.55,0.46,0.35,0.42,0.10,0.00,40.75,1.40,-1.00,-1.00,32.33,0.03,-0.05,-0.16,-8.89,0.00,-1.00,-1.00,0.00,0.00,0.23,-0.04,0.16,-0.10,5.21,-2.66,31.64,0.87,1.24,-1.00,-1.00,0.40,25.91,25.91,-0.10,-51.20,1343,,,,,
2976,Spartabots,4.37,-0.02,0.04,0.03,0.02,0.00,1.37,0.02,-1.00,-1.00,0.46,5.78,1.73,-0.68,-0.10,0.33,0.34,-0.05,0.00,24.08,0.48,-1.00,-1.00,51.88,0.09,0.24,0.23,27.91,0.50,-1.00,-1.00,0.00,0.00,0.22,0.14,0.02,-0.19,1.56,-3.98,25.44,0.62,0.50,-1.00,-1.00,-0.07,53.68,53.68,0.05,-15.03,1437,,,,,
3049,BremerTron,4.73,0.01,0.18,0.18,0.05,0.00,2.76,0.05,-1.00,-1.00,0.92,7.68,-0.53,-0.51,-0.22,0.34,0.29,0.14,0.00,29.18,1.12,-1.00,-1.00,22.84,-0.27,0.16,-0.01,-6.12,0.17,-1.00,-1.00,0.00,0.00,0.12,-0.17,0.15,0.28,4.45,6.10,31.95,0.78,1.16,-1.00,-1.00,-0.04,36.62,36.62,0.14,-17.04,1384,,,,,
