PNWCentralWashingtonUniversity,waell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1595,The Dragons,5.07,0.00,-0.12,-0.12,0.38,0.00,22.83,0.38,-1.00,-1.00,7.61,27.78,-0.26,0.34,0.01,0.33,0.33,0.60,0.00,35.08,2.66,-1.00,-1.00,85.69,0.16,0.24,0.62,50.60,0.80,-1.00,-1.00,0.00,0.00,0.09,0.21,0.25,0.13,6.72,4.31,57.91,1.26,3.04,-1.00,-1.00,-0.11,117.78,117.78,0.53,68.45,1629,,,,,
1983,Skunk Works Robotics,5.30,0.00,0.23,0.23,-0.09,0.00,-5.15,-0.09,-1.00,-1.00,-1.72,0.38,-0.00,-1.25,-0.45,0.33,0.36,0.17,0.00,37.94,1.49,-1.00,-1.00,71.98,0.09,0.38,0.22,34.48,0.71,-1.00,-1.00,0.00,0.00,0.14,0.19,-0.17,-0.01,-3.47,0.78,32.79,0.86,1.41,-1.00,-1.00,-0.22,73.13,73.13,0.19,-2.39,1512,,,,,
2046,Bear Metal,5.98,0.00,0.93,0.93,0.49,0.00,29.70,0.49,-1.00,-1.00,9.90,36.60,0.10,15.16,4.78,0.33,0.26,0.57,0.00,26.89,2.32,-1.00,-1.00,75.36,0.21,0.29,0.38,43.69,0.90,-1.00,-1.00,0.00,0.00,0.15,0.12,0.25,-0.21,6.95,-4.58,56.58,1.17,2.81,-1.00,-1.00,5.71,107.39,107.39,0.55,57.60,1610,,,,,
2147,CHUCK,5.62,0.00,-0.18,-0.18,0.31,0.00,18.38,0.31,-1.00,-1.00,6.13,23.81,2.75,-0.42,-0.02,0.33,0.34,0.41,0.00,31.21,2.02,-1.00,-1.00,79.30,0.32,0.21,0.44,48.11,0.67,-1.00,-1.00,0.00,0.00,0.11,0.18,0.05,-0.11,1.94,-1.79,49.59,1.09,2.33,-1.00,-1.00,-0.20,101.32,101.32,0.33,38.27,1538,,,,,
2148,Mechaknights,2.03,0.00,0.16,0.16,-0.05,0.00,-3.14,-0.05,-1.00,-1.00,-1.05,-0.95,-0.10,0.58,0.18,0.33,0.25,0.18,0.00,32.64,1.28,-1.00,-1.00,61.64,0.42,0.06,0.10,28.82,0.94,-1.00,-1.00,0.00,0.00,0.04,0.22,0.48,0.04,12.25,2.09,29.50,0.76,1.23,-1.00,-1.00,0.34,62.78,62.78,0.03,-3.20,1475,,,,,
2149,CV Bearbots,4.03,0.00,-0.14,-0.14,0.27,0.00,16.21,0.27,-1.00,-1.00,5.40,20.11,0.24,-0.61,-0.24,0.33,0.37,0.22,0.00,25.85,1.33,-1.00,-1.00,63.23,0.29,0.14,0.32,37.62,0.71,-1.00,-1.00,0.00,0.00,-0.08,0.09,-0.09,-0.06,-2.55,-1.09,42.06,0.92,1.60,-1.00,-1.00,-0.37,82.26,82.26,0.25,-1.00,1432,,,,,
2923,Aggies,3.68,0.00,-0.08,-0.08,0.02,0.00,1.01,0.02,-1.00,-1.00,0.34,4.61,-0.30,-0.33,-0.18,0.33,0.36,0.12,0.00,31.89,1.19,-1.00,-1.00,55.87,0.36,0.12,0.00,24.17,0.60,-1.00,-1.00,0.00,0.00,-0.08,-0.02,0.13,0.20,2.92,4.80,32.90,0.81,1.20,-1.00,-1.00,-0.26,65.28,65.28,0.14,-4.62,1379,,,,,
2926,Robo Sparks,5.51,0.00,0.26,0.26,0.23,0.00,14.05,0.23,-1.00,-1.00,4.68,19.82,0.41,0.18,0.09,0.33,0.26,0.19,0.00,21.83,1.03,-1.00,-1.00,37.89,0.11,0.24,-0.02,15.97,0.25,-1.00,-1.00,0.00,0.00,0.42,0.06,1.05,-0.05,28.29,-0.91,35.89,0.78,1.27,-1.00,-1.00,0.35,56.80,56.80,0.27,-18.97,1370,,,,,
2944,Titanium Tigers,5.01,0.00,-0.26,-0.26,0.06,0.00,3.36,0.06,-1.00,-1.00,1.12,8.11,-0.28,5.70,1.89,0.33,0.26,-0.03,0.00,20.42,0.36,-1.00,-1.00,44.37,0.16,-0.03,0.31,22.06,0.14,-1.00,-1.00,0.00,0.00,0.02,-0.05,-0.07,0.06,-1.72,1.26,23.77,0.57,0.42,-1.00,-1.00,1.63,53.74,53.74,0.27,0.36,1378,,,,,
