PNWChampionship,pncmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
488,Team XBot,3,4.70,0.01,3.89,3.89,0.33,0.00,19.97,0.33,-1.00,-1.00,6.66,28.55,-0.08,50.69,16.69,0.33,0.34,0.01,-0.05,11.70,0.06,-1.00,-1.00,65.31,0.18,0.30,0.26,36.92,0.73,-1.00,-1.00,0.17,-0.05,0.02,0.18,0.07,-0.17,1.90,-3.31,31.66,0.63,0.39,-1.00,-1.00,20.58,90.55,88.73,0.21,-4.46,1459,,,,,
492,Titan Robotics Club,3,3.76,-0.02,-0.26,-0.26,0.46,0.00,27.56,0.46,-1.00,-1.00,9.19,31.06,-0.14,4.75,1.63,0.33,0.34,0.52,0.13,34.71,3.10,-1.00,-1.00,57.77,0.19,0.23,0.01,21.43,0.65,-1.00,-1.00,0.08,0.13,0.07,0.22,0.15,-0.07,4.21,-0.70,62.27,1.33,3.56,-1.00,-1.00,1.37,88.14,102.95,0.28,24.28,1554,,,,,
753,High Desert Droids,3,4.34,0.00,-0.06,-0.06,0.08,0.00,4.80,0.08,-1.00,-1.00,1.60,9.08,0.12,22.35,7.04,0.32,0.18,-0.12,-0.02,11.42,-0.30,-1.00,-1.00,60.09,0.25,0.39,0.19,41.62,0.71,-1.00,-1.00,0.00,-0.02,0.21,-0.09,-0.02,-0.18,0.59,-5.01,16.22,0.37,-0.22,-1.00,-1.00,6.99,64.15,62.57,0.38,17.24,1454,,,,,
948,NRG (Newport Robotics Group),3,5.31,0.01,0.34,0.34,0.48,0.00,29.00,0.48,-1.00,-1.00,9.67,34.65,0.01,-5.72,-1.89,0.33,0.33,0.47,0.11,30.40,2.72,-1.00,-1.00,80.95,0.26,0.26,0.52,52.43,0.65,-1.00,-1.00,-0.01,0.11,0.09,0.26,-0.12,0.19,-2.57,5.99,59.40,1.24,3.20,-1.00,-1.00,-1.55,121.59,132.62,0.51,81.29,1630,,,,,
955,CV Robotics,3,3.40,0.00,0.93,0.93,0.14,0.00,8.48,0.14,-1.00,-1.00,2.83,12.81,0.03,-0.83,-0.26,0.35,0.38,0.13,0.00,28.64,1.15,-1.00,-1.00,61.03,0.10,0.24,0.32,32.65,0.89,-1.00,-1.00,0.00,0.00,-0.19,-0.01,-0.01,0.03,-1.08,0.69,37.11,0.86,1.29,-1.00,-1.00,0.67,74.53,74.65,0.34,26.11,1505,,,,,
957,SWARM,3,5.39,0.00,0.09,0.09,0.04,0.00,2.37,0.04,-1.00,-1.00,0.79,7.85,0.65,-1.55,-0.55,0.35,0.34,0.32,0.06,41.08,2.29,-1.00,-1.00,85.01,0.34,0.23,0.32,44.47,0.71,-1.00,-1.00,0.00,0.06,0.26,0.06,-0.22,-0.13,-4.19,-2.99,43.45,1.07,2.33,-1.00,-1.00,-0.46,89.86,95.82,0.19,48.88,1543,,,,,
997,Spartan Robotics,3,3.43,0.00,-0.11,-0.11,0.23,0.00,13.62,0.23,-1.00,-1.00,4.54,16.95,-0.11,1.00,0.35,0.34,0.35,0.53,0.07,42.01,2.97,-1.00,-1.00,73.06,0.07,0.37,0.17,30.70,0.80,-1.00,-1.00,0.00,0.07,-0.06,-0.01,-0.13,-0.03,-3.56,-0.90,55.63,1.28,3.20,-1.00,-1.00,0.24,89.11,95.64,0.30,19.91,1519,,,,,
1294,Top Gun,3,5.94,0.08,0.41,0.41,0.29,0.00,17.61,0.29,-1.00,-1.00,5.87,23.96,0.12,-1.88,-0.61,0.33,0.34,0.41,0.16,37.87,3.00,-1.00,-1.00,87.25,0.49,0.22,0.29,49.99,0.89,-1.00,-1.00,0.00,0.16,-0.03,0.03,-0.04,0.17,-1.24,4.43,55.47,1.24,3.30,-1.00,-1.00,-0.20,115.64,132.13,0.29,61.89,1638,,,,,
1425,Error Code Xero,3,4.56,0.00,0.16,0.16,0.10,0.00,5.84,0.10,-1.00,-1.00,1.95,10.55,-0.11,4.51,1.54,0.33,0.36,0.60,0.15,53.80,3.92,-1.00,-1.00,87.23,0.32,-0.04,0.36,31.89,0.84,-1.00,-1.00,0.00,0.15,0.30,-0.08,0.12,0.11,4.59,2.43,59.64,1.44,4.02,-1.00,-1.00,1.69,100.21,115.40,0.48,54.35,1585,,,,,
1432,Metal Beavers,3,4.63,0.00,0.06,0.06,0.46,0.00,27.38,0.46,-1.00,-1.00,9.13,32.07,1.34,3.12,1.16,0.33,0.36,0.17,-0.01,16.15,0.90,-1.00,-1.00,55.91,0.27,0.23,0.27,38.60,0.57,-1.00,-1.00,0.00,-0.01,-0.21,0.23,0.42,0.39,9.40,10.92,43.53,0.86,1.36,-1.00,-1.00,1.22,98.91,97.90,0.39,31.68,1456,,,,,
1540,Flaming Chickens,3,4.05,0.00,0.84,0.84,0.27,0.00,16.32,0.27,-1.00,-1.00,5.44,21.21,0.08,1.67,0.54,0.34,0.38,0.20,-0.02,24.92,1.16,-1.00,-1.00,79.14,0.29,0.42,0.37,53.68,0.79,-1.00,-1.00,0.00,-0.02,-0.06,0.05,-0.01,-0.10,-0.66,-2.17,41.24,0.90,1.44,-1.00,-1.00,1.38,98.18,96.13,0.29,23.15,1487,,,,,
1595,The Dragons,3,5.07,0.00,-0.12,-0.12,0.38,0.00,22.83,0.38,-1.00,-1.00,7.61,27.78,-0.26,0.34,0.01,0.33,0.33,0.60,0.00,35.08,2.66,-1.00,-1.00,85.69,0.16,0.24,0.62,50.60,0.80,-1.00,-1.00,0.00,0.00,0.09,0.21,0.25,0.13,6.72,4.31,57.91,1.26,3.04,-1.00,-1.00,-0.11,117.78,117.78,0.53,68.45,1629,,,,,
1778,Chill Out,3,5.14,-0.03,0.45,0.45,0.47,0.00,28.30,0.47,-1.00,-1.00,9.43,33.89,0.24,-0.41,-0.04,0.34,0.37,0.35,0.05,25.59,1.99,-1.00,-1.00,77.98,0.40,0.33,0.32,52.43,0.89,-1.00,-1.00,0.00,0.05,0.13,-0.06,0.07,0.15,2.39,3.45,53.89,1.11,2.46,-1.00,-1.00,0.41,115.32,120.61,0.41,34.01,1594,,,,,
2046,Bear Metal,3,5.24,-0.01,3.75,3.75,0.13,0.00,7.88,0.13,-1.00,-1.00,2.63,16.87,0.22,41.03,13.48,0.33,0.33,0.15,-0.01,27.11,1.09,-1.00,-1.00,93.17,0.53,0.27,0.24,52.58,0.90,-1.00,-1.00,-0.01,-0.01,-0.01,-0.02,-0.14,0.05,-3.68,1.15,34.99,0.81,1.22,-1.00,-1.00,17.23,111.19,110.07,0.29,34.66,1600,,,,,
2147,CHUCK,3,5.62,0.00,-0.18,-0.18,0.31,0.00,18.38,0.31,-1.00,-1.00,6.13,23.81,2.75,-0.42,-0.02,0.33,0.34,0.41,0.00,31.21,2.02,-1.00,-1.00,79.30,0.32,0.21,0.44,48.11,0.67,-1.00,-1.00,0.00,0.00,0.11,0.18,0.05,-0.11,1.94,-1.79,49.59,1.09,2.33,-1.00,-1.00,-0.20,101.32,101.32,0.33,38.27,1538,,,,,
2148,Mechaknights,3,2.03,0.00,0.16,0.16,-0.05,0.00,-3.14,-0.05,-1.00,-1.00,-1.05,-0.95,-0.10,0.58,0.18,0.33,0.25,0.18,0.00,32.64,1.28,-1.00,-1.00,61.64,0.42,0.06,0.10,28.82,0.94,-1.00,-1.00,0.00,0.00,0.04,0.22,0.48,0.04,12.25,2.09,29.50,0.76,1.23,-1.00,-1.00,0.34,62.78,62.78,0.03,-3.20,1475,,,,,
2374,Crusader Bots,3,4.14,0.00,-0.13,-0.13,0.24,0.00,14.53,0.24,-1.00,-1.00,4.84,18.54,-0.11,-5.69,-1.87,0.33,0.36,0.29,0.08,32.87,2.13,-1.00,-1.00,46.53,-0.01,0.27,0.05,15.53,0.30,-1.00,-1.00,0.00,0.08,0.34,-0.01,0.43,0.06,12.53,1.32,47.40,1.06,2.37,-1.00,-1.00,-2.00,66.39,74.83,0.01,-31.57,1471,,,,,
