PNWClackamasAcademy,orore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
753,High Desert Droids,4.34,0.00,-0.06,-0.06,0.08,0.00,4.80,0.08,-1.00,-1.00,1.60,9.08,0.12,22.35,7.04,0.32,0.18,-0.12,-0.02,11.42,-0.30,-1.00,-1.00,60.09,0.25,0.39,0.19,41.62,0.71,-1.00,-1.00,0.00,-0.02,0.21,-0.09,-0.02,-0.18,0.59,-5.01,16.22,0.37,-0.22,-1.00,-1.00,6.99,64.15,62.57,0.38,17.24,1454,,,,,
847,PHRED,5.36,0.00,0.88,0.88,0.27,0.00,16.32,0.27,-1.00,-1.00,5.44,22.55,0.02,-0.81,-0.29,0.35,0.38,0.16,0.07,27.33,1.56,-1.00,-1.00,58.75,0.06,0.32,0.26,31.71,0.67,-1.00,-1.00,0.00,0.07,0.09,-0.06,-0.20,0.07,-4.58,1.45,43.65,0.96,1.84,-1.00,-1.00,0.59,82.74,90.04,0.42,53.25,1522,,,,,
955,CV Robotics,3.40,0.00,0.93,0.93,0.14,0.00,8.48,0.14,-1.00,-1.00,2.83,12.81,0.03,-0.83,-0.26,0.35,0.38,0.13,0.00,28.64,1.15,-1.00,-1.00,61.03,0.10,0.24,0.32,32.65,0.89,-1.00,-1.00,0.00,0.00,-0.19,-0.01,-0.01,0.03,-1.08,0.69,37.11,0.86,1.29,-1.00,-1.00,0.67,74.53,74.65,0.34,26.11,1505,,,,,
957,SWARM,5.39,0.00,0.09,0.09,0.04,0.00,2.37,0.04,-1.00,-1.00,0.79,7.85,0.65,-1.55,-0.55,0.35,0.34,0.32,0.06,41.08,2.29,-1.00,-1.00,85.01,0.34,0.23,0.32,44.47,0.71,-1.00,-1.00,0.00,0.06,0.26,0.06,-0.22,-0.13,-4.19,-2.99,43.45,1.07,2.33,-1.00,-1.00,-0.46,89.86,95.82,0.19,48.88,1543,,,,,
997,Spartan Robotics,3.43,0.00,-0.11,-0.11,0.23,0.00,13.62,0.23,-1.00,-1.00,4.54,16.95,-0.11,1.00,0.35,0.34,0.35,0.53,0.07,42.01,2.97,-1.00,-1.00,73.06,0.07,0.37,0.17,30.70,0.80,-1.00,-1.00,0.00,0.07,-0.06,-0.01,-0.13,-0.03,-3.56,-0.90,55.63,1.28,3.20,-1.00,-1.00,0.24,89.11,95.64,0.30,19.91,1519,,,,,
1425,Error Code Xero,4.56,0.00,0.16,0.16,0.10,0.00,5.84,0.10,-1.00,-1.00,1.95,10.55,-0.11,4.51,1.54,0.33,0.36,0.60,0.15,53.80,3.92,-1.00,-1.00,87.23,0.32,-0.04,0.36,31.89,0.84,-1.00,-1.00,0.00,0.15,0.30,-0.08,0.12,0.11,4.59,2.43,59.64,1.44,4.02,-1.00,-1.00,1.69,100.21,115.40,0.48,54.35,1585,,,,,
1510,Wildcats,1.54,0.00,0.01,0.01,0.04,0.00,2.65,0.04,-1.00,-1.00,0.88,4.19,-0.02,-2.12,-0.72,0.34,0.20,0.12,-0.02,23.53,0.69,-1.00,-1.00,8.71,-0.11,-0.19,0.02,-14.10,0.00,-1.00,-1.00,0.00,-0.02,-0.05,-0.08,-0.09,-0.03,-2.62,-1.21,26.18,0.63,0.73,-1.00,-1.00,-0.71,11.70,9.40,-0.03,-62.78,1341,,,,,
1540,Flaming Chickens,4.05,0.00,0.84,0.84,0.27,0.00,16.32,0.27,-1.00,-1.00,5.44,21.21,0.08,1.67,0.54,0.34,0.38,0.20,-0.02,24.92,1.16,-1.00,-1.00,79.14,0.29,0.42,0.37,53.68,0.79,-1.00,-1.00,0.00,-0.02,-0.06,0.05,-0.01,-0.10,-0.66,-2.17,41.24,0.90,1.44,-1.00,-1.00,1.38,98.18,96.13,0.29,23.15,1487,,,,,
1571,CALibrate Robotics,3.68,0.00,-0.24,-0.24,0.05,0.00,3.06,0.05,-1.00,-1.00,1.02,6.50,-0.03,3.20,0.90,0.25,0.27,-0.22,-0.01,9.39,-0.54,-1.00,-1.00,11.86,0.06,0.01,-0.04,1.57,0.00,-1.00,-1.00,0.00,-0.01,0.25,0.05,-0.01,-0.16,1.04,-3.77,12.45,0.29,-0.49,-1.00,-1.00,0.66,14.59,13.77,-0.19,-91.78,1325,,,,,
