PNWGlacierPeak,wasno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
492,Titan Robotics Club,5.47,-0.00,-0.37,-0.37,0.34,0.00,20.53,0.34,-1.00,-1.00,6.84,25.63,-0.03,-0.57,-0.16,0.35,0.35,0.39,0.05,31.96,2.24,-1.00,-1.00,80.19,0.20,0.34,0.42,48.40,0.53,-1.00,-1.00,0.00,0.05,0.18,0.25,-0.11,0.00,-1.93,1.37,52.48,1.14,2.59,-1.00,-1.00,-0.53,107.20,112.37,0.32,44.38,1604,,,,,
949,Wolverine Robotics,4.51,0.08,-0.24,-0.24,0.06,0.00,3.56,0.06,-1.00,-1.00,1.19,7.83,0.04,0.23,0.05,0.33,0.25,-0.03,-0.02,18.74,0.19,-1.00,-1.00,24.87,0.10,-0.09,0.11,6.09,0.08,-1.00,-1.00,0.00,-0.02,0.36,-0.04,0.14,0.12,5.23,2.84,22.30,0.53,0.25,-1.00,-1.00,-0.19,35.54,33.58,-0.17,-66.87,1363,,,,,
1294,Top Gun,5.94,0.08,0.41,0.41,0.29,0.00,17.61,0.29,-1.00,-1.00,5.87,23.96,0.12,-1.88,-0.61,0.33,0.34,0.41,0.16,37.87,3.00,-1.00,-1.00,87.25,0.49,0.22,0.29,49.99,0.89,-1.00,-1.00,0.00,0.16,-0.03,0.03,-0.04,0.17,-1.24,4.43,55.47,1.24,3.30,-1.00,-1.00,-0.20,115.64,132.13,0.29,61.89,1638,,,,,
1318,Issaquah Robotics Society,5.25,-0.06,-0.24,-0.24,0.18,0.00,10.92,0.18,-1.00,-1.00,3.64,15.93,-0.13,0.04,-0.05,0.34,0.37,0.18,0.05,30.76,1.63,-1.00,-1.00,84.16,0.37,0.29,0.40,53.45,0.93,-1.00,-1.00,0.00,0.05,0.03,-0.16,0.04,0.06,1.19,0.65,41.68,0.95,1.81,-1.00,-1.00,-0.29,100.75,106.23,0.25,0.13,1508,,,,,
1778,Chill Out,5.14,-0.03,0.45,0.45,0.47,0.00,28.30,0.47,-1.00,-1.00,9.43,33.89,0.24,-0.41,-0.04,0.34,0.37,0.35,0.05,25.59,1.99,-1.00,-1.00,77.98,0.40,0.33,0.32,52.43,0.89,-1.00,-1.00,0.00,0.05,0.13,-0.06,0.07,0.15,2.39,3.45,53.89,1.11,2.46,-1.00,-1.00,0.41,115.32,120.61,0.41,34.01,1594,,,,,
1899,Saints Robotics,4.52,0.01,0.29,0.29,0.43,0.00,25.97,0.43,-1.00,-1.00,8.66,30.77,-0.07,2.01,0.71,0.34,0.36,0.22,0.05,21.17,1.45,-1.00,-1.00,68.74,0.38,0.33,0.22,46.86,0.67,-1.00,-1.00,0.00,0.05,0.00,-0.20,0.07,0.29,1.73,6.19,47.14,0.96,1.88,-1.00,-1.00,0.99,105.71,110.62,0.12,12.33,1539,,,,,
1983,Skunk Works Robotics,4.89,-0.02,0.22,0.22,0.19,0.00,11.53,0.19,-1.00,-1.00,3.84,16.64,0.20,-1.79,-0.59,0.34,0.34,0.37,-0.01,33.95,1.95,-1.00,-1.00,68.33,0.15,0.13,0.42,34.97,0.67,-1.00,-1.00,0.00,-0.01,0.03,-0.10,-0.12,0.15,-2.71,3.25,45.48,1.04,2.14,-1.00,-1.00,-0.37,88.22,87.70,0.17,24.20,1548,,,,,
2412,Robototes,1.88,-0.01,0.02,0.02,0.02,0.00,1.38,0.02,-1.00,-1.00,0.46,3.27,0.03,1.74,0.59,0.33,0.33,0.15,-0.05,29.78,0.96,-1.00,-1.00,50.89,0.17,-0.03,0.27,20.51,0.33,-1.00,-1.00,0.00,-0.05,0.13,-0.08,0.21,-0.10,5.97,-2.97,31.16,0.77,0.98,-1.00,-1.00,0.61,51.19,46.68,0.17,-14.99,1478,,,,,
2522,Royal Robotics,4.76,0.18,-0.06,-0.06,0.14,0.00,8.29,0.14,-1.00,-1.00,2.76,12.99,0.58,5.76,1.71,0.33,0.34,-0.06,-0.00,18.80,0.28,-1.00,-1.00,55.81,0.11,0.29,0.31,35.30,0.67,-1.00,-1.00,0.00,-0.00,0.05,-0.12,0.13,0.53,3.58,12.51,27.09,0.61,0.42,-1.00,-1.00,1.65,81.31,81.06,0.22,-8.54,1454,,,,,
2555,RoboRams,0.28,-0.02,0.14,0.14,0.23,0.00,13.52,0.23,-1.00,-1.00,4.51,13.93,-0.12,0.33,0.10,0.35,0.26,-0.03,-0.03,13.03,-0.00,-1.00,-1.00,41.94,-0.01,0.21,0.38,28.82,0.58,-1.00,-1.00,0.00,-0.03,-0.10,0.11,0.43,-0.10,10.33,-1.94,26.54,0.55,0.22,-1.00,-1.00,0.24,53.94,50.46,0.03,-23.59,1426,,,,,
2557,SOTAbots ,3.68,-0.01,0.55,0.55,0.15,0.00,9.02,0.15,-1.00,-1.00,3.01,13.26,-0.08,0.73,0.28,0.34,0.26,0.32,-0.06,28.39,1.31,-1.00,-1.00,57.16,0.16,0.18,0.23,28.48,0.75,-1.00,-1.00,0.00,-0.06,-0.11,0.05,0.52,-0.13,12.51,-2.93,37.41,0.86,1.46,-1.00,-1.00,0.84,67.48,61.69,0.12,-35.04,1424,,,,,
2605,Sehome Seamonsters,5.14,-0.03,-0.07,-0.07,0.33,0.00,19.60,0.33,-1.00,-1.00,6.53,24.67,0.37,1.08,0.18,0.34,0.34,-0.02,-0.03,12.18,0.12,-1.00,-1.00,61.77,0.45,0.35,0.19,49.41,0.80,-1.00,-1.00,0.00,-0.03,-0.06,0.38,0.00,-0.01,-0.25,1.63,31.78,0.63,0.44,-1.00,-1.00,0.12,88.07,85.48,0.18,34.48,1524,,,,,
2903,NeoBots,4.02,-0.04,-0.55,-0.55,-0.20,0.00,-12.07,-0.20,-1.00,-1.00,-4.02,-8.60,-0.05,-2.25,-0.73,0.35,0.27,0.16,0.14,44.74,2.23,-1.00,-1.00,80.06,0.28,0.15,0.29,36.05,0.64,-1.00,-1.00,0.00,0.14,-0.01,0.03,0.65,-0.16,16.09,-3.94,32.66,0.92,2.03,-1.00,-1.00,-1.28,67.52,81.33,0.04,-36.32,1355,,,,,
2910,Jack in the Bot,4.55,0.07,3.21,3.21,-0.03,0.00,-1.69,-0.03,-1.00,-1.00,-0.56,6.08,-0.10,2.25,0.74,0.34,0.36,0.59,-0.05,50.51,2.80,-1.00,-1.00,88.00,0.09,0.16,0.49,36.75,0.57,-1.00,-1.00,0.00,-0.05,0.55,-0.01,-0.11,0.11,-0.04,2.70,48.82,1.23,2.77,-1.00,-1.00,3.96,96.78,91.69,0.28,21.97,1486,,,,,
2928,Viking Robotics,4.62,-0.01,-0.04,-0.04,0.14,0.00,8.33,0.14,-1.00,-1.00,2.78,12.91,-0.11,1.94,0.61,0.34,0.36,0.49,-0.04,40.28,2.28,-1.00,-1.00,64.05,0.23,0.37,-0.13,23.16,0.79,-1.00,-1.00,0.00,-0.04,-0.09,0.05,0.05,0.07,0.80,1.96,48.61,1.15,2.42,-1.00,-1.00,0.56,78.92,74.66,0.20,-15.12,1522,,,,,
2930,Sonic Squirrels,3.76,-0.02,0.00,0.00,0.42,0.00,25.12,0.42,-1.00,-1.00,8.37,28.88,-0.09,1.25,0.43,0.35,0.37,0.42,0.16,34.94,2.95,-1.00,-1.00,53.43,0.26,-0.04,0.15,18.06,0.63,-1.00,-1.00,0.00,0.16,-0.03,0.02,0.06,0.10,1.27,2.57,60.06,1.29,3.37,-1.00,-1.00,0.44,84.89,100.68,0.17,10.66,1588,,,,,
2976,Spartabots,4.48,0.16,0.24,0.24,0.08,0.00,4.65,0.08,-1.00,-1.00,1.55,9.36,0.16,-0.73,-0.25,0.33,0.34,0.39,0.04,41.00,2.41,-1.00,-1.00,70.75,0.12,0.36,0.13,30.00,0.79,-1.00,-1.00,0.00,0.04,0.01,0.23,0.08,0.01,2.07,1.54,45.65,1.10,2.48,-1.00,-1.00,-0.01,81.65,85.91,0.33,6.09,1433,,,,,
3070,Team Pronto,5.17,-0.00,-0.34,-0.34,0.57,0.00,34.25,0.57,-1.00,-1.00,11.42,39.07,0.01,-0.23,-0.08,0.33,0.33,0.44,0.09,24.56,2.36,-1.00,-1.00,45.41,0.19,0.22,0.01,20.94,0.63,-1.00,-1.00,0.00,0.09,-0.10,0.14,0.54,0.14,13.02,4.13,58.81,1.18,2.93,-1.00,-1.00,-0.42,88.62,97.31,0.28,-13.69,1452,,,,,
3218,Panther Robotics,4.94,-0.04,0.02,0.02,0.11,0.00,6.64,0.11,-1.00,-1.00,2.21,11.60,-0.10,-2.10,-0.67,0.33,0.34,0.05,-0.05,22.36,0.45,-1.00,-1.00,75.47,0.43,0.53,0.12,53.78,0.87,-1.00,-1.00,0.00,-0.05,0.00,-0.02,0.34,0.16,8.57,3.89,29.00,0.67,0.56,-1.00,-1.00,-0.65,90.97,85.71,0.37,21.09,1544,,,,,
3268,Vahallabots,5.78,0.00,0.09,0.09,0.21,0.00,12.80,0.21,-1.00,-1.00,4.27,18.66,0.05,-0.14,-0.07,0.25,0.17,0.04,-0.03,8.40,-0.00,-1.00,-1.00,61.80,0.27,0.56,0.24,53.47,0.88,-1.00,-1.00,0.00,-0.03,0.02,0.44,0.50,0.05,12.51,3.43,21.20,0.42,0.21,-1.00,-1.00,0.02,83.90,80.59,0.05,2.95,1377,,,,,
3663,CPR - Cedar Park Robotics,3.65,-0.01,-0.36,-0.36,0.26,0.00,15.67,0.26,-1.00,-1.00,5.22,18.96,-0.11,-2.57,-0.91,0.33,0.36,0.50,0.02,37.91,2.57,-1.00,-1.00,86.37,0.19,0.35,0.45,49.37,0.88,-1.00,-1.00,0.00,0.02,0.17,-0.03,0.01,0.45,1.20,11.17,53.58,1.21,2.83,-1.00,-1.00,-1.27,116.50,118.37,0.35,58.10,1639,,,,,
4077,M*A*S*H,5.46,0.07,0.36,0.36,0.22,0.00,12.97,0.22,-1.00,-1.00,4.32,18.79,-0.07,-0.03,-0.09,0.34,0.37,0.33,-0.03,31.41,1.63,-1.00,-1.00,78.87,0.42,0.24,0.28,47.55,1.00,-1.00,-1.00,0.00,-0.03,0.32,-0.04,0.03,0.22,2.43,5.21,44.39,1.00,1.85,-1.00,-1.00,0.26,102.87,99.56,0.34,16.99,1508,,,,,
4089,Stealth Robotics,4.98,-0.01,0.31,0.31,0.02,0.00,1.30,0.02,-1.00,-1.00,0.43,6.59,-0.14,0.39,0.05,0.34,0.36,0.10,-0.06,28.76,0.75,-1.00,-1.00,28.25,0.10,-0.04,-0.07,-0.56,0.33,-1.00,-1.00,0.00,-0.06,0.09,0.09,-0.19,-0.16,-4.17,-3.63,30.06,0.74,0.77,-1.00,-1.00,0.36,31.21,25.51,0.15,-21.65,1430,,,,,
4180,Iron Riders,1.89,0.17,-0.01,-0.01,0.02,0.00,1.41,0.02,-1.00,-1.00,0.47,3.29,-0.10,-0.17,0.00,0.34,0.26,0.19,-0.02,30.13,1.18,-1.00,-1.00,38.99,0.12,0.14,-0.09,8.86,0.33,-1.00,-1.00,0.00,-0.02,0.18,0.05,-0.18,0.12,-3.46,3.23,31.53,0.78,1.20,-1.00,-1.00,-0.01,45.50,43.94,-0.06,-48.56,1370,,,,,
4309,4-H Botsmiths,5.02,-0.05,0.16,0.16,0.22,0.00,13.40,0.22,-1.00,-1.00,4.47,18.57,-0.11,-1.83,-0.63,0.33,0.35,0.38,-0.04,31.96,1.77,-1.00,-1.00,36.91,-0.05,0.18,-0.01,5.58,0.33,-1.00,-1.00,0.00,-0.04,0.17,0.04,-0.04,0.88,-0.17,22.19,45.35,1.02,1.99,-1.00,-1.00,-0.47,77.68,73.83,-0.03,-14.89,1446,,,,,
4469,R.A.I.D. (Raider Artificial Intelligence DIvision),4.15,0.11,0.41,0.41,0.31,0.00,18.40,0.31,-1.00,-1.00,6.13,22.96,0.12,6.32,1.96,0.34,0.27,0.32,0.15,30.78,2.40,-1.00,-1.00,81.79,0.25,0.45,0.28,49.05,0.93,-1.00,-1.00,0.00,0.15,-0.00,0.05,0.55,0.27,13.79,7.09,49.18,1.08,2.71,-1.00,-1.00,2.37,111.85,126.46,0.22,10.28,1551,,,,,
4512,BEARbots,4.96,-0.01,-0.05,-0.05,0.09,0.00,5.22,0.09,-1.00,-1.00,1.74,10.13,0.08,1.76,0.69,0.34,0.36,0.11,-0.06,26.81,0.74,-1.00,-1.00,45.30,0.38,-0.07,0.05,17.80,0.67,-1.00,-1.00,0.00,-0.06,0.04,-0.08,0.16,-0.09,4.18,-2.77,32.03,0.76,0.83,-1.00,-1.00,0.65,52.67,46.76,-0.04,-58.72,1392,,,,,
4681,Murphy's law,5.08,-0.02,0.28,0.28,0.33,0.00,19.62,0.33,-1.00,-1.00,6.54,24.98,-0.16,1.64,0.52,0.35,0.37,0.34,-0.03,27.83,1.58,-1.00,-1.00,48.55,0.30,-0.07,0.17,20.20,0.80,-1.00,-1.00,0.00,-0.03,0.09,-0.13,-0.11,-0.11,-2.24,-3.37,47.45,1.02,1.90,-1.00,-1.00,0.80,70.16,66.79,0.01,-28.55,1461,,,,,
4682,BraveBots,4.22,-0.03,-0.08,-0.08,0.07,0.00,4.43,0.07,-1.00,-1.00,1.48,8.58,0.27,1.03,0.28,0.32,0.24,0.06,-0.05,20.15,0.36,-1.00,-1.00,66.77,0.25,0.50,0.18,46.35,0.83,-1.00,-1.00,0.00,-0.05,-0.08,0.35,-0.04,0.01,-1.39,1.93,24.58,0.58,0.43,-1.00,-1.00,0.20,77.28,72.76,0.15,15.03,1446,,,,,
4683,Full-metal Robotics,6.36,-0.04,0.42,0.42,0.39,0.00,23.51,0.39,-1.00,-1.00,7.84,30.29,0.15,1.25,0.42,0.34,0.37,0.07,-0.02,14.54,0.50,-1.00,-1.00,37.46,0.28,0.16,0.01,22.50,0.58,-1.00,-1.00,0.00,-0.02,-0.13,-0.04,0.00,-0.06,-0.62,-1.73,38.05,0.76,0.89,-1.00,-1.00,0.84,66.01,63.78,-0.02,-29.24,1355,,,,,
4911,CyberKnights,4.50,0.04,2.18,2.18,0.41,0.00,24.46,0.41,-1.00,-1.00,8.15,31.14,0.02,5.60,1.53,0.33,0.35,0.48,0.04,31.78,2.47,-1.00,-1.00,87.90,0.49,0.30,0.30,54.58,0.94,-1.00,-1.00,0.00,0.04,-0.09,0.03,-0.22,-0.26,-5.98,-6.29,56.25,1.20,2.88,-1.00,-1.00,3.71,112.74,117.21,0.41,41.67,1540,,,,,
4915,Spartronics,4.55,-0.01,4.19,4.19,0.18,0.00,10.80,0.18,-1.00,-1.00,3.60,19.54,0.39,41.87,13.76,0.33,0.33,0.24,-0.02,28.11,1.30,-1.00,-1.00,88.94,0.38,0.32,0.25,47.06,0.82,-1.00,-1.00,0.00,-0.02,0.18,0.09,-0.04,0.03,-0.21,1.30,38.91,0.88,1.48,-1.00,-1.00,17.95,109.78,107.40,0.45,30.39,1531,,,,,
5495,Aluminati,4.46,-0.01,-0.11,-0.11,0.24,0.00,14.58,0.24,-1.00,-1.00,4.86,18.93,0.07,-0.72,-0.29,0.35,0.35,0.18,-0.02,25.07,1.12,-1.00,-1.00,48.79,0.14,0.22,0.12,24.01,0.82,-1.00,-1.00,0.00,-0.02,0.02,0.27,0.01,-0.15,0.28,-2.40,39.65,0.87,1.36,-1.00,-1.00,-0.40,65.32,63.80,0.07,-24.39,1390,,,,,
5588,Holy Names Academy,5.20,-0.01,0.19,0.19,0.32,0.00,19.30,0.32,-1.00,-1.00,6.43,24.69,0.17,-1.48,-0.56,0.35,0.36,0.22,0.07,27.17,1.73,-1.00,-1.00,61.12,0.28,0.06,0.34,34.50,0.71,-1.00,-1.00,0.00,0.07,0.04,0.05,-0.08,0.29,-1.70,7.58,46.47,1.00,2.05,-1.00,-1.00,-0.36,93.39,100.52,0.16,17.40,1521,,,,,
5683,RAVE,4.23,-0.05,-0.24,-0.24,0.11,0.00,6.56,0.11,-1.00,-1.00,2.19,10.55,0.17,-1.91,-0.71,0.25,0.27,-0.02,-0.05,13.62,-0.04,-1.00,-1.00,18.81,0.12,-0.04,0.04,5.89,0.42,-1.00,-1.00,0.00,-0.05,-0.00,0.07,-0.12,0.14,-2.89,3.86,20.18,0.45,0.07,-1.00,-1.00,-0.95,33.22,27.98,-0.01,-21.95,1433,,,,,
