PNWLakeOswego,orlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1359,Scalawags,5.19,0.00,-0.41,-0.41,-0.03,0.00,-1.87,-0.03,-1.00,-1.00,-0.62,2.91,-0.09,0.40,0.13,0.33,0.34,0.05,-0.00,30.07,0.89,-1.00,-1.00,38.74,0.03,0.06,0.08,8.54,0.60,-1.00,-1.00,0.00,-0.00,-0.07,0.06,0.16,0.14,3.74,3.75,28.20,0.72,0.86,-1.00,-1.00,-0.28,45.39,45.07,0.08,-34.11,1376,,,,,
1432,Metal Beavers,4.63,0.00,0.06,0.06,0.46,0.00,27.38,0.46,-1.00,-1.00,9.13,32.07,1.34,3.12,1.16,0.33,0.36,0.17,-0.01,16.15,0.90,-1.00,-1.00,55.91,0.27,0.23,0.27,38.60,0.57,-1.00,-1.00,0.00,-0.01,-0.21,0.23,0.42,0.39,9.40,10.92,43.53,0.86,1.36,-1.00,-1.00,1.22,98.91,97.90,0.39,31.68,1456,,,,,
1510,Wildcats,4.01,0.00,-0.11,-0.11,0.23,0.00,13.58,0.23,-1.00,-1.00,4.53,17.48,-0.16,-0.17,-0.12,0.33,0.35,0.06,0.00,20.43,0.70,-1.00,-1.00,35.87,0.14,0.13,0.05,15.56,0.29,-1.00,-1.00,0.00,0.00,0.20,0.28,0.20,-0.17,6.10,-2.76,34.01,0.74,0.92,-1.00,-1.00,-0.22,50.60,50.61,0.02,-29.99,1308,,,,,
1571,CALibrate Robotics,3.91,0.00,-0.14,-0.14,0.19,0.00,11.43,0.19,-1.00,-1.00,3.81,15.20,-0.03,2.68,0.89,0.33,0.26,-0.11,0.00,11.66,-0.11,-1.00,-1.00,39.07,0.17,0.20,0.16,26.52,0.50,-1.00,-1.00,0.00,0.00,0.38,0.28,0.02,0.49,2.41,13.58,23.09,0.48,0.08,-1.00,-1.00,0.75,67.85,68.04,0.00,-13.89,1371,,,,,
2002,Tualatin Robotics,5.63,0.00,-0.09,-0.09,0.03,0.00,2.00,0.03,-1.00,-1.00,0.67,7.55,-0.18,-5.02,-1.76,0.33,0.34,0.08,-0.01,28.41,0.90,-1.00,-1.00,24.21,-0.08,0.20,-0.17,-2.44,0.17,-1.00,-1.00,0.00,-0.01,0.18,0.02,0.14,0.11,4.43,2.85,30.41,0.74,0.94,-1.00,-1.00,-1.85,34.60,33.60,-0.12,-42.55,1273,,,,,
2374,Crusader Bots,4.14,0.00,-0.13,-0.13,0.24,0.00,14.53,0.24,-1.00,-1.00,4.84,18.54,-0.11,-5.69,-1.87,0.33,0.36,0.29,0.08,32.87,2.13,-1.00,-1.00,46.53,-0.01,0.27,0.05,15.53,0.30,-1.00,-1.00,0.00,0.08,0.34,-0.01,0.43,0.06,12.53,1.32,47.40,1.06,2.37,-1.00,-1.00,-2.00,66.39,74.83,0.01,-31.57,1471,,,,,
2411,Rebel @lliance,1.07,0.00,-0.39,-0.39,0.05,0.00,3.28,0.05,-1.00,-1.00,1.09,3.95,-0.08,-2.16,-0.78,0.33,0.38,0.09,-0.01,29.50,1.00,-1.00,-1.00,69.90,0.19,0.42,0.21,41.18,0.79,-1.00,-1.00,0.00,-0.01,0.12,0.30,0.00,0.39,0.69,11.17,32.77,0.79,1.06,-1.00,-1.00,-1.17,85.01,84.04,0.28,50.19,1420,,,,,
2471,Team Mean Machine,5.35,0.00,4.00,4.00,0.04,0.00,2.27,0.04,-1.00,-1.00,0.76,11.61,0.51,54.88,18.14,0.33,0.26,0.11,-0.00,26.59,0.92,-1.00,-1.00,78.54,0.19,0.14,0.34,33.81,0.80,-1.00,-1.00,0.00,-0.00,0.29,0.15,-0.07,0.41,-0.26,10.90,28.85,0.70,0.96,-1.00,-1.00,22.14,101.06,101.00,0.35,46.74,1562,,,,,
2635,Lake Monsters,5.56,0.00,-0.11,-0.11,0.18,0.00,10.88,0.18,-1.00,-1.00,3.63,16.34,0.13,1.76,0.62,0.33,0.34,0.14,0.01,25.44,1.09,-1.00,-1.00,71.82,0.17,0.47,0.28,45.77,0.59,-1.00,-1.00,0.00,0.01,-0.13,0.38,-0.09,0.25,-2.79,8.11,36.32,0.82,1.27,-1.00,-1.00,0.51,96.27,96.78,0.10,11.41,1420,,,,,
2733,Pigmice,2.79,0.00,-0.13,-0.13,0.00,0.00,0.09,0.00,-1.00,-1.00,0.03,2.75,0.04,2.42,0.74,0.33,0.34,0.14,-0.00,32.71,1.25,-1.00,-1.00,39.61,0.17,-0.20,0.15,6.16,0.25,-1.00,-1.00,0.00,-0.00,0.31,0.19,0.35,0.03,10.43,1.69,32.80,0.82,1.25,-1.00,-1.00,0.62,44.05,43.87,-0.04,-38.15,1339,,,,,
2811,StormBots,4.81,0.00,0.64,0.64,0.29,0.00,17.46,0.29,-1.00,-1.00,5.82,22.92,-0.00,3.49,1.08,0.33,0.26,0.35,-0.00,25.91,1.60,-1.00,-1.00,51.77,0.11,0.30,0.08,24.78,0.79,-1.00,-1.00,0.00,-0.00,-0.05,0.30,0.07,0.88,1.48,23.55,43.37,0.94,1.89,-1.00,-1.00,1.72,98.23,97.85,0.10,13.75,1476,,,,,
2898,Flying Hedgehogs,5.10,0.00,0.54,0.54,0.16,0.00,9.79,0.16,-1.00,-1.00,3.26,15.44,0.01,0.76,0.23,0.33,0.36,0.11,-0.01,24.92,0.92,-1.00,-1.00,60.30,0.30,0.26,0.14,35.15,0.43,-1.00,-1.00,0.00,-0.01,0.31,0.23,0.11,-0.12,4.20,-1.89,34.71,0.79,1.08,-1.00,-1.00,0.77,73.84,72.88,0.08,0.34,1365,,,,,
2915,Pandamonium,5.14,0.00,0.43,0.43,0.43,0.00,25.59,0.43,-1.00,-1.00,8.53,31.16,-0.19,1.37,0.46,0.33,0.37,0.21,-0.01,18.69,1.06,-1.00,-1.00,59.33,0.15,0.29,0.36,40.18,0.71,-1.00,-1.00,0.00,-0.01,0.13,0.02,0.08,-0.21,2.75,-5.24,44.28,0.89,1.48,-1.00,-1.00,0.90,85.25,83.96,0.23,22.25,1442,,,,,
3024,My Favorite Team,3.61,0.00,-0.06,-0.06,0.43,0.00,26.00,0.43,-1.00,-1.00,8.67,29.54,1.29,4.81,1.64,0.33,0.34,0.36,0.09,27.53,2.21,-1.00,-1.00,66.46,-0.02,0.45,0.31,37.28,0.65,-1.00,-1.00,0.00,0.09,-0.08,-0.05,0.53,0.09,12.82,1.99,53.53,1.12,2.64,-1.00,-1.00,1.58,97.99,106.65,0.29,7.66,1499,,,,,
3131,Gladiators,5.32,0.00,-0.38,-0.38,-0.16,0.00,-9.87,-0.16,-1.00,-1.00,-3.29,-4.93,-0.25,-4.63,-1.59,0.33,0.26,0.28,-0.01,41.42,1.76,-1.00,-1.00,77.22,0.48,0.06,0.21,37.39,0.70,-1.00,-1.00,0.00,-0.01,0.14,0.05,0.26,-0.08,7.23,-1.66,31.55,0.87,1.60,-1.00,-1.00,-1.96,70.63,69.58,0.27,-8.71,1358,,,,,
3636,Generals,3.88,0.00,0.46,0.46,0.39,0.00,23.25,0.39,-1.00,-1.00,7.75,27.59,-0.08,-4.50,-1.46,0.33,0.35,0.38,-0.01,26.89,1.80,-1.00,-1.00,59.67,0.26,0.18,0.25,34.24,0.64,-1.00,-1.00,0.00,-0.01,-0.12,0.18,-0.10,0.01,-3.01,1.04,50.14,1.06,2.19,-1.00,-1.00,-1.00,88.30,87.65,0.64,69.24,1494,,,,,
3812,Bits & Bots,5.24,0.00,-0.01,-0.01,0.35,0.00,20.98,0.35,-1.00,-1.00,6.99,26.22,0.14,0.04,0.06,0.33,0.18,-0.10,0.09,6.12,0.13,-1.00,-1.00,10.99,0.04,0.17,-0.11,4.81,0.43,-1.00,-1.00,0.00,0.09,0.29,0.04,-0.06,0.08,-0.06,2.18,27.10,0.50,0.48,-1.00,-1.00,0.05,39.39,47.93,0.12,-16.34,1367,,,,,
4127,LoggerBots,-1.09,0.00,-0.32,-0.32,-0.04,0.00,-2.62,-0.04,-1.00,-1.00,-0.87,-4.03,-0.03,1.52,0.53,0.33,0.26,0.03,-0.01,26.13,0.61,-1.00,-1.00,34.89,-0.09,0.05,0.20,8.24,0.08,-1.00,-1.00,0.00,-0.01,0.10,0.01,0.19,0.02,5.26,0.43,23.51,0.61,0.57,-1.00,-1.00,0.20,31.29,30.35,-0.04,-52.05,1298,,,,,
4132,Scotbots,5.35,0.00,0.40,0.40,-0.02,0.00,-1.22,-0.02,-1.00,-1.00,-0.41,4.54,0.73,1.39,0.57,0.33,0.32,0.07,0.00,30.05,0.98,-1.00,-1.00,36.26,0.09,0.03,-0.00,5.64,0.00,-1.00,-1.00,0.00,0.00,0.22,-0.10,-0.18,0.08,-3.46,1.45,28.83,0.73,0.96,-1.00,-1.00,0.98,42.24,42.70,-0.04,-15.38,1333,,,,,
4662,Byte Sized Robotics,4.07,0.00,2.78,2.78,0.05,0.00,2.87,0.05,-1.00,-1.00,0.96,9.72,-0.04,-4.52,-1.61,0.33,0.33,0.38,-0.00,40.04,2.14,-1.00,-1.00,88.66,0.36,0.22,0.43,50.23,0.94,-1.00,-1.00,0.00,-0.00,0.03,0.38,0.16,-0.19,4.10,-2.96,42.91,1.05,2.19,-1.00,-1.00,1.17,95.41,95.27,0.58,40.09,1479,,,,,
4692,Metal Mallards,4.43,0.00,0.07,0.07,-0.08,0.00,-4.94,-0.08,-1.00,-1.00,-1.65,-0.44,-0.15,0.51,0.16,0.33,0.36,0.19,-0.01,38.38,1.53,-1.00,-1.00,72.13,0.10,0.35,0.22,33.59,0.79,-1.00,-1.00,0.00,-0.01,-0.06,-0.00,0.15,-0.14,3.42,-3.46,33.45,0.88,1.45,-1.00,-1.00,0.23,68.23,67.64,0.19,-5.90,1417,,,,,
5450,St. Helens Robotics and Engineering Club (SHREC),4.18,0.00,-0.23,-0.23,0.27,0.00,16.03,0.27,-1.00,-1.00,5.34,19.98,-0.08,-0.68,-0.24,0.33,0.36,0.28,-0.00,27.72,1.52,-1.00,-1.00,68.41,0.34,0.11,0.37,40.93,0.64,-1.00,-1.00,0.00,-0.00,0.19,0.03,0.07,0.18,2.76,4.65,43.75,0.96,1.79,-1.00,-1.00,-0.47,93.03,92.61,0.42,20.82,1489,,,,,
5970,BeaverTronics,5.76,0.00,0.46,0.46,0.33,0.00,20.03,0.33,-1.00,-1.00,6.68,26.25,-0.18,1.30,0.44,0.33,0.33,0.57,-0.00,36.29,2.63,-1.00,-1.00,80.58,0.36,0.38,0.14,43.86,0.94,-1.00,-1.00,0.00,-0.00,0.58,0.07,0.34,0.02,11.47,0.78,56.32,1.24,2.96,-1.00,-1.00,0.90,107.61,107.47,0.28,39.54,1516,,,,,
5975,Beta Blues,5.32,0.00,-0.25,-0.25,0.03,0.00,2.00,0.03,-1.00,-1.00,0.67,7.07,-0.05,1.86,0.60,0.33,0.35,0.22,-0.00,34.53,1.51,-1.00,-1.00,54.12,0.22,0.13,0.03,18.99,0.55,-1.00,-1.00,0.00,-0.00,0.14,0.12,-0.15,0.32,-3.05,8.60,36.53,0.90,1.54,-1.00,-1.00,0.35,69.79,69.34,0.08,-14.14,1448,,,,,
5977,Rosemary Anderson H S/POIC,-0.71,0.00,-0.01,-0.01,0.08,0.00,4.52,0.08,-1.00,-1.00,1.51,3.80,-0.19,0.90,0.34,0.33,0.35,0.08,-0.01,27.04,0.87,-1.00,-1.00,63.69,0.11,0.13,0.49,36.32,0.59,-1.00,-1.00,0.00,-0.01,0.02,0.26,0.06,-0.03,1.57,0.54,31.56,0.75,0.94,-1.00,-1.00,0.32,68.03,66.73,0.14,-5.63,1372,,,,,
6343,Steel Ridge Robotics,4.67,0.00,-0.18,-0.18,0.03,0.00,1.71,0.03,-1.00,-1.00,0.57,6.19,-0.13,-0.45,-0.16,0.33,0.36,0.54,-0.01,47.82,2.79,-1.00,-1.00,84.68,0.29,0.33,0.12,37.01,0.65,-1.00,-1.00,0.00,-0.01,0.01,-0.14,0.22,0.19,5.57,4.06,49.52,1.22,2.82,-1.00,-1.00,-0.34,94.92,93.80,0.28,30.66,1489,,,,,
6437,The Pacific Quakers,4.45,0.00,0.48,0.48,0.22,0.00,13.33,0.22,-1.00,-1.00,4.44,18.26,-0.03,2.13,0.73,0.33,0.36,0.10,0.01,23.21,0.96,-1.00,-1.00,38.13,0.05,0.05,0.18,14.19,0.25,-1.00,-1.00,0.00,0.01,0.15,0.19,-0.03,0.23,-0.10,6.59,36.54,0.80,1.18,-1.00,-1.00,1.21,62.98,63.90,0.03,-44.59,1343,,,,,
