PNWMountVernon,wamou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
360,The Revolution,3.82,0.00,0.58,0.58,0.44,0.00,26.67,0.44,-1.00,-1.00,8.89,31.06,0.17,0.55,0.22,0.34,0.38,0.06,-0.02,12.76,0.44,-1.00,-1.00,44.82,0.36,0.04,0.24,31.84,0.64,-1.00,-1.00,0.00,-0.02,0.23,0.36,-0.00,0.37,1.05,11.00,39.43,0.76,0.89,-1.00,-1.00,0.80,86.88,84.50,0.20,20.85,1494,,,,,
488,Team XBot,1.75,0.00,0.84,0.84,0.06,0.00,3.80,0.06,-1.00,-1.00,1.27,6.40,0.07,8.97,2.73,0.34,0.36,0.07,-0.04,26.60,0.72,-1.00,-1.00,32.75,0.04,0.11,-0.07,3.42,0.53,-1.00,-1.00,0.00,-0.04,-0.05,0.07,0.01,0.24,0.04,6.32,30.40,0.73,0.78,-1.00,-1.00,3.57,45.46,41.78,-0.01,-19.58,1439,,,,,
948,NRG (Newport Robotics Group),4.70,0.00,0.12,0.12,0.35,0.00,21.13,0.35,-1.00,-1.00,7.04,25.94,0.08,1.44,0.54,0.34,0.37,0.27,0.02,25.97,1.61,-1.00,-1.00,44.53,-0.02,0.09,0.29,18.03,0.53,-1.00,-1.00,0.00,0.02,-0.13,0.06,0.03,0.51,0.12,12.96,47.10,1.00,1.97,-1.00,-1.00,0.66,83.44,85.94,0.40,47.80,1545,,,,,
1778,Chill Out,4.86,0.00,0.15,0.15,0.43,0.00,25.80,0.43,-1.00,-1.00,8.60,30.81,-0.01,-0.18,-0.10,0.34,0.37,0.42,-0.01,27.80,1.97,-1.00,-1.00,66.05,0.12,0.30,0.34,38.36,0.71,-1.00,-1.00,0.00,-0.01,0.08,0.22,-0.07,0.01,-1.26,1.42,53.59,1.12,2.40,-1.00,-1.00,0.05,98.28,97.77,0.30,29.92,1566,,,,,
2522,Royal Robotics,5.23,0.00,-0.10,-0.10,-0.08,0.00,-4.85,-0.08,-1.00,-1.00,-1.62,0.28,-0.03,-0.64,-0.18,0.34,0.29,0.02,-0.01,28.58,0.66,-1.00,-1.00,66.95,0.35,0.24,0.18,38.55,0.67,-1.00,-1.00,0.00,-0.01,0.12,0.07,0.16,-0.03,4.58,-0.32,23.74,0.63,0.58,-1.00,-1.00,-0.29,66.91,65.50,-0.04,-39.14,1457,,,,,
2605,Sehome Seamonsters,4.59,0.00,0.60,0.60,0.13,0.00,8.05,0.13,-1.00,-1.00,2.68,13.24,0.17,0.27,0.06,0.33,0.29,0.45,-0.05,35.63,1.95,-1.00,-1.00,54.40,0.11,-0.02,0.28,18.71,0.64,-1.00,-1.00,0.00,-0.05,0.05,0.17,0.26,-0.01,6.76,0.50,43.68,1.02,2.09,-1.00,-1.00,0.66,68.14,63.50,0.31,-2.16,1487,,,,,
2903,NeoBots,3.18,0.00,0.06,0.06,-0.22,0.00,-13.26,-0.22,-1.00,-1.00,-4.42,-10.02,-0.05,2.06,0.55,0.34,0.26,0.15,0.06,41.66,1.74,-1.00,-1.00,64.97,0.17,0.11,0.17,22.76,0.47,-1.00,-1.00,0.00,0.06,0.48,0.14,-0.16,0.15,-1.70,4.57,28.40,0.82,1.52,-1.00,-1.00,0.61,59.52,65.80,-0.01,-35.66,1461,,,,,
2907,Lion Robotics,6.29,0.00,-0.57,-0.57,0.57,0.00,34.10,0.57,-1.00,-1.00,11.37,39.83,0.03,-2.06,-0.72,0.34,0.35,0.27,0.04,17.06,1.45,-1.00,-1.00,75.86,0.41,0.32,0.45,59.52,0.89,-1.00,-1.00,0.00,0.04,0.05,0.27,-0.00,-0.08,0.24,-0.64,51.16,0.99,2.02,-1.00,-1.00,-1.28,115.05,119.40,0.31,53.23,1621,,,,,
2910,Jack in the Bot,4.49,0.00,3.22,3.22,0.19,0.00,11.61,0.19,-1.00,-1.00,3.87,19.32,0.14,-0.13,-0.01,0.34,0.39,0.50,-0.01,40.83,2.50,-1.00,-1.00,66.69,0.16,0.37,-0.01,25.88,0.65,-1.00,-1.00,0.00,-0.01,0.22,0.15,-0.11,-0.14,-1.63,-2.66,52.44,1.21,2.69,-1.00,-1.00,3.21,83.36,81.99,0.20,20.11,1495,,,,,
