PNWWestValley,waspo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1595,The Dragons,4.07,-0.01,1.11,1.11,0.18,0.00,10.65,0.18,-1.00,-1.00,3.55,15.83,1.56,1.62,0.48,0.34,0.29,0.17,0.01,25.04,1.11,-1.00,-1.00,63.60,0.12,0.14,0.50,38.08,0.37,-1.00,-1.00,0.00,0.01,-0.01,-0.01,0.04,0.55,1.08,13.78,35.68,0.80,1.29,-1.00,-1.00,1.59,93.26,93.80,0.49,79.98,1594,,,,,
2147,CHUCK,3.90,0.08,-0.06,-0.06,0.25,0.00,14.97,0.25,-1.00,-1.00,4.99,18.82,-2.45,-2.21,-0.94,0.38,0.48,0.05,-0.00,26.67,0.94,-1.00,-1.00,60.77,0.10,0.12,0.47,35.04,0.79,-1.00,-1.00,0.00,-0.00,0.05,0.02,0.47,0.07,12.09,1.92,41.63,0.92,1.19,-1.00,-1.00,-1.00,81.52,81.09,0.27,9.56,1527,,,,,
2148,Mechaknights,5.57,-0.00,-0.08,-0.08,-0.06,0.00,-3.36,-0.06,-1.00,-1.00,-1.12,2.13,-1.36,1.24,0.28,0.36,0.51,0.06,0.01,39.43,1.37,-1.00,-1.00,68.26,0.26,0.09,0.22,28.55,0.57,-1.00,-1.00,0.00,0.01,0.21,0.47,0.01,-0.05,1.33,1.04,36.06,0.93,1.31,-1.00,-1.00,0.20,71.53,72.17,0.35,37.26,1457,,,,,
2149,CV Bearbots,4.13,-0.01,-0.09,-0.09,0.10,0.00,6.02,0.10,-1.00,-1.00,2.01,10.06,0.60,0.86,0.32,0.29,0.15,0.01,-0.01,13.49,0.13,-1.00,-1.00,26.90,-0.03,0.22,0.07,13.09,0.14,-1.00,-1.00,0.00,-0.01,0.37,0.01,-0.22,0.22,-3.58,5.59,19.51,0.44,0.23,-1.00,-1.00,0.23,42.58,41.57,0.12,-5.19,1397,,,,,
2923,Aggies,2.17,-0.00,-0.07,-0.07,0.05,0.00,3.29,0.05,-1.00,-1.00,1.10,5.39,-0.12,0.26,0.03,0.37,0.19,0.03,-0.01,20.84,0.41,-1.00,-1.00,30.80,-0.08,0.08,0.20,9.93,0.19,-1.00,-1.00,0.00,-0.01,-0.18,-0.03,0.39,0.21,8.83,5.05,24.13,0.58,0.47,-1.00,-1.00,-0.05,41.29,40.43,0.15,-29.32,1422,,,,,
2926,Robo Sparks,0.96,-0.01,0.15,0.15,-0.03,0.00,-1.97,-0.03,-1.00,-1.00,-0.66,-0.85,4.53,0.43,0.60,0.34,0.18,-0.08,-0.01,18.27,-0.01,-1.00,-1.00,19.26,0.06,0.06,-0.11,0.39,0.08,-1.00,-1.00,0.00,-0.01,-0.01,0.18,0.36,0.34,8.87,9.33,16.31,0.42,-0.04,-1.00,-1.00,0.75,27.70,26.67,-0.03,-28.07,1402,,,,,
2944,Titanium Tigers,4.77,-0.01,-0.07,-0.07,-0.09,0.00,-5.43,-0.09,-1.00,-1.00,-1.81,-0.74,16.29,-0.81,1.31,0.38,-0.08,0.05,0.01,17.73,0.22,-1.00,-1.00,7.76,-0.12,-0.04,-0.06,-11.27,0.08,-1.00,-1.00,0.00,0.01,0.20,0.15,0.19,0.18,5.80,5.22,12.30,0.35,0.13,-1.00,-1.00,1.24,12.23,13.01,-0.20,-40.63,1357,,,,,
3220,Mechanics of Mayhem,4.14,-0.00,-0.07,-0.07,-0.05,0.00,-3.22,-0.05,-1.00,-1.00,-1.07,0.84,-0.48,1.58,0.52,0.27,0.03,-0.01,-0.01,13.42,-0.05,-1.00,-1.00,14.57,0.01,0.08,-0.08,0.63,0.27,-1.00,-1.00,0.00,-0.01,-0.12,-0.03,0.01,0.16,-0.42,3.97,10.20,0.28,-0.10,-1.00,-1.00,0.44,19.43,18.35,0.06,-40.52,1366,,,,,
3238,Cyborg Ferrets,5.64,-0.00,1.10,1.10,0.43,0.00,25.75,0.43,-1.00,-1.00,8.58,32.48,2.06,-0.22,0.13,0.36,0.47,0.40,0.09,35.63,2.76,-1.00,-1.00,67.73,0.31,0.23,0.09,31.97,0.61,-1.00,-1.00,0.00,0.09,-0.04,0.08,0.74,0.34,18.40,8.86,61.38,1.32,3.18,-1.00,-1.00,1.23,109.18,117.78,0.32,64.69,1611,,,,,
