PNWWilsonville,orwil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
568,Nerds of the North,4.65,0.00,-0.10,-0.10,-0.01,0.00,-0.57,-0.01,-1.00,-1.00,-0.19,3.98,-0.10,0.31,0.05,0.33,0.27,0.08,-0.01,27.02,0.78,-1.00,-1.00,33.41,-0.02,0.02,0.12,6.34,0.33,-1.00,-1.00,0.00,-0.01,0.07,0.01,0.19,0.06,5.00,1.56,26.45,0.67,0.77,-1.00,-1.00,-0.05,38.95,37.56,0.04,-34.84,1329,,,,,
753,High Desert Droids,2.28,0.00,0.09,0.09,-0.06,0.00,-3.32,-0.06,-1.00,-1.00,-1.11,-0.94,0.22,7.12,2.15,0.33,0.09,-0.06,-0.01,16.34,-0.06,-1.00,-1.00,62.61,0.06,0.33,0.50,44.12,0.61,-1.00,-1.00,0.00,-0.01,0.03,0.41,0.36,-0.07,9.21,0.21,13.03,0.35,-0.11,-1.00,-1.00,2.24,61.89,61.26,0.17,30.74,1480,,,,,
847,PHRED,1.12,0.00,-0.03,-0.03,0.08,0.00,4.54,0.08,-1.00,-1.00,1.51,5.63,0.19,3.78,1.29,0.33,0.32,-0.06,-0.01,20.40,0.28,-1.00,-1.00,35.79,0.14,-0.04,0.18,14.10,0.33,-1.00,-1.00,0.00,-0.01,-0.07,-0.04,0.30,0.20,7.28,4.71,24.94,0.59,0.36,-1.00,-1.00,1.26,46.13,45.57,-0.16,-36.78,1400,,,,,
955,CV Robotics,2.96,0.00,0.10,0.10,0.20,0.00,12.24,0.20,-1.00,-1.00,4.08,15.29,-0.05,1.92,0.57,0.33,0.25,-0.04,0.01,13.82,0.18,-1.00,-1.00,50.83,0.39,0.07,0.27,36.44,0.67,-1.00,-1.00,0.00,0.01,-0.03,0.08,-0.10,0.65,-2.57,16.62,26.06,0.55,0.38,-1.00,-1.00,0.66,82.74,83.45,0.17,43.11,1529,,,,,
957,SWARM,4.12,0.00,-0.13,-0.13,-0.14,0.00,-8.35,-0.14,-1.00,-1.00,-2.78,-4.36,-0.13,-1.48,-0.45,0.33,0.41,0.15,-0.00,40.78,1.51,-1.00,-1.00,74.05,0.03,0.42,0.22,33.73,0.76,-1.00,-1.00,0.00,-0.00,-0.17,0.14,-0.16,-0.04,-4.94,-0.36,32.43,0.88,1.37,-1.00,-1.00,-0.58,69.33,68.91,0.22,18.74,1439,,,,,
997,Spartan Robotics,4.98,0.00,-0.22,-0.22,0.02,0.00,1.17,0.02,-1.00,-1.00,0.39,5.93,0.24,-0.64,-0.21,0.33,0.38,0.07,-0.01,30.09,0.96,-1.00,-1.00,67.16,0.39,0.19,0.17,37.28,0.60,-1.00,-1.00,0.00,-0.01,0.10,-0.08,0.02,-0.08,0.96,-2.40,31.26,0.77,0.98,-1.00,-1.00,-0.43,70.69,70.01,0.21,-9.60,1486,,,,,
1359,Scalawags,4.75,0.00,-0.22,-0.22,0.13,0.00,7.96,0.13,-1.00,-1.00,2.65,12.49,0.14,0.95,0.37,0.33,0.27,-0.10,-0.00,14.47,-0.03,-1.00,-1.00,14.09,0.08,-0.03,-0.06,-0.76,0.17,-1.00,-1.00,0.00,-0.00,0.06,-0.09,0.01,0.13,0.53,2.77,22.43,0.49,0.10,-1.00,-1.00,0.15,29.35,28.91,0.13,-23.87,1416,,,,,
1425,Error Code Xero,4.08,0.00,-0.20,-0.20,-0.03,0.00,-1.58,-0.03,-1.00,-1.00,-0.53,2.30,-0.11,-0.88,-0.21,0.33,0.30,0.17,-0.01,32.83,1.24,-1.00,-1.00,64.00,0.12,0.07,0.44,31.37,0.86,-1.00,-1.00,0.00,-0.01,0.14,-0.19,0.25,0.29,6.86,6.24,31.25,0.79,1.21,-1.00,-1.00,-0.40,72.53,71.25,0.27,25.67,1529,,,,,
1432,Metal Beavers,4.43,0.00,0.08,0.08,0.24,0.00,14.25,0.24,-1.00,-1.00,4.75,18.75,0.00,3.45,1.15,0.33,0.31,0.31,-0.01,28.20,1.56,-1.00,-1.00,49.67,0.19,0.24,-0.02,20.32,0.50,-1.00,-1.00,0.00,-0.01,0.24,0.00,-0.08,0.13,-0.81,3.19,42.45,0.94,1.80,-1.00,-1.00,1.22,71.61,70.85,0.36,42.72,1453,,,,,
