Palmetto,scmb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
11,MORT,6.33,0.00,-0.01,-0.01,0.03,0.00,1.73,0.03,-1.00,-1.00,0.58,8.05,0.66,5.48,1.79,0.33,0.41,-0.02,0.00,27.68,0.71,-1.00,-1.00,41.00,0.28,0.10,-0.15,11.53,0.25,-1.00,-1.00,0.00,0.00,-0.01,0.09,0.35,-0.06,8.79,-1.05,29.41,0.72,0.74,-1.00,-1.00,1.78,48.00,48.00,0.17,-29.29,1375,,,,,
120,Cleveland's Team,-0.40,0.00,1.98,1.98,0.10,0.00,6.18,0.10,-1.00,-1.00,2.06,7.76,-0.14,12.70,3.89,0.33,0.19,-0.17,0.00,10.40,-0.39,-1.00,-1.00,44.90,0.12,0.26,0.23,30.61,0.63,-1.00,-1.00,0.00,0.00,-0.03,-0.16,-0.33,0.03,-8.35,-0.08,16.58,0.36,-0.29,-1.00,-1.00,5.87,52.57,52.57,0.23,1.83,1489,,,,,
281,The GreenVillains,5.30,0.00,0.29,0.29,0.04,0.00,2.42,0.04,-1.00,-1.00,0.81,8.01,0.17,-1.69,-0.67,0.33,0.49,0.29,0.00,42.96,2.11,-1.00,-1.00,84.29,0.36,0.34,0.14,42.00,0.67,-1.00,-1.00,0.00,0.00,-0.08,0.04,0.20,0.72,4.57,18.26,45.38,1.11,2.15,-1.00,-1.00,-0.38,110.56,110.56,0.24,19.69,1484,,,,,
283,The Generals,5.89,0.00,-0.12,-0.12,0.10,0.00,5.94,0.10,-1.00,-1.00,1.98,11.71,-0.48,-2.64,-1.02,0.33,0.15,0.46,0.00,33.41,1.99,-1.00,-1.00,63.27,0.17,0.41,0.04,30.89,0.63,-1.00,-1.00,0.00,0.00,-0.02,0.12,0.12,0.11,2.99,3.34,39.35,0.93,2.09,-1.00,-1.00,-1.14,78.33,78.33,0.34,23.21,1513,,,,,
329,Mohawks,5.54,0.00,0.89,0.89,-0.13,0.00,-7.57,-0.13,-1.00,-1.00,-2.52,-1.13,0.14,2.52,0.59,0.33,0.35,0.06,0.00,34.64,1.07,-1.00,-1.00,57.95,0.20,0.15,0.11,22.72,0.75,-1.00,-1.00,0.00,0.00,-0.10,0.11,-0.03,-0.01,-1.35,0.41,27.07,0.74,0.94,-1.00,-1.00,1.49,57.23,57.23,0.36,5.96,1552,,,,,
342,Burning Magnetos,0.56,0.00,-0.14,-0.14,-0.13,0.00,-7.99,-0.13,-1.00,-1.00,-2.66,-7.56,-0.20,0.28,-0.24,0.33,0.21,0.02,0.00,27.91,0.62,-1.00,-1.00,57.28,0.32,-0.01,0.28,29.61,0.75,-1.00,-1.00,0.00,0.00,-0.10,0.12,-0.10,0.23,-3.09,6.47,19.92,0.56,0.49,-1.00,-1.00,-0.38,56.19,56.19,0.18,8.04,1419,,,,,
343,Metal-In-Motion,4.33,0.00,-0.90,-0.90,0.17,0.00,10.28,0.17,-1.00,-1.00,3.43,13.71,-1.54,0.48,-0.05,0.33,0.28,0.12,0.00,22.35,0.85,-1.00,-1.00,44.80,0.16,0.29,-0.00,22.50,0.20,-1.00,-1.00,0.00,0.00,-0.05,-0.09,0.16,0.32,3.81,7.61,32.63,0.73,1.02,-1.00,-1.00,-0.94,66.12,66.12,0.24,-0.48,1491,,,,,
359,Hawaiian Kids,6.31,0.00,4.68,4.68,-0.01,0.00,-0.46,-0.01,-1.00,-1.00,-0.15,10.53,-0.35,1.24,0.11,0.33,0.48,0.41,0.00,49.45,2.62,-1.00,-1.00,84.87,0.19,0.17,0.35,35.31,0.93,-1.00,-1.00,0.00,0.00,-0.03,-0.05,0.10,-0.23,2.26,-5.92,48.99,1.23,2.61,-1.00,-1.00,4.79,89.47,89.47,0.30,28.83,1628,,,,,
1051,Technical Terminators,6.54,0.00,-0.31,-0.31,-0.04,0.00,-2.48,-0.04,-1.00,-1.00,-0.83,3.76,1.92,-1.32,-0.30,0.33,0.01,-0.03,0.00,14.15,-0.06,-1.00,-1.00,51.06,0.51,0.01,0.23,37.20,0.63,-1.00,-1.00,0.00,0.00,-0.15,0.03,-0.04,0.19,-1.65,4.90,11.67,0.31,-0.10,-1.00,-1.00,-0.60,59.71,59.71,0.36,8.01,1432,,,,,
