RocketCity,alhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
34,Rockets,4.70,0.16,1.06,1.12,0.25,0.00,15.10,0.25,-1.00,-1.00,5.03,20.91,-1.66,1.64,0.40,0.33,0.30,0.21,-0.01,23.35,1.14,-1.00,-1.00,62.09,0.03,0.02,0.71,38.33,0.67,-1.00,-1.00,0.07,-0.01,0.04,-0.03,-0.04,0.13,-0.72,3.16,38.45,0.84,1.39,-1.00,-1.00,1.52,86.15,86.69,0.07,14.06,1490,,,,,
79,Team Krunch,4.16,0.51,2.29,2.44,-0.13,0.00,-8.06,-0.13,-1.00,-1.00,-2.69,-1.46,0.16,3.73,1.24,0.33,0.38,0.35,0.09,51.21,2.81,-1.00,-1.00,92.01,0.27,-0.03,0.55,39.56,0.76,-1.00,-1.00,0.02,0.09,0.02,-0.05,-0.10,-0.03,-2.35,-0.99,43.15,1.15,2.67,-1.00,-1.00,3.67,89.56,98.79,0.21,29.15,1526,,,,,
179,Children of the Swamp,5.63,0.13,3.51,3.54,0.12,0.00,7.01,0.12,-1.00,-1.00,2.34,16.18,-1.47,13.83,4.36,0.33,0.40,0.30,0.07,39.73,2.33,-1.00,-1.00,86.02,0.42,0.06,0.36,41.94,0.82,-1.00,-1.00,0.01,0.07,-0.06,-0.08,-0.06,0.13,-1.78,2.95,46.74,1.11,2.44,-1.00,-1.00,7.90,105.15,112.30,0.30,41.58,1616,,,,,
180,S.P.A.M.,5.45,0.20,-0.06,-0.07,0.69,0.00,41.50,0.69,-1.00,-1.00,13.83,46.88,9.51,0.30,1.13,0.33,0.39,0.72,0.07,32.69,3.37,-1.00,-1.00,74.45,0.23,0.49,0.09,40.62,0.88,-1.00,-1.00,-0.01,0.07,0.26,0.00,0.21,0.26,6.56,6.40,74.20,1.51,4.06,-1.00,-1.00,1.06,127.72,134.34,0.52,77.68,1669,,,,,
343,Metal-In-Motion,3.31,0.14,0.97,1.01,0.27,0.00,16.44,0.27,-1.00,-1.00,5.48,20.76,1.78,-5.28,-1.44,0.33,0.41,0.40,0.02,35.64,2.26,-1.00,-1.00,81.34,0.32,0.43,0.20,47.15,0.92,-1.00,-1.00,0.06,0.02,0.02,0.10,0.14,0.23,3.69,6.32,52.08,1.17,2.53,-1.00,-1.00,-0.44,108.42,111.27,0.20,9.76,1517,,,,,
442,Redstone Robotics,4.66,-0.10,-0.83,-0.84,0.16,0.00,9.77,0.16,-1.00,-1.00,3.26,13.59,1.52,2.62,0.99,0.33,0.33,0.14,0.00,26.01,1.10,-1.00,-1.00,28.62,0.21,-0.22,0.04,1.63,0.09,-1.00,-1.00,-0.02,0.00,-0.04,0.08,0.22,-0.25,5.33,-5.78,35.78,0.81,1.26,-1.00,-1.00,0.15,36.44,36.48,0.15,-33.83,1380,,,,,
538,Dragon Slayers,4.89,-0.01,-1.58,-1.58,-0.12,0.00,-7.19,-0.12,-1.00,-1.00,-2.40,-3.87,-2.43,8.22,2.37,0.33,0.20,0.00,-0.01,25.86,0.48,-1.00,-1.00,65.88,0.16,0.25,0.34,37.65,0.60,-1.00,-1.00,-0.07,-0.01,-0.13,0.19,0.01,0.01,-0.40,1.29,18.68,0.53,0.36,-1.00,-1.00,0.79,63.29,61.13,0.21,-30.73,1360,,,,,
547,Falcon Engineering And Robotics,4.05,-0.60,0.15,-0.02,0.13,0.00,7.65,0.13,-1.00,-1.00,2.55,11.67,12.24,-1.51,0.83,0.33,0.30,0.02,-0.01,20.54,0.48,-1.00,-1.00,38.60,0.26,0.07,0.01,17.23,0.20,-1.00,-1.00,0.01,-0.01,-0.11,-0.03,0.13,-0.06,2.78,-1.69,28.20,0.64,0.60,-1.00,-1.00,0.80,48.59,47.44,-0.04,-31.54,1387,,,,,
1108,Panther Robotics,2.79,-0.18,2.19,2.14,0.29,0.00,17.62,0.29,-1.00,-1.00,5.87,22.56,7.27,5.39,2.58,0.33,0.26,-0.11,-0.00,7.57,-0.22,-1.00,-1.00,28.74,-0.12,0.30,0.19,18.58,0.67,-1.00,-1.00,0.04,-0.00,0.16,-0.06,-0.07,0.32,-0.88,7.77,25.20,0.48,0.08,-1.00,-1.00,4.72,59.07,59.81,0.23,5.79,1470,,,,,
