SBPLILongIsland,nyli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
28,Pierson Whalers,3.55,0.09,1.47,1.50,-0.00,-0.00,-0.15,-0.00,-1.00,-1.00,-0.05,4.90,-1.36,-0.88,-0.37,0.33,0.34,0.15,-0.02,32.22,1.15,-1.00,-1.00,48.25,0.22,0.05,0.06,16.41,0.60,-1.00,-1.00,0.00,-0.02,0.45,-0.13,0.33,0.15,10.40,3.02,32.07,0.80,1.15,-1.00,-1.00,1.13,56.17,54.12,0.06,-10.28,1454,,,,,
263,Sachem Aftershock,5.17,0.21,-0.30,-0.19,-0.29,-0.00,-17.79,-0.30,-1.00,-1.00,-5.93,-12.82,-0.26,-1.22,-0.46,0.33,0.35,0.24,-0.00,48.68,1.93,-1.00,-1.00,100.33,0.17,0.45,0.43,52.11,0.89,-1.00,-1.00,0.00,-0.00,0.16,-0.27,-0.09,0.96,-1.36,22.69,30.89,0.92,1.64,-1.00,-1.00,-0.66,110.21,109.95,0.46,57.77,1602,,,,,
271,Mechanical Marauders,3.82,-0.84,0.19,-0.11,-0.19,-0.00,-11.44,-0.19,-1.00,-1.00,-3.81,-7.73,-0.74,0.79,0.24,0.33,0.35,0.40,-0.03,49.50,2.29,-1.00,-1.00,91.77,0.34,0.30,0.20,42.02,0.92,-1.00,-1.00,0.00,-0.03,0.15,0.50,-0.28,-0.21,-6.19,-2.77,38.07,1.05,2.10,-1.00,-1.00,0.13,81.27,78.19,0.23,8.30,1454,,,,,
287,Floyd,4.13,0.35,0.23,0.39,0.15,-0.00,8.71,0.15,-1.00,-1.00,2.90,13.23,-0.60,0.15,0.01,0.33,0.36,0.56,0.04,45.81,3.03,-1.00,-1.00,97.25,0.31,0.39,0.33,51.43,0.92,-1.00,-1.00,0.00,0.04,-0.21,0.03,0.29,0.22,6.13,5.55,54.52,1.29,3.17,-1.00,-1.00,0.40,116.03,119.60,0.49,54.85,1535,,,,,
329,Mohawks,5.27,0.04,3.68,3.68,0.11,-0.02,5.08,0.08,-1.00,-1.00,1.69,14.03,0.42,-0.54,-0.14,0.33,0.32,0.22,-0.06,28.94,1.06,-1.00,-1.00,81.73,0.37,0.36,0.33,52.94,0.94,-1.00,-1.00,0.00,-0.06,0.75,-0.11,0.05,0.22,4.95,5.06,34.02,0.81,1.15,-1.00,-1.00,3.54,100.83,95.04,0.15,-6.69,1525,,,,,
352,The Green Machine,4.90,-0.43,-0.56,-0.68,-0.01,-0.01,-1.16,-0.02,-1.00,-1.00,-0.39,3.06,0.01,0.28,0.11,0.33,0.37,0.37,-0.08,40.44,1.76,-1.00,-1.00,56.76,-0.02,0.23,0.12,16.20,0.50,-1.00,-1.00,0.00,-0.08,-0.16,0.88,0.72,0.39,17.14,14.13,39.28,0.99,1.74,-1.00,-1.00,-0.57,73.94,66.22,0.26,8.50,1380,,,,,
353,POBots,4.10,-0.04,0.25,0.25,0.40,-0.00,23.67,0.39,-1.00,-1.00,7.89,28.02,3.47,0.29,0.32,0.33,0.36,0.04,0.01,14.49,0.60,-1.00,-1.00,64.29,0.13,0.52,0.33,49.48,0.90,-1.00,-1.00,0.00,0.01,0.08,0.07,-0.31,-0.04,-7.25,-0.59,38.16,0.76,0.99,-1.00,-1.00,0.57,91.72,93.18,0.44,34.48,1531,,,,,
358,Robotic Eagles,5.39,0.45,-0.13,0.02,0.03,-0.01,1.12,0.02,-1.00,-1.00,0.37,6.53,-0.24,-1.44,-0.51,0.33,0.33,0.45,0.09,47.35,2.98,-1.00,-1.00,66.62,0.31,-0.02,0.10,19.77,0.70,-1.00,-1.00,0.00,0.09,0.04,-0.10,-0.03,0.20,-0.54,4.47,48.47,1.20,3.00,-1.00,-1.00,-0.48,77.62,86.32,-0.00,0.61,1505,,,,,
496,Royals,5.12,-0.54,-0.05,-0.22,0.18,-0.01,10.57,0.18,-1.00,-1.00,3.52,15.47,-0.00,1.45,0.43,0.33,0.34,-0.02,-0.03,17.97,0.24,-1.00,-1.00,54.37,0.23,0.19,0.30,35.97,0.70,-1.00,-1.00,0.00,-0.03,0.40,0.27,0.01,1.16,2.28,30.33,28.54,0.63,0.41,-1.00,-1.00,0.21,100.17,96.76,0.21,30.26,1439,,,,,
